# Graph for Java/GraphStream
# Nodes: 25
# Edges: 252

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Pablo García | Guti | 12 | 21 | 37
EDGE Pablo García | Júlio Baptista | 10 | 21 | 35
EDGE Pablo García | Robinho | 18 | 21 | 44
EDGE Pablo García | Raúl | 16 | 21 | 25
EDGE Pablo García | Francisco Pavón | 5 | 21 | 12
EDGE Pablo García | Carlos Diogo | 6 | 21 | 12
EDGE Pablo García | Zinédine Zidane | 11 | 21 | 30
EDGE Pablo García | Ronaldo | 9 | 21 | 25
EDGE Pablo García | Jonathan Woodgate | 5 | 21 | 11
EDGE Pablo García | Cicinho | 2 | 21 | 19
EDGE Pablo García | Álvaro Mejía | 4 | 21 | 15
EDGE Pablo García | Diego López | 1 | 21 | 5
EDGE Pablo García | Roberto Soldado | 1 | 21 | 5
EDGE Pablo García | Thomas Gravesen | 2 | 21 | 20
EDGE David Beckham | Guti | 29 | 42 | 37
EDGE David Beckham | Júlio Baptista | 28 | 42 | 35
EDGE David Beckham | Robinho | 35 | 42 | 44
EDGE David Beckham | Raúl | 20 | 42 | 25
EDGE David Beckham | Francisco Pavón | 10 | 42 | 12
EDGE David Beckham | Carlos Diogo | 8 | 42 | 12
EDGE David Beckham | Zinédine Zidane | 23 | 42 | 30
EDGE David Beckham | Ronaldo | 21 | 42 | 25
EDGE David Beckham | Jonathan Woodgate | 8 | 42 | 11
EDGE David Beckham | Thomas Gravesen | 18 | 42 | 20
EDGE David Beckham | Álvaro Mejía | 12 | 42 | 15
EDGE David Beckham | Cicinho | 13 | 42 | 19
EDGE David Beckham | Antonio Cassano | 3 | 42 | 4
EDGE David Beckham | Diego López | 3 | 42 | 5
EDGE David Beckham | Roberto Soldado | 3 | 42 | 5
EDGE David Beckham | Raúl Bravo | 8 | 42 | 13
EDGE Guti | Júlio Baptista | 23 | 37 | 35
EDGE Guti | Robinho | 31 | 37 | 44
EDGE Guti | Raúl | 16 | 37 | 25
EDGE Guti | Jonathan Woodgate | 8 | 37 | 11
EDGE Guti | Francisco Pavón | 8 | 37 | 12
EDGE Guti | Carlos Diogo | 9 | 37 | 12
EDGE Guti | Cicinho | 14 | 37 | 19
EDGE Guti | Zinédine Zidane | 20 | 37 | 30
EDGE Guti | Ronaldo | 16 | 37 | 25
EDGE Guti | Álvaro Mejía | 12 | 37 | 15
EDGE Guti | Antonio Cassano | 3 | 37 | 4
EDGE Guti | Thomas Gravesen | 12 | 37 | 20
EDGE Guti | Raúl Bravo | 11 | 37 | 13
EDGE Guti | Diego López | 4 | 37 | 5
EDGE Guti | Roberto Soldado | 4 | 37 | 5
EDGE Júlio Baptista | Robinho | 28 | 35 | 44
EDGE Júlio Baptista | Raúl | 15 | 35 | 25
EDGE Júlio Baptista | Francisco Pavón | 5 | 35 | 12
EDGE Júlio Baptista | Thomas Gravesen | 16 | 35 | 20
EDGE Júlio Baptista | Zinédine Zidane | 19 | 35 | 30
EDGE Júlio Baptista | Ronaldo | 17 | 35 | 25
EDGE Júlio Baptista | Álvaro Mejía | 13 | 35 | 15
EDGE Júlio Baptista | Cicinho | 15 | 35 | 19
EDGE Júlio Baptista | Antonio Cassano | 3 | 35 | 4
EDGE Júlio Baptista | Carlos Diogo | 5 | 35 | 12
EDGE Júlio Baptista | Raúl Bravo | 11 | 35 | 13
EDGE Júlio Baptista | Jonathan Woodgate | 3 | 35 | 11
EDGE Júlio Baptista | Diego López | 4 | 35 | 5
EDGE Júlio Baptista | Roberto Soldado | 4 | 35 | 5
EDGE Júlio Baptista | Rubén de la Red | 1 | 35 | 1
EDGE Júlio Baptista | Javier Balboa | 1 | 35 | 1
EDGE Robinho | Raúl | 18 | 44 | 25
EDGE Robinho | Francisco Pavón | 11 | 44 | 12
EDGE Robinho | Carlos Diogo | 11 | 44 | 12
EDGE Robinho | Zinédine Zidane | 24 | 44 | 30
EDGE Robinho | Ronaldo | 20 | 44 | 25
EDGE Robinho | Jonathan Woodgate | 11 | 44 | 11
EDGE Robinho | Cicinho | 17 | 44 | 19
EDGE Robinho | Álvaro Mejía | 13 | 44 | 15
EDGE Robinho | Antonio Cassano | 3 | 44 | 4
EDGE Robinho | Thomas Gravesen | 17 | 44 | 20
EDGE Robinho | Diego López | 5 | 44 | 5
EDGE Robinho | Roberto Soldado | 5 | 44 | 5
EDGE Robinho | Raúl Bravo | 10 | 44 | 13
EDGE Robinho | Rubén de la Red | 1 | 44 | 1
EDGE Robinho | Javier Balboa | 1 | 44 | 1
EDGE Raúl | Jonathan Woodgate | 6 | 25 | 11
EDGE Raúl | Francisco Pavón | 4 | 25 | 12
EDGE Raúl | Carlos Diogo | 7 | 25 | 12
EDGE Raúl | Thomas Gravesen | 4 | 25 | 20
EDGE Raúl | Zinédine Zidane | 12 | 25 | 30
EDGE Raúl | Ronaldo | 9 | 25 | 25
EDGE Raúl | Álvaro Mejía | 8 | 25 | 15
EDGE Raúl | Cicinho | 6 | 25 | 19
EDGE Raúl | Antonio Cassano | 2 | 25 | 4
EDGE Raúl | Raúl Bravo | 4 | 25 | 13
EDGE Raúl | Diego López | 1 | 25 | 5
EDGE Raúl | Roberto Soldado | 1 | 25 | 5
EDGE Francisco Pavón | Carlos Diogo | 5 | 12 | 12
EDGE Francisco Pavón | Zinédine Zidane | 6 | 12 | 30
EDGE Francisco Pavón | Ronaldo | 7 | 12 | 25
EDGE Francisco Pavón | Jonathan Woodgate | 3 | 12 | 11
EDGE Francisco Pavón | Thomas Gravesen | 4 | 12 | 20
EDGE Francisco Pavón | Diego López | 1 | 12 | 5
EDGE Francisco Pavón | Raúl Bravo | 1 | 12 | 13
EDGE Francisco Pavón | Rubén de la Red | 1 | 12 | 1
EDGE Francisco Pavón | Javier Balboa | 1 | 12 | 1
EDGE Francisco Pavón | Roberto Soldado | 1 | 12 | 5
EDGE Carlos Diogo | Zinédine Zidane | 5 | 12 | 30
EDGE Carlos Diogo | Ronaldo | 2 | 12 | 25
EDGE Carlos Diogo | Jonathan Woodgate | 5 | 12 | 11
EDGE Carlos Diogo | Álvaro Mejía | 2 | 12 | 15
EDGE Carlos Diogo | Raúl Bravo | 4 | 12 | 13
EDGE Carlos Diogo | Cicinho | 2 | 12 | 19
EDGE Carlos Diogo | Diego López | 2 | 12 | 5
EDGE Carlos Diogo | Thomas Gravesen | 2 | 12 | 20
EDGE Carlos Diogo | Roberto Soldado | 2 | 12 | 5
EDGE Carlos Diogo | Rubén de la Red | 1 | 12 | 1
EDGE Carlos Diogo | Javier Balboa | 1 | 12 | 1
EDGE Zinédine Zidane | Ronaldo | 16 | 30 | 25
EDGE Zinédine Zidane | Thomas Gravesen | 11 | 30 | 20
EDGE Zinédine Zidane | Jonathan Woodgate | 6 | 30 | 11
EDGE Zinédine Zidane | Cicinho | 16 | 30 | 19
EDGE Zinédine Zidane | Álvaro Mejía | 8 | 30 | 15
EDGE Zinédine Zidane | Raúl Bravo | 8 | 30 | 13
EDGE Zinédine Zidane | Antonio Cassano | 3 | 30 | 4
