# Graph for Java/GraphStream
# Nodes: 24
# Edges: 247

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iñigo Lekue | Nico Serrano | 4 | 25 | 4
EDGE Iñigo Lekue | Nico Williams | 8 | 25 | 14
EDGE Iñigo Lekue | Unai Núñez | 5 | 25 | 7
EDGE Iñigo Lekue | Oier Zarraga | 7 | 25 | 10
EDGE Iñigo Lekue | Asier Villalibre | 3 | 25 | 3
EDGE Unai Vencedor | Dani García | 19 | 29 | 33
EDGE Unai Vencedor | Álex Berenguer | 20 | 29 | 29
EDGE Unai Vencedor | Oihan Sancet | 13 | 29 | 19
EDGE Unai Vencedor | Iker Muniain | 27 | 29 | 40
EDGE Unai Vencedor | Iñaki Williams | 26 | 29 | 37
EDGE Unai Vencedor | Raúl García | 16 | 29 | 29
EDGE Unai Vencedor | Yeray Álvarez | 18 | 29 | 26
EDGE Unai Vencedor | Yuri Berchiche | 8 | 29 | 15
EDGE Unai Vencedor | Óscar de Marcos | 14 | 29 | 23
EDGE Unai Vencedor | Mikel Vesga | 10 | 29 | 22
EDGE Unai Vencedor | Unai Núñez | 4 | 29 | 7
EDGE Unai Vencedor | Oier Zarraga | 4 | 29 | 10
EDGE Unai Vencedor | Julen Agirrezabala | 4 | 29 | 9
EDGE Unai Vencedor | Nico Williams | 7 | 29 | 14
EDGE Unai Vencedor | Nico Serrano | 1 | 29 | 4
EDGE Unai Vencedor | Asier Villalibre | 2 | 29 | 3
EDGE Unai Vencedor | Álex Petxarroman | 1 | 29 | 2
EDGE Dani García | Álex Berenguer | 21 | 33 | 29
EDGE Dani García | Oihan Sancet | 13 | 33 | 19
EDGE Dani García | Iker Muniain | 30 | 33 | 40
EDGE Dani García | Iñaki Williams | 28 | 33 | 37
EDGE Dani García | Raúl García | 23 | 33 | 29
EDGE Dani García | Julen Agirrezabala | 7 | 33 | 9
EDGE Dani García | Yuri Berchiche | 9 | 33 | 15
EDGE Dani García | Óscar de Marcos | 15 | 33 | 23
EDGE Dani García | Mikel Vesga | 10 | 33 | 22
EDGE Dani García | Nico Williams | 10 | 33 | 14
EDGE Dani García | Yeray Álvarez | 18 | 33 | 26
EDGE Dani García | Unai Núñez | 4 | 33 | 7
EDGE Dani García | Oier Zarraga | 8 | 33 | 10
EDGE Dani García | Nico Serrano | 2 | 33 | 4
EDGE Dani García | Asier Villalibre | 1 | 33 | 3
