# Graph for Java/GraphStream
# Nodes: 26
# Edges: 267

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Víctor Valdés | Gerard Piqué | 36 | 49 | 44
EDGE Víctor Valdés | Rafa Márquez | 33 | 49 | 36
EDGE Víctor Valdés | Carles Puyol | 36 | 49 | 41
EDGE Víctor Valdés | Dani Alves | 43 | 49 | 52
EDGE Víctor Valdés | Seydou Keita | 22 | 49 | 29
EDGE Víctor Valdés | Andrés Iniesta | 33 | 49 | 38
EDGE Víctor Valdés | Xavi | 46 | 49 | 49
EDGE Víctor Valdés | Thierry Henry | 35 | 49 | 36
EDGE Víctor Valdés | Lionel Messi | 37 | 49 | 41
EDGE Víctor Valdés | Samuel Eto'o | 42 | 49 | 46
EDGE Víctor Valdés | Martín Cáceres | 6 | 49 | 16
EDGE Víctor Valdés | Sylvinho | 11 | 49 | 22
EDGE Víctor Valdés | Yaya Touré | 32 | 49 | 39
EDGE Víctor Valdés | Éric Abidal | 28 | 49 | 31
EDGE Víctor Valdés | Sergio Busquets | 22 | 49 | 31
EDGE Víctor Valdés | Eidur Gudjohnsen | 9 | 49 | 17
EDGE Víctor Valdés | Bojan Krkic | 5 | 49 | 18
EDGE Víctor Valdés | Aleksandr Hleb | 8 | 49 | 19
EDGE Víctor Valdés | Víctor Sánchez | 3 | 49 | 6
EDGE Víctor Valdés | Pedro | 3 | 49 | 6
EDGE Gerard Piqué | Rafa Márquez | 22 | 44 | 36
EDGE Gerard Piqué | Carles Puyol | 29 | 44 | 41
EDGE Gerard Piqué | Dani Alves | 37 | 44 | 52
EDGE Gerard Piqué | Seydou Keita | 24 | 44 | 29
EDGE Gerard Piqué | Andrés Iniesta | 28 | 44 | 38
EDGE Gerard Piqué | Xavi | 37 | 44 | 49
EDGE Gerard Piqué | Thierry Henry | 26 | 44 | 36
EDGE Gerard Piqué | Lionel Messi | 29 | 44 | 41
EDGE Gerard Piqué | Samuel Eto'o | 34 | 44 | 46
