# Graph for Java/GraphStream
# Nodes: 25
# Edges: 263

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Andoni Iraola | Iker Muniain | 15 | 25 | 38
EDGE Andoni Iraola | Markel Susaeta | 14 | 25 | 31
EDGE Andoni Iraola | Aritz Aduriz | 20 | 25 | 41
EDGE Andoni Iraola | Iago Herrerín | 9 | 25 | 15
EDGE Andoni Iraola | Mikel San José | 16 | 25 | 36
EDGE Andoni Iraola | Beñat Etxebarria | 11 | 25 | 33
EDGE Andoni Iraola | Ager Aketxe | 3 | 25 | 4
EDGE Andoni Iraola | Iñaki Williams | 8 | 25 | 20
EDGE Andoni Iraola | Jon Aurtenetxe | 3 | 25 | 6
EDGE Andoni Iraola | Ibai Gómez | 5 | 25 | 17
EDGE Andoni Iraola | Erik Morán | 2 | 25 | 2
EDGE Andoni Iraola | Carlos Gurpegui | 11 | 25 | 25
EDGE Andoni Iraola | Unai Bustinza | 2 | 25 | 2
EDGE Andoni Iraola | Kike Sola | 1 | 25 | 1
EDGE Ander Iturraspe | Mikel Rico | 28 | 30 | 48
EDGE Ander Iturraspe | Unai López | 7 | 30 | 12
EDGE Ander Iturraspe | Óscar de Marcos | 26 | 30 | 48
EDGE Ander Iturraspe | Borja Viguera | 8 | 30 | 14
EDGE Ander Iturraspe | Guillermo Fernández | 5 | 30 | 9
EDGE Ander Iturraspe | Iker Muniain | 23 | 30 | 38
EDGE Ander Iturraspe | Markel Susaeta | 19 | 30 | 31
EDGE Ander Iturraspe | Aritz Aduriz | 20 | 30 | 41
EDGE Ander Iturraspe | Mikel San José | 12 | 30 | 36
EDGE Ander Iturraspe | Beñat Etxebarria | 16 | 30 | 33
EDGE Ander Iturraspe | Carlos Gurpegui | 13 | 30 | 25
EDGE Ander Iturraspe | Iago Herrerín | 5 | 30 | 15
EDGE Ander Iturraspe | Ibai Gómez | 8 | 30 | 17
EDGE Ander Iturraspe | Iñaki Williams | 5 | 30 | 20
EDGE Ander Iturraspe | Erik Morán | 1 | 30 | 2
EDGE Ander Iturraspe | Unai Bustinza | 1 | 30 | 2
EDGE Ander Iturraspe | Kike Sola | 1 | 30 | 1
EDGE Ander Iturraspe | Jon Aurtenetxe | 1 | 30 | 6
