# Graph for Java/GraphStream
# Nodes: 26
# Edges: 297

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Eneko Bóveda | Mikel San José | 16 | 25 | 43
EDGE Eneko Bóveda | Mikel Rico | 11 | 25 | 14
EDGE Eneko Bóveda | Javi Eraso | 11 | 25 | 23
EDGE Eneko Bóveda | Sabin Merino | 7 | 25 | 21
EDGE Eneko Bóveda | Markel Susaeta | 13 | 25 | 39
EDGE Eneko Bóveda | Aritz Aduriz | 14 | 25 | 49
EDGE Eneko Bóveda | Gorka Iraizoz | 15 | 25 | 39
EDGE Eneko Bóveda | Xabi Etxeita | 13 | 25 | 45
EDGE Eneko Bóveda | Iñigo Lekue | 12 | 25 | 22
EDGE Eneko Bóveda | Gorka Elustondo | 6 | 25 | 9
EDGE Eneko Bóveda | Beñat Etxebarria | 15 | 25 | 48
EDGE Eneko Bóveda | Óscar de Marcos | 13 | 25 | 50
EDGE Eneko Bóveda | Ibai Gómez | 2 | 25 | 4
EDGE Eneko Bóveda | Raúl García | 11 | 25 | 36
EDGE Eneko Bóveda | Iker Muniain | 11 | 25 | 17
EDGE Eneko Bóveda | Enric Saborit | 1 | 25 | 1
EDGE Eneko Bóveda | Kike Sola | 4 | 25 | 5
EDGE Eneko Bóveda | Ander Iturraspe | 7 | 25 | 15
EDGE Eneko Bóveda | Ager Aketxe | 2 | 25 | 5
EDGE Eneko Bóveda | Borja Viguera | 5 | 25 | 6
EDGE Eneko Bóveda | Iñaki Williams | 10 | 25 | 30
EDGE Mikel San José | Mikel Rico | 7 | 43 | 14
EDGE Mikel San José | Javi Eraso | 12 | 43 | 23
EDGE Mikel San José | Sabin Merino | 16 | 43 | 21
EDGE Mikel San José | Markel Susaeta | 29 | 43 | 39
EDGE Mikel San José | Aritz Aduriz | 36 | 43 | 49
EDGE Mikel San José | Gorka Iraizoz | 30 | 43 | 39
EDGE Mikel San José | Xabi Etxeita | 31 | 43 | 45
EDGE Mikel San José | Óscar de Marcos | 34 | 43 | 50
EDGE Mikel San José | Beñat Etxebarria | 34 | 43 | 48
EDGE Mikel San José | Raúl García | 30 | 43 | 36
EDGE Mikel San José | Iñaki Williams | 24 | 43 | 30
EDGE Mikel San José | Iker Muniain | 13 | 43 | 17
EDGE Mikel San José | Ager Aketxe | 3 | 43 | 5
EDGE Mikel San José | Gorka Elustondo | 2 | 43 | 9
EDGE Mikel San José | Enric Saborit | 1 | 43 | 1
EDGE Mikel San José | Kike Sola | 2 | 43 | 5
EDGE Mikel San José | Iñigo Lekue | 10 | 43 | 22
EDGE Mikel San José | Ander Iturraspe | 3 | 43 | 15
EDGE Mikel San José | Borja Viguera | 3 | 43 | 6
EDGE Mikel Rico | Javi Eraso | 8 | 14 | 23
EDGE Mikel Rico | Sabin Merino | 8 | 14 | 21
EDGE Mikel Rico | Markel Susaeta | 7 | 14 | 39
EDGE Mikel Rico | Aritz Aduriz | 5 | 14 | 49
EDGE Mikel Rico | Gorka Elustondo | 5 | 14 | 9
EDGE Mikel Rico | Enric Saborit | 1 | 14 | 1
EDGE Mikel Rico | Kike Sola | 5 | 14 | 5
EDGE Mikel Rico | Iñigo Lekue | 8 | 14 | 22
