# Graph for Java/GraphStream
# Nodes: 35
# Edges: 405

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Ronald Araujo | Alejandro Balde | 1 | 36 | 2
EDGE Ronald Araujo | Philippe Coutinho | 3 | 36 | 5
EDGE Jordi Alba | Dani Alves | 14 | 44 | 16
EDGE Jordi Alba | Sergio Busquets | 41 | 44 | 49
EDGE Jordi Alba | Pedri | 17 | 44 | 19
EDGE Jordi Alba | Gavi | 30 | 44 | 36
EDGE Jordi Alba | Abde Ezzalzouli | 6 | 44 | 7
EDGE Jordi Alba | Ferran Torres | 23 | 44 | 25
EDGE Jordi Alba | Ferran Jutglà | 5 | 44 | 6
EDGE Jordi Alba | Eric García | 28 | 44 | 32
EDGE Jordi Alba | Frenkie de Jong | 35 | 44 | 41
EDGE Jordi Alba | Ousmane Dembélé | 17 | 44 | 18
EDGE Jordi Alba | Nico González | 13 | 44 | 17
EDGE Jordi Alba | Memphis Depay | 21 | 44 | 27
EDGE Jordi Alba | Sergi Roberto | 4 | 44 | 6
EDGE Jordi Alba | Sergiño Dest | 17 | 44 | 23
EDGE Jordi Alba | Ansu Fati | 4 | 44 | 4
EDGE Jordi Alba | Pierre-Emerick Aubameyang | 16 | 44 | 18
EDGE Jordi Alba | Neto | 4 | 44 | 4
EDGE Jordi Alba | Martin Braithwaite | 3 | 44 | 3
EDGE Jordi Alba | Antoine Griezmann | 3 | 44 | 3
EDGE Jordi Alba | Adama Traoré | 8 | 44 | 9
EDGE Jordi Alba | Clément Lenglet | 10 | 44 | 11
EDGE Jordi Alba | Yusuf Demir | 1 | 44 | 3
EDGE Jordi Alba | Óscar Mingueza | 9 | 44 | 14
EDGE Jordi Alba | Ilias Akhomach | 2 | 44 | 3
EDGE Jordi Alba | Emerson Royal | 1 | 44 | 1
EDGE Jordi Alba | Riqui Puig | 1 | 44 | 3
EDGE Jordi Alba | Luuk de Jong | 5 | 44 | 10
EDGE Jordi Alba | Philippe Coutinho | 2 | 44 | 5
EDGE Jordi Alba | Sergio Agüero | 2 | 44 | 2
EDGE Dani Alves | Sergio Busquets | 15 | 16 | 49
EDGE Dani Alves | Pedri | 6 | 16 | 19
EDGE Dani Alves | Gavi | 13 | 16 | 36
EDGE Dani Alves | Abde Ezzalzouli | 1 | 16 | 7
EDGE Dani Alves | Ferran Torres | 13 | 16 | 25
EDGE Dani Alves | Ferran Jutglà | 3 | 16 | 6
EDGE Dani Alves | Frenkie de Jong | 10 | 16 | 41
EDGE Dani Alves | Ousmane Dembélé | 9 | 16 | 18
EDGE Dani Alves | Pierre-Emerick Aubameyang | 10 | 16 | 18
EDGE Dani Alves | Clément Lenglet | 2 | 16 | 11
EDGE Dani Alves | Adama Traoré | 3 | 16 | 9
EDGE Dani Alves | Neto | 2 | 16 | 4
EDGE Dani Alves | Eric García | 6 | 16 | 32
EDGE Dani Alves | Óscar Mingueza | 2 | 16 | 14
EDGE Dani Alves | Nico González | 3 | 16 | 17
EDGE Dani Alves | Riqui Puig | 2 | 16 | 3
EDGE Dani Alves | Ilias Akhomach | 1 | 16 | 3
EDGE Dani Alves | Sergiño Dest | 1 | 16 | 23
EDGE Dani Alves | Memphis Depay | 4 | 16 | 27
EDGE Dani Alves | Luuk de Jong | 2 | 16 | 10
EDGE Dani Alves | Alejandro Balde | 1 | 16 | 2
EDGE Sergio Busquets | Pedri | 17 | 49 | 19
EDGE Sergio Busquets | Gavi | 35 | 49 | 36
EDGE Sergio Busquets | Abde Ezzalzouli | 7 | 49 | 7
EDGE Sergio Busquets | Ferran Torres | 22 | 49 | 25
EDGE Sergio Busquets | Ferran Jutglà | 5 | 49 | 6
EDGE Sergio Busquets | Eric García | 28 | 49 | 32
EDGE Sergio Busquets | Frenkie de Jong | 37 | 49 | 41
EDGE Sergio Busquets | Sergi Roberto | 6 | 49 | 6
EDGE Sergio Busquets | Sergiño Dest | 22 | 49 | 23
EDGE Sergio Busquets | Memphis Depay | 25 | 49 | 27
EDGE Sergio Busquets | Luuk de Jong | 9 | 49 | 10
EDGE Sergio Busquets | Ousmane Dembélé | 17 | 49 | 18
EDGE Sergio Busquets | Nico González | 14 | 49 | 17
EDGE Sergio Busquets | Ansu Fati | 4 | 49 | 4
EDGE Sergio Busquets | Pierre-Emerick Aubameyang | 16 | 49 | 18
EDGE Sergio Busquets | Neto | 4 | 49 | 4
EDGE Sergio Busquets | Martin Braithwaite | 3 | 49 | 3
EDGE Sergio Busquets | Antoine Griezmann | 3 | 49 | 3
EDGE Sergio Busquets | Óscar Mingueza | 12 | 49 | 14
EDGE Sergio Busquets | Philippe Coutinho | 5 | 49 | 5
EDGE Sergio Busquets | Clément Lenglet | 11 | 49 | 11
EDGE Sergio Busquets | Adama Traoré | 7 | 49 | 9
EDGE Sergio Busquets | Samuel Umtiti | 1 | 49 | 1
EDGE Sergio Busquets | Yusuf Demir | 3 | 49 | 3
EDGE Sergio Busquets | Ilias Akhomach | 2 | 49 | 3
EDGE Sergio Busquets | Emerson Royal | 1 | 49 | 1
EDGE Sergio Busquets | Riqui Puig | 2 | 49 | 3
EDGE Sergio Busquets | Alejandro Balde | 2 | 49 | 2
EDGE Sergio Busquets | Sergio Agüero | 2 | 49 | 2
EDGE Pedri | Gavi | 8 | 19 | 36
EDGE Pedri | Abde Ezzalzouli | 2 | 19 | 7
EDGE Pedri | Ferran Torres | 14 | 19 | 25
EDGE Pedri | Ferran Jutglà | 1 | 19 | 6
EDGE Pedri | Eric García | 11 | 19 | 32
EDGE Pedri | Frenkie de Jong | 14 | 19 | 41
EDGE Pedri | Sergi Roberto | 2 | 19 | 6
EDGE Pedri | Sergiño Dest | 9 | 19 | 23
EDGE Pedri | Memphis Depay | 5 | 19 | 27
EDGE Pedri | Luuk de Jong | 3 | 19 | 10
EDGE Pedri | Neto | 2 | 19 | 4
EDGE Pedri | Martin Braithwaite | 2 | 19 | 3
EDGE Pedri | Antoine Griezmann | 2 | 19 | 3
EDGE Pedri | Nico González | 2 | 19 | 17
EDGE Pedri | Adama Traoré | 8 | 19 | 9
EDGE Pedri | Pierre-Emerick Aubameyang | 10 | 19 | 18
EDGE Pedri | Óscar Mingueza | 2 | 19 | 14
EDGE Pedri | Ousmane Dembélé | 5 | 19 | 18
EDGE Gavi | Abde Ezzalzouli | 6 | 36 | 7
EDGE Gavi | Ferran Torres | 17 | 36 | 25
EDGE Gavi | Ferran Jutglà | 4 | 36 | 6
EDGE Gavi | Eric García | 19 | 36 | 32
EDGE Gavi | Frenkie de Jong | 26 | 36 | 41
EDGE Gavi | Ousmane Dembélé | 15 | 36 | 18
EDGE Gavi | Nico González | 11 | 36 | 17
EDGE Gavi | Memphis Depay | 19 | 36 | 27
EDGE Gavi | Sergi Roberto | 1 | 36 | 6
EDGE Gavi | Sergiño Dest | 14 | 36 | 23
EDGE Gavi | Ansu Fati | 4 | 36 | 4
EDGE Gavi | Pierre-Emerick Aubameyang | 12 | 36 | 18
EDGE Gavi | Óscar Mingueza | 11 | 36 | 14
EDGE Gavi | Philippe Coutinho | 3 | 36 | 5
EDGE Gavi | Luuk de Jong | 6 | 36 | 10
EDGE Gavi | Clément Lenglet | 10 | 36 | 11
EDGE Gavi | Adama Traoré | 5 | 36 | 9
EDGE Gavi | Samuel Umtiti | 1 | 36 | 1
EDGE Gavi | Yusuf Demir | 2 | 36 | 3
