# Graph for Java/GraphStream
# Nodes: 26
# Edges: 274

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Éric Abidal | Lionel Messi | 29 | 43 | 34
EDGE Éric Abidal | Thierry Henry | 32 | 43 | 40
EDGE Éric Abidal | Oleguer | 8 | 43 | 9
EDGE Éric Abidal | José Manuel Pinto | 2 | 43 | 3
EDGE Éric Abidal | Giovani dos Santos | 9 | 43 | 16
EDGE Éric Abidal | Ronaldinho | 15 | 43 | 20
EDGE Éric Abidal | Santiago Ezquerro | 1 | 43 | 2
EDGE Edmílson | Andrés Iniesta | 4 | 7 | 43
EDGE Edmílson | Xavi | 5 | 7 | 50
EDGE Edmílson | Bojan Krkic | 2 | 7 | 20
EDGE Edmílson | Samuel Eto'o | 4 | 7 | 27
EDGE Edmílson | Eidur Gudjohnsen | 2 | 7 | 19
EDGE Edmílson | Rafa Márquez | 2 | 7 | 25
EDGE Edmílson | Deco | 3 | 7 | 24
EDGE Edmílson | Thierry Henry | 5 | 7 | 40
EDGE Edmílson | Giovani dos Santos | 4 | 7 | 16
EDGE Edmílson | Lionel Messi | 3 | 7 | 34
EDGE Edmílson | José Manuel Pinto | 1 | 7 | 3
EDGE Edmílson | Gianluca Zambrotta | 2 | 7 | 37
EDGE Edmílson | Yaya Touré | 1 | 7 | 37
EDGE Edmílson | Oleguer | 1 | 7 | 9
EDGE Edmílson | Oier Olazábal | 1 | 7 | 1
EDGE Edmílson | Sylvinho | 1 | 7 | 15
EDGE Edmílson | Víctor Sánchez | 1 | 7 | 1
EDGE Edmílson | Santiago Ezquerro | 1 | 7 | 2
EDGE Edmílson | Ronaldinho | 1 | 7 | 20
EDGE Andrés Iniesta | Xavi | 38 | 43 | 50
EDGE Andrés Iniesta | Bojan Krkic | 15 | 43 | 20
EDGE Andrés Iniesta | Samuel Eto'o | 18 | 43 | 27
EDGE Andrés Iniesta | Eidur Gudjohnsen | 11 | 43 | 19
EDGE Andrés Iniesta | Rafa Márquez | 17 | 43 | 25
EDGE Andrés Iniesta | Gianluca Zambrotta | 26 | 43 | 37
EDGE Andrés Iniesta | Yaya Touré | 28 | 43 | 37
EDGE Andrés Iniesta | Deco | 16 | 43 | 24
EDGE Andrés Iniesta | Lionel Messi | 25 | 43 | 34
EDGE Andrés Iniesta | Thierry Henry | 30 | 43 | 40
EDGE Andrés Iniesta | Oleguer | 7 | 43 | 9
EDGE Andrés Iniesta | Ronaldinho | 16 | 43 | 20
EDGE Andrés Iniesta | Sylvinho | 9 | 43 | 15
EDGE Andrés Iniesta | Giovani dos Santos | 9 | 43 | 16
EDGE Andrés Iniesta | Albert Jorquera | 1 | 43 | 2
EDGE Xavi | Bojan Krkic | 15 | 50 | 20
EDGE Xavi | Samuel Eto'o | 26 | 50 | 27
EDGE Xavi | Eidur Gudjohnsen | 16 | 50 | 19
EDGE Xavi | Rafa Márquez | 21 | 50 | 25
EDGE Xavi | Gianluca Zambrotta | 31 | 50 | 37
EDGE Xavi | Yaya Touré | 33 | 50 | 37
EDGE Xavi | Deco | 17 | 50 | 24
EDGE Xavi | Lionel Messi | 30 | 50 | 34
EDGE Xavi | Thierry Henry | 33 | 50 | 40
EDGE Xavi | Oleguer | 9 | 50 | 9
EDGE Xavi | José Manuel Pinto | 1 | 50 | 3
EDGE Xavi | Giovani dos Santos | 12 | 50 | 16
EDGE Xavi | Ronaldinho | 18 | 50 | 20
EDGE Xavi | Sylvinho | 12 | 50 | 15
EDGE Xavi | Santiago Ezquerro | 1 | 50 | 2
EDGE Xavi | Albert Jorquera | 2 | 50 | 2
EDGE Bojan Krkic | Samuel Eto'o | 9 | 20 | 27
EDGE Bojan Krkic | Eidur Gudjohnsen | 10 | 20 | 19
EDGE Bojan Krkic | Gianluca Zambrotta | 15 | 20 | 37
EDGE Bojan Krkic | Yaya Touré | 12 | 20 | 37
EDGE Bojan Krkic | Thierry Henry | 13 | 20 | 40
EDGE Bojan Krkic | Sylvinho | 9 | 20 | 15
EDGE Bojan Krkic | Oleguer | 1 | 20 | 9
EDGE Bojan Krkic | Deco | 6 | 20 | 24
EDGE Bojan Krkic | Lionel Messi | 8 | 20 | 34
EDGE Bojan Krkic | Giovani dos Santos | 4 | 20 | 16
EDGE Bojan Krkic | Rafa Márquez | 7 | 20 | 25
EDGE Bojan Krkic | Ronaldinho | 1 | 20 | 20
EDGE Bojan Krkic | José Manuel Pinto | 1 | 20 | 3
EDGE Bojan Krkic | Oier Olazábal | 1 | 20 | 1
EDGE Bojan Krkic | Víctor Sánchez | 1 | 20 | 1
EDGE Bojan Krkic | Santiago Ezquerro | 1 | 20 | 2
EDGE Samuel Eto'o | Eidur Gudjohnsen | 9 | 27 | 19
EDGE Samuel Eto'o | José Manuel Pinto | 2 | 27 | 3
EDGE Samuel Eto'o | Oleguer | 2 | 27 | 9
EDGE Samuel Eto'o | Giovani dos Santos | 6 | 27 | 16
EDGE Samuel Eto'o | Thierry Henry | 13 | 27 | 40
EDGE Samuel Eto'o | Lionel Messi | 11 | 27 | 34
EDGE Samuel Eto'o | Gianluca Zambrotta | 20 | 27 | 37
EDGE Samuel Eto'o | Yaya Touré | 19 | 27 | 37
EDGE Samuel Eto'o | Ronaldinho | 8 | 27 | 20
EDGE Samuel Eto'o | Sylvinho | 8 | 27 | 15
EDGE Samuel Eto'o | Santiago Ezquerro | 1 | 27 | 2
EDGE Samuel Eto'o | Rafa Márquez | 9 | 27 | 25
EDGE Samuel Eto'o | Deco | 7 | 27 | 24
EDGE Samuel Eto'o | Albert Jorquera | 1 | 27 | 2
EDGE Eidur Gudjohnsen | José Manuel Pinto | 2 | 19 | 3
EDGE Eidur Gudjohnsen | Oleguer | 2 | 19 | 9
EDGE Eidur Gudjohnsen | Giovani dos Santos | 10 | 19 | 16
EDGE Eidur Gudjohnsen | Thierry Henry | 9 | 19 | 40
EDGE Eidur Gudjohnsen | Lionel Messi | 7 | 19 | 34
EDGE Eidur Gudjohnsen | Ronaldinho | 2 | 19 | 20
EDGE Eidur Gudjohnsen | Gianluca Zambrotta | 10 | 19 | 37
EDGE Eidur Gudjohnsen | Rafa Márquez | 9 | 19 | 25
EDGE Eidur Gudjohnsen | Sylvinho | 7 | 19 | 15
EDGE Eidur Gudjohnsen | Yaya Touré | 11 | 19 | 37
EDGE Eidur Gudjohnsen | Santiago Ezquerro | 2 | 19 | 2
EDGE Eidur Gudjohnsen | Deco | 2 | 19 | 24
EDGE Eidur Gudjohnsen | Albert Jorquera | 2 | 19 | 2
EDGE Eidur Gudjohnsen | Oier Olazábal | 1 | 19 | 1
EDGE Eidur Gudjohnsen | Víctor Sánchez | 1 | 19 | 1
EDGE Rafa Márquez | Gianluca Zambrotta | 14 | 25 | 37
EDGE Rafa Márquez | Yaya Touré | 14 | 25 | 37
EDGE Rafa Márquez | Deco | 13 | 25 | 24
EDGE Rafa Márquez | Lionel Messi | 16 | 25 | 34
