# Graph for Java/GraphStream
# Nodes: 29
# Edges: 328

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Javi Venta | Gonzalo Rodríguez | 24 | 36 | 40
EDGE Javi Venta | Carlos Alcántara | 2 | 36 | 5
EDGE Javi Venta | Marcos Senna | 33 | 36 | 42
EDGE Javi Venta | Héctor Font | 5 | 36 | 10
EDGE Javi Venta | Antonio Guayre | 5 | 36 | 9
EDGE Javi Venta | Rodolfo Arruabarrena | 31 | 36 | 46
EDGE Javi Venta | Santi Cazorla | 8 | 36 | 15
EDGE Javi Venta | Quique Álvarez | 20 | 36 | 30
EDGE Javi Venta | Roger García | 6 | 36 | 11
EDGE Javi Venta | Javier Calleja | 2 | 36 | 3
EDGE Javi Venta | Juan Pablo Sorín | 22 | 36 | 28
EDGE Javi Venta | Luciano Figueroa | 9 | 36 | 13
EDGE Javi Venta | Antonio Valencia | 1 | 36 | 1
EDGE Josico | Alessio Tacchinardi | 13 | 35 | 24
EDGE Josico | José Mari | 24 | 35 | 37
EDGE Josico | Juan Román Riquelme | 26 | 35 | 38
EDGE Josico | Diego Forlán | 29 | 35 | 44
EDGE Josico | Guillermo Franco | 4 | 35 | 9
EDGE Josico | Sebastián Viera | 27 | 35 | 37
EDGE Josico | Gonzalo Rodríguez | 29 | 35 | 40
EDGE Josico | Carlos Alcántara | 2 | 35 | 5
EDGE Josico | Marcos Senna | 26 | 35 | 42
EDGE Josico | Héctor Font | 5 | 35 | 10
EDGE Josico | Antonio Guayre | 5 | 35 | 9
EDGE Josico | Quique Álvarez | 20 | 35 | 30
EDGE Josico | Rodolfo Arruabarrena | 31 | 35 | 46
EDGE Josico | Roger García | 6 | 35 | 11
EDGE Josico | Javier Calleja | 1 | 35 | 3
EDGE Josico | Juan Pablo Sorín | 18 | 35 | 28
EDGE Josico | Luciano Figueroa | 9 | 35 | 13
EDGE Josico | Santi Cazorla | 8 | 35 | 15
EDGE Josico | Jan Kromkamp | 9 | 35 | 10
EDGE Josico | Antonio Valencia | 1 | 35 | 1
EDGE Alessio Tacchinardi | José Mari | 21 | 24 | 37
EDGE Alessio Tacchinardi | Juan Román Riquelme | 19 | 24 | 38
EDGE Alessio Tacchinardi | Diego Forlán | 22 | 24 | 44
EDGE Alessio Tacchinardi | Guillermo Franco | 4 | 24 | 9
EDGE Alessio Tacchinardi | Sebastián Viera | 17 | 24 | 37
EDGE Alessio Tacchinardi | Gonzalo Rodríguez | 16 | 24 | 40
EDGE Alessio Tacchinardi | Rodolfo Arruabarrena | 22 | 24 | 46
EDGE Alessio Tacchinardi | Marcos Senna | 15 | 24 | 42
EDGE Alessio Tacchinardi | Santi Cazorla | 7 | 24 | 15
EDGE Alessio Tacchinardi | Quique Álvarez | 14 | 24 | 30
EDGE Alessio Tacchinardi | Juan Pablo Sorín | 10 | 24 | 28
EDGE Alessio Tacchinardi | Roger García | 4 | 24 | 11
EDGE Alessio Tacchinardi | Luciano Figueroa | 3 | 24 | 13
EDGE Alessio Tacchinardi | Jan Kromkamp | 4 | 24 | 10
EDGE Alessio Tacchinardi | Héctor Font | 2 | 24 | 10
EDGE Alessio Tacchinardi | Antonio Guayre | 1 | 24 | 9
EDGE José Mari | Juan Román Riquelme | 28 | 37 | 38
EDGE José Mari | Diego Forlán | 29 | 37 | 44
EDGE José Mari | Guillermo Franco | 4 | 37 | 9
EDGE José Mari | Sebastián Viera | 28 | 37 | 37
EDGE José Mari | Gonzalo Rodríguez | 28 | 37 | 40
EDGE José Mari | Rodolfo Arruabarrena | 34 | 37 | 46
EDGE José Mari | Marcos Senna | 29 | 37 | 42
EDGE José Mari | Santi Cazorla | 11 | 37 | 15
EDGE José Mari | Quique Álvarez | 17 | 37 | 30
EDGE José Mari | Juan Pablo Sorín | 20 | 37 | 28
EDGE José Mari | Luciano Figueroa | 7 | 37 | 13
EDGE José Mari | Roger García | 6 | 37 | 11
EDGE José Mari | Jan Kromkamp | 6 | 37 | 10
EDGE José Mari | Héctor Font | 4 | 37 | 10
EDGE José Mari | Antonio Valencia | 1 | 37 | 1
EDGE José Mari | Javier Calleja | 1 | 37 | 3
EDGE Juan Román Riquelme | Diego Forlán | 35 | 38 | 44
EDGE Juan Román Riquelme | Guillermo Franco | 5 | 38 | 9
EDGE Juan Román Riquelme | Sebastián Viera | 26 | 38 | 37
EDGE Juan Román Riquelme | Gonzalo Rodríguez | 27 | 38 | 40
EDGE Juan Román Riquelme | Carlos Alcántara | 3 | 38 | 5
EDGE Juan Román Riquelme | Marcos Senna | 29 | 38 | 42
EDGE Juan Román Riquelme | Héctor Font | 3 | 38 | 10
EDGE Juan Román Riquelme | Antonio Guayre | 2 | 38 | 9
EDGE Juan Román Riquelme | Rodolfo Arruabarrena | 32 | 38 | 46
EDGE Juan Román Riquelme | Santi Cazorla | 10 | 38 | 15
EDGE Juan Román Riquelme | Javier López Vallejo | 1 | 38 | 1
EDGE Juan Román Riquelme | Quique Álvarez | 23 | 38 | 30
EDGE Juan Román Riquelme | Javi Rubio | 1 | 38 | 2
EDGE Juan Román Riquelme | Roger García | 1 | 38 | 11
EDGE Juan Román Riquelme | Luciano Figueroa | 8 | 38 | 13
EDGE Juan Román Riquelme | Juan Pablo Sorín | 22 | 38 | 28
EDGE Juan Román Riquelme | Jan Kromkamp | 8 | 38 | 10
EDGE Juan Román Riquelme | Javier Calleja | 1 | 38 | 3
EDGE Diego Forlán | Guillermo Franco | 7 | 44 | 9
EDGE Diego Forlán | Sebastián Viera | 32 | 44 | 37
EDGE Diego Forlán | Gonzalo Rodríguez | 33 | 44 | 40
EDGE Diego Forlán | Carlos Alcántara | 3 | 44 | 5
EDGE Diego Forlán | Marcos Senna | 34 | 44 | 42
EDGE Diego Forlán | Héctor Font | 7 | 44 | 10
EDGE Diego Forlán | Antonio Guayre | 7 | 44 | 9
EDGE Diego Forlán | Rodolfo Arruabarrena | 38 | 44 | 46
EDGE Diego Forlán | Santi Cazorla | 12 | 44 | 15
EDGE Diego Forlán | Quique Álvarez | 27 | 44 | 30
EDGE Diego Forlán | Roger García | 5 | 44 | 11
EDGE Diego Forlán | Javier Calleja | 2 | 44 | 3
EDGE Diego Forlán | Javier López Vallejo | 1 | 44 | 1
EDGE Diego Forlán | Javi Rubio | 1 | 44 | 2
EDGE Diego Forlán | Luciano Figueroa | 5 | 44 | 13
EDGE Diego Forlán | Juan Pablo Sorín | 24 | 44 | 28
EDGE Diego Forlán | Jan Kromkamp | 9 | 44 | 10
EDGE Guillermo Franco | Sebastián Viera | 3 | 9 | 37
EDGE Guillermo Franco | Quique Álvarez | 4 | 9 | 30
EDGE Guillermo Franco | Gonzalo Rodríguez | 4 | 9 | 40
EDGE Guillermo Franco | Rodolfo Arruabarrena | 7 | 9 | 46
EDGE Guillermo Franco | Marcos Senna | 6 | 9 | 42
EDGE Guillermo Franco | Santi Cazorla | 2 | 9 | 15
EDGE Guillermo Franco | Roger García | 2 | 9 | 11
EDGE Guillermo Franco | Juan Pablo Sorín | 2 | 9 | 28
EDGE Guillermo Franco | Oscar López | 1 | 9 | 1
EDGE Guillermo Franco | Carlos Alcántara | 1 | 9 | 5
EDGE Guillermo Franco | Héctor Font | 3 | 9 | 10
EDGE Guillermo Franco | Javier Calleja | 1 | 9 | 3
EDGE Guillermo Franco | Javi Rubio | 1 | 9 | 2
EDGE Guillermo Franco | Antonio Guayre | 2 | 9 | 9
EDGE Sebastián Viera | Gonzalo Rodríguez | 31 | 37 | 40
EDGE Sebastián Viera | Carlos Alcántara | 3 | 37 | 5
EDGE Sebastián Viera | Marcos Senna | 28 | 37 | 42
EDGE Sebastián Viera | Héctor Font | 8 | 37 | 10
EDGE Sebastián Viera | Antonio Guayre | 7 | 37 | 9
EDGE Sebastián Viera | Rodolfo Arruabarrena | 32 | 37 | 46
EDGE Sebastián Viera | Santi Cazorla | 11 | 37 | 15
EDGE Sebastián Viera | Quique Álvarez | 18 | 37 | 30
EDGE Sebastián Viera | Roger García | 6 | 37 | 11
EDGE Sebastián Viera | Javier Calleja | 3 | 37 | 3
EDGE Sebastián Viera | Juan Pablo Sorín | 20 | 37 | 28
EDGE Sebastián Viera | Luciano Figueroa | 5 | 37 | 13
EDGE Sebastián Viera | Jan Kromkamp | 8 | 37 | 10
EDGE Sebastián Viera | Oscar López | 1 | 37 | 1
EDGE Sebastián Viera | Javi Rubio | 1 | 37 | 2
EDGE Sebastián Viera | Antonio Valencia | 1 | 37 | 1
EDGE Gonzalo Rodríguez | Carlos Alcántara | 3 | 40 | 5
EDGE Gonzalo Rodríguez | Marcos Senna | 32 | 40 | 42
EDGE Gonzalo Rodríguez | Héctor Font | 7 | 40 | 10
EDGE Gonzalo Rodríguez | Antonio Guayre | 6 | 40 | 9
EDGE Gonzalo Rodríguez | Rodolfo Arruabarrena | 35 | 40 | 46
EDGE Gonzalo Rodríguez | Santi Cazorla | 13 | 40 | 15
EDGE Gonzalo Rodríguez | Quique Álvarez | 18 | 40 | 30
EDGE Gonzalo Rodríguez | Roger García | 9 | 40 | 11
EDGE Gonzalo Rodríguez | Javier Calleja | 2 | 40 | 3
EDGE Gonzalo Rodríguez | Javier López Vallejo | 1 | 40 | 1
