# Graph for Java/GraphStream
# Nodes: 29
# Edges: 333

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Antonio Rukavina | Sergio Marcos | 4 | 25 | 5
EDGE Antonio Rukavina | Tomás Pina | 16 | 25 | 32
EDGE Antonio Rukavina | Moi Gómez | 12 | 25 | 25
EDGE Antonio Rukavina | Joel Campbell | 11 | 25 | 18
EDGE Antonio Rukavina | Giovani dos Santos | 11 | 25 | 21
EDGE Antonio Rukavina | Gerard Moreno | 20 | 25 | 30
EDGE Antonio Rukavina | Jonathan dos Santos | 10 | 25 | 28
EDGE Antonio Rukavina | Víctor Ruiz | 10 | 25 | 34
EDGE Antonio Rukavina | Gabriel Paulista | 10 | 25 | 28
EDGE Antonio Rukavina | Mario Gaspar | 13 | 25 | 46
EDGE Antonio Rukavina | Bruno Soriano | 9 | 25 | 30
EDGE Antonio Rukavina | Manu Trigueros | 13 | 25 | 40
EDGE Antonio Rukavina | Denis Cheryshev | 6 | 25 | 27
EDGE Antonio Rukavina | Luciano Vietto | 6 | 25 | 29
EDGE Antonio Rukavina | Ikechukwu Uche | 8 | 25 | 27
EDGE Antonio Rukavina | Juan Carlos | 6 | 25 | 10
EDGE Antonio Rukavina | Bojan Jokic | 4 | 25 | 6
EDGE Antonio Rukavina | Adrián Marín | 5 | 25 | 8
EDGE Antonio Rukavina | Cani | 3 | 25 | 10
EDGE Antonio Rukavina | Javier Espinosa | 6 | 25 | 9
EDGE Antonio Rukavina | Mateo Musacchio | 7 | 25 | 22
EDGE Antonio Rukavina | Israel Puerto | 2 | 25 | 2
EDGE Antonio Rukavina | Matías Nahuel | 3 | 25 | 3
EDGE Antonio Rukavina | José Naranjo | 2 | 25 | 2
EDGE Sergio Marcos | Tomás Pina | 4 | 5 | 32
EDGE Sergio Marcos | Moi Gómez | 5 | 5 | 25
EDGE Sergio Marcos | Joel Campbell | 5 | 5 | 18
EDGE Sergio Marcos | Giovani dos Santos | 5 | 5 | 21
EDGE Sergio Marcos | Gerard Moreno | 5 | 5 | 30
EDGE Sergio Marcos | Jonathan dos Santos | 1 | 5 | 28
EDGE Sergio Marcos | Mateo Musacchio | 1 | 5 | 22
EDGE Sergio Marcos | Mario Gaspar | 2 | 5 | 46
EDGE Sergio Marcos | Víctor Ruiz | 1 | 5 | 34
EDGE Tomás Pina | Moi Gómez | 14 | 32 | 25
EDGE Tomás Pina | Joel Campbell | 13 | 32 | 18
EDGE Tomás Pina | Giovani dos Santos | 13 | 32 | 21
EDGE Tomás Pina | Gerard Moreno | 22 | 32 | 30
EDGE Tomás Pina | Víctor Ruiz | 17 | 32 | 34
EDGE Tomás Pina | Mateo Musacchio | 15 | 32 | 22
EDGE Tomás Pina | Mario Gaspar | 26 | 32 | 46
EDGE Tomás Pina | Manu Trigueros | 18 | 32 | 40
EDGE Tomás Pina | Jonathan dos Santos | 16 | 32 | 28
EDGE Tomás Pina | Denis Cheryshev | 12 | 32 | 27
EDGE Tomás Pina | Luciano Vietto | 13 | 32 | 29
EDGE Tomás Pina | Ikechukwu Uche | 9 | 32 | 27
EDGE Tomás Pina | Gabriel Paulista | 9 | 32 | 28
EDGE Tomás Pina | Bruno Soriano | 6 | 32 | 30
EDGE Tomás Pina | Cani | 2 | 32 | 10
EDGE Tomás Pina | Juan Carlos | 5 | 32 | 10
EDGE Tomás Pina | Adrián Marín | 2 | 32 | 8
EDGE Tomás Pina | Javier Espinosa | 5 | 32 | 9
EDGE Tomás Pina | Bojan Jokic | 4 | 32 | 6
EDGE Tomás Pina | Israel Puerto | 2 | 32 | 2
EDGE Tomás Pina | Matías Nahuel | 3 | 32 | 3
EDGE Tomás Pina | José Naranjo | 2 | 32 | 2
EDGE Moi Gómez | Joel Campbell | 8 | 25 | 18
EDGE Moi Gómez | Giovani dos Santos | 13 | 25 | 21
EDGE Moi Gómez | Gerard Moreno | 16 | 25 | 30
EDGE Moi Gómez | Jonathan dos Santos | 6 | 25 | 28
EDGE Moi Gómez | Víctor Ruiz | 10 | 25 | 34
EDGE Moi Gómez | Mateo Musacchio | 10 | 25 | 22
EDGE Moi Gómez | Gabriel Paulista | 13 | 25 | 28
EDGE Moi Gómez | Mario Gaspar | 19 | 25 | 46
EDGE Moi Gómez | Bruno Soriano | 11 | 25 | 30
EDGE Moi Gómez | Cani | 3 | 25 | 10
EDGE Moi Gómez | Denis Cheryshev | 7 | 25 | 27
EDGE Moi Gómez | Luciano Vietto | 9 | 25 | 29
EDGE Moi Gómez | Manu Trigueros | 15 | 25 | 40
EDGE Moi Gómez | Ikechukwu Uche | 11 | 25 | 27
EDGE Moi Gómez | Adrián Marín | 3 | 25 | 8
EDGE Moi Gómez | Javier Espinosa | 3 | 25 | 9
EDGE Moi Gómez | Juan Carlos | 2 | 25 | 10
EDGE Moi Gómez | Bojan Jokic | 1 | 25 | 6
EDGE Moi Gómez | Matías Nahuel | 1 | 25 | 3
EDGE Joel Campbell | Giovani dos Santos | 8 | 18 | 21
EDGE Joel Campbell | Gerard Moreno | 15 | 18 | 30
EDGE Joel Campbell | Jonathan dos Santos | 8 | 18 | 28
EDGE Joel Campbell | Juan Carlos | 4 | 18 | 10
EDGE Joel Campbell | Víctor Ruiz | 9 | 18 | 34
EDGE Joel Campbell | Bojan Jokic | 5 | 18 | 6
EDGE Joel Campbell | Mario Gaspar | 13 | 18 | 46
EDGE Joel Campbell | Bruno Soriano | 4 | 18 | 30
EDGE Joel Campbell | Manu Trigueros | 12 | 18 | 40
EDGE Joel Campbell | Mateo Musacchio | 6 | 18 | 22
