# Graph for Java/GraphStream
# Nodes: 23
# Edges: 247

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Josico | Jon Dahl Tomasson | 7 | 16 | 19
EDGE Josico | Pascal Cygan | 11 | 16 | 28
EDGE Josico | Josemi | 2 | 16 | 7
EDGE Josico | Rio Mavuba | 1 | 16 | 9
EDGE Josico | Santi Cazorla | 12 | 16 | 38
EDGE Josico | Nihat Kahveci | 9 | 16 | 31
EDGE Josico | Gonzalo Rodríguez | 5 | 16 | 19
EDGE Josico | Robert Pirès | 11 | 16 | 31
EDGE Josico | Bruno Soriano | 4 | 16 | 22
EDGE Josico | Sebastián Viera | 6 | 16 | 18
EDGE Josico | Javi Venta | 7 | 16 | 30
EDGE Josico | Guillermo Franco | 4 | 16 | 19
EDGE Josico | Sebastián Eguren | 1 | 16 | 14
EDGE Marcos Senna | Cani | 18 | 41 | 22
EDGE Marcos Senna | Matías Fernández | 14 | 41 | 19
EDGE Marcos Senna | Giuseppe Rossi | 23 | 41 | 29
EDGE Marcos Senna | Jon Dahl Tomasson | 14 | 41 | 19
EDGE Marcos Senna | Sebastián Viera | 18 | 41 | 18
EDGE Marcos Senna | Bruno Soriano | 14 | 41 | 22
EDGE Marcos Senna | Robert Pirès | 27 | 41 | 31
EDGE Marcos Senna | Guillermo Franco | 14 | 41 | 19
EDGE Marcos Senna | Javi Venta | 24 | 41 | 30
EDGE Marcos Senna | Nihat Kahveci | 26 | 41 | 31
EDGE Marcos Senna | Rio Mavuba | 4 | 41 | 9
EDGE Marcos Senna | Pascal Cygan | 21 | 41 | 28
EDGE Marcos Senna | Santi Cazorla | 28 | 41 | 38
EDGE Marcos Senna | Josemi | 2 | 41 | 7
EDGE Marcos Senna | Gonzalo Rodríguez | 14 | 41 | 19
EDGE Marcos Senna | Sebastián Eguren | 12 | 41 | 14
EDGE Cani | Matías Fernández | 9 | 22 | 19
EDGE Cani | Giuseppe Rossi | 11 | 22 | 29
EDGE Cani | Jon Dahl Tomasson | 8 | 22 | 19
EDGE Cani | Sebastián Viera | 7 | 22 | 18
EDGE Cani | Bruno Soriano | 10 | 22 | 22
EDGE Cani | Robert Pirès | 9 | 22 | 31
EDGE Cani | Guillermo Franco | 9 | 22 | 19
EDGE Cani | Javi Venta | 13 | 22 | 30
EDGE Cani | Nihat Kahveci | 12 | 22 | 31
EDGE Cani | Rio Mavuba | 5 | 22 | 9
EDGE Cani | Pascal Cygan | 12 | 22 | 28
EDGE Cani | Santi Cazorla | 9 | 22 | 38
EDGE Cani | Josemi | 3 | 22 | 7
EDGE Cani | Gonzalo Rodríguez | 5 | 22 | 19
EDGE Cani | Sebastián Eguren | 4 | 22 | 14
EDGE Matías Fernández | Giuseppe Rossi | 8 | 19 | 29
EDGE Matías Fernández | Jon Dahl Tomasson | 12 | 19 | 19
EDGE Matías Fernández | Javi Venta | 9 | 19 | 30
EDGE Matías Fernández | Bruno Soriano | 6 | 19 | 22
EDGE Matías Fernández | Nihat Kahveci | 9 | 19 | 31
EDGE Matías Fernández | Sebastián Viera | 4 | 19 | 18
EDGE Matías Fernández | Rio Mavuba | 7 | 19 | 9
EDGE Matías Fernández | Robert Pirès | 3 | 19 | 31
EDGE Matías Fernández | Pascal Cygan | 9 | 19 | 28
EDGE Matías Fernández | Josemi | 4 | 19 | 7
EDGE Matías Fernández | Santi Cazorla | 11 | 19 | 38
EDGE Matías Fernández | Gonzalo Rodríguez | 7 | 19 | 19
EDGE Matías Fernández | Sebastián Eguren | 7 | 19 | 14
EDGE Matías Fernández | Guillermo Franco | 6 | 19 | 19
EDGE Giuseppe Rossi | Jon Dahl Tomasson | 7 | 29 | 19
EDGE Giuseppe Rossi | Sebastián Viera | 11 | 29 | 18
EDGE Giuseppe Rossi | Bruno Soriano | 10 | 29 | 22
EDGE Giuseppe Rossi | Robert Pirès | 19 | 29 | 31
EDGE Giuseppe Rossi | Guillermo Franco | 5 | 29 | 19
EDGE Giuseppe Rossi | Rio Mavuba | 4 | 29 | 9
EDGE Giuseppe Rossi | Pascal Cygan | 16 | 29 | 28
EDGE Giuseppe Rossi | Javi Venta | 18 | 29 | 30
EDGE Giuseppe Rossi | Santi Cazorla | 23 | 29 | 38
EDGE Giuseppe Rossi | Nihat Kahveci | 15 | 29 | 31
EDGE Giuseppe Rossi | Josemi | 4 | 29 | 7
EDGE Giuseppe Rossi | Gonzalo Rodríguez | 11 | 29 | 19
EDGE Giuseppe Rossi | Sebastián Eguren | 7 | 29 | 14
EDGE Jon Dahl Tomasson | Javi Venta | 13 | 19 | 30
EDGE Jon Dahl Tomasson | Bruno Soriano | 6 | 19 | 22
EDGE Jon Dahl Tomasson | Nihat Kahveci | 8 | 19 | 31
EDGE Jon Dahl Tomasson | Pascal Cygan | 11 | 19 | 28
EDGE Jon Dahl Tomasson | Josemi | 3 | 19 | 7
EDGE Jon Dahl Tomasson | Rio Mavuba | 6 | 19 | 9
EDGE Jon Dahl Tomasson | Santi Cazorla | 13 | 19 | 38
EDGE Jon Dahl Tomasson | Gonzalo Rodríguez | 5 | 19 | 19
EDGE Jon Dahl Tomasson | Robert Pirès | 7 | 19 | 31
EDGE Jon Dahl Tomasson | Sebastián Viera | 5 | 19 | 18
EDGE Jon Dahl Tomasson | Sebastián Eguren | 4 | 19 | 14
