# Graph for Java/GraphStream
# Nodes: 26
# Edges: 259

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Andoni Iraola | Raúl Fernández | 5 | 42 | 9
EDGE Andoni Iraola | Jonás Ramalho | 1 | 42 | 8
EDGE Andoni Iraola | Gaizka Toquero | 4 | 42 | 7
EDGE Andoni Iraola | Xabier Castillo | 5 | 42 | 8
EDGE Carlos Gurpegui | Óscar de Marcos | 30 | 31 | 45
EDGE Carlos Gurpegui | Ander Herrera | 19 | 31 | 34
EDGE Carlos Gurpegui | Iker Muniain | 23 | 31 | 34
EDGE Carlos Gurpegui | Markel Susaeta | 30 | 31 | 45
EDGE Carlos Gurpegui | Aritz Aduriz | 26 | 31 | 38
EDGE Carlos Gurpegui | Jonás Ramalho | 2 | 31 | 8
EDGE Carlos Gurpegui | Ander Iturraspe | 25 | 31 | 37
EDGE Carlos Gurpegui | Fernando Amorebieta | 9 | 31 | 16
EDGE Carlos Gurpegui | Iñigo Pérez | 7 | 31 | 8
EDGE Carlos Gurpegui | Isma López | 10 | 31 | 12
EDGE Carlos Gurpegui | Aymeric Laporte | 6 | 31 | 16
EDGE Carlos Gurpegui | Ibai Gómez | 11 | 31 | 23
EDGE Carlos Gurpegui | Fernando Llorente | 2 | 31 | 8
EDGE Carlos Gurpegui | Raúl Fernández | 3 | 31 | 9
EDGE Carlos Gurpegui | Gaizka Toquero | 3 | 31 | 7
EDGE Carlos Gurpegui | Xabier Castillo | 5 | 31 | 8
EDGE Óscar de Marcos | Ander Herrera | 32 | 45 | 34
EDGE Óscar de Marcos | Iker Muniain | 31 | 45 | 34
EDGE Óscar de Marcos | Markel Susaeta | 42 | 45 | 45
EDGE Óscar de Marcos | Aritz Aduriz | 37 | 45 | 38
EDGE Óscar de Marcos | Jonás Ramalho | 5 | 45 | 8
EDGE Óscar de Marcos | Ander Iturraspe | 33 | 45 | 37
EDGE Óscar de Marcos | Fernando Amorebieta | 15 | 45 | 16
EDGE Óscar de Marcos | Iñigo Pérez | 8 | 45 | 8
EDGE Óscar de Marcos | Isma López | 10 | 45 | 12
EDGE Óscar de Marcos | Aymeric Laporte | 14 | 45 | 16
EDGE Óscar de Marcos | Ibai Gómez | 20 | 45 | 23
EDGE Óscar de Marcos | Fernando Llorente | 4 | 45 | 8
EDGE Óscar de Marcos | Raúl Fernández | 6 | 45 | 9
EDGE Óscar de Marcos | Gaizka Toquero | 4 | 45 | 7
EDGE Óscar de Marcos | Xabier Castillo | 6 | 45 | 8
EDGE Óscar de Marcos | Iñigo Ruiz de Galarreta | 1 | 45 | 1
EDGE Ander Herrera | Iker Muniain | 22 | 34 | 34
EDGE Ander Herrera | Markel Susaeta | 31 | 34 | 45
EDGE Ander Herrera | Aritz Aduriz | 27 | 34 | 38
EDGE Ander Herrera | Jonás Ramalho | 5 | 34 | 8
EDGE Ander Herrera | Ander Iturraspe | 22 | 34 | 37
EDGE Ander Herrera | Fernando Amorebieta | 10 | 34 | 16
EDGE Ander Herrera | Iñigo Pérez | 4 | 34 | 8
EDGE Ander Herrera | Isma López | 3 | 34 | 12
EDGE Ander Herrera | Aymeric Laporte | 13 | 34 | 16
EDGE Ander Herrera | Ibai Gómez | 15 | 34 | 23
EDGE Ander Herrera | Fernando Llorente | 6 | 34 | 8
EDGE Ander Herrera | Raúl Fernández | 4 | 34 | 9
EDGE Ander Herrera | Gaizka Toquero | 2 | 34 | 7
EDGE Ander Herrera | Xabier Castillo | 1 | 34 | 8
EDGE Iker Muniain | Markel Susaeta | 30 | 34 | 45
EDGE Iker Muniain | Aritz Aduriz | 27 | 34 | 38
EDGE Iker Muniain | Jonás Ramalho | 4 | 34 | 8
EDGE Iker Muniain | Ander Iturraspe | 24 | 34 | 37
EDGE Iker Muniain | Fernando Amorebieta | 13 | 34 | 16
EDGE Iker Muniain | Iñigo Pérez | 3 | 34 | 8
EDGE Iker Muniain | Isma López | 6 | 34 | 12
