# Graph for Java/GraphStream
# Nodes: 24
# Edges: 259

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Hamit Altıntop | Sami Khedira | 2 | 5 | 33
EDGE Hamit Altıntop | Nuri Şahin | 3 | 5 | 8
EDGE Hamit Altıntop | José Callejón | 2 | 5 | 11
EDGE Hamit Altıntop | Raúl Albiol | 1 | 5 | 8
EDGE Pepe | Xabi Alonso | 40 | 45 | 50
EDGE Pepe | Lassana Diarra | 16 | 45 | 21
EDGE Pepe | Cristiano Ronaldo | 43 | 45 | 54
EDGE Pepe | Gonzalo Higuaín | 19 | 45 | 28
EDGE Pepe | Karim Benzema | 31 | 45 | 40
EDGE Pepe | Marcelo | 29 | 45 | 39
EDGE Pepe | Esteban Granero | 6 | 45 | 10
EDGE Pepe | Mesut Özil | 36 | 45 | 44
EDGE Pepe | Kaká | 16 | 45 | 25
EDGE Pepe | Álvaro Arbeloa | 29 | 45 | 37
EDGE Pepe | Sami Khedira | 28 | 45 | 33
EDGE Pepe | Raúl Albiol | 2 | 45 | 8
EDGE Pepe | José Callejón | 7 | 45 | 11
EDGE Pepe | Nuri Şahin | 4 | 45 | 8
EDGE Pepe | Ángel Di María | 21 | 45 | 23
EDGE Pepe | Antonio Adán | 1 | 45 | 5
EDGE Pepe | Raphaël Varane | 3 | 45 | 13
EDGE Pepe | Jorge Casado | 1 | 45 | 1
EDGE Xabi Alonso | Lassana Diarra | 20 | 50 | 21
EDGE Xabi Alonso | Cristiano Ronaldo | 48 | 50 | 54
EDGE Xabi Alonso | Gonzalo Higuaín | 22 | 50 | 28
EDGE Xabi Alonso | Karim Benzema | 36 | 50 | 40
EDGE Xabi Alonso | Marcelo | 34 | 50 | 39
EDGE Xabi Alonso | Esteban Granero | 6 | 50 | 10
EDGE Xabi Alonso | Mesut Özil | 40 | 50 | 44
EDGE Xabi Alonso | Kaká | 21 | 50 | 25
EDGE Xabi Alonso | Álvaro Arbeloa | 34 | 50 | 37
EDGE Xabi Alonso | Sami Khedira | 28 | 50 | 33
EDGE Xabi Alonso | Raúl Albiol | 5 | 50 | 8
EDGE Xabi Alonso | José Callejón | 7 | 50 | 11
EDGE Xabi Alonso | Raphaël Varane | 8 | 50 | 13
EDGE Xabi Alonso | Ángel Di María | 21 | 50 | 23
EDGE Xabi Alonso | Antonio Adán | 1 | 50 | 5
EDGE Xabi Alonso | Nuri Şahin | 1 | 50 | 8
EDGE Lassana Diarra | Cristiano Ronaldo | 20 | 21 | 54
EDGE Lassana Diarra | Gonzalo Higuaín | 11 | 21 | 28
EDGE Lassana Diarra | Karim Benzema | 13 | 21 | 40
EDGE Lassana Diarra | Marcelo | 14 | 21 | 39
EDGE Lassana Diarra | Álvaro Arbeloa | 12 | 21 | 37
EDGE Lassana Diarra | Mesut Özil | 16 | 21 | 44
EDGE Lassana Diarra | Kaká | 8 | 21 | 25
EDGE Lassana Diarra | Sami Khedira | 8 | 21 | 33
EDGE Lassana Diarra | Raúl Albiol | 3 | 21 | 8
EDGE Lassana Diarra | José Callejón | 5 | 21 | 11
EDGE Lassana Diarra | Raphaël Varane | 4 | 21 | 13
EDGE Lassana Diarra | Ángel Di María | 7 | 21 | 23
EDGE Lassana Diarra | Antonio Adán | 1 | 21 | 5
EDGE Lassana Diarra | Nuri Şahin | 1 | 21 | 8
EDGE Cristiano Ronaldo | Gonzalo Higuaín | 26 | 54 | 28
EDGE Cristiano Ronaldo | Karim Benzema | 36 | 54 | 40
EDGE Cristiano Ronaldo | Marcelo | 38 | 54 | 39
EDGE Cristiano Ronaldo | Esteban Granero | 8 | 54 | 10
EDGE Cristiano Ronaldo | Mesut Özil | 42 | 54 | 44
EDGE Cristiano Ronaldo | Kaká | 23 | 54 | 25
EDGE Cristiano Ronaldo | Álvaro Arbeloa | 36 | 54 | 37
EDGE Cristiano Ronaldo | Sami Khedira | 31 | 54 | 33
EDGE Cristiano Ronaldo | Raúl Albiol | 7 | 54 | 8
EDGE Cristiano Ronaldo | José Callejón | 8 | 54 | 11
EDGE Cristiano Ronaldo | Nuri Şahin | 5 | 54 | 8
EDGE Cristiano Ronaldo | Raphaël Varane | 10 | 54 | 13
EDGE Cristiano Ronaldo | Ángel Di María | 22 | 54 | 23
EDGE Cristiano Ronaldo | Antonio Adán | 2 | 54 | 5
EDGE Gonzalo Higuaín | Karim Benzema | 10 | 28 | 40
EDGE Gonzalo Higuaín | Marcelo | 18 | 28 | 39
EDGE Gonzalo Higuaín | Álvaro Arbeloa | 21 | 28 | 37
EDGE Gonzalo Higuaín | Mesut Özil | 19 | 28 | 44
