# Graph for Java/GraphStream
# Nodes: 24
# Edges: 264

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marc-André ter Stegen | Ronald Araujo | 28 | 49 | 29
EDGE Jules Koundé | Iñaki Peña | 1 | 38 | 3
EDGE Jules Koundé | Pablo Torre | 1 | 38 | 4
EDGE Jules Koundé | Memphis Depay | 2 | 38 | 3
EDGE Sergio Busquets | Pedri | 22 | 38 | 30
EDGE Sergio Busquets | Frenkie de Jong | 25 | 38 | 36
EDGE Sergio Busquets | Gavi | 29 | 38 | 39
EDGE Sergio Busquets | Ousmane Dembélé | 21 | 38 | 25
EDGE Sergio Busquets | Ansu Fati | 8 | 38 | 14
EDGE Sergio Busquets | Marcos Alonso | 11 | 38 | 20
EDGE Sergio Busquets | Ferran Torres | 10 | 38 | 18
EDGE Sergio Busquets | Raphinha | 26 | 38 | 34
EDGE Sergio Busquets | Robert Lewandowski | 31 | 38 | 44
EDGE Sergio Busquets | Eric García | 11 | 38 | 18
EDGE Sergio Busquets | Sergi Roberto | 13 | 38 | 22
EDGE Sergio Busquets | Héctor Bellerín | 3 | 38 | 5
EDGE Sergio Busquets | Franck Kessié | 9 | 38 | 15
EDGE Sergio Busquets | Jordi Alba | 12 | 38 | 20
EDGE Sergio Busquets | Gerard Piqué | 5 | 38 | 6
EDGE Sergio Busquets | Iñaki Peña | 1 | 38 | 3
EDGE Sergio Busquets | Pablo Torre | 1 | 38 | 4
EDGE Sergio Busquets | Memphis Depay | 2 | 38 | 3
EDGE Pedri | Frenkie de Jong | 22 | 30 | 36
EDGE Pedri | Gavi | 23 | 30 | 39
EDGE Pedri | Ousmane Dembélé | 20 | 30 | 25
EDGE Pedri | Ansu Fati | 6 | 30 | 14
EDGE Pedri | Marcos Alonso | 11 | 30 | 20
EDGE Pedri | Ferran Torres | 6 | 30 | 18
EDGE Pedri | Raphinha | 18 | 30 | 34
EDGE Pedri | Robert Lewandowski | 28 | 30 | 44
EDGE Pedri | Eric García | 10 | 30 | 18
EDGE Pedri | Sergi Roberto | 9 | 30 | 22
EDGE Pedri | Héctor Bellerín | 1 | 30 | 5
EDGE Pedri | Franck Kessié | 4 | 30 | 15
EDGE Pedri | Gerard Piqué | 3 | 30 | 6
EDGE Pedri | Jordi Alba | 11 | 30 | 20
EDGE Pedri | Memphis Depay | 1 | 30 | 3
EDGE Frenkie de Jong | Gavi | 25 | 36 | 39
EDGE Frenkie de Jong | Ousmane Dembélé | 16 | 36 | 25
EDGE Frenkie de Jong | Ansu Fati | 9 | 36 | 14
EDGE Frenkie de Jong | Marcos Alonso | 12 | 36 | 20
EDGE Frenkie de Jong | Ferran Torres | 13 | 36 | 18
EDGE Frenkie de Jong | Raphinha | 21 | 36 | 34
EDGE Frenkie de Jong | Robert Lewandowski | 31 | 36 | 44
EDGE Frenkie de Jong | Eric García | 10 | 36 | 18
EDGE Frenkie de Jong | Sergi Roberto | 14 | 36 | 22
