# Graph for Java/GraphStream
# Nodes: 28
# Edges: 311

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Óscar de Marcos | Iñigo Córdoba | 10 | 27 | 25
EDGE Óscar de Marcos | Markel Susaeta | 21 | 27 | 35
EDGE Óscar de Marcos | Iñaki Williams | 19 | 27 | 41
EDGE Óscar de Marcos | Iago Herrerín | 10 | 27 | 23
EDGE Óscar de Marcos | Aymeric Laporte | 9 | 27 | 30
EDGE Óscar de Marcos | Xabi Etxeita | 11 | 27 | 19
EDGE Óscar de Marcos | Mikel Vesga | 5 | 27 | 18
EDGE Óscar de Marcos | Beñat Etxebarria | 13 | 27 | 20
EDGE Óscar de Marcos | Iker Muniain | 6 | 27 | 13
EDGE Óscar de Marcos | Aritz Aduriz | 16 | 27 | 34
EDGE Óscar de Marcos | Yeray Álvarez | 8 | 27 | 11
EDGE Óscar de Marcos | Enric Saborit | 8 | 27 | 20
EDGE Óscar de Marcos | Mikel Rico | 11 | 27 | 18
EDGE Óscar de Marcos | Iñigo Lekue | 12 | 27 | 34
EDGE Óscar de Marcos | Eneko Bóveda | 1 | 27 | 7
EDGE Óscar de Marcos | Sabin Merino | 1 | 27 | 6
EDGE Mikel San José | Ander Iturraspe | 11 | 32 | 25
EDGE Mikel San José | Raúl García | 24 | 32 | 40
EDGE Mikel San José | Iñigo Córdoba | 23 | 32 | 25
EDGE Mikel San José | Markel Susaeta | 19 | 32 | 35
EDGE Mikel San José | Iñaki Williams | 25 | 32 | 41
EDGE Mikel San José | Iago Herrerín | 10 | 32 | 23
EDGE Mikel San José | Aymeric Laporte | 19 | 32 | 30
EDGE Mikel San José | Xabi Etxeita | 7 | 32 | 19
EDGE Mikel San José | Iñigo Lekue | 20 | 32 | 34
EDGE Mikel San José | Beñat Etxebarria | 11 | 32 | 20
EDGE Mikel San José | Iker Muniain | 7 | 32 | 13
EDGE Mikel San José | Aritz Aduriz | 18 | 32 | 34
EDGE Mikel San José | Enric Saborit | 9 | 32 | 20
EDGE Mikel San José | Eneko Bóveda | 5 | 32 | 7
EDGE Mikel San José | Mikel Vesga | 10 | 32 | 18
EDGE Mikel San José | Yeray Álvarez | 3 | 32 | 11
EDGE Mikel San José | Mikel Rico | 3 | 32 | 18
EDGE Mikel San José | Ager Aketxe | 2 | 32 | 3
EDGE Mikel San José | Sabin Merino | 3 | 32 | 6
EDGE Ander Iturraspe | Raúl García | 21 | 25 | 40
EDGE Ander Iturraspe | Iñigo Córdoba | 12 | 25 | 25
EDGE Ander Iturraspe | Markel Susaeta | 18 | 25 | 35
EDGE Ander Iturraspe | Iñaki Williams | 23 | 25 | 41
EDGE Ander Iturraspe | Yeray Álvarez | 6 | 25 | 11
EDGE Ander Iturraspe | Enric Saborit | 9 | 25 | 20
EDGE Ander Iturraspe | Mikel Rico | 12 | 25 | 18
EDGE Ander Iturraspe | Aritz Aduriz | 13 | 25 | 34
EDGE Ander Iturraspe | Iago Herrerín | 11 | 25 | 23
EDGE Ander Iturraspe | Aymeric Laporte | 12 | 25 | 30
EDGE Ander Iturraspe | Iñigo Lekue | 17 | 25 | 34
EDGE Ander Iturraspe | Mikel Vesga | 4 | 25 | 18
EDGE Ander Iturraspe | Xabi Etxeita | 7 | 25 | 19
EDGE Ander Iturraspe | Eneko Bóveda | 3 | 25 | 7
EDGE Ander Iturraspe | Sabin Merino | 2 | 25 | 6
EDGE Ander Iturraspe | Beñat Etxebarria | 2 | 25 | 20
EDGE Ander Iturraspe | Andoni López | 1 | 25 | 1
EDGE Ander Iturraspe | Iker Muniain | 1 | 25 | 13
EDGE Raúl García | Iñigo Córdoba | 17 | 40 | 25
EDGE Raúl García | Markel Susaeta | 29 | 40 | 35
EDGE Raúl García | Iñaki Williams | 29 | 40 | 41
EDGE Raúl García | Iago Herrerín | 18 | 40 | 23
EDGE Raúl García | Aymeric Laporte | 23 | 40 | 30
EDGE Raúl García | Xabi Etxeita | 12 | 40 | 19
EDGE Raúl García | Mikel Vesga | 10 | 40 | 18
EDGE Raúl García | Beñat Etxebarria | 13 | 40 | 20
EDGE Raúl García | Iker Muniain | 7 | 40 | 13
EDGE Raúl García | Aritz Aduriz | 25 | 40 | 34
EDGE Raúl García | Yeray Álvarez | 6 | 40 | 11
EDGE Raúl García | Enric Saborit | 14 | 40 | 20
EDGE Raúl García | Mikel Rico | 13 | 40 | 18
EDGE Raúl García | Iñigo Lekue | 22 | 40 | 34
EDGE Raúl García | Eneko Bóveda | 6 | 40 | 7
EDGE Raúl García | Sabin Merino | 3 | 40 | 6
EDGE Raúl García | Andoni López | 1 | 40 | 1
EDGE Iñigo Córdoba | Markel Susaeta | 13 | 25 | 35
EDGE Iñigo Córdoba | Iñaki Williams | 20 | 25 | 41
EDGE Iñigo Córdoba | Iago Herrerín | 7 | 25 | 23
EDGE Iñigo Córdoba | Aymeric Laporte | 14 | 25 | 30
