# Graph for Java/GraphStream
# Nodes: 28
# Edges: 329

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jaume Costa | Andrei Rațiu | 1 | 26 | 1
EDGE Mario Gaspar | Santiago Cáseres | 19 | 39 | 26
EDGE Mario Gaspar | Manu Morlanes | 7 | 39 | 11
EDGE Mario Gaspar | Pablo Fornals | 29 | 39 | 38
EDGE Mario Gaspar | Manu Trigueros | 18 | 39 | 26
EDGE Mario Gaspar | Karl Toko Ekambi | 21 | 39 | 31
EDGE Mario Gaspar | Carlos Bacca | 14 | 39 | 19
EDGE Mario Gaspar | Sergio Asenjo | 25 | 39 | 32
EDGE Mario Gaspar | Samuel Chukwueze | 20 | 39 | 26
EDGE Mario Gaspar | Gerard Moreno | 24 | 39 | 32
EDGE Mario Gaspar | Víctor Ruiz | 27 | 39 | 33
EDGE Mario Gaspar | Alfonso Pedraza | 22 | 39 | 30
EDGE Mario Gaspar | Vicente Iborra | 17 | 39 | 22
EDGE Mario Gaspar | Santi Cazorla | 29 | 39 | 34
EDGE Mario Gaspar | Javi Fuego | 4 | 39 | 8
EDGE Mario Gaspar | Daniele Bonera | 4 | 39 | 10
EDGE Mario Gaspar | Miguel Llambrich | 2 | 39 | 11
EDGE Mario Gaspar | Dani Raba | 4 | 39 | 10
EDGE Mario Gaspar | Miguel Layún | 5 | 39 | 11
EDGE Mario Gaspar | Xavi Quintillà | 8 | 39 | 9
EDGE Mario Gaspar | Manuel Iturra | 2 | 39 | 2
EDGE Mario Gaspar | Nicola Sansone | 3 | 39 | 4
EDGE Santiago Cáseres | Manu Morlanes | 3 | 26 | 11
EDGE Santiago Cáseres | Pablo Fornals | 19 | 26 | 38
EDGE Santiago Cáseres | Manu Trigueros | 13 | 26 | 26
EDGE Santiago Cáseres | Karl Toko Ekambi | 13 | 26 | 31
EDGE Santiago Cáseres | Carlos Bacca | 8 | 26 | 19
EDGE Santiago Cáseres | Daniele Bonera | 4 | 26 | 10
EDGE Santiago Cáseres | Miguel Layún | 5 | 26 | 11
EDGE Santiago Cáseres | Alfonso Pedraza | 15 | 26 | 30
EDGE Santiago Cáseres | Dani Raba | 5 | 26 | 10
EDGE Santiago Cáseres | Sergio Asenjo | 16 | 26 | 32
EDGE Santiago Cáseres | Samuel Chukwueze | 13 | 26 | 26
EDGE Santiago Cáseres | Gerard Moreno | 19 | 26 | 32
EDGE Santiago Cáseres | Miguel Llambrich | 4 | 26 | 11
EDGE Santiago Cáseres | Víctor Ruiz | 16 | 26 | 33
EDGE Santiago Cáseres | Javi Fuego | 4 | 26 | 8
EDGE Santiago Cáseres | Vicente Iborra | 6 | 26 | 22
EDGE Santiago Cáseres | Santi Cazorla | 16 | 26 | 34
EDGE Santiago Cáseres | Xavi Quintillà | 2 | 26 | 9
EDGE Santiago Cáseres | Pepe Castaño | 1 | 26 | 1
