# Graph for Java/GraphStream
# Nodes: 30
# Edges: 315

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Antonio López | Florent Sinama-Pongolle | 5 | 47 | 6
EDGE Juan Valera | Paulo Assunção | 19 | 25 | 52
EDGE Juan Valera | Raúl García | 7 | 25 | 26
EDGE Juan Valera | José Manuel Jurado | 18 | 25 | 42
EDGE Juan Valera | José Antonio Reyes | 18 | 25 | 37
EDGE Juan Valera | Simão | 17 | 25 | 52
EDGE Juan Valera | Diego Forlán | 18 | 25 | 50
EDGE Juan Valera | Juanito | 9 | 25 | 23
EDGE Juan Valera | Cléber Santana | 4 | 25 | 16
EDGE Juan Valera | Maxi Rodríguez | 2 | 25 | 14
EDGE Juan Valera | Sergio Agüero | 16 | 25 | 45
EDGE Juan Valera | David de Gea | 15 | 25 | 34
EDGE Juan Valera | Tomas Ujfalusi | 13 | 25 | 49
EDGE Juan Valera | Tiago Mendes | 11 | 25 | 21
EDGE Juan Valera | Ibrahima Balde | 4 | 25 | 5
EDGE Juan Valera | Leandro Cabrera | 4 | 25 | 4
EDGE Juan Valera | Ignacio Camacho | 5 | 25 | 8
EDGE Juan Valera | Eduardo Salvio | 5 | 25 | 5
EDGE Juan Valera | Mariano Pernía | 1 | 25 | 2
EDGE Juan Valera | Joel Robles | 1 | 25 | 1
EDGE Juan Valera | Koke | 1 | 25 | 1
EDGE Juan Valera | Roberto | 1 | 25 | 4
EDGE Juan Valera | Florent Sinama-Pongolle | 1 | 25 | 6
EDGE Juan Valera | Cedrick | 1 | 25 | 1
EDGE Paulo Assunção | Raúl García | 22 | 52 | 26
EDGE Paulo Assunção | José Manuel Jurado | 31 | 52 | 42
EDGE Paulo Assunção | José Antonio Reyes | 32 | 52 | 37
EDGE Paulo Assunção | Simão | 45 | 52 | 52
EDGE Paulo Assunção | Diego Forlán | 43 | 52 | 50
EDGE Paulo Assunção | David de Gea | 27 | 52 | 34
EDGE Paulo Assunção | Tomas Ujfalusi | 42 | 52 | 49
EDGE Paulo Assunção | Sergio Agüero | 38 | 52 | 45
EDGE Paulo Assunção | Roberto | 4 | 52 | 4
EDGE Paulo Assunção | Juanito | 17 | 52 | 23
EDGE Paulo Assunção | Pablo Ibáñez | 10 | 52 | 11
EDGE Paulo Assunção | Cléber Santana | 12 | 52 | 16
EDGE Paulo Assunção | Maxi Rodríguez | 13 | 52 | 14
EDGE Paulo Assunção | Tiago Mendes | 13 | 52 | 21
EDGE Paulo Assunção | Ibrahima Balde | 2 | 52 | 5
EDGE Paulo Assunção | Leandro Cabrera | 1 | 52 | 4
EDGE Paulo Assunção | Eduardo Salvio | 1 | 52 | 5
EDGE Paulo Assunção | Florent Sinama-Pongolle | 6 | 52 | 6
EDGE Paulo Assunção | John Heitinga | 2 | 52 | 3
EDGE Raúl García | José Manuel Jurado | 13 | 26 | 42
EDGE Raúl García | José Antonio Reyes | 15 | 26 | 37
EDGE Raúl García | Simão | 23 | 26 | 52
EDGE Raúl García | Diego Forlán | 21 | 26 | 50
EDGE Raúl García | Juanito | 5 | 26 | 23
EDGE Raúl García | Pablo Ibáñez | 5 | 26 | 11
EDGE Raúl García | Tomas Ujfalusi | 20 | 26 | 49
EDGE Raúl García | Maxi Rodríguez | 7 | 26 | 14
EDGE Raúl García | Sergio Agüero | 19 | 26 | 45
EDGE Raúl García | David de Gea | 14 | 26 | 34
EDGE Raúl García | Ibrahima Balde | 2 | 26 | 5
EDGE Raúl García | John Heitinga | 3 | 26 | 3
EDGE Raúl García | Cléber Santana | 3 | 26 | 16
EDGE Raúl García | Florent Sinama-Pongolle | 2 | 26 | 6
EDGE Raúl García | Mariano Pernía | 2 | 26 | 2
EDGE Raúl García | Tiago Mendes | 3 | 26 | 21
EDGE José Manuel Jurado | José Antonio Reyes | 22 | 42 | 37
EDGE José Manuel Jurado | Simão | 30 | 42 | 52
EDGE José Manuel Jurado | Diego Forlán | 28 | 42 | 50
EDGE José Manuel Jurado | David de Gea | 21 | 42 | 34
EDGE José Manuel Jurado | Tomas Ujfalusi | 31 | 42 | 49
EDGE José Manuel Jurado | Sergio Agüero | 25 | 42 | 45
EDGE José Manuel Jurado | Roberto | 4 | 42 | 4
EDGE José Manuel Jurado | Juanito | 16 | 42 | 23
EDGE José Manuel Jurado | Pablo Ibáñez | 8 | 42 | 11
EDGE José Manuel Jurado | Cléber Santana | 12 | 42 | 16
EDGE José Manuel Jurado | Tiago Mendes | 14 | 42 | 21
EDGE José Manuel Jurado | Maxi Rodríguez | 8 | 42 | 14
EDGE José Manuel Jurado | Ibrahima Balde | 4 | 42 | 5
EDGE José Manuel Jurado | Leandro Cabrera | 4 | 42 | 4
EDGE José Manuel Jurado | Ignacio Camacho | 8 | 42 | 8
EDGE José Manuel Jurado | Eduardo Salvio | 5 | 42 | 5
EDGE José Manuel Jurado | Florent Sinama-Pongolle | 5 | 42 | 6
EDGE José Manuel Jurado | Mariano Pernía | 2 | 42 | 2
EDGE José Manuel Jurado | Joel Robles | 1 | 42 | 1
EDGE José Manuel Jurado | Koke | 1 | 42 | 1
EDGE José Manuel Jurado | Cedrick | 1 | 42 | 1
EDGE José Antonio Reyes | Simão | 29 | 37 | 52
EDGE José Antonio Reyes | Diego Forlán | 28 | 37 | 50
EDGE José Antonio Reyes | David de Gea | 25 | 37 | 34
EDGE José Antonio Reyes | Tomas Ujfalusi | 28 | 37 | 49
EDGE José Antonio Reyes | Sergio Agüero | 25 | 37 | 45
EDGE José Antonio Reyes | Tiago Mendes | 14 | 37 | 21
EDGE José Antonio Reyes | Ibrahima Balde | 2 | 37 | 5
EDGE José Antonio Reyes | Leandro Cabrera | 1 | 37 | 4
EDGE José Antonio Reyes | Ignacio Camacho | 3 | 37 | 8
EDGE José Antonio Reyes | Eduardo Salvio | 2 | 37 | 5
EDGE José Antonio Reyes | Pablo Ibáñez | 4 | 37 | 11
EDGE José Antonio Reyes | Maxi Rodríguez | 3 | 37 | 14
EDGE José Antonio Reyes | Florent Sinama-Pongolle | 3 | 37 | 6
EDGE José Antonio Reyes | Cléber Santana | 4 | 37 | 16
EDGE José Antonio Reyes | Juanito | 7 | 37 | 23
EDGE José Antonio Reyes | Mariano Pernía | 1 | 37 | 2
EDGE José Antonio Reyes | Cedrick | 1 | 37 | 1
EDGE Simão | Diego Forlán | 46 | 52 | 50
EDGE Simão | David de Gea | 28 | 52 | 34
EDGE Simão | Tomas Ujfalusi | 44 | 52 | 49
EDGE Simão | Sergio Agüero | 41 | 52 | 45
EDGE Simão | Roberto | 3 | 52 | 4
EDGE Simão | Juanito | 18 | 52 | 23
EDGE Simão | Pablo Ibáñez | 7 | 52 | 11
EDGE Simão | Cléber Santana | 13 | 52 | 16
EDGE Simão | Maxi Rodríguez | 10 | 52 | 14
EDGE Simão | Tiago Mendes | 15 | 52 | 21
EDGE Simão | John Heitinga | 3 | 52 | 3
EDGE Simão | Leandro Cabrera | 1 | 52 | 4
EDGE Simão | Eduardo Salvio | 1 | 52 | 5
EDGE Simão | Mariano Pernía | 2 | 52 | 2
EDGE Simão | Ibrahima Balde | 2 | 52 | 5
EDGE Simão | Ignacio Camacho | 3 | 52 | 8
EDGE Simão | Florent Sinama-Pongolle | 2 | 52 | 6
EDGE Diego Forlán | David de Gea | 28 | 50 | 34
EDGE Diego Forlán | Tomas Ujfalusi | 40 | 50 | 49
EDGE Diego Forlán | Sergio Agüero | 35 | 50 | 45
EDGE Diego Forlán | Roberto | 4 | 50 | 4
EDGE Diego Forlán | Juanito | 19 | 50 | 23
EDGE Diego Forlán | Pablo Ibáñez | 8 | 50 | 11
EDGE Diego Forlán | Cléber Santana | 13 | 50 | 16
EDGE Diego Forlán | Maxi Rodríguez | 10 | 50 | 14
EDGE Diego Forlán | Tiago Mendes | 14 | 50 | 21
EDGE Diego Forlán | Ibrahima Balde | 3 | 50 | 5
EDGE Diego Forlán | John Heitinga | 3 | 50 | 3
EDGE Diego Forlán | Leandro Cabrera | 1 | 50 | 4
EDGE Diego Forlán | Eduardo Salvio | 1 | 50 | 5
EDGE Diego Forlán | Mariano Pernía | 1 | 50 | 2
EDGE Diego Forlán | Florent Sinama-Pongolle | 2 | 50 | 6
EDGE Diego Forlán | Ignacio Camacho | 4 | 50 | 8
EDGE Diego Forlán | Cedrick | 1 | 50 | 1
EDGE David de Gea | Tomas Ujfalusi | 28 | 34 | 49
EDGE David de Gea | Sergio Agüero | 27 | 34 | 45
EDGE David de Gea | Tiago Mendes | 18 | 34 | 21
EDGE David de Gea | Ibrahima Balde | 2 | 34 | 5
EDGE David de Gea | Leandro Cabrera | 2 | 34 | 4
EDGE David de Gea | Ignacio Camacho | 5 | 34 | 8
EDGE David de Gea | Eduardo Salvio | 3 | 34 | 5
EDGE David de Gea | Juanito | 6 | 34 | 23
EDGE David de Gea | Mariano Pernía | 2 | 34 | 2
EDGE David de Gea | Cléber Santana | 2 | 34 | 16
EDGE David de Gea | Pablo Ibáñez | 1 | 34 | 11
EDGE David de Gea | Maxi Rodríguez | 1 | 34 | 14
EDGE David de Gea | Cedrick | 1 | 34 | 1
EDGE Tomas Ujfalusi | Sergio Agüero | 37 | 49 | 45
EDGE Tomas Ujfalusi | Roberto | 3 | 49 | 4
EDGE Tomas Ujfalusi | Juanito | 17 | 49 | 23
