# Graph for Java/GraphStream
# Nodes: 24
# Edges: 243

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Yannick Carrasco | Saúl Ñíguez | 7 | 31 | 15
EDGE Yannick Carrasco | Geoffrey Kondogbia | 6 | 31 | 13
EDGE Yannick Carrasco | Sergio Reguilón | 1 | 31 | 2
EDGE Nahuel Molina | Axel Witsel | 28 | 43 | 33
EDGE Nahuel Molina | Koke | 33 | 43 | 38
EDGE Nahuel Molina | Antoine Griezmann | 36 | 43 | 39
EDGE Nahuel Molina | Ángel Correa | 18 | 43 | 18
EDGE Nahuel Molina | Matheus Cunha | 2 | 43 | 2
EDGE Nahuel Molina | Mario Hermoso | 28 | 43 | 31
EDGE Nahuel Molina | Marcos Llorente | 22 | 43 | 28
EDGE Nahuel Molina | Thomas Lemar | 19 | 43 | 21
EDGE Nahuel Molina | Álvaro Morata | 27 | 43 | 31
EDGE Nahuel Molina | Ivo Grbic | 11 | 43 | 11
EDGE Nahuel Molina | Rodrigo De Paul | 24 | 43 | 27
EDGE Nahuel Molina | Felipe | 2 | 43 | 3
EDGE Nahuel Molina | Saúl Ñíguez | 13 | 43 | 15
EDGE Nahuel Molina | João Félix | 7 | 43 | 11
EDGE Nahuel Molina | Pablo Barrios | 6 | 43 | 8
EDGE Nahuel Molina | Geoffrey Kondogbia | 10 | 43 | 13
EDGE Nahuel Molina | Memphis Depay | 2 | 43 | 3
EDGE Nahuel Molina | Sergio Reguilón | 2 | 43 | 2
EDGE Axel Witsel | Koke | 25 | 33 | 38
EDGE Axel Witsel | Antoine Griezmann | 23 | 33 | 39
EDGE Axel Witsel | Ángel Correa | 13 | 33 | 18
EDGE Axel Witsel | Matheus Cunha | 2 | 33 | 2
EDGE Axel Witsel | Mario Hermoso | 19 | 33 | 31
EDGE Axel Witsel | Marcos Llorente | 17 | 33 | 28
EDGE Axel Witsel | Thomas Lemar | 14 | 33 | 21
EDGE Axel Witsel | Álvaro Morata | 22 | 33 | 31
EDGE Axel Witsel | Pablo Barrios | 2 | 33 | 8
EDGE Axel Witsel | Ivo Grbic | 11 | 33 | 11
EDGE Axel Witsel | Rodrigo De Paul | 17 | 33 | 27
EDGE Axel Witsel | Felipe | 3 | 33 | 3
EDGE Axel Witsel | Saúl Ñíguez | 13 | 33 | 15
EDGE Axel Witsel | João Félix | 9 | 33 | 11
EDGE Axel Witsel | Geoffrey Kondogbia | 8 | 33 | 13
EDGE Axel Witsel | Memphis Depay | 1 | 33 | 3
EDGE Axel Witsel | Sergio Reguilón | 2 | 33 | 2
EDGE Koke | Antoine Griezmann | 30 | 38 | 39
EDGE Koke | Ángel Correa | 12 | 38 | 18
EDGE Koke | Matheus Cunha | 2 | 38 | 2
EDGE Koke | Mario Hermoso | 26 | 38 | 31
EDGE Koke | Marcos Llorente | 24 | 38 | 28
EDGE Koke | Thomas Lemar | 18 | 38 | 21
EDGE Koke | Álvaro Morata | 22 | 38 | 31
