# Graph for Java/GraphStream
# Nodes: 22
# Edges: 228

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Tomas Ujfalusi | Ignacio Camacho | 3 | 40 | 7
EDGE Tomas Ujfalusi | Miguel de las Cuevas | 2 | 40 | 4
EDGE Paulo Assunção | Raúl García | 26 | 41 | 34
EDGE Paulo Assunção | Simão | 35 | 41 | 42
EDGE Paulo Assunção | Florent Sinama-Pongolle | 13 | 41 | 20
EDGE Paulo Assunção | Diego Forlán | 35 | 41 | 42
EDGE Paulo Assunção | Sergio Agüero | 34 | 41 | 42
EDGE Paulo Assunção | Antonio López | 18 | 41 | 26
EDGE Paulo Assunção | John Heitinga | 30 | 41 | 33
EDGE Paulo Assunção | Maxi Rodríguez | 31 | 41 | 38
EDGE Paulo Assunção | Maniche | 17 | 41 | 22
EDGE Paulo Assunção | Luis García | 5 | 41 | 10
EDGE Paulo Assunção | Éver Banega | 4 | 41 | 8
EDGE Paulo Assunção | Álvaro Domínguez | 2 | 41 | 5
EDGE Paulo Assunção | Grégory Coupet | 5 | 41 | 11
EDGE Paulo Assunção | Georgios Seitaridis | 9 | 41 | 16
EDGE Paulo Assunção | Ignacio Camacho | 1 | 41 | 7
EDGE Paulo Assunção | Miguel de las Cuevas | 2 | 41 | 4
EDGE Raúl García | Simão | 25 | 34 | 42
EDGE Raúl García | Florent Sinama-Pongolle | 14 | 34 | 20
EDGE Raúl García | Diego Forlán | 26 | 34 | 42
EDGE Raúl García | Sergio Agüero | 29 | 34 | 42
EDGE Raúl García | Antonio López | 20 | 34 | 26
EDGE Raúl García | John Heitinga | 21 | 34 | 33
EDGE Raúl García | Maxi Rodríguez | 25 | 34 | 38
EDGE Raúl García | Éver Banega | 5 | 34 | 8
EDGE Raúl García | Maniche | 7 | 34 | 22
EDGE Raúl García | Álvaro Domínguez | 1 | 34 | 5
EDGE Raúl García | Luis García | 5 | 34 | 10
EDGE Raúl García | Grégory Coupet | 7 | 34 | 11
EDGE Raúl García | Georgios Seitaridis | 6 | 34 | 16
EDGE Raúl García | Ignacio Camacho | 3 | 34 | 7
EDGE Raúl García | Miguel de las Cuevas | 3 | 34 | 4
EDGE Simão | Florent Sinama-Pongolle | 12 | 42 | 20
EDGE Simão | Diego Forlán | 36 | 42 | 42
EDGE Simão | Sergio Agüero | 35 | 42 | 42
EDGE Simão | Antonio López | 21 | 42 | 26
EDGE Simão | John Heitinga | 28 | 42 | 33
EDGE Simão | Maxi Rodríguez | 32 | 42 | 38
EDGE Simão | Maniche | 21 | 42 | 22
EDGE Simão | Luis García | 5 | 42 | 10
EDGE Simão | Álvaro Domínguez | 4 | 42 | 5
EDGE Simão | Grégory Coupet | 7 | 42 | 11
EDGE Simão | Georgios Seitaridis | 13 | 42 | 16
EDGE Simão | Ignacio Camacho | 5 | 42 | 7
EDGE Simão | Éver Banega | 3 | 42 | 8
EDGE Florent Sinama-Pongolle | Diego Forlán | 11 | 20 | 42
EDGE Florent Sinama-Pongolle | Sergio Agüero | 14 | 20 | 42
EDGE Florent Sinama-Pongolle | Grégory Coupet | 8 | 20 | 11
EDGE Florent Sinama-Pongolle | Álvaro Domínguez | 2 | 20 | 5
EDGE Florent Sinama-Pongolle | Georgios Seitaridis | 8 | 20 | 16
EDGE Florent Sinama-Pongolle | Ignacio Camacho | 4 | 20 | 7
EDGE Florent Sinama-Pongolle | Éver Banega | 5 | 20 | 8
EDGE Florent Sinama-Pongolle | Luis García | 8 | 20 | 10
EDGE Florent Sinama-Pongolle | Miguel de las Cuevas | 3 | 20 | 4
EDGE Florent Sinama-Pongolle | John Heitinga | 6 | 20 | 33
EDGE Florent Sinama-Pongolle | Antonio López | 13 | 20 | 26
EDGE Florent Sinama-Pongolle | Maxi Rodríguez | 10 | 20 | 38
EDGE Florent Sinama-Pongolle | Maniche | 5 | 20 | 22
EDGE Diego Forlán | Sergio Agüero | 33 | 42 | 42
