# Graph for Java/GraphStream
# Nodes: 28
# Edges: 322

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Alfonso Pedraza | Moi Gómez | 10 | 26 | 17
EDGE Alfonso Pedraza | Paco Alcácer | 9 | 26 | 13
EDGE Alfonso Pedraza | Giovani Lo Celso | 6 | 26 | 17
EDGE Alfonso Pedraza | Dani Raba | 2 | 26 | 3
EDGE Alfonso Pedraza | Nicolas Jackson | 1 | 26 | 1
EDGE Juan Foyth | Étienne Capoue | 31 | 34 | 40
EDGE Juan Foyth | Manu Trigueros | 19 | 34 | 34
EDGE Juan Foyth | Alberto Moreno | 15 | 34 | 19
EDGE Juan Foyth | Yéremy Pino | 17 | 34 | 28
EDGE Juan Foyth | Gerard Moreno | 18 | 34 | 21
EDGE Juan Foyth | Boulaye Dia | 12 | 34 | 17
EDGE Juan Foyth | Pau Torres | 29 | 34 | 47
EDGE Juan Foyth | Vicente Iborra | 3 | 34 | 14
EDGE Juan Foyth | Dani Parejo | 28 | 34 | 44
EDGE Juan Foyth | Rubén Peña | 2 | 34 | 3
EDGE Juan Foyth | Francis Coquelin | 11 | 34 | 14
EDGE Juan Foyth | Arnaut Danjuma | 17 | 34 | 27
EDGE Juan Foyth | Dani Raba | 1 | 34 | 3
EDGE Juan Foyth | Moi Gómez | 9 | 34 | 17
EDGE Juan Foyth | Samuel Chukwueze | 9 | 34 | 16
EDGE Juan Foyth | Paco Alcácer | 6 | 34 | 13
EDGE Juan Foyth | Giovani Lo Celso | 10 | 34 | 17
EDGE Juan Foyth | Sergio Asenjo | 1 | 34 | 8
EDGE Juan Foyth | Pervis Estupiñán | 17 | 34 | 25
EDGE Étienne Capoue | Manu Trigueros | 23 | 40 | 34
EDGE Étienne Capoue | Alberto Moreno | 15 | 40 | 19
EDGE Étienne Capoue | Yéremy Pino | 23 | 40 | 28
EDGE Étienne Capoue | Gerard Moreno | 18 | 40 | 21
EDGE Étienne Capoue | Boulaye Dia | 12 | 40 | 17
EDGE Étienne Capoue | Pau Torres | 36 | 40 | 47
EDGE Étienne Capoue | Francis Coquelin | 14 | 40 | 14
EDGE Étienne Capoue | Dani Parejo | 34 | 40 | 44
EDGE Étienne Capoue | Arnaut Danjuma | 23 | 40 | 27
EDGE Étienne Capoue | Mario Gaspar | 4 | 40 | 10
EDGE Étienne Capoue | Moi Gómez | 11 | 40 | 17
EDGE Étienne Capoue | Dani Raba | 1 | 40 | 3
EDGE Étienne Capoue | Nicolas Jackson | 1 | 40 | 1
EDGE Étienne Capoue | Pervis Estupiñán | 22 | 40 | 25
EDGE Étienne Capoue | Serge Aurier | 5 | 40 | 11
EDGE Étienne Capoue | Giovani Lo Celso | 13 | 40 | 17
EDGE Étienne Capoue | Samuel Chukwueze | 7 | 40 | 16
EDGE Étienne Capoue | Paco Alcácer | 8 | 40 | 13
EDGE Étienne Capoue | Sergio Asenjo | 2 | 40 | 8
EDGE Manu Trigueros | Alberto Moreno | 10 | 34 | 19
EDGE Manu Trigueros | Yéremy Pino | 20 | 34 | 28
EDGE Manu Trigueros | Gerard Moreno | 12 | 34 | 21
EDGE Manu Trigueros | Boulaye Dia | 11 | 34 | 17
EDGE Manu Trigueros | Pau Torres | 28 | 34 | 47
EDGE Manu Trigueros | Mario Gaspar | 7 | 34 | 10
EDGE Manu Trigueros | Vicente Iborra | 11 | 34 | 14
EDGE Manu Trigueros | Dani Parejo | 25 | 34 | 44
EDGE Manu Trigueros | Rubén Peña | 2 | 34 | 3
EDGE Manu Trigueros | Sergio Asenjo | 6 | 34 | 8
EDGE Manu Trigueros | Serge Aurier | 9 | 34 | 11
EDGE Manu Trigueros | Samuel Chukwueze | 8 | 34 | 16
EDGE Manu Trigueros | Moi Gómez | 13 | 34 | 17
EDGE Manu Trigueros | Paco Alcácer | 10 | 34 | 13
EDGE Manu Trigueros | Pervis Estupiñán | 12 | 34 | 25
EDGE Manu Trigueros | Giovani Lo Celso | 7 | 34 | 17
EDGE Manu Trigueros | Arnaut Danjuma | 15 | 34 | 27
EDGE Manu Trigueros | Dani Raba | 2 | 34 | 3
EDGE Manu Trigueros | Nicolas Jackson | 1 | 34 | 1
EDGE Manu Trigueros | Francis Coquelin | 3 | 34 | 14
EDGE Alberto Moreno | Yéremy Pino | 10 | 19 | 28
EDGE Alberto Moreno | Gerard Moreno | 10 | 19 | 21
EDGE Alberto Moreno | Boulaye Dia | 6 | 19 | 17
EDGE Alberto Moreno | Pau Torres | 15 | 19 | 47
EDGE Alberto Moreno | Vicente Iborra | 4 | 19 | 14
EDGE Alberto Moreno | Dani Parejo | 13 | 19 | 44
EDGE Alberto Moreno | Rubén Peña | 2 | 19 | 3
EDGE Alberto Moreno | Sergio Asenjo | 2 | 19 | 8
EDGE Alberto Moreno | Adrián Dela | 1 | 19 | 1
EDGE Alberto Moreno | Pervis Estupiñán | 7 | 19 | 25
EDGE Alberto Moreno | Mario Gaspar | 3 | 19 | 10
EDGE Alberto Moreno | Dani Raba | 2 | 19 | 3
EDGE Alberto Moreno | Samuel Chukwueze | 4 | 19 | 16
EDGE Alberto Moreno | Paco Alcácer | 4 | 19 | 13
EDGE Alberto Moreno | Moi Gómez | 6 | 19 | 17
EDGE Alberto Moreno | Nicolas Jackson | 1 | 19 | 1
EDGE Alberto Moreno | Giovani Lo Celso | 3 | 19 | 17
EDGE Alberto Moreno | Arnaut Danjuma | 7 | 19 | 27
EDGE Alberto Moreno | Francis Coquelin | 1 | 19 | 14
EDGE Alberto Moreno | Serge Aurier | 1 | 19 | 11
EDGE Yéremy Pino | Gerard Moreno | 11 | 28 | 21
EDGE Yéremy Pino | Boulaye Dia | 7 | 28 | 17
EDGE Yéremy Pino | Pau Torres | 24 | 28 | 47
EDGE Yéremy Pino | Mario Gaspar | 6 | 28 | 10
EDGE Yéremy Pino | Vicente Iborra | 5 | 28 | 14
EDGE Yéremy Pino | Dani Parejo | 24 | 28 | 44
EDGE Yéremy Pino | Francis Coquelin | 6 | 28 | 14
EDGE Yéremy Pino | Arnaut Danjuma | 18 | 28 | 27
EDGE Yéremy Pino | Sergio Asenjo | 5 | 28 | 8
EDGE Yéremy Pino | Serge Aurier | 6 | 28 | 11
EDGE Yéremy Pino | Samuel Chukwueze | 1 | 28 | 16
EDGE Yéremy Pino | Moi Gómez | 7 | 28 | 17
EDGE Yéremy Pino | Paco Alcácer | 6 | 28 | 13
EDGE Yéremy Pino | Pervis Estupiñán | 12 | 28 | 25
EDGE Yéremy Pino | Giovani Lo Celso | 5 | 28 | 17
EDGE Gerard Moreno | Boulaye Dia | 10 | 21 | 17
EDGE Gerard Moreno | Pau Torres | 18 | 21 | 47
EDGE Gerard Moreno | Mario Gaspar | 1 | 21 | 10
EDGE Gerard Moreno | Vicente Iborra | 3 | 21 | 14
EDGE Gerard Moreno | Dani Parejo | 16 | 21 | 44
EDGE Gerard Moreno | Francis Coquelin | 5 | 21 | 14
EDGE Gerard Moreno | Arnaut Danjuma | 7 | 21 | 27
EDGE Gerard Moreno | Samuel Chukwueze | 4 | 21 | 16
EDGE Gerard Moreno | Paco Alcácer | 2 | 21 | 13
EDGE Gerard Moreno | Sergio Asenjo | 1 | 21 | 8
EDGE Gerard Moreno | Pervis Estupiñán | 11 | 21 | 25
EDGE Gerard Moreno | Moi Gómez | 5 | 21 | 17
EDGE Gerard Moreno | Serge Aurier | 2 | 21 | 11
EDGE Gerard Moreno | Giovani Lo Celso | 3 | 21 | 17
EDGE Boulaye Dia | Pau Torres | 14 | 17 | 47
EDGE Boulaye Dia | Mario Gaspar | 3 | 17 | 10
EDGE Boulaye Dia | Vicente Iborra | 5 | 17 | 14
EDGE Boulaye Dia | Dani Parejo | 11 | 17 | 44
EDGE Boulaye Dia | Rubén Peña | 1 | 17 | 3
EDGE Boulaye Dia | Sergio Asenjo | 3 | 17 | 8
EDGE Boulaye Dia | Pervis Estupiñán | 8 | 17 | 25
EDGE Boulaye Dia | Francis Coquelin | 5 | 17 | 14
EDGE Boulaye Dia | Arnaut Danjuma | 2 | 17 | 27
EDGE Boulaye Dia | Moi Gómez | 5 | 17 | 17
EDGE Boulaye Dia | Samuel Chukwueze | 6 | 17 | 16
EDGE Boulaye Dia | Giovani Lo Celso | 4 | 17 | 17
EDGE Boulaye Dia | Serge Aurier | 2 | 17 | 11
EDGE Pau Torres | Mario Gaspar | 8 | 47 | 10
EDGE Pau Torres | Vicente Iborra | 11 | 47 | 14
EDGE Pau Torres | Dani Parejo | 43 | 47 | 44
EDGE Pau Torres | Rubén Peña | 1 | 47 | 3
EDGE Pau Torres | Francis Coquelin | 14 | 47 | 14
EDGE Pau Torres | Arnaut Danjuma | 26 | 47 | 27
EDGE Pau Torres | Sergio Asenjo | 6 | 47 | 8
EDGE Pau Torres | Pervis Estupiñán | 22 | 47 | 25
EDGE Pau Torres | Serge Aurier | 10 | 47 | 11
EDGE Pau Torres | Giovani Lo Celso | 16 | 47 | 17
EDGE Pau Torres | Samuel Chukwueze | 13 | 47 | 16
EDGE Pau Torres | Moi Gómez | 14 | 47 | 17
EDGE Pau Torres | Dani Raba | 1 | 47 | 3
EDGE Pau Torres | Nicolas Jackson | 1 | 47 | 1
EDGE Pau Torres | Paco Alcácer | 10 | 47 | 13
EDGE Mario Gaspar | Vicente Iborra | 6 | 10 | 14
EDGE Mario Gaspar | Dani Parejo | 7 | 10 | 44
EDGE Mario Gaspar | Sergio Asenjo | 5 | 10 | 8
EDGE Mario Gaspar | Serge Aurier | 1 | 10 | 11
EDGE Mario Gaspar | Samuel Chukwueze | 3 | 10 | 16
EDGE Mario Gaspar | Moi Gómez | 5 | 10 | 17
EDGE Mario Gaspar | Paco Alcácer | 5 | 10 | 13
EDGE Mario Gaspar | Adrián Dela | 1 | 10 | 1
EDGE Mario Gaspar | Pervis Estupiñán | 1 | 10 | 25
EDGE Mario Gaspar | Dani Raba | 2 | 10 | 3
EDGE Mario Gaspar | Rubén Peña | 1 | 10 | 3
EDGE Mario Gaspar | Nicolas Jackson | 1 | 10 | 1
