# Graph for Java/GraphStream
# Nodes: 28
# Edges: 286

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Javi Venta | Santi Cazorla | 7 | 18 | 20
EDGE Javi Venta | David Fuster | 8 | 18 | 14
EDGE Javi Venta | Gonzalo Rodríguez | 7 | 18 | 28
EDGE Javi Venta | Javier Matilla | 2 | 18 | 2
EDGE Javi Venta | Jonathan Pereira | 1 | 18 | 3
EDGE Javi Venta | Mateo Musacchio | 2 | 18 | 5
EDGE Javi Venta | Marco Ruben | 1 | 18 | 1
EDGE Javi Venta | Ariel Ibagaza | 1 | 18 | 19
EDGE Bruno Soriano | Marcos Senna | 25 | 40 | 33
EDGE Bruno Soriano | Robert Pirès | 16 | 40 | 20
EDGE Bruno Soriano | Damián Escudero | 5 | 40 | 8
EDGE Bruno Soriano | Giuseppe Rossi | 24 | 40 | 34
EDGE Bruno Soriano | Nilmar | 30 | 40 | 36
EDGE Bruno Soriano | Cani | 27 | 40 | 37
EDGE Bruno Soriano | Joseba Llorente | 22 | 40 | 28
EDGE Bruno Soriano | Gonzalo Rodríguez | 23 | 40 | 28
EDGE Bruno Soriano | Ángel López | 26 | 40 | 34
EDGE Bruno Soriano | Ariel Ibagaza | 13 | 40 | 19
EDGE Bruno Soriano | Mateo Musacchio | 5 | 40 | 5
EDGE Bruno Soriano | David Fuster | 12 | 40 | 14
EDGE Bruno Soriano | Santi Cazorla | 13 | 40 | 20
EDGE Bruno Soriano | Sebastián Eguren | 7 | 40 | 16
EDGE Bruno Soriano | Xavier Oliva | 3 | 40 | 3
EDGE Bruno Soriano | Kiko Olivas | 3 | 40 | 4
EDGE Bruno Soriano | Marcos Gullón | 1 | 40 | 1
EDGE Bruno Soriano | Jonathan Pereira | 3 | 40 | 3
EDGE Bruno Soriano | Javier Matilla | 1 | 40 | 2
EDGE Bruno Soriano | Marco Ruben | 1 | 40 | 1
EDGE Marcos Senna | Robert Pirès | 14 | 33 | 20
EDGE Marcos Senna | Damián Escudero | 4 | 33 | 8
