# Graph for Java/GraphStream
# Nodes: 28
# Edges: 300

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Lucas Vázquez | Luka Modrić | 26 | 31 | 43
EDGE Lucas Vázquez | Martin Ødegaard | 3 | 31 | 5
EDGE Lucas Vázquez | Rodrygo | 6 | 31 | 13
EDGE Lucas Vázquez | Éder Militão | 6 | 31 | 19
EDGE Lucas Vázquez | Eden Hazard | 8 | 31 | 11
EDGE Lucas Vázquez | Daniel Carvajal | 8 | 31 | 13
EDGE Lucas Vázquez | Andriy Lunin | 1 | 31 | 1
EDGE Lucas Vázquez | Víctor Chust | 1 | 31 | 2
EDGE Lucas Vázquez | Marcelo | 7 | 31 | 15
EDGE Lucas Vázquez | Álvaro Odriozola | 1 | 31 | 10
EDGE Lucas Vázquez | Isco | 7 | 31 | 10
EDGE Lucas Vázquez | Mariano Díaz | 6 | 31 | 7
EDGE Casemiro | Toni Kroos | 29 | 43 | 36
EDGE Casemiro | Federico Valverde | 18 | 43 | 21
EDGE Casemiro | Vinicius Junior | 25 | 43 | 31
EDGE Casemiro | Marco Asensio | 26 | 43 | 29
EDGE Casemiro | Karim Benzema | 37 | 43 | 43
EDGE Casemiro | Éder Militão | 18 | 43 | 19
EDGE Casemiro | Nacho Fernández | 25 | 43 | 30
EDGE Casemiro | Luka Modrić | 34 | 43 | 43
EDGE Casemiro | Daniel Carvajal | 9 | 43 | 13
EDGE Casemiro | Isco | 7 | 43 | 10
EDGE Casemiro | Rodrygo | 10 | 43 | 13
EDGE Casemiro | Álvaro Odriozola | 9 | 43 | 10
EDGE Casemiro | Eden Hazard | 9 | 43 | 11
EDGE Casemiro | Marvin Park | 2 | 43 | 2
EDGE Casemiro | Marcelo | 12 | 43 | 15
EDGE Casemiro | Andriy Lunin | 1 | 43 | 1
EDGE Casemiro | Víctor Chust | 1 | 43 | 2
EDGE Casemiro | Mariano Díaz | 4 | 43 | 7
EDGE Casemiro | Luka Jović | 3 | 43 | 3
EDGE Casemiro | Miguel Gutiérrez | 3 | 43 | 3
EDGE Casemiro | Antonio Blanco | 2 | 43 | 2
EDGE Casemiro | Martin Ødegaard | 1 | 43 | 5
EDGE Toni Kroos | Federico Valverde | 11 | 36 | 21
EDGE Toni Kroos | Vinicius Junior | 20 | 36 | 31
EDGE Toni Kroos | Marco Asensio | 19 | 36 | 29
EDGE Toni Kroos | Karim Benzema | 30 | 36 | 43
EDGE Toni Kroos | Nacho Fernández | 22 | 36 | 30
EDGE Toni Kroos | Luka Modrić | 31 | 36 | 43
EDGE Toni Kroos | Martin Ødegaard | 5 | 36 | 5
EDGE Toni Kroos | Rodrygo | 7 | 36 | 13
EDGE Toni Kroos | Éder Militão | 8 | 36 | 19
EDGE Toni Kroos | Álvaro Odriozola | 3 | 36 | 10
EDGE Toni Kroos | Eden Hazard | 9 | 36 | 11
EDGE Toni Kroos | Daniel Carvajal | 12 | 36 | 13
EDGE Toni Kroos | Marcelo | 5 | 36 | 15
EDGE Toni Kroos | Mariano Díaz | 5 | 36 | 7
EDGE Toni Kroos | Isco | 3 | 36 | 10
EDGE Toni Kroos | Luka Jović | 1 | 36 | 3
EDGE Federico Valverde | Vinicius Junior | 15 | 21 | 31
EDGE Federico Valverde | Marco Asensio | 9 | 21 | 29
EDGE Federico Valverde | Karim Benzema | 19 | 21 | 43
EDGE Federico Valverde | Nacho Fernández | 10 | 21 | 30
EDGE Federico Valverde | Luka Modrić | 14 | 21 | 43
EDGE Federico Valverde | Éder Militão | 9 | 21 | 19
EDGE Federico Valverde | Andriy Lunin | 1 | 21 | 1
