# Graph for Java/GraphStream
# Nodes: 27
# Edges: 270

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Mario Gaspar | Paco Alcácer | 8 | 24 | 11
EDGE Mario Gaspar | Alberto Moreno | 9 | 24 | 18
EDGE Mario Gaspar | Samuel Chukwueze | 16 | 24 | 22
EDGE Mario Gaspar | Carlos Bacca | 5 | 24 | 11
EDGE Mario Gaspar | Andrés Fernández | 4 | 24 | 9
EDGE Mario Gaspar | Javi Ontiveros | 3 | 24 | 12
EDGE Mario Gaspar | Soufiane Chakla | 2 | 24 | 3
EDGE Frank Anguissa | Manu Trigueros | 11 | 31 | 19
EDGE Frank Anguissa | Manu Morlanes | 4 | 31 | 7
EDGE Frank Anguissa | Moi Gómez | 19 | 31 | 28
EDGE Frank Anguissa | Gerard Moreno | 25 | 31 | 34
EDGE Frank Anguissa | Karl Toko Ekambi | 9 | 31 | 12
EDGE Frank Anguissa | Alberto Moreno | 11 | 31 | 18
EDGE Frank Anguissa | Rubén Peña | 16 | 31 | 24
EDGE Frank Anguissa | Vicente Iborra | 24 | 31 | 34
EDGE Frank Anguissa | Santi Cazorla | 22 | 31 | 32
EDGE Frank Anguissa | Javi Ontiveros | 8 | 31 | 12
EDGE Frank Anguissa | Samuel Chukwueze | 18 | 31 | 22
EDGE Frank Anguissa | Carlos Bacca | 7 | 31 | 11
EDGE Frank Anguissa | Andrés Fernández | 5 | 31 | 9
EDGE Frank Anguissa | Ramiro Funes Mori | 4 | 31 | 10
EDGE Frank Anguissa | Bruno Soriano | 1 | 31 | 1
EDGE Frank Anguissa | Soufiane Chakla | 2 | 31 | 3
EDGE Frank Anguissa | Paco Alcácer | 5 | 31 | 11
EDGE Frank Anguissa | Fer Niño | 1 | 31 | 1
EDGE Manu Trigueros | Manu Morlanes | 3 | 19 | 7
EDGE Manu Trigueros | Moi Gómez | 14 | 19 | 28
EDGE Manu Trigueros | Gerard Moreno | 12 | 19 | 34
EDGE Manu Trigueros | Karl Toko Ekambi | 2 | 19 | 12
EDGE Manu Trigueros | Ramiro Funes Mori | 6 | 19 | 10
EDGE Manu Trigueros | Rubén Peña | 9 | 19 | 24
EDGE Manu Trigueros | Vicente Iborra | 13 | 19 | 34
EDGE Manu Trigueros | Santi Cazorla | 11 | 19 | 32
EDGE Manu Trigueros | Paco Alcácer | 7 | 19 | 11
EDGE Manu Trigueros | Alberto Moreno | 9 | 19 | 18
EDGE Manu Trigueros | Samuel Chukwueze | 9 | 19 | 22
EDGE Manu Trigueros | Carlos Bacca | 6 | 19 | 11
EDGE Manu Trigueros | Andrés Fernández | 2 | 19 | 9
EDGE Manu Trigueros | Javi Ontiveros | 6 | 19 | 12
EDGE Manu Trigueros | Fer Niño | 1 | 19 | 1
EDGE Manu Morlanes | Moi Gómez | 5 | 7 | 28
EDGE Manu Morlanes | Gerard Moreno | 3 | 7 | 34
EDGE Manu Morlanes | Karl Toko Ekambi | 2 | 7 | 12
EDGE Manu Morlanes | Soufiane Chakla | 2 | 7 | 3
EDGE Manu Morlanes | Alberto Moreno | 2 | 7 | 18
EDGE Manu Morlanes | Rubén Peña | 5 | 7 | 24
EDGE Manu Morlanes | Vicente Iborra | 1 | 7 | 34
EDGE Manu Morlanes | Javi Ontiveros | 5 | 7 | 12
EDGE Manu Morlanes | Carlos Bacca | 5 | 7 | 11
EDGE Manu Morlanes | Andrés Fernández | 4 | 7 | 9
EDGE Manu Morlanes | Ramiro Funes Mori | 4 | 7 | 10
EDGE Manu Morlanes | Santi Cazorla | 2 | 7 | 32
EDGE Manu Morlanes | Samuel Chukwueze | 2 | 7 | 22
EDGE Manu Morlanes | Miguel Leal | 1 | 7 | 1
EDGE Manu Morlanes | Sergio Lozano | 1 | 7 | 1
EDGE Manu Morlanes | Leo Suárez | 1 | 7 | 1
EDGE Moi Gómez | Gerard Moreno | 24 | 28 | 34
EDGE Moi Gómez | Karl Toko Ekambi | 8 | 28 | 12
EDGE Moi Gómez | Ramiro Funes Mori | 6 | 28 | 10
EDGE Moi Gómez | Rubén Peña | 17 | 28 | 24
EDGE Moi Gómez | Vicente Iborra | 22 | 28 | 34
EDGE Moi Gómez | Santi Cazorla | 19 | 28 | 32
EDGE Moi Gómez | Paco Alcácer | 6 | 28 | 11
EDGE Moi Gómez | Soufiane Chakla | 2 | 28 | 3
EDGE Moi Gómez | Alberto Moreno | 10 | 28 | 18
EDGE Moi Gómez | Javi Ontiveros | 5 | 28 | 12
EDGE Moi Gómez | Carlos Bacca | 7 | 28 | 11
EDGE Moi Gómez | Andrés Fernández | 5 | 28 | 9
EDGE Moi Gómez | Samuel Chukwueze | 9 | 28 | 22
EDGE Moi Gómez | Fer Niño | 1 | 28 | 1
EDGE Gerard Moreno | Karl Toko Ekambi | 10 | 34 | 12
EDGE Gerard Moreno | Ramiro Funes Mori | 5 | 34 | 10
EDGE Gerard Moreno | Rubén Peña | 20 | 34 | 24
EDGE Gerard Moreno | Vicente Iborra | 31 | 34 | 34
EDGE Gerard Moreno | Santi Cazorla | 26 | 34 | 32
EDGE Gerard Moreno | Paco Alcácer | 10 | 34 | 11
EDGE Gerard Moreno | Soufiane Chakla | 3 | 34 | 3
EDGE Gerard Moreno | Alberto Moreno | 13 | 34 | 18
EDGE Gerard Moreno | Javi Ontiveros | 6 | 34 | 12
EDGE Gerard Moreno | Carlos Bacca | 4 | 34 | 11
EDGE Gerard Moreno | Samuel Chukwueze | 17 | 34 | 22
EDGE Gerard Moreno | Andrés Fernández | 5 | 34 | 9
EDGE Gerard Moreno | Bruno Soriano | 1 | 34 | 1
EDGE Karl Toko Ekambi | Rubén Peña | 7 | 12 | 24
EDGE Karl Toko Ekambi | Vicente Iborra | 10 | 12 | 34
EDGE Karl Toko Ekambi | Santi Cazorla | 9 | 12 | 32
EDGE Karl Toko Ekambi | Samuel Chukwueze | 5 | 12 | 22
EDGE Karl Toko Ekambi | Alberto Moreno | 3 | 12 | 18
EDGE Karl Toko Ekambi | Andrés Fernández | 3 | 12 | 9
EDGE Karl Toko Ekambi | Javi Ontiveros | 2 | 12 | 12
EDGE Karl Toko Ekambi | Ramiro Funes Mori | 2 | 12 | 10
EDGE Karl Toko Ekambi | Miguel Leal | 1 | 12 | 1
EDGE Karl Toko Ekambi | Sergio Lozano | 1 | 12 | 1
EDGE Karl Toko Ekambi | Leo Suárez | 1 | 12 | 1
EDGE Karl Toko Ekambi | Carlos Bacca | 1 | 12 | 11
EDGE Ramiro Funes Mori | Rubén Peña | 7 | 10 | 24
EDGE Ramiro Funes Mori | Vicente Iborra | 6 | 10 | 34
EDGE Ramiro Funes Mori | Santi Cazorla | 8 | 10 | 32
EDGE Ramiro Funes Mori | Paco Alcácer | 3 | 10 | 11
EDGE Ramiro Funes Mori | Andrés Fernández | 5 | 10 | 9
EDGE Ramiro Funes Mori | Alberto Moreno | 2 | 10 | 18
EDGE Ramiro Funes Mori | Javi Ontiveros | 5 | 10 | 12
EDGE Ramiro Funes Mori | Samuel Chukwueze | 4 | 10 | 22
EDGE Ramiro Funes Mori | Carlos Bacca | 5 | 10 | 11
EDGE Ramiro Funes Mori | Miguel Leal | 1 | 10 | 1
EDGE Ramiro Funes Mori | Sergio Lozano | 1 | 10 | 1
EDGE Ramiro Funes Mori | Leo Suárez | 1 | 10 | 1
EDGE Ramiro Funes Mori | Soufiane Chakla | 1 | 10 | 3
EDGE Rubén Peña | Vicente Iborra | 18 | 24 | 34
EDGE Rubén Peña | Santi Cazorla | 19 | 24 | 32
EDGE Rubén Peña | Paco Alcácer | 6 | 24 | 11
EDGE Rubén Peña | Soufiane Chakla | 2 | 24 | 3
EDGE Rubén Peña | Alberto Moreno | 9 | 24 | 18
EDGE Rubén Peña | Javi Ontiveros | 9 | 24 | 12
EDGE Rubén Peña | Carlos Bacca | 6 | 24 | 11
EDGE Rubén Peña | Samuel Chukwueze | 7 | 24 | 22
EDGE Rubén Peña | Andrés Fernández | 5 | 24 | 9
EDGE Rubén Peña | Bruno Soriano | 1 | 24 | 1
EDGE Rubén Peña | Miguel Leal | 1 | 24 | 1
EDGE Rubén Peña | Sergio Lozano | 1 | 24 | 1
EDGE Rubén Peña | Leo Suárez | 1 | 24 | 1
EDGE Rubén Peña | Fer Niño | 1 | 24 | 1
EDGE Vicente Iborra | Santi Cazorla | 28 | 34 | 32
EDGE Vicente Iborra | Paco Alcácer | 10 | 34 | 11
EDGE Vicente Iborra | Soufiane Chakla | 2 | 34 | 3
EDGE Vicente Iborra | Alberto Moreno | 14 | 34 | 18
EDGE Vicente Iborra | Javi Ontiveros | 6 | 34 | 12
EDGE Vicente Iborra | Carlos Bacca | 5 | 34 | 11
EDGE Vicente Iborra | Samuel Chukwueze | 19 | 34 | 22
EDGE Vicente Iborra | Andrés Fernández | 5 | 34 | 9
EDGE Vicente Iborra | Bruno Soriano | 1 | 34 | 1
EDGE Santi Cazorla | Paco Alcácer | 11 | 32 | 11
EDGE Santi Cazorla | Alberto Moreno | 16 | 32 | 18
EDGE Santi Cazorla | Javi Ontiveros | 7 | 32 | 12
EDGE Santi Cazorla | Samuel Chukwueze | 16 | 32 | 22
EDGE Santi Cazorla | Carlos Bacca | 7 | 32 | 11
EDGE Santi Cazorla | Andrés Fernández | 7 | 32 | 9
EDGE Santi Cazorla | Bruno Soriano | 1 | 32 | 1
EDGE Santi Cazorla | Fer Niño | 1 | 32 | 1
EDGE Santi Cazorla | Soufiane Chakla | 1 | 32 | 3
EDGE Paco Alcácer | Alberto Moreno | 7 | 11 | 18
EDGE Paco Alcácer | Javi Ontiveros | 1 | 11 | 12
EDGE Paco Alcácer | Samuel Chukwueze | 4 | 11 | 22
