# Graph for Java/GraphStream
# Nodes: 25
# Edges: 260

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Toni Kroos | Daniel Carvajal | 31 | 46 | 38
EDGE Toni Kroos | Mateo Kovacic | 14 | 46 | 23
EDGE Toni Kroos | Álvaro Morata | 14 | 46 | 19
EDGE Toni Kroos | Casemiro | 29 | 46 | 37
EDGE Toni Kroos | Luka Modrić | 29 | 46 | 37
EDGE Toni Kroos | Lucas Vázquez | 8 | 46 | 20
EDGE Toni Kroos | Kiko Casilla | 13 | 46 | 19
EDGE Toni Kroos | Isco | 19 | 46 | 27
EDGE Toni Kroos | Sergio Ramos | 33 | 46 | 44
EDGE Toni Kroos | Mariano Díaz | 1 | 46 | 2
EDGE James Rodríguez | Marco Asensio | 12 | 20 | 19
EDGE James Rodríguez | Cristiano Ronaldo | 10 | 20 | 46
EDGE James Rodríguez | Gareth Bale | 3 | 20 | 24
EDGE James Rodríguez | Karim Benzema | 10 | 20 | 38
EDGE James Rodríguez | Kiko Casilla | 8 | 20 | 19
EDGE James Rodríguez | Nacho Fernández | 13 | 20 | 33
EDGE James Rodríguez | Daniel Carvajal | 10 | 20 | 38
EDGE James Rodríguez | Isco | 6 | 20 | 27
EDGE James Rodríguez | Lucas Vázquez | 9 | 20 | 20
EDGE James Rodríguez | Álvaro Morata | 9 | 20 | 19
EDGE James Rodríguez | Sergio Ramos | 15 | 20 | 44
EDGE James Rodríguez | Luka Modrić | 10 | 20 | 37
EDGE James Rodríguez | Casemiro | 11 | 20 | 37
EDGE James Rodríguez | Mateo Kovacic | 7 | 20 | 23
EDGE James Rodríguez | Fábio Coentrão | 2 | 20 | 3
EDGE James Rodríguez | Álvaro Tejero | 1 | 20 | 1
EDGE James Rodríguez | Martin Ødegaard | 1 | 20 | 1
EDGE James Rodríguez | Mariano Díaz | 1 | 20 | 2
EDGE Marco Asensio | Cristiano Ronaldo | 5 | 19 | 46
EDGE Marco Asensio | Gareth Bale | 4 | 19 | 24
EDGE Marco Asensio | Karim Benzema | 4 | 19 | 38
EDGE Marco Asensio | Kiko Casilla | 14 | 19 | 19
EDGE Marco Asensio | Nacho Fernández | 13 | 19 | 33
EDGE Marco Asensio | Daniel Carvajal | 8 | 19 | 38
EDGE Marco Asensio | Isco | 7 | 19 | 27
EDGE Marco Asensio | Lucas Vázquez | 10 | 19 | 20
EDGE Marco Asensio | Álvaro Morata | 13 | 19 | 19
EDGE Marco Asensio | Mateo Kovacic | 8 | 19 | 23
EDGE Marco Asensio | Casemiro | 13 | 19 | 37
EDGE Marco Asensio | Luka Modrić | 6 | 19 | 37
EDGE Marco Asensio | Sergio Ramos | 14 | 19 | 44
EDGE Marco Asensio | Fábio Coentrão | 2 | 19 | 3
EDGE Marco Asensio | Álvaro Tejero | 1 | 19 | 1
EDGE Marco Asensio | Martin Ødegaard | 1 | 19 | 1
EDGE Marco Asensio | Mariano Díaz | 2 | 19 | 2
EDGE Cristiano Ronaldo | Gareth Bale | 22 | 46 | 24
EDGE Cristiano Ronaldo | Karim Benzema | 36 | 46 | 38
EDGE Cristiano Ronaldo | Sergio Ramos | 34 | 46 | 44
EDGE Cristiano Ronaldo | Daniel Carvajal | 31 | 46 | 38
EDGE Cristiano Ronaldo | Mateo Kovacic | 17 | 46 | 23
EDGE Cristiano Ronaldo | Luka Modrić | 33 | 46 | 37
EDGE Cristiano Ronaldo | Isco | 21 | 46 | 27
EDGE Cristiano Ronaldo | Lucas Vázquez | 11 | 46 | 20
EDGE Cristiano Ronaldo | Nacho Fernández | 23 | 46 | 33
EDGE Cristiano Ronaldo | Fábio Coentrão | 1 | 46 | 3
EDGE Cristiano Ronaldo | Álvaro Morata | 8 | 46 | 19
EDGE Cristiano Ronaldo | Casemiro | 26 | 46 | 37
EDGE Cristiano Ronaldo | Kiko Casilla | 8 | 46 | 19
EDGE Gareth Bale | Karim Benzema | 16 | 24 | 38
EDGE Gareth Bale | Sergio Ramos | 15 | 24 | 44
EDGE Gareth Bale | Daniel Carvajal | 19 | 24 | 38
EDGE Gareth Bale | Mateo Kovacic | 12 | 24 | 23
EDGE Gareth Bale | Luka Modrić | 14 | 24 | 37
EDGE Gareth Bale | Isco | 9 | 24 | 27
EDGE Gareth Bale | Lucas Vázquez | 2 | 24 | 20
EDGE Gareth Bale | Nacho Fernández | 10 | 24 | 33
EDGE Gareth Bale | Fábio Coentrão | 1 | 24 | 3
EDGE Gareth Bale | Álvaro Morata | 7 | 24 | 19
EDGE Gareth Bale | Kiko Casilla | 7 | 24 | 19
EDGE Gareth Bale | Casemiro | 9 | 24 | 37
EDGE Karim Benzema | Nacho Fernández | 16 | 38 | 33
EDGE Karim Benzema | Fábio Coentrão | 1 | 38 | 3
EDGE Karim Benzema | Daniel Carvajal | 25 | 38 | 38
EDGE Karim Benzema | Mateo Kovacic | 10 | 38 | 23
EDGE Karim Benzema | Álvaro Morata | 1 | 38 | 19
EDGE Karim Benzema | Casemiro | 27 | 38 | 37
EDGE Karim Benzema | Luka Modrić | 29 | 38 | 37
EDGE Karim Benzema | Lucas Vázquez | 9 | 38 | 20
EDGE Karim Benzema | Sergio Ramos | 29 | 38 | 44
EDGE Karim Benzema | Isco | 15 | 38 | 27
EDGE Karim Benzema | Kiko Casilla | 5 | 38 | 19
EDGE Sergio Ramos | Daniel Carvajal | 26 | 44 | 38
EDGE Sergio Ramos | Mateo Kovacic | 14 | 44 | 23
EDGE Sergio Ramos | Luka Modrić | 32 | 44 | 37
EDGE Sergio Ramos | Isco | 15 | 44 | 27
EDGE Sergio Ramos | Lucas Vázquez | 15 | 44 | 20
EDGE Sergio Ramos | Casemiro | 33 | 44 | 37
EDGE Sergio Ramos | Nacho Fernández | 22 | 44 | 33
EDGE Sergio Ramos | Álvaro Morata | 13 | 44 | 19
EDGE Sergio Ramos | Kiko Casilla | 13 | 44 | 19
EDGE Sergio Ramos | Fábio Coentrão | 2 | 44 | 3
EDGE Sergio Ramos | Mariano Díaz | 1 | 44 | 2
EDGE Daniel Carvajal | Mateo Kovacic | 12 | 38 | 23
EDGE Daniel Carvajal | Luka Modrić | 27 | 38 | 37
EDGE Daniel Carvajal | Isco | 17 | 38 | 27
EDGE Daniel Carvajal | Lucas Vázquez | 10 | 38 | 20
EDGE Daniel Carvajal | Nacho Fernández | 18 | 38 | 33
EDGE Daniel Carvajal | Fábio Coentrão | 1 | 38 | 3
EDGE Daniel Carvajal | Álvaro Morata | 11 | 38 | 19
EDGE Daniel Carvajal | Casemiro | 24 | 38 | 37
EDGE Daniel Carvajal | Kiko Casilla | 10 | 38 | 19
EDGE Daniel Carvajal | Álvaro Tejero | 1 | 38 | 1
