# Graph for Java/GraphStream
# Nodes: 34
# Edges: 371

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Antonio Rukavina | Mario González | 1 | 21 | 1
EDGE Antonio Rukavina | Darío Poveda | 1 | 21 | 1
EDGE Antonio Rukavina | Ander Cantero | 1 | 21 | 1
EDGE Antonio Rukavina | Leo Suárez | 1 | 21 | 1
EDGE Antonio Rukavina | Roger Martínez | 1 | 21 | 2
EDGE Antonio Rukavina | Andrés Fernández | 1 | 21 | 3
EDGE Mario Gaspar | Manu Trigueros | 31 | 37 | 41
EDGE Mario Gaspar | Ramiro Guerra | 2 | 37 | 5
EDGE Mario Gaspar | Denis Cheryshev | 11 | 37 | 12
EDGE Mario Gaspar | Samu Castillejo | 24 | 37 | 29
EDGE Mario Gaspar | Dani Raba | 14 | 37 | 18
EDGE Mario Gaspar | Enes Ünal | 11 | 37 | 17
EDGE Mario Gaspar | Sergio Asenjo | 22 | 37 | 26
EDGE Mario Gaspar | Víctor Ruiz | 26 | 37 | 34
EDGE Mario Gaspar | Jaume Costa | 26 | 37 | 35
EDGE Mario Gaspar | Javi Fuego | 5 | 37 | 7
EDGE Mario Gaspar | Pablo Fornals | 29 | 37 | 38
EDGE Mario Gaspar | Carlos Bacca | 27 | 37 | 37
EDGE Mario Gaspar | Roger Martínez | 2 | 37 | 2
EDGE Mario Gaspar | Rodri | 34 | 37 | 43
EDGE Mario Gaspar | Roberto Soriano | 11 | 37 | 17
EDGE Mario Gaspar | Cédric Bakambu | 14 | 37 | 18
EDGE Mario Gaspar | Daniele Bonera | 14 | 37 | 20
EDGE Mario Gaspar | Adrián Marín | 3 | 37 | 7
EDGE Mario Gaspar | Rúben Semedo | 3 | 37 | 4
EDGE Mario Gaspar | Andrés Fernández | 1 | 37 | 3
EDGE Mario Gaspar | Nicola Sansone | 5 | 37 | 8
EDGE Mario Gaspar | Chuca | 1 | 37 | 3
EDGE Manu Trigueros | Ramiro Guerra | 3 | 41 | 5
EDGE Manu Trigueros | Denis Cheryshev | 9 | 41 | 12
EDGE Manu Trigueros | Samu Castillejo | 26 | 41 | 29
EDGE Manu Trigueros | Dani Raba | 14 | 41 | 18
EDGE Manu Trigueros | Enes Ünal | 12 | 41 | 17
EDGE Manu Trigueros | Sergio Asenjo | 21 | 41 | 26
EDGE Manu Trigueros | Daniele Bonera | 16 | 41 | 20
EDGE Manu Trigueros | Jaume Costa | 31 | 41 | 35
EDGE Manu Trigueros | Rodri | 36 | 41 | 43
EDGE Manu Trigueros | Javi Fuego | 4 | 41 | 7
EDGE Manu Trigueros | Pablo Fornals | 33 | 41 | 38
EDGE Manu Trigueros | Carlos Bacca | 34 | 41 | 37
EDGE Manu Trigueros | Víctor Ruiz | 29 | 41 | 34
EDGE Manu Trigueros | Roger Martínez | 1 | 41 | 2
EDGE Manu Trigueros | Roberto Soriano | 11 | 41 | 17
EDGE Manu Trigueros | Cédric Bakambu | 16 | 41 | 18
EDGE Manu Trigueros | Andrés Fernández | 2 | 41 | 3
EDGE Manu Trigueros | Rúben Semedo | 4 | 41 | 4
EDGE Manu Trigueros | Alfred N'Diaye | 1 | 41 | 1
EDGE Manu Trigueros | Adrián Marín | 4 | 41 | 7
EDGE Manu Trigueros | Nicola Sansone | 5 | 41 | 8
EDGE Ramiro Guerra | Denis Cheryshev | 2 | 5 | 12
EDGE Ramiro Guerra | Samu Castillejo | 2 | 5 | 29
EDGE Ramiro Guerra | Dani Raba | 1 | 5 | 18
EDGE Ramiro Guerra | Enes Ünal | 3 | 5 | 17
EDGE Ramiro Guerra | Víctor Ruiz | 2 | 5 | 34
EDGE Ramiro Guerra | Daniele Bonera | 3 | 5 | 20
EDGE Ramiro Guerra | Jaume Costa | 2 | 5 | 35
EDGE Ramiro Guerra | Pablo Fornals | 2 | 5 | 38
EDGE Ramiro Guerra | Roberto Soriano | 4 | 5 | 17
EDGE Ramiro Guerra | Carlos Bacca | 2 | 5 | 37
EDGE Ramiro Guerra | Genís Montolio | 1 | 5 | 1
EDGE Ramiro Guerra | Adrián Marín | 2 | 5 | 7
EDGE Ramiro Guerra | Chuca | 1 | 5 | 3
EDGE Ramiro Guerra | Manu Morlanes | 1 | 5 | 1
EDGE Ramiro Guerra | Mario González | 1 | 5 | 1
EDGE Ramiro Guerra | Darío Poveda | 1 | 5 | 1
EDGE Ramiro Guerra | Ander Cantero | 1 | 5 | 1
EDGE Ramiro Guerra | Leo Suárez | 1 | 5 | 1
EDGE Ramiro Guerra | Cédric Bakambu | 1 | 5 | 18
