# Graph for Java/GraphStream
# Nodes: 28
# Edges: 310

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jules Koundé | Eric García | 13 | 50 | 19
EDGE Jules Koundé | Gavi | 15 | 50 | 20
EDGE Jules Koundé | Frenkie de Jong | 19 | 50 | 23
EDGE Jules Koundé | Dani Olmo | 17 | 50 | 22
EDGE Jules Koundé | Marc-André ter Stegen | 7 | 50 | 9
EDGE Jules Koundé | Sergi Domínguez | 2 | 50 | 2
EDGE Jules Koundé | Pablo Torre | 5 | 50 | 5
EDGE Jules Koundé | Ferran Torres | 15 | 50 | 19
EDGE Jules Koundé | Ansu Fati | 1 | 50 | 3
EDGE Jules Koundé | Pau Víctor | 1 | 50 | 2
EDGE Jules Koundé | Marc Bernal | 3 | 50 | 3
EDGE Marc Casadó | Pedri | 26 | 29 | 56
EDGE Marc Casadó | Fermín López | 7 | 29 | 19
EDGE Marc Casadó | Raphinha | 29 | 29 | 53
EDGE Marc Casadó | Lamine Yamal | 25 | 29 | 51
EDGE Marc Casadó | Robert Lewandowski | 27 | 29 | 47
EDGE Marc Casadó | Marc-André ter Stegen | 4 | 29 | 9
EDGE Marc Casadó | Dani Olmo | 11 | 29 | 22
EDGE Marc Casadó | Ferran Torres | 5 | 29 | 19
EDGE Marc Casadó | Eric García | 5 | 29 | 19
EDGE Marc Casadó | Héctor Fort | 2 | 29 | 5
EDGE Marc Casadó | Gerard Martín | 4 | 29 | 19
EDGE Marc Casadó | Frenkie de Jong | 3 | 29 | 23
EDGE Marc Casadó | Wojciech Szczesny | 8 | 29 | 30
EDGE Marc Casadó | Gavi | 7 | 29 | 20
EDGE Marc Casadó | Ansu Fati | 1 | 29 | 3
EDGE Marc Casadó | Ronald Araujo | 4 | 29 | 17
EDGE Marc Casadó | Marc Bernal | 1 | 29 | 3
EDGE Marc Casadó | Pablo Torre | 1 | 29 | 5
EDGE Pedri | Fermín López | 17 | 56 | 19
EDGE Pedri | Raphinha | 49 | 56 | 53
EDGE Pedri | Lamine Yamal | 47 | 56 | 51
EDGE Pedri | Robert Lewandowski | 44 | 56 | 47
EDGE Pedri | Wojciech Szczesny | 28 | 56 | 30
EDGE Pedri | Ronald Araujo | 16 | 56 | 17
EDGE Pedri | Gerard Martín | 18 | 56 | 19
EDGE Pedri | Eric García | 17 | 56 | 19
EDGE Pedri | Gavi | 19 | 56 | 20
EDGE Pedri | Frenkie de Jong | 21 | 56 | 23
EDGE Pedri | Dani Olmo | 22 | 56 | 22
EDGE Pedri | Marc-André ter Stegen | 8 | 56 | 9
EDGE Pedri | Sergi Domínguez | 2 | 56 | 2
EDGE Pedri | Pablo Torre | 4 | 56 | 5
EDGE Pedri | Ferran Torres | 17 | 56 | 19
EDGE Pedri | Héctor Fort | 5 | 56 | 5
EDGE Pedri | Ansu Fati | 3 | 56 | 3
EDGE Pedri | Pau Víctor | 2 | 56 | 2
EDGE Pedri | Marc Bernal | 2 | 56 | 3
