# Graph for Java/GraphStream
# Nodes: 25
# Edges: 262

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Marcos Llorente | Reinildo Mandava | 4 | 38 | 8
EDGE Marcos Llorente | Pablo Barrios | 13 | 38 | 20
EDGE Marcos Llorente | Gabriel Paulista | 4 | 38 | 5
EDGE Marcos Llorente | Rodrigo Riquelme | 13 | 38 | 20
EDGE Marcos Llorente | Memphis Depay | 6 | 38 | 11
EDGE Marcos Llorente | Arthur Vermeeren | 2 | 38 | 2
EDGE Marcos Llorente | Thomas Lemar | 3 | 38 | 3
EDGE Marcos Llorente | Yannick Carrasco | 2 | 38 | 3
EDGE Marcos Llorente | Çağlar Söyüncü | 1 | 38 | 2
EDGE Saúl Ñíguez | Koke | 17 | 23 | 45
EDGE Saúl Ñíguez | Nahuel Molina | 17 | 23 | 33
EDGE Saúl Ñíguez | Samuel Lino | 13 | 23 | 36
EDGE Saúl Ñíguez | Antoine Griezmann | 19 | 23 | 45
EDGE Saúl Ñíguez | Álvaro Morata | 15 | 23 | 33
EDGE Saúl Ñíguez | Stefan Savic | 11 | 23 | 26
EDGE Saúl Ñíguez | Reinildo Mandava | 3 | 23 | 8
EDGE Saúl Ñíguez | Pablo Barrios | 6 | 23 | 20
EDGE Saúl Ñíguez | Ángel Correa | 6 | 23 | 18
EDGE Saúl Ñíguez | Rodrigo De Paul | 13 | 23 | 38
EDGE Saúl Ñíguez | Rodrigo Riquelme | 8 | 23 | 20
EDGE Saúl Ñíguez | Gabriel Paulista | 1 | 23 | 5
EDGE Saúl Ñíguez | Memphis Depay | 4 | 23 | 11
EDGE Saúl Ñíguez | Arthur Vermeeren | 1 | 23 | 2
EDGE Saúl Ñíguez | Çağlar Söyüncü | 2 | 23 | 2
EDGE Saúl Ñíguez | César Azpilicueta | 4 | 23 | 18
EDGE Saúl Ñíguez | Javi Galán | 2 | 23 | 2
EDGE Saúl Ñíguez | Yannick Carrasco | 1 | 23 | 3
EDGE Koke | Nahuel Molina | 27 | 45 | 33
EDGE Koke | Samuel Lino | 33 | 45 | 36
EDGE Koke | Antoine Griezmann | 39 | 45 | 45
EDGE Koke | Álvaro Morata | 29 | 45 | 33
EDGE Koke | César Azpilicueta | 15 | 45 | 18
EDGE Koke | Stefan Savic | 19 | 45 | 26
EDGE Koke | Rodrigo De Paul | 34 | 45 | 38
EDGE Koke | Ángel Correa | 15 | 45 | 18
EDGE Koke | Reinildo Mandava | 6 | 45 | 8
EDGE Koke | Pablo Barrios | 14 | 45 | 20
EDGE Koke | Rodrigo Riquelme | 15 | 45 | 20
EDGE Koke | Gabriel Paulista | 5 | 45 | 5
EDGE Koke | Memphis Depay | 7 | 45 | 11
EDGE Koke | Arthur Vermeeren | 1 | 45 | 2
EDGE Koke | Javi Galán | 1 | 45 | 2
EDGE Koke | Thomas Lemar | 1 | 45 | 3
EDGE Koke | Yannick Carrasco | 1 | 45 | 3
EDGE Koke | Çağlar Söyüncü | 1 | 45 | 2
EDGE Nahuel Molina | Samuel Lino | 20 | 33 | 36
EDGE Nahuel Molina | Antoine Griezmann | 28 | 33 | 45
EDGE Nahuel Molina | Álvaro Morata | 21 | 33 | 33
EDGE Nahuel Molina | Stefan Savic | 17 | 33 | 26
EDGE Nahuel Molina | Reinildo Mandava | 6 | 33 | 8
EDGE Nahuel Molina | Pablo Barrios | 11 | 33 | 20
EDGE Nahuel Molina | Ángel Correa | 10 | 33 | 18
EDGE Nahuel Molina | Rodrigo De Paul | 24 | 33 | 38
EDGE Nahuel Molina | Rodrigo Riquelme | 12 | 33 | 20
EDGE Nahuel Molina | César Azpilicueta | 8 | 33 | 18
EDGE Nahuel Molina | Memphis Depay | 5 | 33 | 11
EDGE Nahuel Molina | Çağlar Söyüncü | 2 | 33 | 2
EDGE Nahuel Molina | Javi Galán | 2 | 33 | 2
EDGE Nahuel Molina | Yannick Carrasco | 1 | 33 | 3
EDGE Nahuel Molina | Gabriel Paulista | 1 | 33 | 5
EDGE Samuel Lino | Antoine Griezmann | 29 | 36 | 45
EDGE Samuel Lino | Álvaro Morata | 21 | 36 | 33
EDGE Samuel Lino | César Azpilicueta | 12 | 36 | 18
EDGE Samuel Lino | Stefan Savic | 16 | 36 | 26
EDGE Samuel Lino | Rodrigo De Paul | 26 | 36 | 38
