# Graph for Java/GraphStream
# Nodes: 27
# Edges: 289

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Daniel Carvajal | Gareth Bale | 20 | 40 | 26
EDGE Daniel Carvajal | Cristiano Ronaldo | 28 | 40 | 42
EDGE Daniel Carvajal | Toni Kroos | 28 | 40 | 40
EDGE Daniel Carvajal | Marcos Llorente | 5 | 40 | 11
EDGE Daniel Carvajal | Borja Mayoral | 5 | 40 | 9
EDGE Daniel Carvajal | Jesús Vallejo | 6 | 40 | 12
EDGE Daniel Carvajal | Dani Ceballos | 4 | 40 | 9
EDGE Daniel Carvajal | Luca Zidane | 1 | 40 | 1
EDGE Casemiro | Mateo Kovacic | 12 | 45 | 21
EDGE Casemiro | Isco | 34 | 45 | 36
EDGE Casemiro | Marco Asensio | 12 | 45 | 28
EDGE Casemiro | Lucas Vázquez | 11 | 45 | 27
EDGE Casemiro | Karim Benzema | 29 | 45 | 39
EDGE Casemiro | Keylor Navas | 35 | 45 | 44
EDGE Casemiro | Nacho Fernández | 23 | 45 | 34
EDGE Casemiro | Marcelo | 32 | 45 | 42
EDGE Casemiro | Luka Modrić | 32 | 45 | 38
EDGE Casemiro | Gareth Bale | 23 | 45 | 26
EDGE Casemiro | Cristiano Ronaldo | 34 | 45 | 42
EDGE Casemiro | Toni Kroos | 30 | 45 | 40
EDGE Casemiro | Marcos Llorente | 2 | 45 | 11
EDGE Casemiro | Dani Ceballos | 4 | 45 | 9
EDGE Casemiro | Borja Mayoral | 4 | 45 | 9
EDGE Casemiro | Jesús Vallejo | 7 | 45 | 12
EDGE Casemiro | Achraf Hakimi | 8 | 45 | 14
EDGE Casemiro | Luca Zidane | 1 | 45 | 1
EDGE Mateo Kovacic | Isco | 8 | 21 | 36
EDGE Mateo Kovacic | Marco Asensio | 13 | 21 | 28
EDGE Mateo Kovacic | Lucas Vázquez | 15 | 21 | 27
EDGE Mateo Kovacic | Karim Benzema | 13 | 21 | 39
EDGE Mateo Kovacic | Keylor Navas | 15 | 21 | 44
EDGE Mateo Kovacic | Nacho Fernández | 11 | 21 | 34
EDGE Mateo Kovacic | Marcelo | 10 | 21 | 42
EDGE Mateo Kovacic | Luka Modrić | 5 | 21 | 38
EDGE Mateo Kovacic | Gareth Bale | 7 | 21 | 26
EDGE Mateo Kovacic | Cristiano Ronaldo | 10 | 21 | 42
EDGE Mateo Kovacic | Álvaro Tejero | 1 | 21 | 2
EDGE Mateo Kovacic | Achraf Hakimi | 5 | 21 | 14
EDGE Mateo Kovacic | Marcos Llorente | 6 | 21 | 11
EDGE Mateo Kovacic | Dani Ceballos | 5 | 21 | 9
EDGE Mateo Kovacic | Óscar Rodríguez | 1 | 21 | 1
EDGE Mateo Kovacic | Franchu | 1 | 21 | 1
EDGE Mateo Kovacic | Borja Mayoral | 5 | 21 | 9
EDGE Mateo Kovacic | Jesús Vallejo | 5 | 21 | 12
EDGE Mateo Kovacic | Toni Kroos | 6 | 21 | 40
EDGE Isco | Marco Asensio | 10 | 36 | 28
EDGE Isco | Lucas Vázquez | 8 | 36 | 27
EDGE Isco | Karim Benzema | 21 | 36 | 39
EDGE Isco | Keylor Navas | 27 | 36 | 44
EDGE Isco | Nacho Fernández | 18 | 36 | 34
EDGE Isco | Marcelo | 25 | 36 | 42
EDGE Isco | Luka Modrić | 26 | 36 | 38
EDGE Isco | Gareth Bale | 16 | 36 | 26
EDGE Isco | Cristiano Ronaldo | 26 | 36 | 42
EDGE Isco | Toni Kroos | 25 | 36 | 40
EDGE Isco | Achraf Hakimi | 9 | 36 | 14
EDGE Isco | Marcos Llorente | 3 | 36 | 11
EDGE Isco | Dani Ceballos | 2 | 36 | 9
EDGE Isco | Borja Mayoral | 2 | 36 | 9
EDGE Isco | Jesús Vallejo | 4 | 36 | 12
EDGE Isco | Luca Zidane | 1 | 36 | 1
EDGE Marco Asensio | Lucas Vázquez | 23 | 28 | 27
EDGE Marco Asensio | Karim Benzema | 17 | 28 | 39
EDGE Marco Asensio | Keylor Navas | 16 | 28 | 44
EDGE Marco Asensio | Marcelo | 14 | 28 | 42
EDGE Marco Asensio | Cristiano Ronaldo | 14 | 28 | 42
EDGE Marco Asensio | Toni Kroos | 13 | 28 | 40
EDGE Marco Asensio | Luka Modrić | 11 | 28 | 38
EDGE Marco Asensio | Nacho Fernández | 18 | 28 | 34
EDGE Marco Asensio | Achraf Hakimi | 6 | 28 | 14
EDGE Marco Asensio | Marcos Llorente | 8 | 28 | 11
