# Graph for Java/GraphStream
# Nodes: 22
# Edges: 211

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Saúl Ñíguez | Thomas Partey | 7 | 47 | 9
EDGE Saúl Ñíguez | Nico Gaitán | 17 | 47 | 19
EDGE Saúl Ñíguez | José María Giménez | 17 | 47 | 23
EDGE Saúl Ñíguez | Fernando Torres | 18 | 47 | 21
EDGE Saúl Ñíguez | Kévin Gameiro | 20 | 47 | 27
EDGE Saúl Ñíguez | Lucas Hernández | 16 | 47 | 20
EDGE Saúl Ñíguez | Tiago Mendes | 2 | 47 | 6
EDGE Saúl Ñíguez | Ángel Correa | 8 | 47 | 17
EDGE Saúl Ñíguez | Augusto Fernández | 1 | 47 | 2
EDGE Saúl Ñíguez | Caio Henrique | 1 | 47 | 1
EDGE Gabi | Juanfran Torres | 26 | 47 | 33
EDGE Gabi | Koke | 45 | 47 | 53
EDGE Gabi | Yannick Carrasco | 33 | 47 | 42
EDGE Gabi | Antoine Griezmann | 45 | 47 | 53
EDGE Gabi | Jan Oblak | 36 | 47 | 41
EDGE Gabi | José María Giménez | 15 | 47 | 23
EDGE Gabi | Fernando Torres | 18 | 47 | 21
EDGE Gabi | Kévin Gameiro | 25 | 47 | 27
EDGE Gabi | Lucas Hernández | 15 | 47 | 20
EDGE Gabi | Thomas Partey | 4 | 47 | 9
EDGE Gabi | Tiago Mendes | 6 | 47 | 6
EDGE Gabi | Ángel Correa | 10 | 47 | 17
EDGE Gabi | Nico Gaitán | 9 | 47 | 19
EDGE Gabi | Augusto Fernández | 1 | 47 | 2
EDGE Juanfran Torres | Koke | 29 | 33 | 53
EDGE Juanfran Torres | Yannick Carrasco | 22 | 33 | 42
EDGE Juanfran Torres | Antoine Griezmann | 29 | 33 | 53
EDGE Juanfran Torres | Jan Oblak | 24 | 33 | 41
EDGE Juanfran Torres | Thomas Partey | 4 | 33 | 9
EDGE Juanfran Torres | Nico Gaitán | 11 | 33 | 19
EDGE Juanfran Torres | Kévin Gameiro | 14 | 33 | 27
EDGE Juanfran Torres | Fernando Torres | 14 | 33 | 21
EDGE Juanfran Torres | Ángel Correa | 12 | 33 | 17
EDGE Juanfran Torres | Lucas Hernández | 9 | 33 | 20
EDGE Juanfran Torres | José María Giménez | 10 | 33 | 23
EDGE Juanfran Torres | Tiago Mendes | 4 | 33 | 6
EDGE Juanfran Torres | Augusto Fernández | 2 | 33 | 2
EDGE Koke | Yannick Carrasco | 39 | 53 | 42
EDGE Koke | Antoine Griezmann | 52 | 53 | 53
EDGE Koke | Jan Oblak | 39 | 53 | 41
