# Graph for Java/GraphStream
# Nodes: 28
# Edges: 287

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Miguel Torres | Diego López | 4 | 23 | 5
EDGE Miguel Torres | Francisco Pavón | 1 | 23 | 2
EDGE Miguel Torres | Álvaro Mejía | 2 | 23 | 7
EDGE Miguel Torres | Raúl Bravo | 3 | 23 | 6
EDGE Miguel Torres | Javi García | 1 | 23 | 2
EDGE Miguel Torres | Antonio Cassano | 3 | 23 | 8
EDGE Miguel Torres | Ronaldo | 2 | 23 | 6
EDGE Miguel Torres | Cicinho | 2 | 23 | 6
EDGE Miguel Torres | Emerson | 7 | 23 | 33
EDGE Miguel Torres | Míchel Salgado | 7 | 23 | 16
EDGE Miguel Torres | Rubén de la Red | 1 | 23 | 1
EDGE Miguel Torres | Miguel Ángel Nieto | 1 | 23 | 1
EDGE Mahamadou Diarra | Fernando Gago | 11 | 41 | 17
EDGE Mahamadou Diarra | David Beckham | 13 | 41 | 19
EDGE Mahamadou Diarra | Robinho | 22 | 41 | 25
EDGE Mahamadou Diarra | Raúl | 32 | 41 | 39
EDGE Mahamadou Diarra | Ruud van Nistelrooy | 38 | 41 | 46
EDGE Mahamadou Diarra | Míchel Salgado | 11 | 41 | 16
EDGE Mahamadou Diarra | Emerson | 26 | 41 | 33
EDGE Mahamadou Diarra | José Antonio Reyes | 15 | 41 | 19
EDGE Mahamadou Diarra | Antonio Cassano | 8 | 41 | 8
EDGE Mahamadou Diarra | Iván Helguera | 22 | 41 | 28
EDGE Mahamadou Diarra | Guti | 18 | 41 | 26
EDGE Mahamadou Diarra | Diego López | 5 | 41 | 5
EDGE Mahamadou Diarra | Francisco Pavón | 2 | 41 | 2
EDGE Mahamadou Diarra | Álvaro Mejía | 7 | 41 | 7
EDGE Mahamadou Diarra | Raúl Bravo | 6 | 41 | 6
EDGE Mahamadou Diarra | Javi García | 2 | 41 | 2
EDGE Mahamadou Diarra | Ronaldo | 4 | 41 | 6
EDGE Mahamadou Diarra | Gonzalo Higuaín | 14 | 41 | 17
EDGE Mahamadou Diarra | Cicinho | 6 | 41 | 6
EDGE Mahamadou Diarra | Rubén de la Red | 1 | 41 | 1
EDGE Mahamadou Diarra | Miguel Ángel Nieto | 1 | 41 | 1
EDGE Mahamadou Diarra | Marcelo | 1 | 41 | 1
EDGE Fernando Gago | David Beckham | 6 | 17 | 19
EDGE Fernando Gago | Robinho | 9 | 17 | 25
EDGE Fernando Gago | Raúl | 11 | 17 | 39
EDGE Fernando Gago | Ruud van Nistelrooy | 16 | 17 | 46
EDGE Fernando Gago | Iván Helguera | 14 | 17 | 28
EDGE Fernando Gago | Guti | 7 | 17 | 26
EDGE Fernando Gago | Gonzalo Higuaín | 12 | 17 | 17
EDGE Fernando Gago | José Antonio Reyes | 8 | 17 | 19
EDGE Fernando Gago | Raúl Bravo | 2 | 17 | 6
EDGE Fernando Gago | Míchel Salgado | 5 | 17 | 16
EDGE Fernando Gago | Emerson | 5 | 17 | 33
EDGE Fernando Gago | Diego López | 2 | 17 | 5
EDGE David Beckham | Robinho | 8 | 19 | 25
EDGE David Beckham | Raúl | 13 | 19 | 39
EDGE David Beckham | Ruud van Nistelrooy | 17 | 19 | 46
EDGE David Beckham | Míchel Salgado | 6 | 19 | 16
EDGE David Beckham | Emerson | 12 | 19 | 33
EDGE David Beckham | Antonio Cassano | 6 | 19 | 8
EDGE David Beckham | Iván Helguera | 6 | 19 | 28
EDGE David Beckham | Guti | 6 | 19 | 26
EDGE David Beckham | Gonzalo Higuaín | 2 | 19 | 17
EDGE David Beckham | José Antonio Reyes | 3 | 19 | 19
EDGE David Beckham | Diego López | 3 | 19 | 5
EDGE David Beckham | Francisco Pavón | 2 | 19 | 2
EDGE David Beckham | Álvaro Mejía | 4 | 19 | 7
EDGE David Beckham | Raúl Bravo | 4 | 19 | 6
EDGE David Beckham | Javi García | 2 | 19 | 2
EDGE David Beckham | Ronaldo | 5 | 19 | 6
EDGE David Beckham | Cicinho | 3 | 19 | 6
EDGE David Beckham | Rubén de la Red | 1 | 19 | 1
EDGE David Beckham | Miguel Ángel Nieto | 1 | 19 | 1
EDGE Robinho | Raúl | 19 | 25 | 39
EDGE Robinho | Ruud van Nistelrooy | 24 | 25 | 46
EDGE Robinho | Míchel Salgado | 5 | 25 | 16
EDGE Robinho | Emerson | 17 | 25 | 33
EDGE Robinho | José Antonio Reyes | 8 | 25 | 19
EDGE Robinho | Iván Helguera | 16 | 25 | 28
EDGE Robinho | Gonzalo Higuaín | 8 | 25 | 17
EDGE Robinho | Guti | 9 | 25 | 26
EDGE Robinho | Cicinho | 2 | 25 | 6
EDGE Robinho | Ronaldo | 1 | 25 | 6
EDGE Robinho | Marcelo | 1 | 25 | 1
EDGE Robinho | Diego López | 2 | 25 | 5
EDGE Robinho | Raúl Bravo | 1 | 25 | 6
EDGE Robinho | Álvaro Mejía | 1 | 25 | 7
EDGE Raúl | Ruud van Nistelrooy | 37 | 39 | 46
EDGE Raúl | Míchel Salgado | 15 | 39 | 16
EDGE Raúl | Emerson | 30 | 39 | 33
EDGE Raúl | José Antonio Reyes | 11 | 39 | 19
EDGE Raúl | Antonio Cassano | 4 | 39 | 8
EDGE Raúl | Iván Helguera | 21 | 39 | 28
EDGE Raúl | Guti | 23 | 39 | 26
EDGE Raúl | Gonzalo Higuaín | 12 | 39 | 17
EDGE Raúl | Raúl Bravo | 2 | 39 | 6
EDGE Raúl | Cicinho | 5 | 39 | 6
EDGE Raúl | Ronaldo | 3 | 39 | 6
