# Graph for Java/GraphStream
# Nodes: 25
# Edges: 273

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergio Ramos | Gabriel Heinze | 17 | 45 | 23
EDGE Sergio Ramos | Javier Saviola | 6 | 45 | 7
EDGE Sergio Ramos | Christoph Metzelder | 10 | 45 | 11
EDGE Sergio Ramos | Jerzy Dudek | 4 | 45 | 5
EDGE Sergio Ramos | Gonzalo Higuaín | 10 | 45 | 12
EDGE Sergio Ramos | Javier Balboa | 2 | 45 | 2
EDGE Sergio Ramos | Roberto Soldado | 1 | 45 | 2
EDGE Sergio Ramos | Jordi Codina | 1 | 45 | 1
EDGE Mahamadou Diarra | Royston Drenthe | 6 | 33 | 10
EDGE Mahamadou Diarra | Wesley Sneijder | 23 | 33 | 34
EDGE Mahamadou Diarra | Raúl | 32 | 33 | 47
EDGE Mahamadou Diarra | Robinho | 24 | 33 | 35
EDGE Mahamadou Diarra | Ruud van Nistelrooy | 23 | 33 | 30
EDGE Mahamadou Diarra | Míchel Salgado | 3 | 33 | 12
EDGE Mahamadou Diarra | Guti | 21 | 33 | 38
EDGE Mahamadou Diarra | Gabriel Heinze | 16 | 33 | 23
EDGE Mahamadou Diarra | Fernando Gago | 13 | 33 | 32
EDGE Mahamadou Diarra | Arjen Robben | 7 | 33 | 16
EDGE Mahamadou Diarra | Júlio Baptista | 9 | 33 | 16
EDGE Mahamadou Diarra | Marcelo | 18 | 33 | 32
EDGE Mahamadou Diarra | Gonzalo Higuaín | 4 | 33 | 12
EDGE Mahamadou Diarra | Javier Saviola | 3 | 33 | 7
EDGE Mahamadou Diarra | Christoph Metzelder | 7 | 33 | 11
EDGE Mahamadou Diarra | Jerzy Dudek | 1 | 33 | 5
EDGE Mahamadou Diarra | Jordi Codina | 1 | 33 | 1
EDGE Mahamadou Diarra | Javier Balboa | 1 | 33 | 2
EDGE Mahamadou Diarra | Roberto Soldado | 1 | 33 | 2
EDGE Royston Drenthe | Wesley Sneijder | 5 | 10 | 34
EDGE Royston Drenthe | Raúl | 8 | 10 | 47
EDGE Royston Drenthe | Robinho | 5 | 10 | 35
