# Graph for Java/GraphStream
# Nodes: 28
# Edges: 307

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Carles Puyol | Adriano | 14 | 40 | 30
EDGE Carles Puyol | Seydou Keita | 12 | 40 | 22
EDGE Carles Puyol | Pedro | 16 | 40 | 32
EDGE Carles Puyol | David Villa | 6 | 40 | 17
EDGE Carles Puyol | Martín Montoya | 3 | 40 | 6
EDGE Carles Puyol | Andreu Fontàs | 2 | 40 | 5
EDGE Carles Puyol | Cristian Tello | 3 | 40 | 4
EDGE Carles Puyol | Sergi Roberto | 1 | 40 | 3
EDGE Carles Puyol | Maxwell | 3 | 40 | 6
EDGE Carles Puyol | Jonathan dos Santos | 2 | 40 | 3
EDGE Thiago Alcántara | Cesc Fàbregas | 15 | 32 | 38
EDGE Thiago Alcántara | Xavi | 16 | 32 | 45
EDGE Thiago Alcántara | Alexis Sánchez | 15 | 32 | 31
EDGE Thiago Alcántara | Isaac Cuenca | 10 | 32 | 20
EDGE Thiago Alcántara | Lionel Messi | 27 | 32 | 57
EDGE Thiago Alcántara | Víctor Valdés | 24 | 32 | 52
EDGE Thiago Alcántara | Sergio Busquets | 20 | 32 | 46
EDGE Thiago Alcántara | Seydou Keita | 12 | 32 | 22
EDGE Thiago Alcántara | Andrés Iniesta | 12 | 32 | 39
EDGE Thiago Alcántara | Pedro | 17 | 32 | 32
EDGE Thiago Alcántara | Adriano | 17 | 32 | 30
EDGE Thiago Alcántara | Dani Alves | 20 | 32 | 45
EDGE Thiago Alcántara | Andreu Fontàs | 4 | 32 | 5
EDGE Thiago Alcántara | Martín Montoya | 4 | 32 | 6
EDGE Thiago Alcántara | Sergi Roberto | 3 | 32 | 3
EDGE Thiago Alcántara | David Villa | 11 | 32 | 17
EDGE Thiago Alcántara | Maxwell | 3 | 32 | 6
EDGE Thiago Alcántara | Cristian Tello | 3 | 32 | 4
EDGE Thiago Alcántara | Marc Bartra | 1 | 32 | 1
EDGE Thiago Alcántara | Jonathan dos Santos | 2 | 32 | 3
EDGE Thiago Alcántara | Rafinha | 1 | 32 | 1
EDGE Cesc Fàbregas | Xavi | 29 | 38 | 45
EDGE Cesc Fàbregas | Alexis Sánchez | 19 | 38 | 31
EDGE Cesc Fàbregas | Isaac Cuenca | 15 | 38 | 20
EDGE Cesc Fàbregas | Lionel Messi | 33 | 38 | 57
EDGE Cesc Fàbregas | Dani Alves | 26 | 38 | 45
EDGE Cesc Fàbregas | Sergio Busquets | 31 | 38 | 46
EDGE Cesc Fàbregas | Andrés Iniesta | 23 | 38 | 39
EDGE Cesc Fàbregas | Víctor Valdés | 31 | 38 | 52
EDGE Cesc Fàbregas | Adriano | 13 | 38 | 30
EDGE Cesc Fàbregas | Pedro | 16 | 38 | 32
EDGE Cesc Fàbregas | Seydou Keita | 9 | 38 | 22
EDGE Cesc Fàbregas | David Villa | 4 | 38 | 17
EDGE Cesc Fàbregas | Andreu Fontàs | 3 | 38 | 5
EDGE Cesc Fàbregas | Maxwell | 3 | 38 | 6
EDGE Cesc Fàbregas | Jonathan dos Santos | 2 | 38 | 3
EDGE Cesc Fàbregas | Cristian Tello | 2 | 38 | 4
EDGE Cesc Fàbregas | Martín Montoya | 1 | 38 | 6
EDGE Xavi | Alexis Sánchez | 19 | 45 | 31
EDGE Xavi | Isaac Cuenca | 13 | 45 | 20
EDGE Xavi | Lionel Messi | 40 | 45 | 57
EDGE Xavi | Dani Alves | 35 | 45 | 45
EDGE Xavi | Sergio Busquets | 35 | 45 | 46
EDGE Xavi | Andrés Iniesta | 29 | 45 | 39
EDGE Xavi | Víctor Valdés | 39 | 45 | 52
EDGE Xavi | Adriano | 17 | 45 | 30
EDGE Xavi | Pedro | 21 | 45 | 32
EDGE Xavi | Seydou Keita | 14 | 45 | 22
EDGE Xavi | David Villa | 14 | 45 | 17
EDGE Xavi | Andreu Fontàs | 3 | 45 | 5
EDGE Xavi | Maxwell | 5 | 45 | 6
EDGE Xavi | Ibrahim Afellay | 1 | 45 | 1
EDGE Xavi | Martín Montoya | 1 | 45 | 6
EDGE Xavi | Cristian Tello | 2 | 45 | 4
EDGE Xavi | Jonathan dos Santos | 1 | 45 | 3
EDGE Alexis Sánchez | Isaac Cuenca | 9 | 31 | 20
EDGE Alexis Sánchez | Lionel Messi | 29 | 31 | 57
EDGE Alexis Sánchez | Dani Alves | 18 | 31 | 45
EDGE Alexis Sánchez | Sergio Busquets | 23 | 31 | 46
EDGE Alexis Sánchez | Andrés Iniesta | 20 | 31 | 39
EDGE Alexis Sánchez | Víctor Valdés | 24 | 31 | 52
EDGE Alexis Sánchez | Seydou Keita | 9 | 31 | 22
EDGE Alexis Sánchez | Pedro | 11 | 31 | 32
EDGE Alexis Sánchez | Adriano | 13 | 31 | 30
EDGE Alexis Sánchez | Andreu Fontàs | 2 | 31 | 5
EDGE Alexis Sánchez | Martín Montoya | 4 | 31 | 6
EDGE Alexis Sánchez | Sergi Roberto | 2 | 31 | 3
EDGE Alexis Sánchez | Maxwell | 2 | 31 | 6
EDGE Alexis Sánchez | David Villa | 3 | 31 | 17
EDGE Alexis Sánchez | Cristian Tello | 1 | 31 | 4
EDGE Isaac Cuenca | Lionel Messi | 15 | 20 | 57
EDGE Isaac Cuenca | Andreu Fontàs | 3 | 20 | 5
EDGE Isaac Cuenca | Adriano | 8 | 20 | 30
EDGE Isaac Cuenca | Martín Montoya | 2 | 20 | 6
EDGE Isaac Cuenca | Sergi Roberto | 2 | 20 | 3
EDGE Isaac Cuenca | Pedro | 9 | 20 | 32
EDGE Isaac Cuenca | Sergio Busquets | 12 | 20 | 46
EDGE Isaac Cuenca | Dani Alves | 11 | 20 | 45
EDGE Isaac Cuenca | Víctor Valdés | 13 | 20 | 52
EDGE Isaac Cuenca | Seydou Keita | 5 | 20 | 22
EDGE Isaac Cuenca | Andrés Iniesta | 9 | 20 | 39
EDGE Isaac Cuenca | Marc Bartra | 1 | 20 | 1
EDGE Isaac Cuenca | Maxwell | 3 | 20 | 6
EDGE Isaac Cuenca | Jonathan dos Santos | 2 | 20 | 3
EDGE Isaac Cuenca | Rafinha | 1 | 20 | 1
EDGE Isaac Cuenca | David Villa | 1 | 20 | 17
EDGE Isaac Cuenca | Cristian Tello | 1 | 20 | 4
EDGE Lionel Messi | Dani Alves | 42 | 57 | 45
EDGE Lionel Messi | Sergio Busquets | 43 | 57 | 46
EDGE Lionel Messi | Andrés Iniesta | 36 | 57 | 39
EDGE Lionel Messi | Víctor Valdés | 49 | 57 | 52
EDGE Lionel Messi | Adriano | 27 | 57 | 30
EDGE Lionel Messi | Pedro | 26 | 57 | 32
EDGE Lionel Messi | Seydou Keita | 19 | 57 | 22
EDGE Lionel Messi | David Villa | 16 | 57 | 17
EDGE Lionel Messi | Martín Montoya | 4 | 57 | 6
EDGE Lionel Messi | Maxwell | 4 | 57 | 6
EDGE Lionel Messi | Cristian Tello | 3 | 57 | 4
EDGE Lionel Messi | Ibrahim Afellay | 1 | 57 | 1
EDGE Lionel Messi | Sergi Roberto | 1 | 57 | 3
EDGE Lionel Messi | Jonathan dos Santos | 1 | 57 | 3
EDGE Dani Alves | Sergio Busquets | 32 | 45 | 46
EDGE Dani Alves | Andrés Iniesta | 27 | 45 | 39
EDGE Dani Alves | Víctor Valdés | 41 | 45 | 52
EDGE Dani Alves | Adriano | 23 | 45 | 30
EDGE Dani Alves | Pedro | 20 | 45 | 32
EDGE Dani Alves | Seydou Keita | 16 | 45 | 22
EDGE Dani Alves | David Villa | 14 | 45 | 17
EDGE Dani Alves | Maxwell | 4 | 45 | 6
EDGE Dani Alves | Cristian Tello | 3 | 45 | 4
EDGE Dani Alves | Andreu Fontàs | 1 | 45 | 5
EDGE Dani Alves | Ibrahim Afellay | 1 | 45 | 1
EDGE Dani Alves | Sergi Roberto | 1 | 45 | 3
EDGE Dani Alves | Jonathan dos Santos | 1 | 45 | 3
EDGE Sergio Busquets | Andrés Iniesta | 30 | 46 | 39
EDGE Sergio Busquets | Víctor Valdés | 38 | 46 | 52
EDGE Sergio Busquets | Adriano | 20 | 46 | 30
EDGE Sergio Busquets | Pedro | 22 | 46 | 32
EDGE Sergio Busquets | Seydou Keita | 10 | 46 | 22
EDGE Sergio Busquets | David Villa | 9 | 46 | 17
EDGE Sergio Busquets | Martín Montoya | 4 | 46 | 6
EDGE Sergio Busquets | Andreu Fontàs | 2 | 46 | 5
EDGE Sergio Busquets | Maxwell | 2 | 46 | 6
EDGE Sergio Busquets | Cristian Tello | 2 | 46 | 4
EDGE Sergio Busquets | Ibrahim Afellay | 1 | 46 | 1
EDGE Andrés Iniesta | Víctor Valdés | 33 | 39 | 52
EDGE Andrés Iniesta | Adriano | 18 | 39 | 30
EDGE Andrés Iniesta | Pedro | 18 | 39 | 32
EDGE Andrés Iniesta | Seydou Keita | 12 | 39 | 22
EDGE Andrés Iniesta | David Villa | 10 | 39 | 17
EDGE Andrés Iniesta | Martín Montoya | 3 | 39 | 6
EDGE Andrés Iniesta | Andreu Fontàs | 2 | 39 | 5
EDGE Andrés Iniesta | Cristian Tello | 3 | 39 | 4
EDGE Andrés Iniesta | Maxwell | 2 | 39 | 6
EDGE Andrés Iniesta | Jonathan dos Santos | 1 | 39 | 3
EDGE Víctor Valdés | Adriano | 25 | 52 | 30
EDGE Víctor Valdés | Pedro | 24 | 52 | 32
EDGE Víctor Valdés | Seydou Keita | 19 | 52 | 22
EDGE Víctor Valdés | David Villa | 17 | 52 | 17
EDGE Víctor Valdés | Maxwell | 5 | 52 | 6
EDGE Víctor Valdés | Cristian Tello | 4 | 52 | 4
EDGE Víctor Valdés | Andreu Fontàs | 2 | 52 | 5
EDGE Víctor Valdés | Ibrahim Afellay | 1 | 52 | 1
EDGE Víctor Valdés | Sergi Roberto | 1 | 52 | 3
EDGE Víctor Valdés | Jonathan dos Santos | 2 | 52 | 3
EDGE Víctor Valdés | Martín Montoya | 1 | 52 | 6
EDGE Adriano | Pedro | 17 | 30 | 32
EDGE Adriano | Seydou Keita | 13 | 30 | 22
EDGE Adriano | David Villa | 7 | 30 | 17
EDGE Adriano | Andreu Fontàs | 2 | 30 | 5
EDGE Adriano | Martín Montoya | 4 | 30 | 6
EDGE Adriano | Sergi Roberto | 1 | 30 | 3
EDGE Adriano | Cristian Tello | 3 | 30 | 4
EDGE Adriano | Ibrahim Afellay | 1 | 30 | 1
EDGE Adriano | Jonathan dos Santos | 1 | 30 | 3
EDGE Pedro | Seydou Keita | 13 | 32 | 22
EDGE Pedro | David Villa | 9 | 32 | 17
EDGE Pedro | Andreu Fontàs | 4 | 32 | 5
EDGE Pedro | Martín Montoya | 6 | 32 | 6
EDGE Pedro | Sergi Roberto | 3 | 32 | 3
EDGE Pedro | Ibrahim Afellay | 1 | 32 | 1
EDGE Pedro | Marc Bartra | 1 | 32 | 1
EDGE Pedro | Maxwell | 3 | 32 | 6
EDGE Pedro | Jonathan dos Santos | 1 | 32 | 3
EDGE Pedro | Rafinha | 1 | 32 | 1
EDGE Seydou Keita | David Villa | 10 | 22 | 17
EDGE Seydou Keita | Martín Montoya | 2 | 22 | 6
EDGE Seydou Keita | Andreu Fontàs | 2 | 22 | 5
EDGE Seydou Keita | Ibrahim Afellay | 1 | 22 | 1
EDGE Seydou Keita | Maxwell | 2 | 22 | 6
EDGE Seydou Keita | Jonathan dos Santos | 1 | 22 | 3
EDGE Seydou Keita | Cristian Tello | 1 | 22 | 4
EDGE David Villa | Maxwell | 3 | 17 | 6
EDGE David Villa | Andreu Fontàs | 1 | 17 | 5
