# Graph for Java/GraphStream
# Nodes: 28
# Edges: 302

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Juan Foyth | Nicolas Pépé | 8 | 17 | 15
EDGE Juan Foyth | Ayoze Pérez | 15 | 17 | 23
EDGE Juan Foyth | Pau Navarro | 5 | 17 | 10
EDGE Juan Foyth | Dani Parejo | 12 | 17 | 28
EDGE Juan Foyth | Yéremy Pino | 12 | 17 | 26
EDGE Juan Foyth | Luiz Júnior | 11 | 17 | 18
EDGE Juan Foyth | Kiko Femenía | 9 | 17 | 27
EDGE Juan Foyth | Denis Suárez | 2 | 17 | 8
EDGE Juan Foyth | Thierno Barry | 10 | 17 | 26
EDGE Juan Foyth | Alfonso Pedraza | 2 | 17 | 4
EDGE Juan Foyth | Gerard Moreno | 2 | 17 | 7
EDGE Pape Gueye | Santi Comesaña | 18 | 27 | 30
EDGE Pape Gueye | Álex Baena | 21 | 27 | 30
EDGE Pape Gueye | Tajon Buchanan | 2 | 27 | 4
EDGE Pape Gueye | Nicolas Pépé | 11 | 27 | 15
EDGE Pape Gueye | Ayoze Pérez | 15 | 27 | 23
EDGE Pape Gueye | Pau Navarro | 6 | 27 | 10
EDGE Pape Gueye | Dani Parejo | 15 | 27 | 28
EDGE Pape Gueye | Yéremy Pino | 18 | 27 | 26
EDGE Pape Gueye | Luiz Júnior | 11 | 27 | 18
EDGE Pape Gueye | Juan Bernat | 2 | 27 | 3
EDGE Pape Gueye | Ramón Terrats | 1 | 27 | 2
EDGE Pape Gueye | Pau Cabanes | 1 | 27 | 2
EDGE Pape Gueye | Denis Suárez | 6 | 27 | 8
EDGE Pape Gueye | Thierno Barry | 17 | 27 | 26
EDGE Pape Gueye | Kiko Femenía | 18 | 27 | 27
EDGE Pape Gueye | Gerard Moreno | 4 | 27 | 7
EDGE Pape Gueye | Eric Bailly | 5 | 27 | 8
EDGE Pape Gueye | Alfonso Pedraza | 3 | 27 | 4
EDGE Pape Gueye | Ilias Akhomach | 5 | 27 | 7
EDGE Pape Gueye | Arnaut Danjuma | 1 | 27 | 3
EDGE Pape Gueye | Raúl Albiol | 9 | 27 | 14
EDGE Santi Comesaña | Álex Baena | 23 | 30 | 30
EDGE Santi Comesaña | Tajon Buchanan | 3 | 30 | 4
EDGE Santi Comesaña | Nicolas Pépé | 10 | 30 | 15
EDGE Santi Comesaña | Ayoze Pérez | 17 | 30 | 23
EDGE Santi Comesaña | Luiz Júnior | 13 | 30 | 18
EDGE Santi Comesaña | Kiko Femenía | 23 | 30 | 27
EDGE Santi Comesaña | Dani Parejo | 19 | 30 | 28
EDGE Santi Comesaña | Denis Suárez | 5 | 30 | 8
EDGE Santi Comesaña | Yéremy Pino | 19 | 30 | 26
EDGE Santi Comesaña | Thierno Barry | 22 | 30 | 26
EDGE Santi Comesaña | Raúl Albiol | 12 | 30 | 14
EDGE Santi Comesaña | Pau Navarro | 5 | 30 | 10
EDGE Santi Comesaña | Ramón Terrats | 1 | 30 | 2
EDGE Santi Comesaña | Ilias Akhomach | 5 | 30 | 7
EDGE Santi Comesaña | Gerard Moreno | 4 | 30 | 7
EDGE Santi Comesaña | Eric Bailly | 6 | 30 | 8
EDGE Santi Comesaña | Alfonso Pedraza | 2 | 30 | 4
EDGE Santi Comesaña | Arnaut Danjuma | 3 | 30 | 3
EDGE Santi Comesaña | Juan Bernat | 1 | 30 | 3
EDGE Álex Baena | Tajon Buchanan | 4 | 30 | 4
EDGE Álex Baena | Nicolas Pépé | 11 | 30 | 15
EDGE Álex Baena | Ayoze Pérez | 16 | 30 | 23
EDGE Álex Baena | Pau Navarro | 7 | 30 | 10
EDGE Álex Baena | Dani Parejo | 20 | 30 | 28
EDGE Álex Baena | Yéremy Pino | 19 | 30 | 26
EDGE Álex Baena | Raúl Albiol | 13 | 30 | 14
EDGE Álex Baena | Ramón Terrats | 1 | 30 | 2
EDGE Álex Baena | Thierno Barry | 17 | 30 | 26
EDGE Álex Baena | Kiko Femenía | 20 | 30 | 27
EDGE Álex Baena | Ilias Akhomach | 6 | 30 | 7
EDGE Álex Baena | Luiz Júnior | 10 | 30 | 18
EDGE Álex Baena | Gerard Moreno | 6 | 30 | 7
EDGE Álex Baena | Eric Bailly | 6 | 30 | 8
EDGE Álex Baena | Arnaut Danjuma | 3 | 30 | 3
EDGE Álex Baena | Alfonso Pedraza | 2 | 30 | 4
EDGE Álex Baena | Denis Suárez | 3 | 30 | 8
EDGE Álex Baena | Juan Bernat | 1 | 30 | 3
EDGE Tajon Buchanan | Nicolas Pépé | 1 | 4 | 15
EDGE Tajon Buchanan | Ayoze Pérez | 3 | 4 | 23
EDGE Tajon Buchanan | Luiz Júnior | 2 | 4 | 18
EDGE Tajon Buchanan | Pau Navarro | 2 | 4 | 10
EDGE Tajon Buchanan | Dani Parejo | 2 | 4 | 28
EDGE Tajon Buchanan | Thierno Barry | 3 | 4 | 26
EDGE Tajon Buchanan | Kiko Femenía | 1 | 4 | 27
EDGE Tajon Buchanan | Alfonso Pedraza | 1 | 4 | 4
EDGE Tajon Buchanan | Denis Suárez | 1 | 4 | 8
EDGE Tajon Buchanan | Yéremy Pino | 1 | 4 | 26
EDGE Nicolas Pépé | Ayoze Pérez | 10 | 15 | 23
EDGE Nicolas Pépé | Pau Navarro | 4 | 15 | 10
EDGE Nicolas Pépé | Dani Parejo | 11 | 15 | 28
EDGE Nicolas Pépé | Yéremy Pino | 8 | 15 | 26
EDGE Nicolas Pépé | Raúl Albiol | 3 | 15 | 14
EDGE Nicolas Pépé | Kiko Femenía | 9 | 15 | 27
EDGE Nicolas Pépé | Ilias Akhomach | 4 | 15 | 7
EDGE Nicolas Pépé | Thierno Barry | 6 | 15 | 26
EDGE Nicolas Pépé | Luiz Júnior | 6 | 15 | 18
EDGE Nicolas Pépé | Eric Bailly | 4 | 15 | 8
EDGE Nicolas Pépé | Alfonso Pedraza | 2 | 15 | 4
EDGE Nicolas Pépé | Denis Suárez | 2 | 15 | 8
EDGE Nicolas Pépé | Arnaut Danjuma | 1 | 15 | 3
EDGE Ayoze Pérez | Pau Navarro | 7 | 23 | 10
EDGE Ayoze Pérez | Dani Parejo | 16 | 23 | 28
EDGE Ayoze Pérez | Yéremy Pino | 16 | 23 | 26
EDGE Ayoze Pérez | Luiz Júnior | 12 | 23 | 18
EDGE Ayoze Pérez | Juan Bernat | 1 | 23 | 3
EDGE Ayoze Pérez | Ramón Terrats | 1 | 23 | 2
EDGE Ayoze Pérez | Pau Cabanes | 1 | 23 | 2
EDGE Ayoze Pérez | Kiko Femenía | 13 | 23 | 27
EDGE Ayoze Pérez | Denis Suárez | 2 | 23 | 8
EDGE Ayoze Pérez | Thierno Barry | 12 | 23 | 26
EDGE Ayoze Pérez | Alfonso Pedraza | 2 | 23 | 4
EDGE Ayoze Pérez | Raúl Albiol | 5 | 23 | 14
EDGE Ayoze Pérez | Ilias Akhomach | 3 | 23 | 7
EDGE Ayoze Pérez | Eric Bailly | 2 | 23 | 8
EDGE Ayoze Pérez | Gerard Moreno | 2 | 23 | 7
EDGE Pau Navarro | Dani Parejo | 7 | 10 | 28
EDGE Pau Navarro | Yéremy Pino | 8 | 10 | 26
EDGE Pau Navarro | Luiz Júnior | 7 | 10 | 18
EDGE Pau Navarro | Juan Bernat | 2 | 10 | 3
EDGE Pau Navarro | Ramón Terrats | 2 | 10 | 2
EDGE Pau Navarro | Pau Cabanes | 2 | 10 | 2
EDGE Pau Navarro | Alassane Diatta | 1 | 10 | 1
EDGE Pau Navarro | Denis Suárez | 3 | 10 | 8
EDGE Pau Navarro | Gerard Moreno | 1 | 10 | 7
EDGE Pau Navarro | Thierno Barry | 5 | 10 | 26
EDGE Pau Navarro | Raúl Albiol | 1 | 10 | 14
EDGE Pau Navarro | Alfonso Pedraza | 2 | 10 | 4
EDGE Dani Parejo | Yéremy Pino | 17 | 28 | 26
EDGE Dani Parejo | Luiz Júnior | 13 | 28 | 18
EDGE Dani Parejo | Juan Bernat | 3 | 28 | 3
