# Graph for Java/GraphStream
# Nodes: 24
# Edges: 243

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Toni Kroos | Danilo | 24 | 43 | 28
EDGE Toni Kroos | James Rodríguez | 16 | 43 | 21
EDGE Toni Kroos | Sergio Ramos | 28 | 43 | 33
EDGE Toni Kroos | Casemiro | 19 | 43 | 28
EDGE Toni Kroos | Gareth Bale | 24 | 43 | 29
EDGE Toni Kroos | Lucas Vázquez | 8 | 43 | 13
EDGE Toni Kroos | Mateo Kovacic | 8 | 43 | 11
EDGE Toni Kroos | Borja Mayoral | 1 | 43 | 3
EDGE Toni Kroos | Álvaro Arbeloa | 1 | 43 | 5
EDGE Toni Kroos | Kiko Casilla | 3 | 43 | 7
EDGE Luka Modrić | Isco | 21 | 41 | 30
EDGE Luka Modrić | Cristiano Ronaldo | 39 | 41 | 48
EDGE Luka Modrić | Jesé | 7 | 41 | 11
EDGE Luka Modrić | Karim Benzema | 29 | 41 | 34
EDGE Luka Modrić | Pepe | 23 | 41 | 30
EDGE Luka Modrić | Danilo | 21 | 41 | 28
EDGE Luka Modrić | James Rodríguez | 15 | 41 | 21
EDGE Luka Modrić | Sergio Ramos | 30 | 41 | 33
EDGE Luka Modrić | Casemiro | 19 | 41 | 28
EDGE Luka Modrić | Gareth Bale | 26 | 41 | 29
EDGE Luka Modrić | Lucas Vázquez | 7 | 41 | 13
EDGE Luka Modrić | Borja Mayoral | 1 | 41 | 3
EDGE Luka Modrić | Álvaro Arbeloa | 1 | 41 | 5
EDGE Luka Modrić | Mateo Kovacic | 6 | 41 | 11
EDGE Luka Modrić | Kiko Casilla | 3 | 41 | 7
EDGE Isco | Cristiano Ronaldo | 28 | 30 | 48
EDGE Isco | Jesé | 10 | 30 | 11
EDGE Isco | Karim Benzema | 17 | 30 | 34
EDGE Isco | Pepe | 16 | 30 | 30
EDGE Isco | Danilo | 11 | 30 | 28
EDGE Isco | James Rodríguez | 9 | 30 | 21
EDGE Isco | Sergio Ramos | 16 | 30 | 33
EDGE Isco | Gareth Bale | 12 | 30 | 29
EDGE Isco | Kiko Casilla | 6 | 30 | 7
EDGE Isco | Álvaro Arbeloa | 5 | 30 | 5
EDGE Isco | Lucas Vázquez | 6 | 30 | 13
EDGE Isco | Casemiro | 14 | 30 | 28
EDGE Isco | Marcos Llorente | 1 | 30 | 1
EDGE Isco | Denis Cheryshev | 1 | 30 | 1
EDGE Isco | Mateo Kovacic | 8 | 30 | 11
EDGE Isco | Borja Mayoral | 1 | 30 | 3
EDGE Cristiano Ronaldo | Jesé | 9 | 48 | 11
EDGE Cristiano Ronaldo | Karim Benzema | 32 | 48 | 34
EDGE Cristiano Ronaldo | Pepe | 27 | 48 | 30
EDGE Cristiano Ronaldo | Danilo | 26 | 48 | 28
EDGE Cristiano Ronaldo | James Rodríguez | 19 | 48 | 21
EDGE Cristiano Ronaldo | Sergio Ramos | 31 | 48 | 33
EDGE Cristiano Ronaldo | Casemiro | 25 | 48 | 28
EDGE Cristiano Ronaldo | Gareth Bale | 26 | 48 | 29
EDGE Cristiano Ronaldo | Álvaro Arbeloa | 4 | 48 | 5
EDGE Cristiano Ronaldo | Lucas Vázquez | 10 | 48 | 13
EDGE Cristiano Ronaldo | Mateo Kovacic | 10 | 48 | 11
EDGE Cristiano Ronaldo | Borja Mayoral | 2 | 48 | 3
EDGE Cristiano Ronaldo | Kiko Casilla | 6 | 48 | 7
EDGE Jesé | Karim Benzema | 2 | 11 | 34
EDGE Jesé | Kiko Casilla | 3 | 11 | 7
EDGE Jesé | Pepe | 4 | 11 | 30
EDGE Jesé | Álvaro Arbeloa | 2 | 11 | 5
EDGE Jesé | Lucas Vázquez | 4 | 11 | 13
EDGE Jesé | Casemiro | 6 | 11 | 28
EDGE Jesé | Marcos Llorente | 1 | 11 | 1
EDGE Jesé | Denis Cheryshev | 1 | 11 | 1
EDGE Jesé | James Rodríguez | 2 | 11 | 21
EDGE Jesé | Sergio Ramos | 6 | 11 | 33
EDGE Jesé | Gareth Bale | 3 | 11 | 29
EDGE Jesé | Mateo Kovacic | 2 | 11 | 11
EDGE Jesé | Danilo | 6 | 11 | 28
EDGE Karim Benzema | Pepe | 20 | 34 | 30
EDGE Karim Benzema | Danilo | 16 | 34 | 28
EDGE Karim Benzema | James Rodríguez | 15 | 34 | 21
EDGE Karim Benzema | Sergio Ramos | 22 | 34 | 33
EDGE Karim Benzema | Casemiro | 14 | 34 | 28
EDGE Karim Benzema | Gareth Bale | 20 | 34 | 29
EDGE Karim Benzema | Lucas Vázquez | 5 | 34 | 13
EDGE Karim Benzema | Kiko Casilla | 2 | 34 | 7
EDGE Karim Benzema | Álvaro Arbeloa | 2 | 34 | 5
EDGE Karim Benzema | Mateo Kovacic | 6 | 34 | 11
EDGE Pepe | Danilo | 14 | 30 | 28
EDGE Pepe | James Rodríguez | 12 | 30 | 21
EDGE Pepe | Sergio Ramos | 16 | 30 | 33
EDGE Pepe | Casemiro | 17 | 30 | 28
EDGE Pepe | Gareth Bale | 22 | 30 | 29
EDGE Pepe | Kiko Casilla | 5 | 30 | 7
EDGE Pepe | Álvaro Arbeloa | 4 | 30 | 5
EDGE Pepe | Lucas Vázquez | 8 | 30 | 13
EDGE Pepe | Marcos Llorente | 1 | 30 | 1
EDGE Pepe | Denis Cheryshev | 1 | 30 | 1
EDGE Pepe | Borja Mayoral | 2 | 30 | 3
EDGE Pepe | Mateo Kovacic | 7 | 30 | 11
EDGE Danilo | James Rodríguez | 15 | 28 | 21
EDGE Danilo | Sergio Ramos | 18 | 28 | 33
EDGE Danilo | Casemiro | 16 | 28 | 28
EDGE Danilo | Lucas Vázquez | 8 | 28 | 13
EDGE Danilo | Gareth Bale | 16 | 28 | 29
EDGE Danilo | Borja Mayoral | 3 | 28 | 3
EDGE Danilo | Mateo Kovacic | 7 | 28 | 11
EDGE Danilo | Kiko Casilla | 4 | 28 | 7
EDGE Danilo | Álvaro Arbeloa | 1 | 28 | 5
EDGE James Rodríguez | Sergio Ramos | 12 | 21 | 33
EDGE James Rodríguez | Casemiro | 8 | 21 | 28
EDGE James Rodríguez | Lucas Vázquez | 6 | 21 | 13
EDGE James Rodríguez | Gareth Bale | 10 | 21 | 29
EDGE James Rodríguez | Borja Mayoral | 2 | 21 | 3
EDGE James Rodríguez | Kiko Casilla | 4 | 21 | 7
EDGE James Rodríguez | Álvaro Arbeloa | 3 | 21 | 5
EDGE James Rodríguez | Marcos Llorente | 1 | 21 | 1
EDGE James Rodríguez | Denis Cheryshev | 1 | 21 | 1
EDGE James Rodríguez | Mateo Kovacic | 3 | 21 | 11
EDGE Sergio Ramos | Casemiro | 19 | 33 | 28
EDGE Sergio Ramos | Gareth Bale | 20 | 33 | 29
EDGE Sergio Ramos | Lucas Vázquez | 8 | 33 | 13
EDGE Sergio Ramos | Borja Mayoral | 2 | 33 | 3
EDGE Sergio Ramos | Álvaro Arbeloa | 1 | 33 | 5
EDGE Sergio Ramos | Mateo Kovacic | 4 | 33 | 11
EDGE Sergio Ramos | Kiko Casilla | 2 | 33 | 7
EDGE Casemiro | Gareth Bale | 15 | 28 | 29
EDGE Casemiro | Lucas Vázquez | 11 | 28 | 13
EDGE Casemiro | Borja Mayoral | 3 | 28 | 3
EDGE Casemiro | Kiko Casilla | 7 | 28 | 7
EDGE Casemiro | Álvaro Arbeloa | 5 | 28 | 5
EDGE Casemiro | Marcos Llorente | 1 | 28 | 1
EDGE Casemiro | Denis Cheryshev | 1 | 28 | 1
EDGE Casemiro | Mateo Kovacic | 5 | 28 | 11
EDGE Gareth Bale | Lucas Vázquez | 4 | 29 | 13
EDGE Gareth Bale | Borja Mayoral | 1 | 29 | 3
EDGE Gareth Bale | Álvaro Arbeloa | 1 | 29 | 5
EDGE Gareth Bale | Mateo Kovacic | 5 | 29 | 11
EDGE Gareth Bale | Kiko Casilla | 2 | 29 | 7
EDGE Lucas Vázquez | Borja Mayoral | 3 | 13 | 3
EDGE Lucas Vázquez | Kiko Casilla | 3 | 13 | 7
EDGE Lucas Vázquez | Álvaro Arbeloa | 3 | 13 | 5
EDGE Lucas Vázquez | Marcos Llorente | 1 | 13 | 1
EDGE Lucas Vázquez | Denis Cheryshev | 1 | 13 | 1
EDGE Lucas Vázquez | Mateo Kovacic | 1 | 13 | 11
EDGE Borja Mayoral | Mateo Kovacic | 1 | 3 | 11
EDGE Kiko Casilla | Álvaro Arbeloa | 3 | 7 | 5
EDGE Kiko Casilla | Marcos Llorente | 1 | 7 | 1
EDGE Kiko Casilla | Denis Cheryshev | 1 | 7 | 1
EDGE Kiko Casilla | Mateo Kovacic | 2 | 7 | 11
EDGE Álvaro Arbeloa | Marcos Llorente | 1 | 5 | 1
EDGE Álvaro Arbeloa | Denis Cheryshev | 1 | 5 | 1
EDGE Álvaro Arbeloa | Mateo Kovacic | 2 | 5 | 11
EDGE Marcos Llorente | Denis Cheryshev | 1 | 1 | 1
