# Graph for Java/GraphStream
# Nodes: 23
# Edges: 201

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Mario Suárez | Alessio Cerci | 1 | 8 | 1
EDGE Mario Suárez | Raúl Jiménez | 1 | 8 | 1
EDGE Mario Suárez | Mario Mandžukić | 5 | 8 | 14
EDGE Mario Suárez | Cristian Ansaldi | 1 | 8 | 3
EDGE Gabi | Koke | 13 | 18 | 16
EDGE Gabi | Arda Turan | 11 | 18 | 14
EDGE Gabi | Antoine Griezmann | 14 | 18 | 17
EDGE Gabi | Fernando Torres | 4 | 18 | 4
EDGE Gabi | José María Giménez | 8 | 18 | 9
EDGE Gabi | Lucas Hernández | 1 | 18 | 1
EDGE Gabi | Jesús Gámez | 4 | 18 | 4
EDGE Gabi | Saúl Ñíguez | 6 | 18 | 8
EDGE Gabi | Cristian Rodríguez | 1 | 18 | 1
EDGE Gabi | Alessio Cerci | 1 | 18 | 1
EDGE Gabi | Raúl Jiménez | 1 | 18 | 1
EDGE Gabi | Tiago Mendes | 13 | 18 | 15
EDGE Gabi | Raúl García | 8 | 18 | 9
EDGE Gabi | Miguel Ángel Moyá | 11 | 18 | 14
EDGE Gabi | Mario Mandžukić | 12 | 18 | 14
EDGE Gabi | Cristian Ansaldi | 2 | 18 | 3
EDGE Koke | Arda Turan | 11 | 16 | 14
EDGE Koke | Antoine Griezmann | 13 | 16 | 17
EDGE Koke | Fernando Torres | 3 | 16 | 4
EDGE Koke | Miguel Ángel Moyá | 10 | 16 | 14
EDGE Koke | Tiago Mendes | 11 | 16 | 15
EDGE Koke | Raúl García | 8 | 16 | 9
EDGE Koke | Saúl Ñíguez | 4 | 16 | 8
EDGE Koke | José María Giménez | 6 | 16 | 9
EDGE Koke | Jesús Gámez | 3 | 16 | 4
EDGE Koke | Cristian Ansaldi | 3 | 16 | 3
EDGE Koke | Mario Mandžukić | 11 | 16 | 14
EDGE Arda Turan | Antoine Griezmann | 11 | 14 | 17
EDGE Arda Turan | Fernando Torres | 1 | 14 | 4
EDGE Arda Turan | Miguel Ángel Moyá | 10 | 14 | 14
EDGE Arda Turan | Tiago Mendes | 10 | 14 | 15
EDGE Arda Turan | Raúl García | 4 | 14 | 9
EDGE Arda Turan | José María Giménez | 7 | 14 | 9
EDGE Arda Turan | Mario Mandžukić | 11 | 14 | 14
EDGE Arda Turan | Cristian Ansaldi | 3 | 14 | 3
EDGE Arda Turan | Saúl Ñíguez | 5 | 14 | 8
EDGE Arda Turan | Jesús Gámez | 1 | 14 | 4
EDGE Antoine Griezmann | Fernando Torres | 4 | 17 | 4
EDGE Antoine Griezmann | Miguel Ángel Moyá | 12 | 17 | 14
EDGE Antoine Griezmann | Tiago Mendes | 13 | 17 | 15
EDGE Antoine Griezmann | Raúl García | 7 | 17 | 9
EDGE Antoine Griezmann | Saúl Ñíguez | 6 | 17 | 8
EDGE Antoine Griezmann | José María Giménez | 7 | 17 | 9
EDGE Antoine Griezmann | Jesús Gámez | 3 | 17 | 4
EDGE Antoine Griezmann | Mario Mandžukić | 11 | 17 | 14
EDGE Antoine Griezmann | Cristian Ansaldi | 1 | 17 | 3
EDGE Fernando Torres | José María Giménez | 1 | 4 | 9
EDGE Fernando Torres | Jesús Gámez | 2 | 4 | 4
EDGE Fernando Torres | Tiago Mendes | 3 | 4 | 15
EDGE Fernando Torres | Raúl García | 2 | 4 | 9
EDGE Fernando Torres | Miguel Ángel Moyá | 2 | 4 | 14
EDGE Fernando Torres | Saúl Ñíguez | 1 | 4 | 8
EDGE Fernando Torres | Mario Mandžukić | 1 | 4 | 14
EDGE Miguel Ángel Moyá | Tiago Mendes | 12 | 14 | 15
EDGE Miguel Ángel Moyá | Raúl García | 6 | 14 | 9
EDGE Miguel Ángel Moyá | José María Giménez | 6 | 14 | 9
EDGE Miguel Ángel Moyá | Mario Mandžukić | 11 | 14 | 14
EDGE Miguel Ángel Moyá | Cristian Ansaldi | 2 | 14 | 3
EDGE Miguel Ángel Moyá | Saúl Ñíguez | 6 | 14 | 8
EDGE Miguel Ángel Moyá | Jesús Gámez | 2 | 14 | 4
