# Graph for Java/GraphStream
# Nodes: 27
# Edges: 284

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Tomas Ujfalusi | Juan Valera | 10 | 42 | 15
EDGE Tomas Ujfalusi | Fran Mérida | 7 | 42 | 10
EDGE Tomas Ujfalusi | Elias | 11 | 42 | 11
EDGE Tomas Ujfalusi | Koke | 6 | 42 | 9
EDGE Tomas Ujfalusi | Juanfran Torres | 5 | 42 | 6
EDGE Tomas Ujfalusi | Ignacio Camacho | 1 | 42 | 3
EDGE Tomas Ujfalusi | Joel Robles | 1 | 42 | 2
EDGE Tomas Ujfalusi | José Manuel Jurado | 1 | 42 | 1
EDGE Tomas Ujfalusi | Jorge Pulido | 1 | 42 | 3
EDGE Mario Suárez | Tiago Mendes | 16 | 22 | 34
EDGE Mario Suárez | Simão | 7 | 22 | 23
EDGE Mario Suárez | José Antonio Reyes | 18 | 22 | 42
EDGE Mario Suárez | Diego Forlán | 10 | 22 | 32
EDGE Mario Suárez | Sergio Agüero | 20 | 22 | 39
EDGE Mario Suárez | Antonio López | 6 | 22 | 20
EDGE Mario Suárez | Álvaro Domínguez | 11 | 22 | 26
EDGE Mario Suárez | Koke | 5 | 22 | 9
EDGE Mario Suárez | Diego Costa | 9 | 22 | 19
EDGE Mario Suárez | Juan Valera | 6 | 22 | 15
EDGE Mario Suárez | Juanfran Torres | 4 | 22 | 6
EDGE Mario Suárez | Raúl García | 7 | 22 | 27
EDGE Mario Suárez | Elias | 7 | 22 | 11
EDGE Mario Suárez | Ignacio Camacho | 1 | 22 | 3
EDGE Mario Suárez | Fran Mérida | 2 | 22 | 10
EDGE Mario Suárez | Paulo Assunção | 4 | 22 | 26
EDGE Mario Suárez | Jorge Pulido | 2 | 22 | 3
EDGE Tiago Mendes | Simão | 15 | 34 | 23
EDGE Tiago Mendes | José Antonio Reyes | 30 | 34 | 42
EDGE Tiago Mendes | Diego Forlán | 22 | 34 | 32
EDGE Tiago Mendes | Sergio Agüero | 26 | 34 | 39
EDGE Tiago Mendes | Álvaro Domínguez | 16 | 34 | 26
EDGE Tiago Mendes | Paulo Assunção | 13 | 34 | 26
EDGE Tiago Mendes | Antonio López | 13 | 34 | 20
EDGE Tiago Mendes | Juan Valera | 13 | 34 | 15
EDGE Tiago Mendes | Raúl García | 10 | 34 | 27
EDGE Tiago Mendes | Fran Mérida | 8 | 34 | 10
EDGE Tiago Mendes | Elias | 8 | 34 | 11
EDGE Tiago Mendes | Koke | 8 | 34 | 9
EDGE Tiago Mendes | Diego Costa | 9 | 34 | 19
EDGE Tiago Mendes | Juanfran Torres | 3 | 34 | 6
EDGE Tiago Mendes | Ignacio Camacho | 1 | 34 | 3
EDGE Tiago Mendes | Jorge Pulido | 2 | 34 | 3
EDGE Tiago Mendes | Joel Robles | 1 | 34 | 2
EDGE Simão | José Antonio Reyes | 19 | 23 | 42
EDGE Simão | Diego Forlán | 19 | 23 | 32
EDGE Simão | Sergio Agüero | 16 | 23 | 39
EDGE Simão | Álvaro Domínguez | 16 | 23 | 26
EDGE Simão | Paulo Assunção | 16 | 23 | 26
EDGE Simão | Raúl García | 12 | 23 | 27
EDGE Simão | Diego Costa | 7 | 23 | 19
EDGE Simão | Antonio López | 8 | 23 | 20
EDGE Simão | Juan Valera | 6 | 23 | 15
