# Graph for Java/GraphStream
# Nodes: 28
# Edges: 293

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Andoni Iraola | Gaizka Toquero | 31 | 52 | 33
EDGE Andoni Iraola | Fernando Llorente | 48 | 52 | 49
EDGE Andoni Iraola | Ustaritz | 20 | 52 | 21
EDGE Andoni Iraola | Igor Gabilondo | 21 | 52 | 21
EDGE Andoni Iraola | David López | 10 | 52 | 10
EDGE Andoni Iraola | Joseba Etxeberria | 7 | 52 | 7
EDGE Andoni Iraola | Aitor Ocio | 10 | 52 | 10
EDGE Andoni Iraola | Fran Yeste | 22 | 52 | 24
EDGE Andoni Iraola | Markel Susaeta | 32 | 52 | 33
EDGE Andoni Iraola | Koikili | 23 | 52 | 24
EDGE Andoni Iraola | Óscar de Marcos | 15 | 52 | 15
EDGE Andoni Iraola | Xabier Etxebarria | 1 | 52 | 1
EDGE Andoni Iraola | Iñigo Díaz de Cerio | 1 | 52 | 2
EDGE Andoni Iraola | Ander Iturraspe | 11 | 52 | 12
EDGE Andoni Iraola | Ion Vélez | 1 | 52 | 1
EDGE Andoni Iraola | Armando Ribeiro | 3 | 52 | 3
EDGE Andoni Iraola | Xabi Etxeita | 2 | 52 | 3
EDGE Andoni Iraola | Iñigo Pérez | 1 | 52 | 1
EDGE Javi Martínez | Pablo Orbaiz | 20 | 45 | 25
EDGE Javi Martínez | Carlos Gurpegui | 31 | 45 | 38
EDGE Javi Martínez | Iker Muniain | 6 | 45 | 8
EDGE Javi Martínez | Gaizka Toquero | 30 | 45 | 33
EDGE Javi Martínez | Fernando Llorente | 42 | 45 | 49
EDGE Javi Martínez | Ustaritz | 17 | 45 | 21
EDGE Javi Martínez | Igor Gabilondo | 16 | 45 | 21
EDGE Javi Martínez | David López | 6 | 45 | 10
EDGE Javi Martínez | Joseba Etxeberria | 2 | 45 | 7
EDGE Javi Martínez | Koikili | 19 | 45 | 24
EDGE Javi Martínez | Markel Susaeta | 28 | 45 | 33
EDGE Javi Martínez | Fran Yeste | 20 | 45 | 24
EDGE Javi Martínez | Aitor Ocio | 7 | 45 | 10
EDGE Javi Martínez | Óscar de Marcos | 14 | 45 | 15
EDGE Javi Martínez | Ander Iturraspe | 8 | 45 | 12
EDGE Javi Martínez | Ion Vélez | 1 | 45 | 1
EDGE Javi Martínez | Armando Ribeiro | 2 | 45 | 3
EDGE Javi Martínez | Xabi Etxeita | 2 | 45 | 3
EDGE Javi Martínez | Jon Aurtenetxe | 1 | 45 | 1
EDGE Javi Martínez | Iñigo Díaz de Cerio | 1 | 45 | 2
EDGE Pablo Orbaiz | Carlos Gurpegui | 17 | 25 | 38
EDGE Pablo Orbaiz | Iker Muniain | 1 | 25 | 8
EDGE Pablo Orbaiz | Gaizka Toquero | 14 | 25 | 33
EDGE Pablo Orbaiz | Fernando Llorente | 23 | 25 | 49
EDGE Pablo Orbaiz | Ustaritz | 11 | 25 | 21
EDGE Pablo Orbaiz | Koikili | 12 | 25 | 24
EDGE Pablo Orbaiz | Markel Susaeta | 15 | 25 | 33
EDGE Pablo Orbaiz | Fran Yeste | 12 | 25 | 24
EDGE Pablo Orbaiz | Xabier Etxebarria | 1 | 25 | 1
EDGE Pablo Orbaiz | David López | 3 | 25 | 10
EDGE Pablo Orbaiz | Igor Gabilondo | 7 | 25 | 21
EDGE Pablo Orbaiz | Joseba Etxeberria | 3 | 25 | 7
EDGE Pablo Orbaiz | Iñigo Díaz de Cerio | 1 | 25 | 2
EDGE Pablo Orbaiz | Aitor Ocio | 2 | 25 | 10
EDGE Pablo Orbaiz | Óscar de Marcos | 6 | 25 | 15
EDGE Pablo Orbaiz | Ander Iturraspe | 1 | 25 | 12
EDGE Pablo Orbaiz | Ion Vélez | 1 | 25 | 1
EDGE Pablo Orbaiz | Armando Ribeiro | 2 | 25 | 3
EDGE Pablo Orbaiz | Xabi Etxeita | 1 | 25 | 3
EDGE Pablo Orbaiz | Iñigo Pérez | 1 | 25 | 1
EDGE Carlos Gurpegui | Iker Muniain | 4 | 38 | 8
EDGE Carlos Gurpegui | Gaizka Toquero | 22 | 38 | 33
EDGE Carlos Gurpegui | Fernando Llorente | 35 | 38 | 49
EDGE Carlos Gurpegui | Ustaritz | 17 | 38 | 21
EDGE Carlos Gurpegui | Igor Gabilondo | 17 | 38 | 21
EDGE Carlos Gurpegui | David López | 9 | 38 | 10
EDGE Carlos Gurpegui | Joseba Etxeberria | 4 | 38 | 7
EDGE Carlos Gurpegui | Aitor Ocio | 4 | 38 | 10
EDGE Carlos Gurpegui | Fran Yeste | 13 | 38 | 24
EDGE Carlos Gurpegui | Markel Susaeta | 17 | 38 | 33
EDGE Carlos Gurpegui | Koikili | 19 | 38 | 24
EDGE Carlos Gurpegui | Xabier Etxebarria | 1 | 38 | 1
EDGE Carlos Gurpegui | Iñigo Díaz de Cerio | 1 | 38 | 2
EDGE Carlos Gurpegui | Óscar de Marcos | 9 | 38 | 15
EDGE Carlos Gurpegui | Ander Iturraspe | 9 | 38 | 12
EDGE Carlos Gurpegui | Ion Vélez | 1 | 38 | 1
EDGE Carlos Gurpegui | Armando Ribeiro | 1 | 38 | 3
EDGE Carlos Gurpegui | Xabi Etxeita | 2 | 38 | 3
EDGE Carlos Gurpegui | Iñigo Pérez | 1 | 38 | 1
EDGE Iker Muniain | Gaizka Toquero | 3 | 8 | 33
EDGE Iker Muniain | Fernando Llorente | 6 | 8 | 49
