# Graph for Java/GraphStream
# Nodes: 22
# Edges: 226

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gianluca Zambrotta | Albert Jorquera | 4 | 36 | 9
EDGE Gianluca Zambrotta | Santiago Ezquerro | 2 | 36 | 6
EDGE Xavi | Andrés Iniesta | 27 | 45 | 41
EDGE Xavi | Deco | 34 | 45 | 47
EDGE Xavi | Eidur Gudjohnsen | 15 | 45 | 22
EDGE Xavi | Lionel Messi | 27 | 45 | 31
EDGE Xavi | Samuel Eto'o | 21 | 45 | 25
EDGE Xavi | Oleguer | 16 | 45 | 20
EDGE Xavi | Juliano Belletti | 13 | 45 | 15
EDGE Xavi | Thiago Motta | 9 | 45 | 19
EDGE Xavi | Ronaldinho | 38 | 45 | 49
EDGE Xavi | Sylvinho | 15 | 45 | 19
EDGE Xavi | Edmílson | 23 | 45 | 26
EDGE Xavi | Ludovic Giuly | 15 | 45 | 27
EDGE Xavi | Albert Jorquera | 8 | 45 | 9
EDGE Xavi | Rafa Márquez | 26 | 45 | 36
EDGE Xavi | Santiago Ezquerro | 5 | 45 | 6
EDGE Xavi | Javier Saviola | 9 | 45 | 12
EDGE Andrés Iniesta | Deco | 31 | 41 | 47
EDGE Andrés Iniesta | Eidur Gudjohnsen | 16 | 41 | 22
EDGE Andrés Iniesta | Lionel Messi | 20 | 41 | 31
EDGE Andrés Iniesta | Samuel Eto'o | 17 | 41 | 25
EDGE Andrés Iniesta | Oleguer | 15 | 41 | 20
EDGE Andrés Iniesta | Juliano Belletti | 9 | 41 | 15
EDGE Andrés Iniesta | Thiago Motta | 12 | 41 | 19
EDGE Andrés Iniesta | Ronaldinho | 33 | 41 | 49
EDGE Andrés Iniesta | Rafa Márquez | 23 | 41 | 36
EDGE Andrés Iniesta | Ludovic Giuly | 21 | 41 | 27
EDGE Andrés Iniesta | Albert Jorquera | 6 | 41 | 9
EDGE Andrés Iniesta | Sylvinho | 12 | 41 | 19
EDGE Andrés Iniesta | Edmílson | 15 | 41 | 26
EDGE Andrés Iniesta | Santiago Ezquerro | 3 | 41 | 6
EDGE Andrés Iniesta | Javier Saviola | 7 | 41 | 12
EDGE Deco | Eidur Gudjohnsen | 18 | 47 | 22
EDGE Deco | Lionel Messi | 27 | 47 | 31
EDGE Deco | Samuel Eto'o | 21 | 47 | 25
EDGE Deco | Oleguer | 14 | 47 | 20
EDGE Deco | Juliano Belletti | 10 | 47 | 15
EDGE Deco | Thiago Motta | 15 | 47 | 19
EDGE Deco | Ronaldinho | 41 | 47 | 49
EDGE Deco | Sylvinho | 13 | 47 | 19
EDGE Deco | Edmílson | 19 | 47 | 26
EDGE Deco | Ludovic Giuly | 19 | 47 | 27
EDGE Deco | Rafa Márquez | 30 | 47 | 36
EDGE Deco | Javier Saviola | 8 | 47 | 12
EDGE Deco | Albert Jorquera | 4 | 47 | 9
EDGE Deco | Santiago Ezquerro | 1 | 47 | 6
EDGE Eidur Gudjohnsen | Lionel Messi | 8 | 22 | 31
EDGE Eidur Gudjohnsen | Samuel Eto'o | 2 | 22 | 25
EDGE Eidur Gudjohnsen | Oleguer | 4 | 22 | 20
EDGE Eidur Gudjohnsen | Juliano Belletti | 7 | 22 | 15
EDGE Eidur Gudjohnsen | Thiago Motta | 9 | 22 | 19
EDGE Eidur Gudjohnsen | Ronaldinho | 17 | 22 | 49
EDGE Eidur Gudjohnsen | Sylvinho | 8 | 22 | 19
EDGE Eidur Gudjohnsen | Edmílson | 10 | 22 | 26
EDGE Eidur Gudjohnsen | Ludovic Giuly | 12 | 22 | 27
EDGE Eidur Gudjohnsen | Rafa Márquez | 15 | 22 | 36
EDGE Eidur Gudjohnsen | Albert Jorquera | 2 | 22 | 9
EDGE Eidur Gudjohnsen | Santiago Ezquerro | 2 | 22 | 6
EDGE Eidur Gudjohnsen | Javier Saviola | 1 | 22 | 12
EDGE Lionel Messi | Samuel Eto'o | 20 | 31 | 25
EDGE Lionel Messi | Edmílson | 11 | 31 | 26
EDGE Lionel Messi | Sylvinho | 8 | 31 | 19
EDGE Lionel Messi | Rafa Márquez | 20 | 31 | 36
EDGE Lionel Messi | Ronaldinho | 27 | 31 | 49
EDGE Lionel Messi | Thiago Motta | 6 | 31 | 19
EDGE Lionel Messi | Ludovic Giuly | 5 | 31 | 27
EDGE Lionel Messi | Oleguer | 5 | 31 | 20
EDGE Lionel Messi | Albert Jorquera | 3 | 31 | 9
EDGE Lionel Messi | Juliano Belletti | 5 | 31 | 15
EDGE Lionel Messi | Javier Saviola | 2 | 31 | 12
EDGE Samuel Eto'o | Juliano Belletti | 4 | 25 | 15
EDGE Samuel Eto'o | Thiago Motta | 6 | 25 | 19
EDGE Samuel Eto'o | Ludovic Giuly | 7 | 25 | 27
EDGE Samuel Eto'o | Ronaldinho | 21 | 25 | 49
EDGE Samuel Eto'o | Rafa Márquez | 11 | 25 | 36
EDGE Samuel Eto'o | Sylvinho | 8 | 25 | 19
EDGE Samuel Eto'o | Oleguer | 6 | 25 | 20
EDGE Samuel Eto'o | Edmílson | 9 | 25 | 26
EDGE Samuel Eto'o | Albert Jorquera | 3 | 25 | 9
EDGE Oleguer | Juliano Belletti | 2 | 20 | 15
EDGE Oleguer | Thiago Motta | 8 | 20 | 19
EDGE Oleguer | Ronaldinho | 17 | 20 | 49
EDGE Oleguer | Rafa Márquez | 12 | 20 | 36
EDGE Oleguer | Sylvinho | 5 | 20 | 19
EDGE Oleguer | Ludovic Giuly | 13 | 20 | 27
EDGE Oleguer | Edmílson | 7 | 20 | 26
EDGE Oleguer | Javier Saviola | 8 | 20 | 12
EDGE Oleguer | Albert Jorquera | 6 | 20 | 9
EDGE Oleguer | Santiago Ezquerro | 4 | 20 | 6
EDGE Juliano Belletti | Thiago Motta | 7 | 15 | 19
EDGE Juliano Belletti | Ronaldinho | 11 | 15 | 49
EDGE Juliano Belletti | Sylvinho | 8 | 15 | 19
EDGE Juliano Belletti | Edmílson | 8 | 15 | 26
EDGE Juliano Belletti | Ludovic Giuly | 8 | 15 | 27
EDGE Juliano Belletti | Albert Jorquera | 3 | 15 | 9
EDGE Juliano Belletti | Rafa Márquez | 9 | 15 | 36
