# Graph for Java/GraphStream
# Nodes: 25
# Edges: 279

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jules Koundé | Gavi | 9 | 45 | 13
EDGE Jules Koundé | Alejandro Balde | 17 | 45 | 22
EDGE Jules Koundé | Fermín López | 14 | 45 | 19
EDGE Jules Koundé | João Félix | 18 | 45 | 24
EDGE Jules Koundé | Sergi Roberto | 13 | 45 | 15
EDGE Jules Koundé | Ferran Torres | 13 | 45 | 20
EDGE Jules Koundé | Iñaki Peña | 15 | 45 | 17
EDGE Jules Koundé | Héctor Fort | 5 | 45 | 6
EDGE Jules Koundé | Vitor Roque | 1 | 45 | 2
EDGE Jules Koundé | Marc Guiu | 2 | 45 | 2
EDGE Jules Koundé | Marcos Alonso | 2 | 45 | 5
EDGE Andreas Christensen | Pedri | 14 | 37 | 21
EDGE Andreas Christensen | İlkay Gündoğan | 30 | 37 | 45
EDGE Andreas Christensen | Raphinha | 16 | 37 | 25
EDGE Andreas Christensen | Lamine Yamal | 20 | 37 | 30
EDGE Andreas Christensen | Robert Lewandowski | 30 | 37 | 44
EDGE Andreas Christensen | Ronald Araujo | 20 | 37 | 33
EDGE Andreas Christensen | Frenkie de Jong | 23 | 37 | 30
EDGE Andreas Christensen | Iñaki Peña | 12 | 37 | 17
EDGE Andreas Christensen | Alejandro Balde | 16 | 37 | 22
EDGE Andreas Christensen | Oriol Romeu | 14 | 37 | 17
EDGE Andreas Christensen | Ferran Torres | 14 | 37 | 20
EDGE Andreas Christensen | Gavi | 10 | 37 | 13
EDGE Andreas Christensen | João Félix | 16 | 37 | 24
EDGE Andreas Christensen | Héctor Fort | 4 | 37 | 6
EDGE Andreas Christensen | Sergi Roberto | 9 | 37 | 15
EDGE Andreas Christensen | Fermín López | 12 | 37 | 19
EDGE Andreas Christensen | Vitor Roque | 2 | 37 | 2
EDGE Andreas Christensen | Marc Guiu | 2 | 37 | 2
EDGE Andreas Christensen | Marcos Alonso | 4 | 37 | 5
EDGE Pedri | İlkay Gündoğan | 18 | 21 | 45
EDGE Pedri | Raphinha | 8 | 21 | 25
EDGE Pedri | Lamine Yamal | 14 | 21 | 30
EDGE Pedri | Robert Lewandowski | 21 | 21 | 44
EDGE Pedri | Iñaki Peña | 10 | 21 | 17
EDGE Pedri | Alejandro Balde | 7 | 21 | 22
EDGE Pedri | Oriol Romeu | 3 | 21 | 17
EDGE Pedri | Frenkie de Jong | 17 | 21 | 30
EDGE Pedri | Ferran Torres | 6 | 21 | 20
EDGE Pedri | Gavi | 1 | 21 | 13
EDGE Pedri | Ronald Araujo | 15 | 21 | 33
EDGE Pedri | Fermín López | 3 | 21 | 19
EDGE Pedri | João Félix | 5 | 21 | 24
EDGE Pedri | Vitor Roque | 1 | 21 | 2
EDGE Pedri | Sergi Roberto | 2 | 21 | 15
EDGE Pedri | Héctor Fort | 1 | 21 | 6
EDGE İlkay Gündoğan | Raphinha | 24 | 45 | 25
EDGE İlkay Gündoğan | Lamine Yamal | 26 | 45 | 30
EDGE İlkay Gündoğan | Robert Lewandowski | 39 | 45 | 44
EDGE İlkay Gündoğan | Ronald Araujo | 31 | 45 | 33
EDGE İlkay Gündoğan | Frenkie de Jong | 25 | 45 | 30
EDGE İlkay Gündoğan | Oriol Romeu | 11 | 45 | 17
EDGE İlkay Gündoğan | Gavi | 12 | 45 | 13
EDGE İlkay Gündoğan | Alejandro Balde | 18 | 45 | 22
EDGE İlkay Gündoğan | Fermín López | 14 | 45 | 19
EDGE İlkay Gündoğan | João Félix | 20 | 45 | 24
EDGE İlkay Gündoğan | Sergi Roberto | 11 | 45 | 15
EDGE İlkay Gündoğan | Iñaki Peña | 13 | 45 | 17
EDGE İlkay Gündoğan | Héctor Fort | 2 | 45 | 6
EDGE İlkay Gündoğan | Ferran Torres | 13 | 45 | 20
EDGE İlkay Gündoğan | Marcos Alonso | 4 | 45 | 5
EDGE İlkay Gündoğan | Marc Guiu | 1 | 45 | 2
EDGE Raphinha | Lamine Yamal | 10 | 25 | 30
EDGE Raphinha | Robert Lewandowski | 22 | 25 | 44
EDGE Raphinha | Ronald Araujo | 19 | 25 | 33
EDGE Raphinha | Frenkie de Jong | 14 | 25 | 30
EDGE Raphinha | Sergi Roberto | 7 | 25 | 15
EDGE Raphinha | Fermín López | 7 | 25 | 19
EDGE Raphinha | Iñaki Peña | 8 | 25 | 17
EDGE Raphinha | Alejandro Balde | 8 | 25 | 22
EDGE Raphinha | João Félix | 12 | 25 | 24
EDGE Raphinha | Ferran Torres | 5 | 25 | 20
EDGE Raphinha | Oriol Romeu | 4 | 25 | 17
EDGE Raphinha | Gavi | 4 | 25 | 13
EDGE Raphinha | Marcos Alonso | 1 | 25 | 5
EDGE Raphinha | Marc Guiu | 1 | 25 | 2
EDGE Raphinha | Héctor Fort | 2 | 25 | 6
EDGE Lamine Yamal | Robert Lewandowski | 27 | 30 | 44
EDGE Lamine Yamal | Ronald Araujo | 16 | 30 | 33
