# Graph for Java/GraphStream
# Nodes: 30
# Edges: 316

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Andoni Iraola | Iñaki Muñoz | 7 | 40 | 8
EDGE Andoni Iraola | David López | 21 | 40 | 23
EDGE Andoni Iraola | Fran Yeste | 23 | 40 | 25
EDGE Andoni Iraola | Fernando Llorente | 25 | 40 | 29
EDGE Andoni Iraola | Ion Vélez | 2 | 40 | 2
EDGE Andoni Iraola | Daniel Aranzubia | 12 | 40 | 14
EDGE Andoni Iraola | Armando Ribeiro | 15 | 40 | 16
EDGE Andoni Iraola | Joseba Garmendia | 8 | 40 | 9
EDGE Andoni Iraola | Ander Murillo | 2 | 40 | 2
EDGE Andoni Iraola | Tiko | 3 | 40 | 4
EDGE Andoni Iraola | Carlos Gurpegui | 4 | 40 | 5
EDGE Andoni Iraola | Luis Prieto | 1 | 40 | 1
EDGE Andoni Iraola | David Cuéllar | 1 | 40 | 1
EDGE Andoni Iraola | Aitor Ramos | 2 | 40 | 3
EDGE Andoni Iraola | Iban Zubiaurre | 1 | 40 | 1
EDGE Javi Martínez | Pablo Orbaiz | 15 | 34 | 22
EDGE Javi Martínez | Joseba Etxeberria | 15 | 34 | 20
EDGE Javi Martínez | Igor Gabilondo | 17 | 34 | 26
EDGE Javi Martínez | Markel Susaeta | 21 | 34 | 27
EDGE Javi Martínez | Aritz Aduriz | 19 | 34 | 23
EDGE Javi Martínez | Fernando Amorebieta | 30 | 34 | 40
EDGE Javi Martínez | Asier del Horno | 13 | 34 | 18
EDGE Javi Martínez | Iñaki Muñoz | 4 | 34 | 8
EDGE Javi Martínez | David López | 18 | 34 | 23
EDGE Javi Martínez | Fran Yeste | 18 | 34 | 25
EDGE Javi Martínez | Fernando Llorente | 22 | 34 | 29
EDGE Javi Martínez | Ion Vélez | 2 | 34 | 2
EDGE Javi Martínez | Daniel Aranzubia | 6 | 34 | 14
EDGE Javi Martínez | Armando Ribeiro | 15 | 34 | 16
EDGE Javi Martínez | Joseba Garmendia | 8 | 34 | 9
EDGE Javi Martínez | Ander Murillo | 1 | 34 | 2
EDGE Javi Martínez | Tiko | 2 | 34 | 4
EDGE Javi Martínez | Carlos Gurpegui | 5 | 34 | 5
EDGE Javi Martínez | Unai Expósito | 1 | 34 | 3
EDGE Javi Martínez | Luis Prieto | 1 | 34 | 1
EDGE Javi Martínez | David Cuéllar | 1 | 34 | 1
EDGE Javi Martínez | Aitor Ramos | 2 | 34 | 3
EDGE Javi Martínez | Urko Arroyo | 1 | 34 | 1
EDGE Pablo Orbaiz | Joseba Etxeberria | 12 | 22 | 20
EDGE Pablo Orbaiz | Igor Gabilondo | 12 | 22 | 26
EDGE Pablo Orbaiz | Markel Susaeta | 13 | 22 | 27
EDGE Pablo Orbaiz | Aritz Aduriz | 15 | 22 | 23
EDGE Pablo Orbaiz | Daniel Aranzubia | 9 | 22 | 14
EDGE Pablo Orbaiz | Fernando Amorebieta | 20 | 22 | 40
EDGE Pablo Orbaiz | Unai Expósito | 1 | 22 | 3
EDGE Pablo Orbaiz | David López | 12 | 22 | 23
EDGE Pablo Orbaiz | Fran Yeste | 11 | 22 | 25
EDGE Pablo Orbaiz | Fernando Llorente | 11 | 22 | 29
EDGE Pablo Orbaiz | Asier del Horno | 8 | 22 | 18
EDGE Pablo Orbaiz | Ion Vélez | 2 | 22 | 2
EDGE Pablo Orbaiz | Joseba Garmendia | 2 | 22 | 9
EDGE Pablo Orbaiz | Ander Murillo | 1 | 22 | 2
EDGE Pablo Orbaiz | Armando Ribeiro | 4 | 22 | 16
EDGE Pablo Orbaiz | Aitor Ramos | 1 | 22 | 3
EDGE Pablo Orbaiz | Iban Zubiaurre | 1 | 22 | 1
EDGE Pablo Orbaiz | Iñaki Muñoz | 1 | 22 | 8
EDGE Joseba Etxeberria | Igor Gabilondo | 14 | 20 | 26
EDGE Joseba Etxeberria | Markel Susaeta | 11 | 20 | 27
EDGE Joseba Etxeberria | Aritz Aduriz | 9 | 20 | 23
EDGE Joseba Etxeberria | Daniel Aranzubia | 6 | 20 | 14
EDGE Joseba Etxeberria | Fernando Amorebieta | 17 | 20 | 40
EDGE Joseba Etxeberria | Unai Expósito | 2 | 20 | 3
EDGE Joseba Etxeberria | David López | 9 | 20 | 23
EDGE Joseba Etxeberria | Fran Yeste | 10 | 20 | 25
EDGE Joseba Etxeberria | Fernando Llorente | 12 | 20 | 29
EDGE Joseba Etxeberria | Asier del Horno | 6 | 20 | 18
EDGE Joseba Etxeberria | Ion Vélez | 2 | 20 | 2
EDGE Joseba Etxeberria | Iñaki Muñoz | 1 | 20 | 8
EDGE Joseba Etxeberria | Armando Ribeiro | 5 | 20 | 16
EDGE Joseba Etxeberria | Tiko | 1 | 20 | 4
EDGE Joseba Etxeberria | Iban Zubiaurre | 1 | 20 | 1
EDGE Joseba Etxeberria | Carlos Gurpegui | 1 | 20 | 5
EDGE Joseba Etxeberria | Joseba Garmendia | 1 | 20 | 9
EDGE Igor Gabilondo | Markel Susaeta | 16 | 26 | 27
EDGE Igor Gabilondo | Aritz Aduriz | 11 | 26 | 23
EDGE Igor Gabilondo | Daniel Aranzubia | 8 | 26 | 14
EDGE Igor Gabilondo | Fernando Amorebieta | 24 | 26 | 40
EDGE Igor Gabilondo | Unai Expósito | 2 | 26 | 3
EDGE Igor Gabilondo | David López | 9 | 26 | 23
EDGE Igor Gabilondo | Fran Yeste | 14 | 26 | 25
EDGE Igor Gabilondo | Fernando Llorente | 18 | 26 | 29
EDGE Igor Gabilondo | Asier del Horno | 9 | 26 | 18
EDGE Igor Gabilondo | Iñaki Muñoz | 4 | 26 | 8
EDGE Igor Gabilondo | Armando Ribeiro | 11 | 26 | 16
EDGE Igor Gabilondo | Joseba Garmendia | 7 | 26 | 9
EDGE Igor Gabilondo | Tiko | 2 | 26 | 4
EDGE Igor Gabilondo | Carlos Gurpegui | 4 | 26 | 5
EDGE Igor Gabilondo | Aitor Ramos | 1 | 26 | 3
EDGE Igor Gabilondo | Ander Murillo | 1 | 26 | 2
EDGE Igor Gabilondo | Iban Zubiaurre | 1 | 26 | 1
EDGE Igor Gabilondo | Urko Arroyo | 1 | 26 | 1
EDGE Markel Susaeta | Aritz Aduriz | 15 | 27 | 23
EDGE Markel Susaeta | Fernando Amorebieta | 23 | 27 | 40
EDGE Markel Susaeta | Asier del Horno | 13 | 27 | 18
