# Graph for Java/GraphStream
# Nodes: 25
# Edges: 264

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Tiago Mendes | Radamel Falcao | 12 | 20 | 41
EDGE Tiago Mendes | Sergio Asenjo | 5 | 20 | 10
EDGE Tiago Mendes | Domingo Cisma | 3 | 20 | 10
EDGE Tiago Mendes | Sílvio | 4 | 20 | 7
EDGE Tiago Mendes | Javier Manquillo | 3 | 20 | 6
EDGE Tiago Mendes | Emre Belözoğlu | 5 | 20 | 11
EDGE Tiago Mendes | Mario Suárez | 3 | 20 | 36
EDGE Tiago Mendes | Saúl Ñíguez | 1 | 20 | 2
EDGE Raúl García | Koke | 9 | 23 | 38
EDGE Raúl García | Cristian Rodríguez | 12 | 23 | 20
EDGE Raúl García | Adrián López | 13 | 23 | 28
EDGE Raúl García | Diego Costa | 12 | 23 | 36
EDGE Raúl García | Diego Godín | 12 | 23 | 42
EDGE Raúl García | Filipe Luís | 15 | 23 | 42
EDGE Raúl García | Mario Suárez | 16 | 23 | 36
EDGE Raúl García | Gabi | 13 | 23 | 44
EDGE Raúl García | Radamel Falcao | 13 | 23 | 41
EDGE Raúl García | Cata Díaz | 11 | 23 | 18
EDGE Raúl García | Sergio Asenjo | 7 | 23 | 10
EDGE Raúl García | Domingo Cisma | 7 | 23 | 10
EDGE Raúl García | Sílvio | 5 | 23 | 7
EDGE Raúl García | Javier Manquillo | 3 | 23 | 6
EDGE Raúl García | Emre Belözoğlu | 7 | 23 | 11
EDGE Raúl García | Arda Turan | 8 | 23 | 35
EDGE Raúl García | Saúl Ñíguez | 2 | 23 | 2
EDGE Koke | Cristian Rodríguez | 9 | 38 | 20
EDGE Koke | Adrián López | 16 | 38 | 28
EDGE Koke | Diego Costa | 30 | 38 | 36
EDGE Koke | Diego Godín | 31 | 38 | 42
EDGE Koke | Filipe Luís | 31 | 38 | 42
EDGE Koke | Mario Suárez | 24 | 38 | 36
EDGE Koke | Gabi | 34 | 38 | 44
EDGE Koke | Radamel Falcao | 28 | 38 | 41
EDGE Koke | Cata Díaz | 9 | 38 | 18
EDGE Koke | Arda Turan | 24 | 38 | 35
EDGE Koke | Javier Manquillo | 3 | 38 | 6
EDGE Koke | Sergio Asenjo | 3 | 38 | 10
EDGE Koke | Sílvio | 3 | 38 | 7
EDGE Koke | Emre Belözoğlu | 2 | 38 | 11
EDGE Koke | Saúl Ñíguez | 1 | 38 | 2
EDGE Koke | Domingo Cisma | 4 | 38 | 10
EDGE Koke | Abdelkader Oueslati | 1 | 38 | 1
EDGE Cristian Rodríguez | Adrián López | 10 | 20 | 28
EDGE Cristian Rodríguez | Diego Costa | 10 | 20 | 36
EDGE Cristian Rodríguez | Sergio Asenjo | 7 | 20 | 10
EDGE Cristian Rodríguez | Cata Díaz | 10 | 20 | 18
EDGE Cristian Rodríguez | Domingo Cisma | 7 | 20 | 10
EDGE Cristian Rodríguez | Sílvio | 5 | 20 | 7
EDGE Cristian Rodríguez | Javier Manquillo | 3 | 20 | 6
EDGE Cristian Rodríguez | Emre Belözoğlu | 7 | 20 | 11
EDGE Cristian Rodríguez | Mario Suárez | 12 | 20 | 36
EDGE Cristian Rodríguez | Saúl Ñíguez | 1 | 20 | 2
EDGE Cristian Rodríguez | Radamel Falcao | 13 | 20 | 41
EDGE Cristian Rodríguez | Diego Godín | 12 | 20 | 42
EDGE Cristian Rodríguez | Filipe Luís | 11 | 20 | 42
EDGE Cristian Rodríguez | Gabi | 11 | 20 | 44
EDGE Cristian Rodríguez | Arda Turan | 8 | 20 | 35
EDGE Cristian Rodríguez | Abdelkader Oueslati | 1 | 20 | 1
EDGE Adrián López | Diego Costa | 12 | 28 | 36
EDGE Adrián López | Diego Godín | 18 | 28 | 42
EDGE Adrián López | Filipe Luís | 18 | 28 | 42
EDGE Adrián López | Mario Suárez | 18 | 28 | 36
EDGE Adrián López | Gabi | 20 | 28 | 44
EDGE Adrián López | Radamel Falcao | 16 | 28 | 41
EDGE Adrián López | Cata Díaz | 11 | 28 | 18
EDGE Adrián López | Sergio Asenjo | 9 | 28 | 10
EDGE Adrián López | Domingo Cisma | 7 | 28 | 10
EDGE Adrián López | Sílvio | 6 | 28 | 7
EDGE Adrián López | Javier Manquillo | 5 | 28 | 6
EDGE Adrián López | Emre Belözoğlu | 8 | 28 | 11
EDGE Adrián López | Arda Turan | 12 | 28 | 35
EDGE Adrián López | Saúl Ñíguez | 2 | 28 | 2
EDGE Adrián López | Abdelkader Oueslati | 1 | 28 | 1
EDGE Diego Costa | Diego Godín | 27 | 36 | 42
EDGE Diego Costa | Cata Díaz | 11 | 36 | 18
EDGE Diego Costa | Filipe Luís | 28 | 36 | 42
EDGE Diego Costa | Gabi | 29 | 36 | 44
EDGE Diego Costa | Arda Turan | 23 | 36 | 35
EDGE Diego Costa | Radamel Falcao | 23 | 36 | 41
EDGE Diego Costa | Sergio Asenjo | 5 | 36 | 10
EDGE Diego Costa | Domingo Cisma | 6 | 36 | 10
EDGE Diego Costa | Sílvio | 4 | 36 | 7
EDGE Diego Costa | Mario Suárez | 21 | 36 | 36
EDGE Diego Costa | Emre Belözoğlu | 6 | 36 | 11
EDGE Diego Costa | Javier Manquillo | 3 | 36 | 6
EDGE Diego Costa | Abdelkader Oueslati | 1 | 36 | 1
EDGE Diego Godín | Filipe Luís | 37 | 42 | 42
EDGE Diego Godín | Mario Suárez | 28 | 42 | 36
EDGE Diego Godín | Gabi | 38 | 42 | 44
EDGE Diego Godín | Radamel Falcao | 36 | 42 | 41
EDGE Diego Godín | Cata Díaz | 6 | 42 | 18
EDGE Diego Godín | Arda Turan | 32 | 42 | 35
EDGE Diego Godín | Emre Belözoğlu | 4 | 42 | 11
EDGE Diego Godín | Javier Manquillo | 3 | 42 | 6
EDGE Diego Godín | Sílvio | 1 | 42 | 7
EDGE Diego Godín | Sergio Asenjo | 2 | 42 | 10
EDGE Diego Godín | Domingo Cisma | 2 | 42 | 10
EDGE Filipe Luís | Mario Suárez | 29 | 42 | 36
EDGE Filipe Luís | Gabi | 37 | 42 | 44
EDGE Filipe Luís | Radamel Falcao | 34 | 42 | 41
EDGE Filipe Luís | Cata Díaz | 9 | 42 | 18
EDGE Filipe Luís | Arda Turan | 29 | 42 | 35
EDGE Filipe Luís | Emre Belözoğlu | 5 | 42 | 11
EDGE Filipe Luís | Javier Manquillo | 3 | 42 | 6
EDGE Filipe Luís | Sergio Asenjo | 4 | 42 | 10
EDGE Filipe Luís | Sílvio | 2 | 42 | 7
EDGE Filipe Luís | Saúl Ñíguez | 1 | 42 | 2
EDGE Mario Suárez | Gabi | 28 | 36 | 44
EDGE Mario Suárez | Radamel Falcao | 28 | 36 | 41
EDGE Mario Suárez | Sergio Asenjo | 6 | 36 | 10
EDGE Mario Suárez | Cata Díaz | 11 | 36 | 18
EDGE Mario Suárez | Domingo Cisma | 6 | 36 | 10
EDGE Mario Suárez | Sílvio | 4 | 36 | 7
EDGE Mario Suárez | Emre Belözoğlu | 5 | 36 | 11
EDGE Mario Suárez | Arda Turan | 23 | 36 | 35
EDGE Mario Suárez | Javier Manquillo | 3 | 36 | 6
