# Graph for Java/GraphStream
# Nodes: 27
# Edges: 297

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Óscar de Marcos | Álex Berenguer | 9 | 30 | 19
EDGE Óscar de Marcos | Yeray Álvarez | 9 | 30 | 14
EDGE Óscar de Marcos | Iñigo Lekue | 13 | 30 | 27
EDGE Óscar de Marcos | Beñat Prados | 12 | 30 | 23
EDGE Óscar de Marcos | Unai Gómez | 6 | 30 | 11
EDGE Óscar de Marcos | Adu Ares | 1 | 30 | 5
EDGE Óscar de Marcos | Asier Villalibre | 4 | 30 | 7
EDGE Óscar de Marcos | Julen Agirrezabala | 6 | 30 | 10
EDGE Óscar de Marcos | Iker Muniain | 6 | 30 | 9
EDGE Óscar de Marcos | Raúl García | 1 | 30 | 3
EDGE Dani García | Iñigo Ruiz de Galarreta | 3 | 7 | 28
EDGE Dani García | Oihan Sancet | 3 | 7 | 31
EDGE Dani García | Nico Williams | 5 | 7 | 33
EDGE Dani García | Iñaki Williams | 5 | 7 | 35
EDGE Dani García | Gorka Guruzeta | 5 | 7 | 34
EDGE Dani García | Yeray Álvarez | 5 | 7 | 14
EDGE Dani García | Yuri Berchiche | 4 | 7 | 27
EDGE Dani García | Ander Herrera | 2 | 7 | 12
EDGE Dani García | Iñigo Lekue | 2 | 7 | 27
EDGE Dani García | Beñat Prados | 2 | 7 | 23
EDGE Dani García | Adu Ares | 1 | 7 | 5
EDGE Dani García | Álex Berenguer | 3 | 7 | 19
EDGE Dani García | Unai Gómez | 2 | 7 | 11
EDGE Dani García | Asier Villalibre | 2 | 7 | 7
EDGE Dani García | Iker Muniain | 1 | 7 | 9
EDGE Dani García | Mikel Jauregizar | 1 | 7 | 1
EDGE Dani García | Mikel Vesga | 1 | 7 | 21
EDGE Iñigo Ruiz de Galarreta | Oihan Sancet | 21 | 28 | 31
EDGE Iñigo Ruiz de Galarreta | Nico Williams | 23 | 28 | 33
EDGE Iñigo Ruiz de Galarreta | Iñaki Williams | 24 | 28 | 35
EDGE Iñigo Ruiz de Galarreta | Gorka Guruzeta | 24 | 28 | 34
EDGE Iñigo Ruiz de Galarreta | Iñigo Lekue | 16 | 28 | 27
EDGE Iñigo Ruiz de Galarreta | Mikel Vesga | 12 | 28 | 21
EDGE Iñigo Ruiz de Galarreta | Yeray Álvarez | 7 | 28 | 14
EDGE Iñigo Ruiz de Galarreta | Yuri Berchiche | 16 | 28 | 27
EDGE Iñigo Ruiz de Galarreta | Beñat Prados | 11 | 28 | 23
EDGE Iñigo Ruiz de Galarreta | Unai Gómez | 5 | 28 | 11
EDGE Iñigo Ruiz de Galarreta | Álex Berenguer | 9 | 28 | 19
EDGE Iñigo Ruiz de Galarreta | Iker Muniain | 3 | 28 | 9
EDGE Iñigo Ruiz de Galarreta | Julen Agirrezabala | 4 | 28 | 10
EDGE Iñigo Ruiz de Galarreta | Raúl García | 1 | 28 | 3
EDGE Iñigo Ruiz de Galarreta | Asier Villalibre | 2 | 28 | 7
EDGE Iñigo Ruiz de Galarreta | Ander Herrera | 1 | 28 | 12
EDGE Iñigo Ruiz de Galarreta | Mikel Jauregizar | 1 | 28 | 1
EDGE Oihan Sancet | Nico Williams | 25 | 31 | 33
EDGE Oihan Sancet | Iñaki Williams | 24 | 31 | 35
EDGE Oihan Sancet | Gorka Guruzeta | 29 | 31 | 34
EDGE Oihan Sancet | Yuri Berchiche | 20 | 31 | 27
EDGE Oihan Sancet | Mikel Vesga | 14 | 31 | 21
EDGE Oihan Sancet | Ander Herrera | 8 | 31 | 12
EDGE Oihan Sancet | Álex Berenguer | 10 | 31 | 19
EDGE Oihan Sancet | Yeray Álvarez | 4 | 31 | 14
EDGE Oihan Sancet | Iñigo Lekue | 17 | 31 | 27
EDGE Oihan Sancet | Beñat Prados | 15 | 31 | 23
EDGE Oihan Sancet | Julen Agirrezabala | 7 | 31 | 10
EDGE Oihan Sancet | Adu Ares | 1 | 31 | 5
EDGE Oihan Sancet | Iker Muniain | 2 | 31 | 9
EDGE Oihan Sancet | Asier Villalibre | 2 | 31 | 7
EDGE Oihan Sancet | Unai Gómez | 1 | 31 | 11
EDGE Nico Williams | Iñaki Williams | 26 | 33 | 35
EDGE Nico Williams | Gorka Guruzeta | 27 | 33 | 34
EDGE Nico Williams | Yeray Álvarez | 8 | 33 | 14
EDGE Nico Williams | Yuri Berchiche | 20 | 33 | 27
EDGE Nico Williams | Ander Herrera | 9 | 33 | 12
EDGE Nico Williams | Iñigo Lekue | 20 | 33 | 27
EDGE Nico Williams | Mikel Vesga | 13 | 33 | 21
EDGE Nico Williams | Beñat Prados | 15 | 33 | 23
EDGE Nico Williams | Unai Gómez | 4 | 33 | 11
EDGE Nico Williams | Álex Berenguer | 7 | 33 | 19
EDGE Nico Williams | Julen Agirrezabala | 5 | 33 | 10
EDGE Nico Williams | Adu Ares | 1 | 33 | 5
EDGE Nico Williams | Iker Muniain | 6 | 33 | 9
EDGE Nico Williams | Raúl García | 1 | 33 | 3
EDGE Nico Williams | Mikel Jauregizar | 1 | 33 | 1
EDGE Nico Williams | Asier Villalibre | 2 | 33 | 7
EDGE Iñaki Williams | Gorka Guruzeta | 29 | 35 | 34
EDGE Iñaki Williams | Yuri Berchiche | 19 | 35 | 27
EDGE Iñaki Williams | Mikel Vesga | 16 | 35 | 21
EDGE Iñaki Williams | Ander Herrera | 9 | 35 | 12
EDGE Iñaki Williams | Álex Berenguer | 10 | 35 | 19
EDGE Iñaki Williams | Yeray Álvarez | 12 | 35 | 14
EDGE Iñaki Williams | Iñigo Lekue | 19 | 35 | 27
EDGE Iñaki Williams | Beñat Prados | 16 | 35 | 23
EDGE Iñaki Williams | Unai Gómez | 8 | 35 | 11
EDGE Iñaki Williams | Adu Ares | 1 | 35 | 5
EDGE Iñaki Williams | Asier Villalibre | 2 | 35 | 7
EDGE Iñaki Williams | Julen Agirrezabala | 5 | 35 | 10
EDGE Iñaki Williams | Iker Muniain | 5 | 35 | 9
EDGE Iñaki Williams | Raúl García | 1 | 35 | 3
EDGE Gorka Guruzeta | Yuri Berchiche | 21 | 34 | 27
EDGE Gorka Guruzeta | Mikel Vesga | 15 | 34 | 21
EDGE Gorka Guruzeta | Ander Herrera | 7 | 34 | 12
EDGE Gorka Guruzeta | Álex Berenguer | 11 | 34 | 19
EDGE Gorka Guruzeta | Yeray Álvarez | 8 | 34 | 14
EDGE Gorka Guruzeta | Iñigo Lekue | 19 | 34 | 27
EDGE Gorka Guruzeta | Beñat Prados | 17 | 34 | 23
EDGE Gorka Guruzeta | Unai Gómez | 4 | 34 | 11
EDGE Gorka Guruzeta | Julen Agirrezabala | 5 | 34 | 10
EDGE Gorka Guruzeta | Adu Ares | 1 | 34 | 5
EDGE Gorka Guruzeta | Iker Muniain | 2 | 34 | 9
EDGE Yuri Berchiche | Mikel Vesga | 11 | 27 | 21
EDGE Yuri Berchiche | Ander Herrera | 8 | 27 | 12
EDGE Yuri Berchiche | Álex Berenguer | 13 | 27 | 19
EDGE Yuri Berchiche | Yeray Álvarez | 7 | 27 | 14
EDGE Yuri Berchiche | Beñat Prados | 13 | 27 | 23
EDGE Yuri Berchiche | Julen Agirrezabala | 6 | 27 | 10
EDGE Yuri Berchiche | Peru Nolaskoain | 1 | 27 | 2
EDGE Yuri Berchiche | Unai Gómez | 4 | 27 | 11
EDGE Yuri Berchiche | Raúl García | 2 | 27 | 3
