# Graph for Java/GraphStream
# Nodes: 24
# Edges: 245

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Yaya Touré | Lionel Messi | 21 | 30 | 46
EDGE Yaya Touré | Zlatan Ibrahimović | 19 | 30 | 37
EDGE Yaya Touré | Gabriel Milito | 7 | 30 | 12
EDGE Yaya Touré | Maxwell | 17 | 30 | 33
EDGE Yaya Touré | Sergio Busquets | 12 | 30 | 39
EDGE Yaya Touré | Pedro | 18 | 30 | 34
EDGE Yaya Touré | Dmytro Chygrynskyi | 7 | 30 | 12
EDGE Yaya Touré | Jeffrén | 6 | 30 | 8
EDGE Yaya Touré | Bojan Krkic | 8 | 30 | 16
EDGE Yaya Touré | Rafa Márquez | 8 | 30 | 14
EDGE Yaya Touré | José Manuel Pinto | 1 | 30 | 4
EDGE Yaya Touré | Gai Assulin | 1 | 30 | 1
EDGE Yaya Touré | Andrés Iniesta | 13 | 30 | 31
EDGE Seydou Keita | Xavi | 32 | 37 | 48
EDGE Seydou Keita | Thierry Henry | 14 | 37 | 23
EDGE Seydou Keita | Lionel Messi | 28 | 37 | 46
EDGE Seydou Keita | Zlatan Ibrahimović | 24 | 37 | 37
EDGE Seydou Keita | Gabriel Milito | 7 | 37 | 12
EDGE Seydou Keita | Maxwell | 18 | 37 | 33
EDGE Seydou Keita | Sergio Busquets | 22 | 37 | 39
EDGE Seydou Keita | Pedro | 20 | 37 | 34
EDGE Seydou Keita | Dmytro Chygrynskyi | 10 | 37 | 12
EDGE Seydou Keita | Andrés Iniesta | 13 | 37 | 31
EDGE Seydou Keita | Bojan Krkic | 9 | 37 | 16
EDGE Seydou Keita | Rafa Márquez | 4 | 37 | 14
EDGE Seydou Keita | José Manuel Pinto | 1 | 37 | 4
EDGE Seydou Keita | Jeffrén | 5 | 37 | 8
EDGE Seydou Keita | Gai Assulin | 1 | 37 | 1
EDGE Xavi | Thierry Henry | 19 | 48 | 23
EDGE Xavi | Lionel Messi | 39 | 48 | 46
EDGE Xavi | Zlatan Ibrahimović | 33 | 48 | 37
EDGE Xavi | Maxwell | 24 | 48 | 33
EDGE Xavi | Sergio Busquets | 30 | 48 | 39
EDGE Xavi | Andrés Iniesta | 25 | 48 | 31
EDGE Xavi | Pedro | 26 | 48 | 34
EDGE Xavi | Dmytro Chygrynskyi | 8 | 48 | 12
EDGE Xavi | Gabriel Milito | 8 | 48 | 12
EDGE Xavi | Bojan Krkic | 10 | 48 | 16
EDGE Xavi | Rafa Márquez | 10 | 48 | 14
EDGE Xavi | Jeffrén | 4 | 48 | 8
EDGE Xavi | José Manuel Pinto | 1 | 48 | 4
