# Graph for Java/GraphStream
# Nodes: 27
# Edges: 296

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergio Ramos | Wesley Sneijder | 20 | 41 | 23
EDGE Sergio Ramos | Gonzalo Higuaín | 30 | 41 | 37
EDGE Sergio Ramos | Lassana Diarra | 19 | 41 | 21
EDGE Sergio Ramos | Klaas-Jan Huntelaar | 12 | 41 | 13
EDGE Sergio Ramos | Christoph Metzelder | 6 | 41 | 11
EDGE Sergio Ramos | Miguel Torres | 8 | 41 | 12
EDGE Sergio Ramos | Guti | 16 | 41 | 19
EDGE Sergio Ramos | Royston Drenthe | 6 | 41 | 9
EDGE Sergio Ramos | Javier Saviola | 2 | 41 | 4
EDGE Sergio Ramos | Javi García | 3 | 41 | 4
EDGE Sergio Ramos | Míchel Salgado | 3 | 41 | 10
EDGE Sergio Ramos | Jerzy Dudek | 1 | 41 | 3
EDGE Mahamadou Diarra | Rubén de la Red | 7 | 12 | 8
EDGE Mahamadou Diarra | Rafael van der Vaart | 7 | 12 | 22
EDGE Mahamadou Diarra | Raúl | 9 | 12 | 45
EDGE Mahamadou Diarra | Arjen Robben | 7 | 12 | 31
EDGE Mahamadou Diarra | Ruud van Nistelrooy | 9 | 12 | 12
EDGE Mahamadou Diarra | Fabio Cannavaro | 6 | 12 | 37
EDGE Mahamadou Diarra | Fernando Gago | 1 | 12 | 31
EDGE Mahamadou Diarra | Wesley Sneijder | 2 | 12 | 23
EDGE Mahamadou Diarra | Gonzalo Higuaín | 8 | 12 | 37
EDGE Mahamadou Diarra | Miguel Torres | 3 | 12 | 12
EDGE Mahamadou Diarra | Guti | 6 | 12 | 19
EDGE Mahamadou Diarra | Jerzy Dudek | 1 | 12 | 3
EDGE Mahamadou Diarra | Christoph Metzelder | 2 | 12 | 11
EDGE Mahamadou Diarra | Míchel Salgado | 3 | 12 | 10
EDGE Mahamadou Diarra | Royston Drenthe | 2 | 12 | 9
EDGE Mahamadou Diarra | Javier Saviola | 1 | 12 | 4
EDGE Mahamadou Diarra | Javi García | 1 | 12 | 4
EDGE Mahamadou Diarra | Robinho | 1 | 12 | 1
EDGE Rubén de la Red | Rafael van der Vaart | 5 | 8 | 22
EDGE Rubén de la Red | Raúl | 6 | 8 | 45
EDGE Rubén de la Red | Arjen Robben | 3 | 8 | 31
EDGE Rubén de la Red | Ruud van Nistelrooy | 6 | 8 | 12
EDGE Rubén de la Red | Fabio Cannavaro | 5 | 8 | 37
EDGE Rubén de la Red | Miguel Torres | 2 | 8 | 12
EDGE Rubén de la Red | Gonzalo Higuaín | 6 | 8 | 37
EDGE Rubén de la Red | Fernando Gago | 1 | 8 | 31
EDGE Rubén de la Red | Wesley Sneijder | 1 | 8 | 23
EDGE Rubén de la Red | Guti | 2 | 8 | 19
EDGE Rubén de la Red | Jerzy Dudek | 1 | 8 | 3
EDGE Rubén de la Red | Christoph Metzelder | 1 | 8 | 11
EDGE Rubén de la Red | Míchel Salgado | 2 | 8 | 10
EDGE Rubén de la Red | Royston Drenthe | 1 | 8 | 9
EDGE Rubén de la Red | Javier Saviola | 1 | 8 | 4
EDGE Rubén de la Red | Javi García | 1 | 8 | 4
EDGE Rubén de la Red | Robinho | 1 | 8 | 1
EDGE Rafael van der Vaart | Raúl | 18 | 22 | 45
EDGE Rafael van der Vaart | Arjen Robben | 14 | 22 | 31
EDGE Rafael van der Vaart | Ruud van Nistelrooy | 8 | 22 | 12
EDGE Rafael van der Vaart | Fabio Cannavaro | 15 | 22 | 37
EDGE Rafael van der Vaart | Miguel Torres | 7 | 22 | 12
EDGE Rafael van der Vaart | Gonzalo Higuaín | 16 | 22 | 37
EDGE Rafael van der Vaart | Christoph Metzelder | 5 | 22 | 11
EDGE Rafael van der Vaart | Fernando Gago | 11 | 22 | 31
EDGE Rafael van der Vaart | Wesley Sneijder | 6 | 22 | 23
EDGE Rafael van der Vaart | Klaas-Jan Huntelaar | 4 | 22 | 13
EDGE Rafael van der Vaart | Guti | 9 | 22 | 19
EDGE Rafael van der Vaart | Lassana Diarra | 4 | 22 | 21
EDGE Rafael van der Vaart | Javi García | 3 | 22 | 4
EDGE Rafael van der Vaart | Míchel Salgado | 8 | 22 | 10
EDGE Rafael van der Vaart | Gary Kagelmacher | 1 | 22 | 1
EDGE Rafael van der Vaart | Royston Drenthe | 3 | 22 | 9
EDGE Rafael van der Vaart | Jerzy Dudek | 2 | 22 | 3
EDGE Rafael van der Vaart | Robinho | 1 | 22 | 1
EDGE Rafael van der Vaart | Javier Saviola | 1 | 22 | 4
EDGE Raúl | Arjen Robben | 28 | 45 | 31
