# Graph for Java/GraphStream
# Nodes: 27
# Edges: 297

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Luis Amaranto Perea | José Manuel Jurado | 6 | 42 | 9
EDGE Luis Amaranto Perea | Ismael Falcón | 4 | 42 | 6
EDGE Luis Amaranto Perea | Juan Valera | 6 | 42 | 11
EDGE Luis Amaranto Perea | Thiago Motta | 4 | 42 | 7
EDGE Luis Amaranto Perea | Fabiano Eller | 13 | 42 | 24
EDGE Luis Amaranto Perea | Peter Luccin | 2 | 42 | 2
EDGE Luis Amaranto Perea | Ignacio Camacho | 8 | 42 | 9
EDGE Luis Amaranto Perea | Martin Petrov | 1 | 42 | 1
EDGE Luis Amaranto Perea | Miguel de las Cuevas | 1 | 42 | 2
EDGE Maniche | Raúl García | 16 | 19 | 44
EDGE Maniche | Luis García | 4 | 19 | 25
EDGE Maniche | Sergio Agüero | 17 | 19 | 45
EDGE Maniche | Maxi Rodríguez | 15 | 19 | 42
EDGE Maniche | Diego Forlán | 15 | 19 | 49
EDGE Maniche | Mariano Pernía | 14 | 19 | 40
EDGE Maniche | Georgios Seitaridis | 13 | 19 | 15
EDGE Maniche | Simão | 11 | 19 | 30
EDGE Maniche | José Antonio Reyes | 8 | 19 | 17
EDGE Maniche | Peter Luccin | 2 | 19 | 2
EDGE Maniche | José Manuel Jurado | 2 | 19 | 9
EDGE Maniche | Christian Abbiati | 4 | 19 | 29
EDGE Maniche | Fabiano Eller | 5 | 19 | 24
EDGE Maniche | Cléber Santana | 2 | 19 | 25
EDGE Maniche | Mista | 2 | 19 | 10
EDGE Maniche | Martin Petrov | 1 | 19 | 1
EDGE Maniche | Juan Valera | 1 | 19 | 11
EDGE Raúl García | Luis García | 16 | 44 | 25
EDGE Raúl García | Sergio Agüero | 39 | 44 | 45
EDGE Raúl García | Maxi Rodríguez | 34 | 44 | 42
EDGE Raúl García | Diego Forlán | 40 | 44 | 49
EDGE Raúl García | Mariano Pernía | 31 | 44 | 40
EDGE Raúl García | Georgios Seitaridis | 13 | 44 | 15
EDGE Raúl García | Simão | 27 | 44 | 30
EDGE Raúl García | José Antonio Reyes | 10 | 44 | 17
EDGE Raúl García | Ismael Falcón | 3 | 44 | 6
EDGE Raúl García | Juan Valera | 7 | 44 | 11
EDGE Raúl García | Thiago Motta | 3 | 44 | 7
EDGE Raúl García | Christian Abbiati | 22 | 44 | 29
EDGE Raúl García | Fabiano Eller | 18 | 44 | 24
EDGE Raúl García | Cléber Santana | 14 | 44 | 25
EDGE Raúl García | José Manuel Jurado | 4 | 44 | 9
EDGE Raúl García | Ignacio Camacho | 9 | 44 | 9
EDGE Raúl García | Mista | 5 | 44 | 10
EDGE Raúl García | Peter Luccin | 1 | 44 | 2
EDGE Raúl García | Martin Petrov | 1 | 44 | 1
EDGE Raúl García | Miguel de las Cuevas | 1 | 44 | 2
EDGE Luis García | Sergio Agüero | 17 | 25 | 45
EDGE Luis García | Maxi Rodríguez | 16 | 25 | 42
EDGE Luis García | Diego Forlán | 22 | 25 | 49
EDGE Luis García | Christian Abbiati | 12 | 25 | 29
EDGE Luis García | Fabiano Eller | 12 | 25 | 24
EDGE Luis García | Mariano Pernía | 19 | 25 | 40
EDGE Luis García | Thiago Motta | 5 | 25 | 7
EDGE Luis García | Cléber Santana | 15 | 25 | 25
EDGE Luis García | José Manuel Jurado | 6 | 25 | 9
EDGE Luis García | José Antonio Reyes | 8 | 25 | 17
EDGE Luis García | Ismael Falcón | 6 | 25 | 6
EDGE Luis García | Juan Valera | 7 | 25 | 11
EDGE Luis García | Mista | 7 | 25 | 10
EDGE Luis García | Ignacio Camacho | 5 | 25 | 9
EDGE Luis García | Simão | 3 | 25 | 30
EDGE Luis García | Georgios Seitaridis | 1 | 25 | 15
EDGE Luis García | Miguel de las Cuevas | 1 | 25 | 2
EDGE Sergio Agüero | Maxi Rodríguez | 38 | 45 | 42
EDGE Sergio Agüero | Diego Forlán | 40 | 45 | 49
EDGE Sergio Agüero | Christian Abbiati | 22 | 45 | 29
EDGE Sergio Agüero | Fabiano Eller | 17 | 45 | 24
EDGE Sergio Agüero | Mariano Pernía | 34 | 45 | 40
EDGE Sergio Agüero | Thiago Motta | 6 | 45 | 7
EDGE Sergio Agüero | Cléber Santana | 15 | 45 | 25
EDGE Sergio Agüero | Georgios Seitaridis | 13 | 45 | 15
EDGE Sergio Agüero | Simão | 27 | 45 | 30
EDGE Sergio Agüero | José Antonio Reyes | 10 | 45 | 17
EDGE Sergio Agüero | Ismael Falcón | 3 | 45 | 6
EDGE Sergio Agüero | Juan Valera | 6 | 45 | 11
EDGE Sergio Agüero | Peter Luccin | 1 | 45 | 2
EDGE Sergio Agüero | José Manuel Jurado | 5 | 45 | 9
EDGE Sergio Agüero | Ignacio Camacho | 9 | 45 | 9
