# Graph for Java/GraphStream
# Nodes: 23
# Edges: 225

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jan Oblak | Mario Hermoso | 29 | 51 | 29
EDGE Jan Oblak | José María Giménez | 32 | 51 | 32
EDGE Jan Oblak | Stefan Savic | 33 | 51 | 33
EDGE Jan Oblak | Koke | 40 | 51 | 40
EDGE Jan Oblak | Marcos Llorente | 39 | 51 | 39
EDGE Jan Oblak | Thomas Lemar | 24 | 51 | 24
EDGE Jan Oblak | Kieran Trippier | 15 | 51 | 15
EDGE Jan Oblak | Yannick Carrasco | 37 | 51 | 37
EDGE Jan Oblak | Ángel Correa | 26 | 51 | 26
EDGE Jan Oblak | Luis Suárez | 26 | 51 | 26
EDGE Jan Oblak | Reinildo Mandava | 19 | 51 | 19
EDGE Jan Oblak | Renan Lodi | 19 | 51 | 19
EDGE Jan Oblak | Geoffrey Kondogbia | 30 | 51 | 30
EDGE Jan Oblak | Héctor Herrera | 11 | 51 | 11
EDGE Jan Oblak | Antoine Griezmann | 27 | 51 | 27
EDGE Jan Oblak | Saúl Ñíguez | 2 | 51 | 2
EDGE Jan Oblak | Sime Vrsaljko | 15 | 51 | 15
EDGE Jan Oblak | Rodrigo De Paul | 31 | 51 | 31
EDGE Jan Oblak | João Félix | 22 | 51 | 22
EDGE Jan Oblak | Javi Serrano | 1 | 51 | 1
EDGE Jan Oblak | Felipe | 23 | 51 | 23
EDGE Jan Oblak | Matheus Cunha | 9 | 51 | 9
EDGE Mario Hermoso | José María Giménez | 17 | 29 | 32
EDGE Mario Hermoso | Stefan Savic | 13 | 29 | 33
EDGE Mario Hermoso | Koke | 24 | 29 | 40
EDGE Mario Hermoso | Marcos Llorente | 18 | 29 | 39
EDGE Mario Hermoso | Thomas Lemar | 17 | 29 | 24
EDGE Mario Hermoso | Kieran Trippier | 14 | 29 | 15
EDGE Mario Hermoso | Yannick Carrasco | 27 | 29 | 37
EDGE Mario Hermoso | Ángel Correa | 16 | 29 | 26
EDGE Mario Hermoso | Luis Suárez | 20 | 29 | 26
EDGE Mario Hermoso | Reinildo Mandava | 2 | 29 | 19
EDGE Mario Hermoso | Renan Lodi | 7 | 29 | 19
EDGE Mario Hermoso | Geoffrey Kondogbia | 14 | 29 | 30
EDGE Mario Hermoso | Héctor Herrera | 3 | 29 | 11
EDGE Mario Hermoso | Antoine Griezmann | 15 | 29 | 27
EDGE Mario Hermoso | Saúl Ñíguez | 1 | 29 | 2
EDGE Mario Hermoso | Sime Vrsaljko | 6 | 29 | 15
EDGE Mario Hermoso | Rodrigo De Paul | 19 | 29 | 31
EDGE Mario Hermoso | João Félix | 11 | 29 | 22
EDGE Mario Hermoso | Javi Serrano | 1 | 29 | 1
EDGE Mario Hermoso | Felipe | 14 | 29 | 23
EDGE Mario Hermoso | Matheus Cunha | 2 | 29 | 9
EDGE José María Giménez | Stefan Savic | 22 | 32 | 33
EDGE José María Giménez | Koke | 23 | 32 | 40
EDGE José María Giménez | Marcos Llorente | 24 | 32 | 39
EDGE José María Giménez | Thomas Lemar | 14 | 32 | 24
EDGE José María Giménez | Kieran Trippier | 9 | 32 | 15
EDGE José María Giménez | Yannick Carrasco | 24 | 32 | 37
EDGE José María Giménez | Ángel Correa | 16 | 32 | 26
EDGE José María Giménez | Luis Suárez | 18 | 32 | 26
EDGE José María Giménez | Reinildo Mandava | 13 | 32 | 19
EDGE José María Giménez | Renan Lodi | 12 | 32 | 19
EDGE José María Giménez | Geoffrey Kondogbia | 16 | 32 | 30
EDGE José María Giménez | Héctor Herrera | 10 | 32 | 11
EDGE José María Giménez | Antoine Griezmann | 14 | 32 | 27
EDGE José María Giménez | Saúl Ñíguez | 2 | 32 | 2
EDGE José María Giménez | Sime Vrsaljko | 10 | 32 | 15
EDGE José María Giménez | Rodrigo De Paul | 19 | 32 | 31
EDGE José María Giménez | João Félix | 15 | 32 | 22
EDGE José María Giménez | Matheus Cunha | 4 | 32 | 9
EDGE José María Giménez | Felipe | 6 | 32 | 23
EDGE Stefan Savic | Koke | 27 | 33 | 40
EDGE Stefan Savic | Marcos Llorente | 29 | 33 | 39
EDGE Stefan Savic | Thomas Lemar | 13 | 33 | 24
EDGE Stefan Savic | Kieran Trippier | 7 | 33 | 15
EDGE Stefan Savic | Yannick Carrasco | 21 | 33 | 37
EDGE Stefan Savic | Ángel Correa | 17 | 33 | 26
EDGE Stefan Savic | Luis Suárez | 14 | 33 | 26
EDGE Stefan Savic | Geoffrey Kondogbia | 18 | 33 | 30
EDGE Stefan Savic | Saúl Ñíguez | 2 | 33 | 2
EDGE Stefan Savic | Sime Vrsaljko | 10 | 33 | 15
EDGE Stefan Savic | Rodrigo De Paul | 19 | 33 | 31
EDGE Stefan Savic | João Félix | 12 | 33 | 22
EDGE Stefan Savic | Reinildo Mandava | 17 | 33 | 19
EDGE Stefan Savic | Héctor Herrera | 7 | 33 | 11
EDGE Stefan Savic | Antoine Griezmann | 21 | 33 | 27
EDGE Stefan Savic | Renan Lodi | 11 | 33 | 19
