# Graph for Java/GraphStream
# Nodes: 25
# Edges: 252

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Mario Gaspar | Chechu Dorado | 16 | 36 | 19
EDGE Mario Gaspar | Jonathan Pereira | 15 | 36 | 18
EDGE Mario Gaspar | Jérémy Perbet | 12 | 36 | 16
EDGE Mario Gaspar | Moi Gómez | 14 | 36 | 17
EDGE Mario Gaspar | Juan Carlos | 3 | 36 | 7
EDGE Mario Gaspar | Matías Nahuel | 2 | 36 | 2
EDGE Mario Gaspar | Aleksandar Pantic | 5 | 36 | 10
EDGE Mario Gaspar | Joan Román | 1 | 36 | 1
EDGE Mario Gaspar | Edu Ramos | 2 | 36 | 2
EDGE Mario Gaspar | Pablo Iñiguez | 3 | 36 | 3
EDGE Bruno Soriano | Manu Trigueros | 20 | 38 | 24
EDGE Bruno Soriano | Giovani dos Santos | 25 | 38 | 28
EDGE Bruno Soriano | Javier Aquino | 18 | 38 | 21
EDGE Bruno Soriano | Hernán Pérez | 8 | 38 | 10
EDGE Bruno Soriano | Ikechukwu Uche | 17 | 38 | 19
EDGE Bruno Soriano | Bojan Jokic | 17 | 38 | 18
EDGE Bruno Soriano | Tomás Pina | 21 | 38 | 25
EDGE Bruno Soriano | Cani | 24 | 38 | 25
EDGE Bruno Soriano | Óliver Torres | 6 | 38 | 6
EDGE Bruno Soriano | Chechu Dorado | 15 | 38 | 19
EDGE Bruno Soriano | Jonathan Pereira | 18 | 38 | 18
EDGE Bruno Soriano | Juan Carlos | 6 | 38 | 7
EDGE Bruno Soriano | Aleksandar Pantic | 9 | 38 | 10
EDGE Bruno Soriano | Moi Gómez | 15 | 38 | 17
EDGE Bruno Soriano | Jérémy Perbet | 14 | 38 | 16
EDGE Bruno Soriano | Matías Nahuel | 2 | 38 | 2
EDGE Bruno Soriano | Joan Román | 1 | 38 | 1
EDGE Bruno Soriano | Pablo Iñiguez | 3 | 38 | 3
EDGE Bruno Soriano | Edu Ramos | 1 | 38 | 2
EDGE Manu Trigueros | Giovani dos Santos | 15 | 24 | 28
EDGE Manu Trigueros | Javier Aquino | 14 | 24 | 21
EDGE Manu Trigueros | Hernán Pérez | 6 | 24 | 10
EDGE Manu Trigueros | Ikechukwu Uche | 14 | 24 | 19
EDGE Manu Trigueros | Chechu Dorado | 13 | 24 | 19
EDGE Manu Trigueros | Cani | 14 | 24 | 25
EDGE Manu Trigueros | Jonathan Pereira | 8 | 24 | 18
EDGE Manu Trigueros | Jérémy Perbet | 8 | 24 | 16
EDGE Manu Trigueros | Bojan Jokic | 9 | 24 | 18
EDGE Manu Trigueros | Tomás Pina | 9 | 24 | 25
EDGE Manu Trigueros | Óliver Torres | 2 | 24 | 6
EDGE Manu Trigueros | Moi Gómez | 9 | 24 | 17
EDGE Manu Trigueros | Juan Carlos | 4 | 24 | 7
EDGE Manu Trigueros | Aleksandar Pantic | 4 | 24 | 10
EDGE Manu Trigueros | Joan Román | 1 | 24 | 1
EDGE Manu Trigueros | Edu Ramos | 1 | 24 | 2
EDGE Giovani dos Santos | Javier Aquino | 16 | 28 | 21
EDGE Giovani dos Santos | Hernán Pérez | 6 | 28 | 10
EDGE Giovani dos Santos | Ikechukwu Uche | 12 | 28 | 19
EDGE Giovani dos Santos | Bojan Jokic | 12 | 28 | 18
EDGE Giovani dos Santos | Tomás Pina | 16 | 28 | 25
EDGE Giovani dos Santos | Cani | 16 | 28 | 25
EDGE Giovani dos Santos | Óliver Torres | 3 | 28 | 6
EDGE Giovani dos Santos | Chechu Dorado | 15 | 28 | 19
EDGE Giovani dos Santos | Jonathan Pereira | 8 | 28 | 18
EDGE Giovani dos Santos | Moi Gómez | 11 | 28 | 17
EDGE Giovani dos Santos | Jérémy Perbet | 7 | 28 | 16
EDGE Giovani dos Santos | Juan Carlos | 5 | 28 | 7
