# Graph for Java/GraphStream
# Nodes: 27
# Edges: 283

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Dani Alves | Sergi Samper | 1 | 45 | 3
EDGE Javier Mascherano | Sergio Busquets | 32 | 45 | 42
EDGE Javier Mascherano | Xavi | 14 | 45 | 21
EDGE Javier Mascherano | Neymar | 36 | 45 | 47
EDGE Javier Mascherano | Lionel Messi | 43 | 45 | 56
EDGE Javier Mascherano | Luis Suárez | 33 | 45 | 41
EDGE Javier Mascherano | Andrés Iniesta | 30 | 45 | 36
EDGE Javier Mascherano | Ivan Rakitic | 31 | 45 | 39
EDGE Javier Mascherano | Marc-André ter Stegen | 18 | 45 | 21
EDGE Javier Mascherano | Marc Bartra | 12 | 45 | 20
EDGE Javier Mascherano | Pedro | 16 | 45 | 22
EDGE Javier Mascherano | Martín Montoya | 8 | 45 | 10
EDGE Javier Mascherano | Rafinha | 11 | 45 | 19
EDGE Javier Mascherano | Adriano | 7 | 45 | 14
EDGE Javier Mascherano | Munir El Haddadi | 6 | 45 | 11
EDGE Javier Mascherano | Sergi Roberto | 4 | 45 | 8
EDGE Javier Mascherano | Jordi Masip | 1 | 45 | 2
EDGE Javier Mascherano | Sergi Samper | 1 | 45 | 3
EDGE Sergio Busquets | Xavi | 13 | 42 | 21
EDGE Sergio Busquets | Neymar | 35 | 42 | 47
EDGE Sergio Busquets | Lionel Messi | 41 | 42 | 56
EDGE Sergio Busquets | Luis Suárez | 31 | 42 | 41
EDGE Sergio Busquets | Marc Bartra | 7 | 42 | 20
EDGE Sergio Busquets | Douglas | 1 | 42 | 2
EDGE Sergio Busquets | Andrés Iniesta | 29 | 42 | 36
EDGE Sergio Busquets | Ivan Rakitic | 30 | 42 | 39
EDGE Sergio Busquets | Pedro | 12 | 42 | 22
EDGE Sergio Busquets | Adriano | 6 | 42 | 14
EDGE Sergio Busquets | Munir El Haddadi | 7 | 42 | 11
EDGE Sergio Busquets | Rafinha | 10 | 42 | 19
EDGE Sergio Busquets | Martín Montoya | 6 | 42 | 10
EDGE Sergio Busquets | Marc-André ter Stegen | 13 | 42 | 21
EDGE Xavi | Neymar | 17 | 21 | 47
EDGE Xavi | Lionel Messi | 20 | 21 | 56
EDGE Xavi | Luis Suárez | 14 | 21 | 41
EDGE Xavi | Jordi Masip | 1 | 21 | 2
EDGE Xavi | Thomas Vermaelen | 1 | 21 | 1
EDGE Xavi | Marc Bartra | 10 | 21 | 20
EDGE Xavi | Adriano | 8 | 21 | 14
EDGE Xavi | Sergi Roberto | 4 | 21 | 8
EDGE Xavi | Rafinha | 4 | 21 | 19
EDGE Xavi | Pedro | 8 | 21 | 22
EDGE Xavi | Martín Montoya | 3 | 21 | 10
EDGE Xavi | Andrés Iniesta | 4 | 21 | 36
EDGE Xavi | Ivan Rakitic | 9 | 21 | 39
EDGE Xavi | Munir El Haddadi | 4 | 21 | 11
EDGE Xavi | Marc-André ter Stegen | 2 | 21 | 21
EDGE Xavi | Sergi Samper | 1 | 21 | 3
EDGE Neymar | Lionel Messi | 47 | 47 | 56
EDGE Neymar | Luis Suárez | 35 | 47 | 41
EDGE Neymar | Andrés Iniesta | 29 | 47 | 36
EDGE Neymar | Ivan Rakitic | 30 | 47 | 39
EDGE Neymar | Jordi Masip | 1 | 47 | 2
EDGE Neymar | Thomas Vermaelen | 1 | 47 | 1
EDGE Neymar | Marc Bartra | 14 | 47 | 20
EDGE Neymar | Adriano | 9 | 47 | 14
EDGE Neymar | Sergi Roberto | 5 | 47 | 8
EDGE Neymar | Rafinha | 12 | 47 | 19
EDGE Neymar | Pedro | 10 | 47 | 22
EDGE Neymar | Marc-André ter Stegen | 18 | 47 | 21
EDGE Neymar | Martín Montoya | 5 | 47 | 10
EDGE Neymar | Douglas | 1 | 47 | 2
EDGE Neymar | Munir El Haddadi | 3 | 47 | 11
EDGE Neymar | Sergi Samper | 1 | 47 | 3
EDGE Lionel Messi | Luis Suárez | 40 | 56 | 41
EDGE Lionel Messi | Andrés Iniesta | 33 | 56 | 36
EDGE Lionel Messi | Ivan Rakitic | 38 | 56 | 39
EDGE Lionel Messi | Jordi Masip | 1 | 56 | 2
EDGE Lionel Messi | Thomas Vermaelen | 1 | 56 | 1
EDGE Lionel Messi | Marc Bartra | 17 | 56 | 20
EDGE Lionel Messi | Adriano | 11 | 56 | 14
EDGE Lionel Messi | Sergi Roberto | 6 | 56 | 8
EDGE Lionel Messi | Rafinha | 16 | 56 | 19
EDGE Lionel Messi | Pedro | 18 | 56 | 22
EDGE Lionel Messi | Marc-André ter Stegen | 19 | 56 | 21
EDGE Lionel Messi | Martín Montoya | 7 | 56 | 10
EDGE Lionel Messi | Douglas | 1 | 56 | 2
EDGE Lionel Messi | Munir El Haddadi | 7 | 56 | 11
EDGE Lionel Messi | Sergi Samper | 1 | 56 | 3
EDGE Luis Suárez | Andrés Iniesta | 26 | 41 | 36
EDGE Luis Suárez | Ivan Rakitic | 27 | 41 | 39
EDGE Luis Suárez | Marc-André ter Stegen | 16 | 41 | 21
EDGE Luis Suárez | Rafinha | 11 | 41 | 19
EDGE Luis Suárez | Pedro | 7 | 41 | 22
EDGE Luis Suárez | Adriano | 6 | 41 | 14
EDGE Luis Suárez | Marc Bartra | 9 | 41 | 20
EDGE Luis Suárez | Martín Montoya | 5 | 41 | 10
EDGE Luis Suárez | Munir El Haddadi | 1 | 41 | 11
EDGE Luis Suárez | Sergi Roberto | 3 | 41 | 8
EDGE Andrés Iniesta | Ivan Rakitic | 24 | 36 | 39
EDGE Andrés Iniesta | Marc-André ter Stegen | 16 | 36 | 21
EDGE Andrés Iniesta | Marc Bartra | 6 | 36 | 20
EDGE Andrés Iniesta | Pedro | 12 | 36 | 22
EDGE Andrés Iniesta | Douglas | 2 | 36 | 2
EDGE Andrés Iniesta | Rafinha | 9 | 36 | 19
EDGE Andrés Iniesta | Adriano | 3 | 36 | 14
EDGE Andrés Iniesta | Sergi Samper | 2 | 36 | 3
EDGE Andrés Iniesta | Munir El Haddadi | 6 | 36 | 11
EDGE Andrés Iniesta | Martín Montoya | 6 | 36 | 10
EDGE Andrés Iniesta | Jordi Masip | 1 | 36 | 2
EDGE Andrés Iniesta | Sergi Roberto | 1 | 36 | 8
EDGE Ivan Rakitic | Marc-André ter Stegen | 16 | 39 | 21
EDGE Ivan Rakitic | Marc Bartra | 11 | 39 | 20
EDGE Ivan Rakitic | Pedro | 14 | 39 | 22
EDGE Ivan Rakitic | Douglas | 2 | 39 | 2
EDGE Ivan Rakitic | Adriano | 6 | 39 | 14
EDGE Ivan Rakitic | Sergi Samper | 1 | 39 | 3
EDGE Ivan Rakitic | Munir El Haddadi | 6 | 39 | 11
EDGE Ivan Rakitic | Rafinha | 7 | 39 | 19
EDGE Ivan Rakitic | Martín Montoya | 5 | 39 | 10
EDGE Ivan Rakitic | Sergi Roberto | 3 | 39 | 8
EDGE Jordi Masip | Thomas Vermaelen | 1 | 2 | 1
EDGE Jordi Masip | Marc Bartra | 2 | 2 | 20
EDGE Jordi Masip | Adriano | 2 | 2 | 14
EDGE Jordi Masip | Sergi Roberto | 2 | 2 | 8
EDGE Jordi Masip | Rafinha | 2 | 2 | 19
EDGE Jordi Masip | Pedro | 2 | 2 | 22
EDGE Jordi Masip | Martín Montoya | 1 | 2 | 10
EDGE Jordi Masip | Sergi Samper | 1 | 2 | 3
EDGE Jordi Masip | Munir El Haddadi | 1 | 2 | 11
EDGE Thomas Vermaelen | Marc Bartra | 1 | 1 | 20
EDGE Thomas Vermaelen | Adriano | 1 | 1 | 14
EDGE Thomas Vermaelen | Sergi Roberto | 1 | 1 | 8
EDGE Thomas Vermaelen | Rafinha | 1 | 1 | 19
EDGE Thomas Vermaelen | Pedro | 1 | 1 | 22
EDGE Marc Bartra | Adriano | 11 | 20 | 14
EDGE Marc Bartra | Sergi Roberto | 7 | 20 | 8
EDGE Marc Bartra | Rafinha | 10 | 20 | 19
EDGE Marc Bartra | Pedro | 12 | 20 | 22
EDGE Marc Bartra | Marc-André ter Stegen | 8 | 20 | 21
