# Graph for Java/GraphStream
# Nodes: 31
# Edges: 335

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Mario Gaspar | Bruno Soriano | 22 | 27 | 36
EDGE Mario Gaspar | Javier Farinós | 8 | 27 | 8
EDGE Mario Gaspar | Cani | 23 | 27 | 35
EDGE Mario Gaspar | Moi Gómez | 9 | 27 | 17
EDGE Mario Gaspar | Jérémy Perbet | 15 | 27 | 15
EDGE Mario Gaspar | Jonathan Pereira | 9 | 27 | 11
EDGE Mario Gaspar | Jaume Costa | 17 | 27 | 25
EDGE Mario Gaspar | Javier Aquino | 10 | 27 | 10
EDGE Mario Gaspar | Ikechukwu Uche | 12 | 27 | 23
EDGE Mario Gaspar | Olof Mellberg | 15 | 27 | 26
EDGE Mario Gaspar | Marcos Senna | 11 | 27 | 25
EDGE Mario Gaspar | Manu Trigueros | 9 | 27 | 21
EDGE Mario Gaspar | Hernán Pérez | 4 | 27 | 8
EDGE Mario Gaspar | Fernando Cavenaghi | 7 | 27 | 16
EDGE Mario Gaspar | Gerard Bordas | 2 | 27 | 2
EDGE Mario Gaspar | Héctor Canteros | 10 | 27 | 10
EDGE Mario Gaspar | Gerard Moreno | 7 | 27 | 8
EDGE Mario Gaspar | Diego Mariño | 1 | 27 | 10
EDGE Mario Gaspar | Florian Lejeune | 2 | 27 | 2
EDGE Mario Gaspar | Dani Toribio | 1 | 27 | 3
EDGE Mario Gaspar | Juanma | 1 | 27 | 1
EDGE Mario Gaspar | Pablo Iñiguez | 3 | 27 | 6
EDGE Bruno Soriano | Javier Farinós | 5 | 36 | 8
EDGE Bruno Soriano | Cani | 30 | 36 | 35
EDGE Bruno Soriano | Moi Gómez | 15 | 36 | 17
EDGE Bruno Soriano | Jérémy Perbet | 14 | 36 | 15
EDGE Bruno Soriano | Jonathan Pereira | 8 | 36 | 11
EDGE Bruno Soriano | Diego Mariño | 8 | 36 | 10
EDGE Bruno Soriano | Javi Venta | 14 | 36 | 16
EDGE Bruno Soriano | Marcos Senna | 18 | 36 | 25
EDGE Bruno Soriano | Manu Trigueros | 15 | 36 | 21
EDGE Bruno Soriano | Jaume Costa | 21 | 36 | 25
EDGE Bruno Soriano | Ikechukwu Uche | 21 | 36 | 23
EDGE Bruno Soriano | Javier Aquino | 10 | 36 | 10
EDGE Bruno Soriano | Hernán Pérez | 7 | 36 | 8
EDGE Bruno Soriano | Olof Mellberg | 21 | 36 | 26
EDGE Bruno Soriano | Fernando Cavenaghi | 13 | 36 | 16
EDGE Bruno Soriano | Gerard Bordas | 1 | 36 | 2
EDGE Bruno Soriano | Walter Pandiani | 3 | 36 | 4
EDGE Bruno Soriano | Guillem Truyols | 2 | 36 | 2
EDGE Bruno Soriano | Dani Toribio | 1 | 36 | 3
EDGE Bruno Soriano | Héctor Canteros | 9 | 36 | 10
EDGE Bruno Soriano | Gerard Moreno | 6 | 36 | 8
EDGE Bruno Soriano | Juanma | 1 | 36 | 1
EDGE Bruno Soriano | Florian Lejeune | 1 | 36 | 2
EDGE Bruno Soriano | Pablo Iñiguez | 5 | 36 | 6
EDGE Bruno Soriano | Jorge Palatsí | 1 | 36 | 1
EDGE Javier Farinós | Cani | 4 | 8 | 35
EDGE Javier Farinós | Moi Gómez | 6 | 8 | 17
EDGE Javier Farinós | Jérémy Perbet | 4 | 8 | 15
EDGE Javier Farinós | Jonathan Pereira | 6 | 8 | 11
EDGE Javier Farinós | Jaume Costa | 5 | 8 | 25
EDGE Javier Farinós | Javier Aquino | 3 | 8 | 10
EDGE Javier Farinós | Ikechukwu Uche | 5 | 8 | 23
EDGE Javier Farinós | Olof Mellberg | 2 | 8 | 26
EDGE Javier Farinós | Marcos Senna | 3 | 8 | 25
