# Graph for Java/GraphStream
# Nodes: 26
# Edges: 279

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Daniel Carvajal | Nacho Fernández | 11 | 29 | 26
EDGE Daniel Carvajal | Lucas Vázquez | 3 | 29 | 26
EDGE Daniel Carvajal | Eden Hazard | 2 | 29 | 9
EDGE Casemiro | Toni Kroos | 33 | 46 | 40
EDGE Casemiro | Luka Modrić | 34 | 46 | 40
EDGE Casemiro | Vinicius Junior | 39 | 46 | 47
EDGE Casemiro | Rodrygo | 19 | 46 | 25
EDGE Casemiro | Karim Benzema | 37 | 46 | 45
EDGE Casemiro | Nacho Fernández | 19 | 46 | 26
EDGE Casemiro | Lucas Vázquez | 20 | 46 | 26
EDGE Casemiro | Federico Valverde | 20 | 46 | 29
EDGE Casemiro | Jesús Vallejo | 3 | 46 | 4
EDGE Casemiro | Marcelo | 5 | 46 | 7
EDGE Casemiro | Eduardo Camavinga | 8 | 46 | 16
EDGE Casemiro | Dani Ceballos | 1 | 46 | 2
EDGE Casemiro | Marco Asensio | 19 | 46 | 23
EDGE Casemiro | Mariano Díaz | 4 | 46 | 4
EDGE Casemiro | Miguel Gutiérrez | 3 | 46 | 4
EDGE Casemiro | Isco | 2 | 46 | 3
EDGE Casemiro | Gareth Bale | 4 | 46 | 4
EDGE Casemiro | Eden Hazard | 8 | 46 | 9
EDGE Casemiro | Andriy Lunin | 3 | 46 | 4
EDGE Casemiro | Luka Jović | 2 | 46 | 3
EDGE Toni Kroos | Luka Modrić | 31 | 40 | 40
EDGE Toni Kroos | Vinicius Junior | 36 | 40 | 47
EDGE Toni Kroos | Rodrygo | 17 | 40 | 25
EDGE Toni Kroos | Karim Benzema | 31 | 40 | 45
EDGE Toni Kroos | Nacho Fernández | 15 | 40 | 26
EDGE Toni Kroos | Lucas Vázquez | 19 | 40 | 26
EDGE Toni Kroos | Eduardo Camavinga | 8 | 40 | 16
EDGE Toni Kroos | Federico Valverde | 15 | 40 | 29
EDGE Toni Kroos | Andriy Lunin | 3 | 40 | 4
EDGE Toni Kroos | Marcelo | 4 | 40 | 7
EDGE Toni Kroos | Luka Jović | 3 | 40 | 3
EDGE Toni Kroos | Eden Hazard | 3 | 40 | 9
EDGE Toni Kroos | Marco Asensio | 18 | 40 | 23
EDGE Toni Kroos | Isco | 1 | 40 | 3
EDGE Toni Kroos | Jesús Vallejo | 2 | 40 | 4
EDGE Toni Kroos | Mariano Díaz | 2 | 40 | 4
EDGE Toni Kroos | Gareth Bale | 1 | 40 | 4
EDGE Luka Modrić | Vinicius Junior | 36 | 40 | 47
EDGE Luka Modrić | Rodrygo | 17 | 40 | 25
EDGE Luka Modrić | Karim Benzema | 34 | 40 | 45
EDGE Luka Modrić | Nacho Fernández | 16 | 40 | 26
EDGE Luka Modrić | Lucas Vázquez | 17 | 40 | 26
EDGE Luka Modrić | Eduardo Camavinga | 6 | 40 | 16
EDGE Luka Modrić | Federico Valverde | 16 | 40 | 29
EDGE Luka Modrić | Jesús Vallejo | 2 | 40 | 4
EDGE Luka Modrić | Marcelo | 3 | 40 | 7
EDGE Luka Modrić | Dani Ceballos | 1 | 40 | 2
EDGE Luka Modrić | Marco Asensio | 16 | 40 | 23
EDGE Luka Modrić | Mariano Díaz | 2 | 40 | 4
EDGE Luka Modrić | Eden Hazard | 4 | 40 | 9
EDGE Luka Modrić | Isco | 1 | 40 | 3
EDGE Luka Modrić | Luka Jović | 1 | 40 | 3
EDGE Luka Modrić | Gareth Bale | 1 | 40 | 4
EDGE Luka Modrić | Miguel Gutiérrez | 1 | 40 | 4
EDGE Vinicius Junior | Rodrygo | 18 | 47 | 25
EDGE Vinicius Junior | Karim Benzema | 41 | 47 | 45
EDGE Vinicius Junior | Nacho Fernández | 20 | 47 | 26
EDGE Vinicius Junior | Lucas Vázquez | 19 | 47 | 26
EDGE Vinicius Junior | Eduardo Camavinga | 11 | 47 | 16
EDGE Vinicius Junior | Federico Valverde | 24 | 47 | 29
EDGE Vinicius Junior | Andriy Lunin | 1 | 47 | 4
EDGE Vinicius Junior | Marcelo | 4 | 47 | 7
EDGE Vinicius Junior | Luka Jović | 2 | 47 | 3
EDGE Vinicius Junior | Eden Hazard | 6 | 47 | 9
EDGE Vinicius Junior | Jesús Vallejo | 1 | 47 | 4
EDGE Vinicius Junior | Marco Asensio | 17 | 47 | 23
EDGE Vinicius Junior | Miguel Gutiérrez | 4 | 47 | 4
EDGE Vinicius Junior | Isco | 1 | 47 | 3
EDGE Vinicius Junior | Gareth Bale | 2 | 47 | 4
EDGE Vinicius Junior | Mariano Díaz | 1 | 47 | 4
EDGE Rodrygo | Karim Benzema | 15 | 25 | 45
EDGE Rodrygo | Nacho Fernández | 12 | 25 | 26
EDGE Rodrygo | Lucas Vázquez | 14 | 25 | 26
EDGE Rodrygo | Federico Valverde | 11 | 25 | 29
EDGE Rodrygo | Andriy Lunin | 4 | 25 | 4
EDGE Rodrygo | Marcelo | 6 | 25 | 7
EDGE Rodrygo | Eduardo Camavinga | 10 | 25 | 16
EDGE Rodrygo | Luka Jović | 3 | 25 | 3
EDGE Rodrygo | Jesús Vallejo | 4 | 25 | 4
EDGE Rodrygo | Dani Ceballos | 2 | 25 | 2
EDGE Rodrygo | Marco Asensio | 9 | 25 | 23
EDGE Rodrygo | Mariano Díaz | 4 | 25 | 4
EDGE Rodrygo | Miguel Gutiérrez | 1 | 25 | 4
EDGE Rodrygo | Isco | 1 | 25 | 3
EDGE Rodrygo | Eden Hazard | 1 | 25 | 9
EDGE Karim Benzema | Nacho Fernández | 20 | 45 | 26
EDGE Karim Benzema | Lucas Vázquez | 20 | 45 | 26
EDGE Karim Benzema | Eduardo Camavinga | 11 | 45 | 16
EDGE Karim Benzema | Federico Valverde | 24 | 45 | 29
EDGE Karim Benzema | Eden Hazard | 8 | 45 | 9
EDGE Karim Benzema | Jesús Vallejo | 1 | 45 | 4
EDGE Karim Benzema | Marco Asensio | 17 | 45 | 23
EDGE Karim Benzema | Miguel Gutiérrez | 4 | 45 | 4
EDGE Karim Benzema | Isco | 2 | 45 | 3
EDGE Karim Benzema | Gareth Bale | 3 | 45 | 4
EDGE Karim Benzema | Marcelo | 1 | 45 | 7
EDGE Karim Benzema | Dani Ceballos | 1 | 45 | 2
EDGE Nacho Fernández | Lucas Vázquez | 12 | 26 | 26
EDGE Nacho Fernández | Eduardo Camavinga | 9 | 26 | 16
EDGE Nacho Fernández | Federico Valverde | 20 | 26 | 29
EDGE Nacho Fernández | Andriy Lunin | 4 | 26 | 4
EDGE Nacho Fernández | Marcelo | 2 | 26 | 7
EDGE Nacho Fernández | Luka Jović | 2 | 26 | 3
EDGE Nacho Fernández | Eden Hazard | 7 | 26 | 9
EDGE Nacho Fernández | Jesús Vallejo | 3 | 26 | 4
EDGE Nacho Fernández | Marco Asensio | 10 | 26 | 23
EDGE Nacho Fernández | Isco | 1 | 26 | 3
EDGE Nacho Fernández | Gareth Bale | 2 | 26 | 4
EDGE Nacho Fernández | Miguel Gutiérrez | 3 | 26 | 4
EDGE Nacho Fernández | Mariano Díaz | 2 | 26 | 4
EDGE Nacho Fernández | Dani Ceballos | 1 | 26 | 2
EDGE Lucas Vázquez | Eduardo Camavinga | 9 | 26 | 16
EDGE Lucas Vázquez | Federico Valverde | 13 | 26 | 29
EDGE Lucas Vázquez | Andriy Lunin | 3 | 26 | 4
EDGE Lucas Vázquez | Marcelo | 4 | 26 | 7
EDGE Lucas Vázquez | Luka Jović | 2 | 26 | 3
EDGE Lucas Vázquez | Jesús Vallejo | 4 | 26 | 4
EDGE Lucas Vázquez | Dani Ceballos | 2 | 26 | 2
EDGE Lucas Vázquez | Marco Asensio | 9 | 26 | 23
EDGE Lucas Vázquez | Mariano Díaz | 3 | 26 | 4
EDGE Lucas Vázquez | Eden Hazard | 5 | 26 | 9
EDGE Lucas Vázquez | Isco | 1 | 26 | 3
