# Graph for Java/GraphStream
# Nodes: 27
# Edges: 277

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Ángel López | Juan Carlos | 2 | 25 | 6
EDGE Bruno Soriano | Marcos Senna | 19 | 53 | 19
EDGE Bruno Soriano | Santi Cazorla | 46 | 53 | 48
EDGE Bruno Soriano | Borja Valero | 46 | 53 | 51
EDGE Bruno Soriano | Giuseppe Rossi | 49 | 53 | 52
EDGE Bruno Soriano | Nilmar | 33 | 53 | 35
EDGE Bruno Soriano | Gonzalo Rodríguez | 31 | 53 | 35
EDGE Bruno Soriano | Cani | 35 | 53 | 40
EDGE Bruno Soriano | Jozy Altidore | 3 | 53 | 7
EDGE Bruno Soriano | José Manuel Catalá | 16 | 53 | 22
EDGE Bruno Soriano | Marco Ruben | 20 | 53 | 23
EDGE Bruno Soriano | Mario Gaspar | 28 | 53 | 34
EDGE Bruno Soriano | Javier Matilla | 4 | 53 | 9
EDGE Bruno Soriano | Mubarak Wakaso | 3 | 53 | 3
EDGE Bruno Soriano | Carlos Tomás | 1 | 53 | 1
EDGE Bruno Soriano | Joan Oriol | 1 | 53 | 5
EDGE Bruno Soriano | Juan Carlos | 2 | 53 | 6
EDGE Bruno Soriano | Jefferson Montero | 1 | 53 | 5
EDGE Bruno Soriano | Kiko Olivas | 2 | 53 | 3
EDGE Marcos Senna | Santi Cazorla | 17 | 19 | 48
EDGE Marcos Senna | Borja Valero | 14 | 19 | 51
EDGE Marcos Senna | Giuseppe Rossi | 17 | 19 | 52
EDGE Marcos Senna | Nilmar | 13 | 19 | 35
EDGE Marcos Senna | José Manuel Catalá | 3 | 19 | 22
EDGE Marcos Senna | Mario Gaspar | 7 | 19 | 34
EDGE Marcos Senna | Cani | 9 | 19 | 40
EDGE Marcos Senna | Carlos Tomás | 1 | 19 | 1
EDGE Marcos Senna | Marco Ruben | 4 | 19 | 23
EDGE Marcos Senna | Gonzalo Rodríguez | 7 | 19 | 35
EDGE Marcos Senna | Joan Oriol | 1 | 19 | 5
EDGE Marcos Senna | Jefferson Montero | 1 | 19 | 5
EDGE Marcos Senna | Jozy Altidore | 1 | 19 | 7
EDGE Santi Cazorla | Borja Valero | 42 | 48 | 51
EDGE Santi Cazorla | Giuseppe Rossi | 45 | 48 | 52
EDGE Santi Cazorla | Nilmar | 32 | 48 | 35
EDGE Santi Cazorla | Gonzalo Rodríguez | 27 | 48 | 35
EDGE Santi Cazorla | José Manuel Catalá | 15 | 48 | 22
EDGE Santi Cazorla | Cani | 32 | 48 | 40
EDGE Santi Cazorla | Marco Ruben | 15 | 48 | 23
EDGE Santi Cazorla | Mario Gaspar | 24 | 48 | 34
EDGE Santi Cazorla | Javier Matilla | 4 | 48 | 9
EDGE Santi Cazorla | Mubarak Wakaso | 1 | 48 | 3
EDGE Santi Cazorla | Carlos Tomás | 1 | 48 | 1
EDGE Santi Cazorla | Joan Oriol | 1 | 48 | 5
EDGE Santi Cazorla | Juan Carlos | 3 | 48 | 6
EDGE Santi Cazorla | Kiko Olivas | 2 | 48 | 3
EDGE Santi Cazorla | Jozy Altidore | 1 | 48 | 7
EDGE Borja Valero | Giuseppe Rossi | 47 | 51 | 52
EDGE Borja Valero | Nilmar | 29 | 51 | 35
EDGE Borja Valero | Gonzalo Rodríguez | 29 | 51 | 35
EDGE Borja Valero | Cani | 34 | 51 | 40
EDGE Borja Valero | Jozy Altidore | 4 | 51 | 7
EDGE Borja Valero | José Manuel Catalá | 18 | 51 | 22
EDGE Borja Valero | Marco Ruben | 18 | 51 | 23
EDGE Borja Valero | Mario Gaspar | 28 | 51 | 34
