# Graph for Java/GraphStream
# Nodes: 29
# Edges: 344

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Juan Foyth | Manu Trigueros | 5 | 26 | 14
EDGE Juan Foyth | Yéremy Pino | 22 | 26 | 36
EDGE Juan Foyth | Samuel Chukwueze | 22 | 26 | 39
EDGE Juan Foyth | Gerard Moreno | 11 | 26 | 18
EDGE Juan Foyth | Jorge Cuenca | 6 | 26 | 17
EDGE Juan Foyth | Aïssa Mandi | 12 | 26 | 29
EDGE Juan Foyth | Johan Mojica | 5 | 26 | 14
EDGE Juan Foyth | Manu Morlanes | 1 | 26 | 12
EDGE Juan Foyth | Francis Coquelin | 5 | 26 | 17
EDGE Juan Foyth | Álex Baena | 15 | 26 | 32
EDGE Juan Foyth | José Luis Morales | 11 | 26 | 19
EDGE Juan Foyth | Diego Collado | 1 | 26 | 1
EDGE Juan Foyth | Étienne Capoue | 13 | 26 | 23
EDGE Juan Foyth | Nicolas Jackson | 8 | 26 | 20
EDGE Juan Foyth | Gerónimo Rulli | 3 | 26 | 14
EDGE Juan Foyth | Giovani Lo Celso | 6 | 26 | 16
EDGE Juan Foyth | Alberto Moreno | 9 | 26 | 17
EDGE Juan Foyth | Filip Jørgensen | 2 | 26 | 6
EDGE Juan Foyth | Jorge Pascual | 1 | 26 | 1
EDGE Dani Parejo | Ramón Terrats | 11 | 41 | 12
EDGE Dani Parejo | Manu Trigueros | 9 | 41 | 14
EDGE Dani Parejo | Yéremy Pino | 31 | 41 | 36
EDGE Dani Parejo | Samuel Chukwueze | 30 | 41 | 39
EDGE Dani Parejo | Gerard Moreno | 16 | 41 | 18
EDGE Dani Parejo | Gerónimo Rulli | 14 | 41 | 14
EDGE Dani Parejo | Kiko Femenía | 14 | 41 | 17
EDGE Dani Parejo | Manu Morlanes | 2 | 41 | 12
EDGE Dani Parejo | Álex Baena | 22 | 41 | 32
EDGE Dani Parejo | Arnaut Danjuma | 6 | 41 | 10
EDGE Dani Parejo | Nicolas Jackson | 16 | 41 | 20
EDGE Dani Parejo | Jorge Cuenca | 7 | 41 | 17
EDGE Dani Parejo | Johan Mojica | 6 | 41 | 14
EDGE Dani Parejo | Aïssa Mandi | 18 | 41 | 29
EDGE Dani Parejo | Étienne Capoue | 22 | 41 | 23
EDGE Dani Parejo | José Luis Morales | 13 | 41 | 19
EDGE Dani Parejo | Francis Coquelin | 10 | 41 | 17
EDGE Dani Parejo | Giovani Lo Celso | 15 | 41 | 16
EDGE Dani Parejo | Filip Jørgensen | 3 | 41 | 6
EDGE Dani Parejo | Alberto Moreno | 16 | 41 | 17
EDGE Dani Parejo | Jorge Pascual | 1 | 41 | 1
EDGE Ramón Terrats | Manu Trigueros | 2 | 12 | 14
EDGE Ramón Terrats | Yéremy Pino | 10 | 12 | 36
EDGE Ramón Terrats | Samuel Chukwueze | 12 | 12 | 39
EDGE Ramón Terrats | Gerard Moreno | 3 | 12 | 18
EDGE Ramón Terrats | Aïssa Mandi | 7 | 12 | 29
EDGE Ramón Terrats | Álex Baena | 8 | 12 | 32
EDGE Ramón Terrats | José Luis Morales | 6 | 12 | 19
EDGE Ramón Terrats | Giovani Lo Celso | 3 | 12 | 16
EDGE Ramón Terrats | Nicolas Jackson | 3 | 12 | 20
EDGE Ramón Terrats | Kiko Femenía | 1 | 12 | 17
EDGE Ramón Terrats | Jorge Cuenca | 2 | 12 | 17
EDGE Ramón Terrats | Alberto Moreno | 3 | 12 | 17
EDGE Ramón Terrats | Étienne Capoue | 2 | 12 | 23
EDGE Manu Trigueros | Yéremy Pino | 9 | 14 | 36
EDGE Manu Trigueros | Samuel Chukwueze | 11 | 14 | 39
EDGE Manu Trigueros | Gerard Moreno | 5 | 14 | 18
EDGE Manu Trigueros | Jorge Cuenca | 6 | 14 | 17
EDGE Manu Trigueros | Aïssa Mandi | 9 | 14 | 29
EDGE Manu Trigueros | Johan Mojica | 7 | 14 | 14
EDGE Manu Trigueros | Kiko Femenía | 7 | 14 | 17
EDGE Manu Trigueros | Manu Morlanes | 5 | 14 | 12
EDGE Manu Trigueros | Álex Baena | 6 | 14 | 32
