# Graph for Java/GraphStream
# Nodes: 23
# Edges: 226

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Unai Expósito | Pablo Orbaiz | 4 | 30 | 10
EDGE Unai Expósito | Mikel Dañobeitia | 2 | 30 | 2
EDGE Unai Expósito | Fernando Llorente | 2 | 30 | 3
EDGE Andoni Iraola | Joseba Garmendia | 6 | 36 | 6
EDGE Andoni Iraola | Javi González | 8 | 36 | 8
EDGE Andoni Iraola | Fran Yeste | 29 | 36 | 32
EDGE Andoni Iraola | Aritz Aduriz | 25 | 36 | 28
EDGE Andoni Iraola | Ismael Urzaiz | 17 | 36 | 20
EDGE Andoni Iraola | Iñaki Lafuente | 8 | 36 | 12
EDGE Andoni Iraola | Ustaritz | 7 | 36 | 11
EDGE Andoni Iraola | Javi Casas | 19 | 36 | 20
EDGE Andoni Iraola | Javi Martínez | 29 | 36 | 32
EDGE Andoni Iraola | Pablo Orbaiz | 6 | 36 | 10
EDGE Andoni Iraola | Joseba Etxeberria | 18 | 36 | 19
EDGE Andoni Iraola | Fernando Llorente | 2 | 36 | 3
EDGE Andoni Iraola | Luis Prieto | 17 | 36 | 18
EDGE Andoni Iraola | Igor Gabilondo | 25 | 36 | 28
EDGE Andoni Iraola | Mikel Dañobeitia | 1 | 36 | 2
EDGE Andoni Iraola | Javier Iturriaga | 2 | 36 | 3
EDGE Andoni Iraola | Tiko | 1 | 36 | 1
EDGE Joseba Garmendia | Javi González | 1 | 6 | 8
EDGE Joseba Garmendia | Fran Yeste | 5 | 6 | 32
EDGE Joseba Garmendia | Aritz Aduriz | 4 | 6 | 28
EDGE Joseba Garmendia | Ismael Urzaiz | 2 | 6 | 20
EDGE Joseba Garmendia | Iñaki Lafuente | 3 | 6 | 12
EDGE Joseba Garmendia | Ustaritz | 2 | 6 | 11
EDGE Joseba Garmendia | Javi Casas | 2 | 6 | 20
EDGE Joseba Garmendia | Javi Martínez | 4 | 6 | 32
EDGE Joseba Garmendia | Pablo Orbaiz | 3 | 6 | 10
EDGE Joseba Garmendia | Joseba Etxeberria | 2 | 6 | 19
EDGE Joseba Garmendia | Fernando Llorente | 1 | 6 | 3
EDGE Joseba Garmendia | Luis Prieto | 3 | 6 | 18
EDGE Joseba Garmendia | Igor Gabilondo | 1 | 6 | 28
EDGE Javi González | Fran Yeste | 5 | 8 | 32
EDGE Javi González | Aritz Aduriz | 5 | 8 | 28
EDGE Javi González | Ismael Urzaiz | 4 | 8 | 20
EDGE Javi González | Luis Prieto | 2 | 8 | 18
EDGE Javi González | Javi Martínez | 7 | 8 | 32
EDGE Javi González | Igor Gabilondo | 5 | 8 | 28
EDGE Javi González | Joseba Etxeberria | 4 | 8 | 19
EDGE Javi González | Javi Casas | 2 | 8 | 20
EDGE Javi González | Mikel Dañobeitia | 1 | 8 | 2
EDGE Javi González | Ustaritz | 1 | 8 | 11
EDGE Javi González | Javier Iturriaga | 1 | 8 | 3
EDGE Fran Yeste | Aritz Aduriz | 24 | 32 | 28
EDGE Fran Yeste | Ismael Urzaiz | 16 | 32 | 20
EDGE Fran Yeste | Iñaki Lafuente | 11 | 32 | 12
EDGE Fran Yeste | Ustaritz | 9 | 32 | 11
EDGE Fran Yeste | Javi Casas | 17 | 32 | 20
EDGE Fran Yeste | Javi Martínez | 26 | 32 | 32
EDGE Fran Yeste | Pablo Orbaiz | 9 | 32 | 10
EDGE Fran Yeste | Joseba Etxeberria | 12 | 32 | 19
EDGE Fran Yeste | Fernando Llorente | 2 | 32 | 3
EDGE Fran Yeste | Igor Gabilondo | 21 | 32 | 28
EDGE Fran Yeste | Luis Prieto | 13 | 32 | 18
EDGE Fran Yeste | Mikel Dañobeitia | 1 | 32 | 2
EDGE Fran Yeste | Javier Iturriaga | 2 | 32 | 3
EDGE Fran Yeste | Tiko | 1 | 32 | 1
EDGE Aritz Aduriz | Ismael Urzaiz | 10 | 28 | 20
EDGE Aritz Aduriz | Luis Prieto | 12 | 28 | 18
EDGE Aritz Aduriz | Ustaritz | 8 | 28 | 11
EDGE Aritz Aduriz | Javi Martínez | 21 | 28 | 32
EDGE Aritz Aduriz | Javi Casas | 11 | 28 | 20
EDGE Aritz Aduriz | Igor Gabilondo | 21 | 28 | 28
EDGE Aritz Aduriz | Joseba Etxeberria | 12 | 28 | 19
EDGE Aritz Aduriz | Iñaki Lafuente | 10 | 28 | 12
EDGE Aritz Aduriz | Pablo Orbaiz | 8 | 28 | 10
EDGE Aritz Aduriz | Fernando Llorente | 1 | 28 | 3
EDGE Aritz Aduriz | Javier Iturriaga | 2 | 28 | 3
EDGE Aritz Aduriz | Tiko | 1 | 28 | 1
EDGE Ismael Urzaiz | Javi Casas | 11 | 20 | 20
EDGE Ismael Urzaiz | Igor Gabilondo | 14 | 20 | 28
EDGE Ismael Urzaiz | Javi Martínez | 16 | 20 | 32
EDGE Ismael Urzaiz | Iñaki Lafuente | 3 | 20 | 12
EDGE Ismael Urzaiz | Ustaritz | 4 | 20 | 11
EDGE Ismael Urzaiz | Pablo Orbaiz | 3 | 20 | 10
EDGE Ismael Urzaiz | Luis Prieto | 9 | 20 | 18
EDGE Ismael Urzaiz | Joseba Etxeberria | 5 | 20 | 19
EDGE Ismael Urzaiz | Mikel Dañobeitia | 1 | 20 | 2
EDGE Ismael Urzaiz | Tiko | 1 | 20 | 1
EDGE Iñaki Lafuente | Ustaritz | 7 | 12 | 11
EDGE Iñaki Lafuente | Javi Casas | 4 | 12 | 20
EDGE Iñaki Lafuente | Javi Martínez | 10 | 12 | 32
EDGE Iñaki Lafuente | Pablo Orbaiz | 9 | 12 | 10
EDGE Iñaki Lafuente | Joseba Etxeberria | 6 | 12 | 19
EDGE Iñaki Lafuente | Fernando Llorente | 3 | 12 | 3
EDGE Iñaki Lafuente | Luis Prieto | 4 | 12 | 18
EDGE Iñaki Lafuente | Javier Iturriaga | 2 | 12 | 3
EDGE Iñaki Lafuente | Mikel Dañobeitia | 1 | 12 | 2
EDGE Iñaki Lafuente | Igor Gabilondo | 7 | 12 | 28
EDGE Ustaritz | Javi Casas | 5 | 11 | 20
EDGE Ustaritz | Javi Martínez | 10 | 11 | 32
EDGE Ustaritz | Pablo Orbaiz | 7 | 11 | 10
EDGE Ustaritz | Joseba Etxeberria | 7 | 11 | 19
EDGE Ustaritz | Fernando Llorente | 2 | 11 | 3
EDGE Ustaritz | Luis Prieto | 2 | 11 | 18
EDGE Ustaritz | Igor Gabilondo | 6 | 11 | 28
EDGE Ustaritz | Javier Iturriaga | 1 | 11 | 3
EDGE Ustaritz | Mikel Dañobeitia | 1 | 11 | 2
EDGE Javi Casas | Javi Martínez | 16 | 20 | 32
EDGE Javi Casas | Pablo Orbaiz | 3 | 20 | 10
EDGE Javi Casas | Joseba Etxeberria | 10 | 20 | 19
EDGE Javi Casas | Fernando Llorente | 3 | 20 | 3
EDGE Javi Casas | Luis Prieto | 8 | 20 | 18
EDGE Javi Casas | Igor Gabilondo | 12 | 20 | 28
EDGE Javi Casas | Javier Iturriaga | 2 | 20 | 3
EDGE Javi Casas | Mikel Dañobeitia | 1 | 20 | 2
