# Graph for Java/GraphStream
# Nodes: 31
# Edges: 323

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Víctor Valdés | Gerard Piqué | 35 | 44 | 48
EDGE Víctor Valdés | Éric Abidal | 25 | 44 | 34
EDGE Víctor Valdés | Maxwell | 19 | 44 | 31
EDGE Víctor Valdés | Dani Alves | 40 | 44 | 50
EDGE Víctor Valdés | Sergio Busquets | 33 | 44 | 42
EDGE Víctor Valdés | Seydou Keita | 18 | 44 | 27
EDGE Víctor Valdés | Xavi | 37 | 44 | 47
EDGE Víctor Valdés | Andrés Iniesta | 37 | 44 | 46
EDGE Víctor Valdés | Lionel Messi | 37 | 44 | 48
EDGE Víctor Valdés | David Villa | 40 | 44 | 48
EDGE Víctor Valdés | Gabriel Milito | 6 | 44 | 12
EDGE Víctor Valdés | Javier Mascherano | 23 | 44 | 35
EDGE Víctor Valdés | Thiago Alcántara | 3 | 44 | 10
EDGE Víctor Valdés | Ibrahim Afellay | 6 | 44 | 10
EDGE Víctor Valdés | Jeffrén | 2 | 44 | 6
EDGE Víctor Valdés | Carles Puyol | 23 | 44 | 25
EDGE Víctor Valdés | Adriano | 12 | 44 | 23
EDGE Víctor Valdés | Pedro | 31 | 44 | 40
EDGE Víctor Valdés | Andreu Fontàs | 3 | 44 | 7
EDGE Víctor Valdés | Bojan Krkic | 8 | 44 | 17
EDGE Víctor Valdés | Marc Bartra | 1 | 44 | 4
EDGE Víctor Valdés | Jonathan dos Santos | 1 | 44 | 3
EDGE Gerard Piqué | Éric Abidal | 26 | 48 | 34
EDGE Gerard Piqué | Maxwell | 20 | 48 | 31
EDGE Gerard Piqué | Dani Alves | 41 | 48 | 50
EDGE Gerard Piqué | Sergio Busquets | 35 | 48 | 42
EDGE Gerard Piqué | Seydou Keita | 20 | 48 | 27
EDGE Gerard Piqué | Xavi | 40 | 48 | 47
EDGE Gerard Piqué | Andrés Iniesta | 39 | 48 | 46
EDGE Gerard Piqué | Lionel Messi | 43 | 48 | 48
EDGE Gerard Piqué | David Villa | 40 | 48 | 48
EDGE Gerard Piqué | Carles Puyol | 20 | 48 | 25
EDGE Gerard Piqué | Adriano | 17 | 48 | 23
EDGE Gerard Piqué | Pedro | 32 | 48 | 40
EDGE Gerard Piqué | José Manuel Pinto | 13 | 48 | 17
EDGE Gerard Piqué | Javier Mascherano | 26 | 48 | 35
EDGE Gerard Piqué | Bojan Krkic | 9 | 48 | 17
EDGE Gerard Piqué | Thiago Alcántara | 4 | 48 | 10
EDGE Gerard Piqué | Ibrahim Afellay | 6 | 48 | 10
EDGE Gerard Piqué | Andreu Fontàs | 3 | 48 | 7
EDGE Gerard Piqué | Gabriel Milito | 7 | 48 | 12
EDGE Gerard Piqué | Jeffrén | 2 | 48 | 6
EDGE Gerard Piqué | Jonathan dos Santos | 1 | 48 | 3
EDGE Gerard Piqué | Martín Montoya | 1 | 48 | 1
EDGE Éric Abidal | Maxwell | 16 | 34 | 31
EDGE Éric Abidal | Dani Alves | 27 | 34 | 50
EDGE Éric Abidal | Sergio Busquets | 25 | 34 | 42
EDGE Éric Abidal | Seydou Keita | 13 | 34 | 27
EDGE Éric Abidal | Xavi | 25 | 34 | 47
EDGE Éric Abidal | Andrés Iniesta | 28 | 34 | 46
EDGE Éric Abidal | Lionel Messi | 29 | 34 | 48
EDGE Éric Abidal | David Villa | 28 | 34 | 48
EDGE Éric Abidal | José Manuel Pinto | 8 | 34 | 17
EDGE Éric Abidal | Carles Puyol | 13 | 34 | 25
EDGE Éric Abidal | Javier Mascherano | 14 | 34 | 35
EDGE Éric Abidal | Pedro | 25 | 34 | 40
EDGE Éric Abidal | Adriano | 10 | 34 | 23
EDGE Éric Abidal | Marc Bartra | 2 | 34 | 4
EDGE Éric Abidal | Andreu Fontàs | 2 | 34 | 7
EDGE Éric Abidal | Sergi Roberto | 1 | 34 | 1
EDGE Éric Abidal | Thiago Alcántara | 2 | 34 | 10
EDGE Éric Abidal | Ibrahim Afellay | 3 | 34 | 10
EDGE Éric Abidal | Jeffrén | 2 | 34 | 6
EDGE Éric Abidal | Bojan Krkic | 8 | 34 | 17
EDGE Éric Abidal | Gabriel Milito | 2 | 34 | 12
EDGE Éric Abidal | Rubén Miño | 1 | 34 | 1
EDGE Éric Abidal | Sergi Gómez | 1 | 34 | 1
EDGE Éric Abidal | Oriol Romeu | 1 | 34 | 1
EDGE Éric Abidal | Jonathan dos Santos | 2 | 34 | 3
EDGE Éric Abidal | Zlatan Ibrahimović | 1 | 34 | 1
EDGE Maxwell | Dani Alves | 22 | 31 | 50
EDGE Maxwell | Sergio Busquets | 17 | 31 | 42
EDGE Maxwell | Seydou Keita | 13 | 31 | 27
EDGE Maxwell | Xavi | 22 | 31 | 47
EDGE Maxwell | Andrés Iniesta | 22 | 31 | 46
EDGE Maxwell | Lionel Messi | 21 | 31 | 48
EDGE Maxwell | David Villa | 21 | 31 | 48
EDGE Maxwell | Gabriel Milito | 8 | 31 | 12
EDGE Maxwell | Javier Mascherano | 17 | 31 | 35
EDGE Maxwell | Thiago Alcántara | 6 | 31 | 10
EDGE Maxwell | Ibrahim Afellay | 4 | 31 | 10
EDGE Maxwell | Jeffrén | 4 | 31 | 6
EDGE Maxwell | José Manuel Pinto | 11 | 31 | 17
EDGE Maxwell | Carles Puyol | 11 | 31 | 25
EDGE Maxwell | Adriano | 9 | 31 | 23
EDGE Maxwell | Pedro | 19 | 31 | 40
EDGE Maxwell | Marc Bartra | 3 | 31 | 4
EDGE Maxwell | Andreu Fontàs | 4 | 31 | 7
EDGE Maxwell | Sergi Roberto | 1 | 31 | 1
EDGE Maxwell | Bojan Krkic | 13 | 31 | 17
EDGE Maxwell | Nolito | 1 | 31 | 2
EDGE Maxwell | Jonathan dos Santos | 2 | 31 | 3
EDGE Maxwell | Rubén Miño | 1 | 31 | 1
EDGE Maxwell | Sergi Gómez | 1 | 31 | 1
EDGE Maxwell | Oriol Romeu | 1 | 31 | 1
EDGE Maxwell | Zlatan Ibrahimović | 1 | 31 | 1
EDGE Dani Alves | Sergio Busquets | 39 | 50 | 42
EDGE Dani Alves | Seydou Keita | 19 | 50 | 27
EDGE Dani Alves | Xavi | 43 | 50 | 47
EDGE Dani Alves | Andrés Iniesta | 41 | 50 | 46
EDGE Dani Alves | Lionel Messi | 41 | 50 | 48
EDGE Dani Alves | David Villa | 43 | 50 | 48
EDGE Dani Alves | Gabriel Milito | 9 | 50 | 12
EDGE Dani Alves | Javier Mascherano | 27 | 50 | 35
