# Graph for Java/GraphStream
# Nodes: 26
# Edges: 268

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Luis Amaranto Perea | José Antonio Reyes | 7 | 23 | 12
EDGE Luis Amaranto Perea | Joel Robles | 2 | 23 | 3
EDGE Luis Amaranto Perea | Diego Forlán | 1 | 23 | 2
EDGE Luis Amaranto Perea | Sergio Asenjo | 2 | 23 | 4
EDGE Luis Amaranto Perea | Pizzi | 1 | 23 | 2
EDGE Mario Suárez | Gabi | 28 | 37 | 47
EDGE Mario Suárez | Arda Turan | 21 | 37 | 34
EDGE Mario Suárez | Diego | 24 | 37 | 39
EDGE Mario Suárez | Adrián López | 29 | 37 | 46
EDGE Mario Suárez | Radamel Falcao | 30 | 37 | 47
EDGE Mario Suárez | Diego Godín | 23 | 37 | 40
EDGE Mario Suárez | Juanfran Torres | 20 | 37 | 35
EDGE Mario Suárez | Koke | 14 | 37 | 21
EDGE Mario Suárez | Eduardo Salvio | 14 | 37 | 24
EDGE Mario Suárez | Tiago Mendes | 16 | 37 | 27
EDGE Mario Suárez | José Antonio Reyes | 9 | 37 | 12
EDGE Mario Suárez | Sílvio | 8 | 37 | 12
EDGE Mario Suárez | Antonio López | 3 | 37 | 6
EDGE Mario Suárez | Sergio Asenjo | 1 | 37 | 4
EDGE Mario Suárez | Joel Robles | 1 | 37 | 3
EDGE Gabi | Arda Turan | 26 | 47 | 34
EDGE Gabi | Diego | 30 | 47 | 39
EDGE Gabi | Adrián López | 36 | 47 | 46
EDGE Gabi | Radamel Falcao | 37 | 47 | 47
EDGE Gabi | Diego Godín | 32 | 47 | 40
EDGE Gabi | Juanfran Torres | 30 | 47 | 35
EDGE Gabi | Koke | 16 | 47 | 21
EDGE Gabi | Eduardo Salvio | 19 | 47 | 24
EDGE Gabi | Tiago Mendes | 18 | 47 | 27
EDGE Gabi | José Antonio Reyes | 10 | 47 | 12
EDGE Gabi | Paulo Assunção | 8 | 47 | 11
EDGE Gabi | Antonio López | 5 | 47 | 6
EDGE Gabi | Sílvio | 9 | 47 | 12
