# Graph for Java/GraphStream
# Nodes: 23
# Edges: 218

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Ander Iturraspe | Aritz Aduriz | 24 | 36 | 29
EDGE Ander Iturraspe | Iago Herrerín | 8 | 36 | 11
EDGE Ander Iturraspe | Aymeric Laporte | 29 | 36 | 36
EDGE Ander Iturraspe | Carlos Gurpegui | 24 | 36 | 31
EDGE Ander Iturraspe | Enric Saborit | 1 | 36 | 2
EDGE Ander Iturraspe | Andoni Iraola | 27 | 36 | 34
EDGE Ander Iturraspe | Beñat Etxebarria | 6 | 36 | 13
EDGE Ander Iturraspe | Gaizka Toquero | 6 | 36 | 6
EDGE Ander Iturraspe | Erik Morán | 2 | 36 | 5
EDGE Ander Iturraspe | Guillermo Fernández | 3 | 36 | 4
EDGE Ander Iturraspe | Ibai Gómez | 6 | 36 | 10
EDGE Ander Iturraspe | Kike Sola | 3 | 36 | 4
EDGE Ander Iturraspe | Borja Ekiza | 1 | 36 | 1
EDGE Mikel Rico | Ander Herrera | 29 | 37 | 35
EDGE Mikel Rico | Iker Muniain | 29 | 37 | 35
EDGE Mikel Rico | Markel Susaeta | 31 | 37 | 38
EDGE Mikel Rico | Aritz Aduriz | 24 | 37 | 29
EDGE Mikel Rico | Iago Herrerín | 9 | 37 | 11
EDGE Mikel Rico | Aymeric Laporte | 30 | 37 | 36
EDGE Mikel Rico | Carlos Gurpegui | 26 | 37 | 31
EDGE Mikel Rico | Andoni Iraola | 28 | 37 | 34
EDGE Mikel Rico | Beñat Etxebarria | 8 | 37 | 13
EDGE Mikel Rico | Erik Morán | 2 | 37 | 5
EDGE Mikel Rico | Guillermo Fernández | 3 | 37 | 4
EDGE Mikel Rico | Ibai Gómez | 8 | 37 | 10
EDGE Mikel Rico | Gaizka Toquero | 6 | 37 | 6
EDGE Mikel Rico | Kike Sola | 3 | 37 | 4
EDGE Mikel Rico | Enric Saborit | 1 | 37 | 2
EDGE Ander Herrera | Iker Muniain | 27 | 35 | 35
EDGE Ander Herrera | Markel Susaeta | 31 | 35 | 38
EDGE Ander Herrera | Aritz Aduriz | 23 | 35 | 29
EDGE Ander Herrera | Iago Herrerín | 7 | 35 | 11
EDGE Ander Herrera | Aymeric Laporte | 29 | 35 | 36
EDGE Ander Herrera | Carlos Gurpegui | 24 | 35 | 31
EDGE Ander Herrera | Enric Saborit | 2 | 35 | 2
EDGE Ander Herrera | Andoni Iraola | 26 | 35 | 34
EDGE Ander Herrera | Beñat Etxebarria | 7 | 35 | 13
EDGE Ander Herrera | Ibai Gómez | 7 | 35 | 10
EDGE Ander Herrera | Gaizka Toquero | 6 | 35 | 6
EDGE Ander Herrera | Erik Morán | 3 | 35 | 5
EDGE Ander Herrera | Guillermo Fernández | 2 | 35 | 4
EDGE Ander Herrera | Kike Sola | 3 | 35 | 4
EDGE Ander Herrera | Borja Ekiza | 1 | 35 | 1
EDGE Iker Muniain | Markel Susaeta | 31 | 35 | 38
EDGE Iker Muniain | Aritz Aduriz | 22 | 35 | 29
EDGE Iker Muniain | Iago Herrerín | 8 | 35 | 11
EDGE Iker Muniain | Aymeric Laporte | 28 | 35 | 36
EDGE Iker Muniain | Carlos Gurpegui | 24 | 35 | 31
EDGE Iker Muniain | Enric Saborit | 2 | 35 | 2
EDGE Iker Muniain | Andoni Iraola | 25 | 35 | 34
EDGE Iker Muniain | Beñat Etxebarria | 9 | 35 | 13
EDGE Iker Muniain | Erik Morán | 4 | 35 | 5
EDGE Iker Muniain | Guillermo Fernández | 4 | 35 | 4
EDGE Iker Muniain | Gaizka Toquero | 6 | 35 | 6
EDGE Iker Muniain | Ibai Gómez | 3 | 35 | 10
EDGE Iker Muniain | Kike Sola | 2 | 35 | 4
EDGE Iker Muniain | Borja Ekiza | 1 | 35 | 1
EDGE Markel Susaeta | Aritz Aduriz | 25 | 38 | 29
EDGE Markel Susaeta | Iago Herrerín | 9 | 38 | 11
EDGE Markel Susaeta | Aymeric Laporte | 30 | 38 | 36
EDGE Markel Susaeta | Carlos Gurpegui | 28 | 38 | 31
EDGE Markel Susaeta | Enric Saborit | 2 | 38 | 2
EDGE Markel Susaeta | Andoni Iraola | 28 | 38 | 34
EDGE Markel Susaeta | Beñat Etxebarria | 11 | 38 | 13
EDGE Markel Susaeta | Erik Morán | 5 | 38 | 5
EDGE Markel Susaeta | Guillermo Fernández | 3 | 38 | 4
EDGE Markel Susaeta | Ibai Gómez | 7 | 38 | 10
EDGE Markel Susaeta | Gaizka Toquero | 6 | 38 | 6
EDGE Markel Susaeta | Kike Sola | 3 | 38 | 4
EDGE Markel Susaeta | Borja Ekiza | 1 | 38 | 1
EDGE Aritz Aduriz | Iago Herrerín | 6 | 29 | 11
EDGE Aritz Aduriz | Aymeric Laporte | 26 | 29 | 36
EDGE Aritz Aduriz | Carlos Gurpegui | 19 | 29 | 31
EDGE Aritz Aduriz | Enric Saborit | 1 | 29 | 2
EDGE Aritz Aduriz | Andoni Iraola | 21 | 29 | 34
EDGE Aritz Aduriz | Beñat Etxebarria | 8 | 29 | 13
EDGE Aritz Aduriz | Ibai Gómez | 6 | 29 | 10
EDGE Aritz Aduriz | Erik Morán | 3 | 29 | 5
EDGE Iago Herrerín | Aymeric Laporte | 8 | 11 | 36
EDGE Iago Herrerín | Carlos Gurpegui | 8 | 11 | 31
EDGE Iago Herrerín | Enric Saborit | 1 | 11 | 2
EDGE Iago Herrerín | Andoni Iraola | 10 | 11 | 34
EDGE Iago Herrerín | Beñat Etxebarria | 5 | 11 | 13
EDGE Iago Herrerín | Erik Morán | 3 | 11 | 5
EDGE Iago Herrerín | Guillermo Fernández | 1 | 11 | 4
EDGE Iago Herrerín | Ibai Gómez | 4 | 11 | 10
