# Graph for Java/GraphStream
# Nodes: 32
# Edges: 337

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergi Roberto | Arturo Vidal | 14 | 35 | 29
EDGE Sergi Roberto | Philippe Coutinho | 23 | 35 | 38
EDGE Sergi Roberto | Lionel Messi | 26 | 35 | 43
EDGE Sergi Roberto | Luis Suárez | 29 | 35 | 45
EDGE Sergi Roberto | Jordi Alba | 30 | 35 | 49
EDGE Sergi Roberto | Arthur Melo | 18 | 35 | 32
EDGE Sergi Roberto | Ousmane Dembélé | 15 | 35 | 30
EDGE Sergi Roberto | Rafinha | 4 | 35 | 5
EDGE Sergi Roberto | Samuel Umtiti | 10 | 35 | 14
EDGE Sergi Roberto | Malcom | 5 | 35 | 11
EDGE Sergi Roberto | Thomas Vermaelen | 4 | 35 | 9
EDGE Sergi Roberto | Carles Aleñá | 5 | 35 | 10
EDGE Sergi Roberto | Munir El Haddadi | 1 | 35 | 4
EDGE Sergi Roberto | Jasper Cillessen | 5 | 35 | 11
EDGE Sergi Roberto | Kevin-Prince Boateng | 2 | 35 | 4
EDGE Sergio Busquets | Ivan Rakitic | 38 | 47 | 48
EDGE Sergio Busquets | Arturo Vidal | 20 | 47 | 29
EDGE Sergio Busquets | Philippe Coutinho | 33 | 47 | 38
EDGE Sergio Busquets | Lionel Messi | 38 | 47 | 43
EDGE Sergio Busquets | Luis Suárez | 39 | 47 | 45
EDGE Sergio Busquets | Jordi Alba | 43 | 47 | 49
EDGE Sergio Busquets | Arthur Melo | 25 | 47 | 32
EDGE Sergio Busquets | Ousmane Dembélé | 20 | 47 | 30
EDGE Sergio Busquets | Samuel Umtiti | 11 | 47 | 14
EDGE Sergio Busquets | Jasper Cillessen | 5 | 47 | 11
EDGE Sergio Busquets | Jeison Murillo | 1 | 47 | 3
EDGE Sergio Busquets | Chumi | 1 | 47 | 3
EDGE Sergio Busquets | Juan Miranda | 1 | 47 | 4
EDGE Sergio Busquets | Carles Aleñá | 4 | 47 | 10
EDGE Sergio Busquets | Malcom | 6 | 47 | 11
EDGE Sergio Busquets | Rafinha | 4 | 47 | 5
EDGE Sergio Busquets | Thomas Vermaelen | 5 | 47 | 9
EDGE Sergio Busquets | Munir El Haddadi | 1 | 47 | 4
EDGE Sergio Busquets | Kevin-Prince Boateng | 1 | 47 | 4
EDGE Ivan Rakitic | Arturo Vidal | 20 | 48 | 29
EDGE Ivan Rakitic | Philippe Coutinho | 33 | 48 | 38
EDGE Ivan Rakitic | Lionel Messi | 38 | 48 | 43
EDGE Ivan Rakitic | Luis Suárez | 38 | 48 | 45
EDGE Ivan Rakitic | Jordi Alba | 42 | 48 | 49
EDGE Ivan Rakitic | Arthur Melo | 25 | 48 | 32
EDGE Ivan Rakitic | Ousmane Dembélé | 21 | 48 | 30
EDGE Ivan Rakitic | Rafinha | 4 | 48 | 5
EDGE Ivan Rakitic | Malcom | 6 | 48 | 11
EDGE Ivan Rakitic | Thomas Vermaelen | 6 | 48 | 9
EDGE Ivan Rakitic | Carles Aleñá | 4 | 48 | 10
EDGE Ivan Rakitic | Samuel Umtiti | 8 | 48 | 14
EDGE Ivan Rakitic | Munir El Haddadi | 3 | 48 | 4
EDGE Ivan Rakitic | Jasper Cillessen | 8 | 48 | 11
EDGE Ivan Rakitic | Kevin-Prince Boateng | 1 | 48 | 4
EDGE Ivan Rakitic | Juan Miranda | 2 | 48 | 4
EDGE Ivan Rakitic | Chumi | 1 | 48 | 3
EDGE Ivan Rakitic | Uri Busquets | 1 | 48 | 1
EDGE Ivan Rakitic | Denis Suárez | 1 | 48 | 2
EDGE Ivan Rakitic | Jeison Murillo | 1 | 48 | 3
EDGE Arturo Vidal | Philippe Coutinho | 16 | 29 | 38
EDGE Arturo Vidal | Lionel Messi | 21 | 29 | 43
EDGE Arturo Vidal | Luis Suárez | 19 | 29 | 45
EDGE Arturo Vidal | Jordi Alba | 22 | 29 | 49
EDGE Arturo Vidal | Arthur Melo | 10 | 29 | 32
EDGE Arturo Vidal | Ousmane Dembélé | 16 | 29 | 30
EDGE Arturo Vidal | Samuel Umtiti | 7 | 29 | 14
EDGE Arturo Vidal | Jasper Cillessen | 6 | 29 | 11
EDGE Arturo Vidal | Jeison Murillo | 3 | 29 | 3
EDGE Arturo Vidal | Chumi | 2 | 29 | 3
EDGE Arturo Vidal | Juan Miranda | 2 | 29 | 4
EDGE Arturo Vidal | Carles Aleñá | 6 | 29 | 10
EDGE Arturo Vidal | Malcom | 7 | 29 | 11
EDGE Arturo Vidal | Thomas Vermaelen | 3 | 29 | 9
EDGE Arturo Vidal | Kevin-Prince Boateng | 3 | 29 | 4
EDGE Arturo Vidal | Jorge Cuenca | 1 | 29 | 1
EDGE Arturo Vidal | Sergi Samper | 1 | 29 | 1
EDGE Arturo Vidal | Denis Suárez | 1 | 29 | 2
EDGE Arturo Vidal | Munir El Haddadi | 1 | 29 | 4
EDGE Arturo Vidal | Jean-Clair Todibo | 1 | 29 | 2
EDGE Arturo Vidal | Riqui Puig | 1 | 29 | 2
EDGE Arturo Vidal | Moussa Wagué | 1 | 29 | 2
EDGE Philippe Coutinho | Lionel Messi | 26 | 38 | 43
EDGE Philippe Coutinho | Luis Suárez | 30 | 38 | 45
EDGE Philippe Coutinho | Jordi Alba | 32 | 38 | 49
EDGE Philippe Coutinho | Arthur Melo | 22 | 38 | 32
EDGE Philippe Coutinho | Ousmane Dembélé | 14 | 38 | 30
EDGE Philippe Coutinho | Samuel Umtiti | 9 | 38 | 14
EDGE Philippe Coutinho | Jasper Cillessen | 6 | 38 | 11
EDGE Philippe Coutinho | Jeison Murillo | 2 | 38 | 3
EDGE Philippe Coutinho | Chumi | 1 | 38 | 3
EDGE Philippe Coutinho | Juan Miranda | 2 | 38 | 4
EDGE Philippe Coutinho | Carles Aleñá | 5 | 38 | 10
EDGE Philippe Coutinho | Malcom | 4 | 38 | 11
EDGE Philippe Coutinho | Rafinha | 3 | 38 | 5
EDGE Philippe Coutinho | Thomas Vermaelen | 5 | 38 | 9
EDGE Philippe Coutinho | Munir El Haddadi | 2 | 38 | 4
EDGE Lionel Messi | Luis Suárez | 35 | 43 | 45
EDGE Lionel Messi | Jordi Alba | 40 | 43 | 49
EDGE Lionel Messi | Arthur Melo | 21 | 43 | 32
EDGE Lionel Messi | Ousmane Dembélé | 20 | 43 | 30
EDGE Lionel Messi | Samuel Umtiti | 10 | 43 | 14
EDGE Lionel Messi | Thomas Vermaelen | 5 | 43 | 9
EDGE Lionel Messi | Carles Aleñá | 2 | 43 | 10
EDGE Lionel Messi | Munir El Haddadi | 1 | 43 | 4
EDGE Lionel Messi | Jasper Cillessen | 5 | 43 | 11
EDGE Lionel Messi | Malcom | 3 | 43 | 11
EDGE Lionel Messi | Rafinha | 2 | 43 | 5
EDGE Lionel Messi | Kevin-Prince Boateng | 1 | 43 | 4
EDGE Lionel Messi | Jeison Murillo | 1 | 43 | 3
EDGE Luis Suárez | Jordi Alba | 42 | 45 | 49
EDGE Luis Suárez | Arthur Melo | 27 | 45 | 32
EDGE Luis Suárez | Ousmane Dembélé | 20 | 45 | 30
EDGE Luis Suárez | Samuel Umtiti | 10 | 45 | 14
EDGE Luis Suárez | Rafinha | 5 | 45 | 5
EDGE Luis Suárez | Malcom | 3 | 45 | 11
EDGE Luis Suárez | Thomas Vermaelen | 4 | 45 | 9
EDGE Luis Suárez | Carles Aleñá | 3 | 45 | 10
EDGE Luis Suárez | Jasper Cillessen | 1 | 45 | 11
EDGE Jordi Alba | Arthur Melo | 29 | 49 | 32
EDGE Jordi Alba | Ousmane Dembélé | 23 | 49 | 30
EDGE Jordi Alba | Samuel Umtiti | 10 | 49 | 14
EDGE Jordi Alba | Rafinha | 5 | 49 | 5
EDGE Jordi Alba | Malcom | 5 | 49 | 11
EDGE Jordi Alba | Jasper Cillessen | 5 | 49 | 11
EDGE Jordi Alba | Thomas Vermaelen | 4 | 49 | 9
EDGE Jordi Alba | Carles Aleñá | 2 | 49 | 10
EDGE Jordi Alba | Kevin-Prince Boateng | 1 | 49 | 4
EDGE Jordi Alba | Jeison Murillo | 1 | 49 | 3
EDGE Arthur Melo | Ousmane Dembélé | 11 | 32 | 30
EDGE Arthur Melo | Samuel Umtiti | 4 | 32 | 14
EDGE Arthur Melo | Jasper Cillessen | 6 | 32 | 11
EDGE Arthur Melo | Jean-Clair Todibo | 1 | 32 | 2
EDGE Arthur Melo | Thomas Vermaelen | 4 | 32 | 9
EDGE Arthur Melo | Moussa Wagué | 1 | 32 | 2
EDGE Arthur Melo | Carles Aleñá | 4 | 32 | 10
EDGE Arthur Melo | Riqui Puig | 1 | 32 | 2
EDGE Arthur Melo | Malcom | 5 | 32 | 11
EDGE Arthur Melo | Kevin-Prince Boateng | 2 | 32 | 4
EDGE Arthur Melo | Rafinha | 4 | 32 | 5
EDGE Arthur Melo | Juan Miranda | 1 | 32 | 4
EDGE Arthur Melo | Munir El Haddadi | 1 | 32 | 4
EDGE Arthur Melo | Jeison Murillo | 1 | 32 | 3
EDGE Ousmane Dembélé | Jasper Cillessen | 5 | 30 | 11
EDGE Ousmane Dembélé | Samuel Umtiti | 9 | 30 | 14
EDGE Ousmane Dembélé | Jean-Clair Todibo | 2 | 30 | 2
EDGE Ousmane Dembélé | Thomas Vermaelen | 6 | 30 | 9
EDGE Ousmane Dembélé | Moussa Wagué | 2 | 30 | 2
EDGE Ousmane Dembélé | Carles Aleñá | 7 | 30 | 10
EDGE Ousmane Dembélé | Riqui Puig | 2 | 30 | 2
EDGE Ousmane Dembélé | Malcom | 4 | 30 | 11
EDGE Ousmane Dembélé | Kevin-Prince Boateng | 3 | 30 | 4
EDGE Ousmane Dembélé | Jeison Murillo | 3 | 30 | 3
EDGE Ousmane Dembélé | Chumi | 2 | 30 | 3
EDGE Ousmane Dembélé | Juan Miranda | 3 | 30 | 4
EDGE Ousmane Dembélé | Munir El Haddadi | 3 | 30 | 4
EDGE Ousmane Dembélé | Rafinha | 2 | 30 | 5
EDGE Ousmane Dembélé | Jorge Cuenca | 1 | 30 | 1
EDGE Ousmane Dembélé | Sergi Samper | 1 | 30 | 1
EDGE Ousmane Dembélé | Denis Suárez | 1 | 30 | 2
