# Graph for Java/GraphStream
# Nodes: 31
# Edges: 386

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Alfonso Pedraza | Yerson Mosquera | 1 | 16 | 15
EDGE Alfonso Pedraza | Aïssa Mandi | 7 | 16 | 18
EDGE Alfonso Pedraza | Kiko Femenía | 4 | 16 | 21
EDGE Alfonso Pedraza | Francis Coquelin | 1 | 16 | 12
EDGE Alfonso Pedraza | Ilias Akhomach | 4 | 16 | 24
EDGE Alfonso Pedraza | Pepe Reina | 2 | 16 | 12
EDGE Alfonso Pedraza | Manu Trigueros | 3 | 16 | 9
EDGE Alfonso Pedraza | Denis Suárez | 2 | 16 | 2
EDGE Alfonso Pedraza | Ben Brereton Díaz | 3 | 16 | 6
EDGE Alfonso Pedraza | Alberto Moreno | 2 | 16 | 22
EDGE Alfonso Pedraza | Eric Bailly | 1 | 16 | 12
EDGE Juan Foyth | Étienne Capoue | 9 | 15 | 20
EDGE Juan Foyth | Ramón Terrats | 4 | 15 | 8
EDGE Juan Foyth | Dani Parejo | 13 | 15 | 35
EDGE Juan Foyth | Álex Baena | 14 | 15 | 39
EDGE Juan Foyth | Gerard Moreno | 10 | 15 | 32
EDGE Juan Foyth | Alexander Sørloth | 10 | 15 | 34
EDGE Juan Foyth | Raúl Albiol | 11 | 15 | 27
EDGE Juan Foyth | Adrià Altimira | 5 | 15 | 15
EDGE Juan Foyth | José Luis Morales | 6 | 15 | 12
EDGE Juan Foyth | Yéremy Pino | 6 | 15 | 8
EDGE Juan Foyth | Santi Comesaña | 5 | 15 | 28
EDGE Juan Foyth | Aïssa Mandi | 4 | 15 | 18
EDGE Juan Foyth | Pepe Reina | 3 | 15 | 12
EDGE Juan Foyth | Alberto Moreno | 3 | 15 | 22
EDGE Juan Foyth | Manu Trigueros | 3 | 15 | 9
EDGE Juan Foyth | Ilias Akhomach | 3 | 15 | 24
EDGE Juan Foyth | Ben Brereton Díaz | 3 | 15 | 6
EDGE Juan Foyth | Carlos Romero | 1 | 15 | 3
EDGE Juan Foyth | Denis Suárez | 1 | 15 | 2
EDGE Étienne Capoue | Ramón Terrats | 2 | 20 | 8
EDGE Étienne Capoue | Dani Parejo | 18 | 20 | 35
EDGE Étienne Capoue | Álex Baena | 14 | 20 | 39
EDGE Étienne Capoue | Gerard Moreno | 14 | 20 | 32
EDGE Étienne Capoue | Alexander Sørloth | 14 | 20 | 34
EDGE Étienne Capoue | Raúl Albiol | 14 | 20 | 27
EDGE Étienne Capoue | Adrià Altimira | 9 | 20 | 15
EDGE Étienne Capoue | José Luis Morales | 7 | 20 | 12
EDGE Étienne Capoue | Pepe Reina | 5 | 20 | 12
EDGE Étienne Capoue | Aïssa Mandi | 8 | 20 | 18
EDGE Étienne Capoue | Alberto Moreno | 5 | 20 | 22
EDGE Étienne Capoue | Kiko Femenía | 5 | 20 | 21
EDGE Étienne Capoue | Manu Trigueros | 4 | 20 | 9
EDGE Étienne Capoue | Yéremy Pino | 6 | 20 | 8
EDGE Étienne Capoue | Ilias Akhomach | 6 | 20 | 24
EDGE Étienne Capoue | Santi Comesaña | 3 | 20 | 28
EDGE Étienne Capoue | Denis Suárez | 1 | 20 | 2
EDGE Étienne Capoue | Ben Brereton Díaz | 3 | 20 | 6
EDGE Étienne Capoue | Yerson Mosquera | 2 | 20 | 15
EDGE Étienne Capoue | Francis Coquelin | 2 | 20 | 12
EDGE Étienne Capoue | Gonçalo Guedes | 2 | 20 | 11
EDGE Étienne Capoue | Eric Bailly | 2 | 20 | 12
EDGE Étienne Capoue | Carlos Romero | 2 | 20 | 3
EDGE Étienne Capoue | Bertrand Traoré | 1 | 20 | 6
EDGE Ramón Terrats | Dani Parejo | 4 | 8 | 35
EDGE Ramón Terrats | Álex Baena | 5 | 8 | 39
EDGE Ramón Terrats | Gerard Moreno | 5 | 8 | 32
EDGE Ramón Terrats | Alexander Sørloth | 6 | 8 | 34
EDGE Ramón Terrats | Pepe Reina | 3 | 8 | 12
EDGE Ramón Terrats | Yerson Mosquera | 1 | 8 | 15
EDGE Ramón Terrats | Aïssa Mandi | 4 | 8 | 18
EDGE Ramón Terrats | Kiko Femenía | 2 | 8 | 21
EDGE Ramón Terrats | Santi Comesaña | 4 | 8 | 28
EDGE Ramón Terrats | Manu Trigueros | 3 | 8 | 9
EDGE Ramón Terrats | Bertrand Traoré | 1 | 8 | 6
EDGE Ramón Terrats | Carlos Romero | 1 | 8 | 3
EDGE Ramón Terrats | Ben Brereton Díaz | 3 | 8 | 6
EDGE Ramón Terrats | Ilias Akhomach | 3 | 8 | 24
EDGE Ramón Terrats | Jorge Pascual | 1 | 8 | 1
EDGE Ramón Terrats | Raúl Albiol | 2 | 8 | 27
EDGE Ramón Terrats | Denis Suárez | 1 | 8 | 2
EDGE Ramón Terrats | Yéremy Pino | 1 | 8 | 8
EDGE Ramón Terrats | Alberto Moreno | 3 | 8 | 22
EDGE Ramón Terrats | Adrià Altimira | 2 | 8 | 15
EDGE Ramón Terrats | José Luis Morales | 1 | 8 | 12
EDGE Dani Parejo | Álex Baena | 28 | 35 | 39
EDGE Dani Parejo | Gerard Moreno | 24 | 35 | 32
EDGE Dani Parejo | Alexander Sørloth | 26 | 35 | 34
EDGE Dani Parejo | Raúl Albiol | 22 | 35 | 27
EDGE Dani Parejo | Adrià Altimira | 13 | 35 | 15
EDGE Dani Parejo | José Luis Morales | 11 | 35 | 12
EDGE Dani Parejo | Pepe Reina | 6 | 35 | 12
EDGE Dani Parejo | Aïssa Mandi | 12 | 35 | 18
EDGE Dani Parejo | Alberto Moreno | 16 | 35 | 22
EDGE Dani Parejo | Kiko Femenía | 12 | 35 | 21
EDGE Dani Parejo | Manu Trigueros | 4 | 35 | 9
EDGE Dani Parejo | Yéremy Pino | 7 | 35 | 8
EDGE Dani Parejo | Ilias Akhomach | 14 | 35 | 24
EDGE Dani Parejo | Yerson Mosquera | 9 | 35 | 15
EDGE Dani Parejo | Eric Bailly | 8 | 35 | 12
EDGE Dani Parejo | Francis Coquelin | 4 | 35 | 12
EDGE Dani Parejo | Gonçalo Guedes | 7 | 35 | 11
EDGE Dani Parejo | Santi Comesaña | 15 | 35 | 28
EDGE Dani Parejo | Bertrand Traoré | 4 | 35 | 6
EDGE Dani Parejo | Ben Brereton Díaz | 2 | 35 | 6
EDGE Dani Parejo | Carlos Romero | 2 | 35 | 3
EDGE Álex Baena | Gerard Moreno | 27 | 39 | 32
EDGE Álex Baena | Alexander Sørloth | 28 | 39 | 34
EDGE Álex Baena | Raúl Albiol | 22 | 39 | 27
EDGE Álex Baena | Adrià Altimira | 12 | 39 | 15
EDGE Álex Baena | José Luis Morales | 9 | 39 | 12
EDGE Álex Baena | Pepe Reina | 8 | 39 | 12
EDGE Álex Baena | Yerson Mosquera | 13 | 39 | 15
EDGE Álex Baena | Aïssa Mandi | 11 | 39 | 18
EDGE Álex Baena | Kiko Femenía | 16 | 39 | 21
EDGE Álex Baena | Santi Comesaña | 22 | 39 | 28
EDGE Álex Baena | Manu Trigueros | 4 | 39 | 9
EDGE Álex Baena | Bertrand Traoré | 6 | 39 | 6
EDGE Álex Baena | Alberto Moreno | 18 | 39 | 22
EDGE Álex Baena | Yéremy Pino | 7 | 39 | 8
EDGE Álex Baena | Ilias Akhomach | 20 | 39 | 24
EDGE Álex Baena | Eric Bailly | 10 | 39 | 12
EDGE Álex Baena | Francis Coquelin | 10 | 39 | 12
EDGE Álex Baena | Gonçalo Guedes | 8 | 39 | 11
EDGE Álex Baena | Ben Brereton Díaz | 2 | 39 | 6
EDGE Álex Baena | Carlos Romero | 2 | 39 | 3
EDGE Álex Baena | Denis Suárez | 1 | 39 | 2
EDGE Gerard Moreno | Alexander Sørloth | 22 | 32 | 34
EDGE Gerard Moreno | Raúl Albiol | 19 | 32 | 27
EDGE Gerard Moreno | Adrià Altimira | 11 | 32 | 15
EDGE Gerard Moreno | José Luis Morales | 7 | 32 | 12
EDGE Gerard Moreno | Alberto Moreno | 15 | 32 | 22
EDGE Gerard Moreno | Ilias Akhomach | 16 | 32 | 24
EDGE Gerard Moreno | Eric Bailly | 10 | 32 | 12
EDGE Gerard Moreno | Kiko Femenía | 11 | 32 | 21
EDGE Gerard Moreno | Francis Coquelin | 10 | 32 | 12
EDGE Gerard Moreno | Santi Comesaña | 16 | 32 | 28
EDGE Gerard Moreno | Aïssa Mandi | 9 | 32 | 18
EDGE Gerard Moreno | Bertrand Traoré | 3 | 32 | 6
EDGE Gerard Moreno | Yerson Mosquera | 9 | 32 | 15
EDGE Gerard Moreno | Gonçalo Guedes | 6 | 32 | 11
EDGE Gerard Moreno | Yéremy Pino | 4 | 32 | 8
EDGE Gerard Moreno | Pepe Reina | 4 | 32 | 12
EDGE Gerard Moreno | Ben Brereton Díaz | 1 | 32 | 6
EDGE Gerard Moreno | Carlos Romero | 2 | 32 | 3
EDGE Gerard Moreno | Denis Suárez | 1 | 32 | 2
EDGE Alexander Sørloth | Pepe Reina | 5 | 34 | 12
EDGE Alexander Sørloth | Yerson Mosquera | 12 | 34 | 15
EDGE Alexander Sørloth | Aïssa Mandi | 14 | 34 | 18
EDGE Alexander Sørloth | Kiko Femenía | 17 | 34 | 21
EDGE Alexander Sørloth | Santi Comesaña | 17 | 34 | 28
EDGE Alexander Sørloth | Manu Trigueros | 4 | 34 | 9
EDGE Alexander Sørloth | Bertrand Traoré | 6 | 34 | 6
EDGE Alexander Sørloth | Alberto Moreno | 16 | 34 | 22
EDGE Alexander Sørloth | Yéremy Pino | 8 | 34 | 8
EDGE Alexander Sørloth | Raúl Albiol | 18 | 34 | 27
EDGE Alexander Sørloth | José Luis Morales | 2 | 34 | 12
EDGE Alexander Sørloth | Adrià Altimira | 6 | 34 | 15
EDGE Alexander Sørloth | Ilias Akhomach | 14 | 34 | 24
EDGE Alexander Sørloth | Eric Bailly | 8 | 34 | 12
EDGE Alexander Sørloth | Francis Coquelin | 9 | 34 | 12
EDGE Alexander Sørloth | Gonçalo Guedes | 8 | 34 | 11
EDGE Alexander Sørloth | Ben Brereton Díaz | 3 | 34 | 6
EDGE Alexander Sørloth | Carlos Romero | 2 | 34 | 3
EDGE Alexander Sørloth | Denis Suárez | 1 | 34 | 2
EDGE Raúl Albiol | Adrià Altimira | 11 | 27 | 15
EDGE Raúl Albiol | José Luis Morales | 9 | 27 | 12
EDGE Raúl Albiol | Yéremy Pino | 7 | 27 | 8
EDGE Raúl Albiol | Alberto Moreno | 13 | 27 | 22
EDGE Raúl Albiol | Ilias Akhomach | 13 | 27 | 24
EDGE Raúl Albiol | Santi Comesaña | 13 | 27 | 28
EDGE Raúl Albiol | Yerson Mosquera | 7 | 27 | 15
EDGE Raúl Albiol | Kiko Femenía | 8 | 27 | 21
EDGE Raúl Albiol | Gonçalo Guedes | 5 | 27 | 11
EDGE Raúl Albiol | Francis Coquelin | 5 | 27 | 12
EDGE Raúl Albiol | Pepe Reina | 3 | 27 | 12
EDGE Raúl Albiol | Manu Trigueros | 3 | 27 | 9
EDGE Raúl Albiol | Aïssa Mandi | 7 | 27 | 18
EDGE Raúl Albiol | Bertrand Traoré | 1 | 27 | 6
EDGE Raúl Albiol | Carlos Romero | 2 | 27 | 3
EDGE Raúl Albiol | Denis Suárez | 1 | 27 | 2
EDGE Raúl Albiol | Ben Brereton Díaz | 1 | 27 | 6
EDGE Raúl Albiol | Eric Bailly | 1 | 27 | 12
EDGE Adrià Altimira | José Luis Morales | 8 | 15 | 12
EDGE Adrià Altimira | Alberto Moreno | 7 | 15 | 22
EDGE Adrià Altimira | Ilias Akhomach | 10 | 15 | 24
EDGE Adrià Altimira | Santi Comesaña | 7 | 15 | 28
EDGE Adrià Altimira | Pepe Reina | 5 | 15 | 12
EDGE Adrià Altimira | Kiko Femenía | 1 | 15 | 21
EDGE Adrià Altimira | Manu Trigueros | 3 | 15 | 9
EDGE Adrià Altimira | Aïssa Mandi | 3 | 15 | 18
EDGE Adrià Altimira | Ben Brereton Díaz | 2 | 15 | 6
EDGE Adrià Altimira | Carlos Romero | 1 | 15 | 3
EDGE Adrià Altimira | Eric Bailly | 2 | 15 | 12
EDGE Adrià Altimira | Yéremy Pino | 1 | 15 | 8
EDGE José Luis Morales | Yéremy Pino | 2 | 12 | 8
EDGE José Luis Morales | Santi Comesaña | 6 | 12 | 28
EDGE José Luis Morales | Pepe Reina | 4 | 12 | 12
EDGE José Luis Morales | Aïssa Mandi | 3 | 12 | 18
EDGE José Luis Morales | Kiko Femenía | 2 | 12 | 21
EDGE José Luis Morales | Manu Trigueros | 3 | 12 | 9
EDGE José Luis Morales | Denis Suárez | 1 | 12 | 2
EDGE José Luis Morales | Ben Brereton Díaz | 1 | 12 | 6
EDGE José Luis Morales | Alberto Moreno | 4 | 12 | 22
EDGE José Luis Morales | Ilias Akhomach | 5 | 12 | 24
EDGE José Luis Morales | Eric Bailly | 2 | 12 | 12
EDGE Pepe Reina | Yerson Mosquera | 3 | 12 | 15
EDGE Pepe Reina | Aïssa Mandi | 6 | 12 | 18
EDGE Pepe Reina | Kiko Femenía | 6 | 12 | 21
