# Graph for Java/GraphStream
# Nodes: 27
# Edges: 304

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergi Roberto | Thomas Vermaelen | 9 | 37 | 17
EDGE Sergi Roberto | Paulinho | 19 | 37 | 27
EDGE Sergi Roberto | André Gomes | 6 | 37 | 12
EDGE Sergi Roberto | Javier Mascherano | 7 | 37 | 10
EDGE Sergi Roberto | Lucas Digne | 5 | 37 | 15
EDGE Sergi Roberto | Aleix Vidal | 7 | 37 | 11
EDGE Sergi Roberto | Denis Suárez | 4 | 37 | 10
EDGE Sergi Roberto | Jasper Cillessen | 5 | 37 | 11
EDGE Sergi Roberto | Nélson Semedo | 7 | 37 | 28
EDGE Sergi Roberto | Gerard Deulofeu | 4 | 37 | 10
EDGE Sergi Roberto | Paco Alcácer | 4 | 37 | 11
EDGE Sergi Roberto | Philippe Coutinho | 9 | 37 | 17
EDGE Sergi Roberto | Yerry Mina | 1 | 37 | 4
EDGE Sergi Roberto | Carles Aleñá | 1 | 37 | 3
EDGE Sergio Busquets | Andrés Iniesta | 34 | 48 | 39
EDGE Sergio Busquets | Ivan Rakitic | 38 | 48 | 46
EDGE Sergio Busquets | Ousmane Dembélé | 9 | 48 | 14
EDGE Sergio Busquets | Lionel Messi | 42 | 48 | 48
EDGE Sergio Busquets | Luis Suárez | 42 | 48 | 49
EDGE Sergio Busquets | Thomas Vermaelen | 10 | 48 | 17
EDGE Sergio Busquets | Paulinho | 20 | 48 | 27
EDGE Sergio Busquets | André Gomes | 8 | 48 | 12
EDGE Sergio Busquets | Lucas Digne | 10 | 48 | 15
EDGE Sergio Busquets | Aleix Vidal | 8 | 48 | 11
EDGE Sergio Busquets | Nélson Semedo | 22 | 48 | 28
EDGE Sergio Busquets | Philippe Coutinho | 12 | 48 | 17
EDGE Sergio Busquets | Yerry Mina | 3 | 48 | 4
EDGE Sergio Busquets | Paco Alcácer | 5 | 48 | 11
EDGE Sergio Busquets | Javier Mascherano | 7 | 48 | 10
EDGE Sergio Busquets | Denis Suárez | 6 | 48 | 10
EDGE Sergio Busquets | Jasper Cillessen | 8 | 48 | 11
EDGE Sergio Busquets | Gerard Deulofeu | 8 | 48 | 10
EDGE Sergio Busquets | José Manuel Arnáiz | 1 | 48 | 2
EDGE Sergio Busquets | Carles Aleñá | 1 | 48 | 3
EDGE Andrés Iniesta | Ivan Rakitic | 33 | 39 | 46
EDGE Andrés Iniesta | Ousmane Dembélé | 8 | 39 | 14
EDGE Andrés Iniesta | Lionel Messi | 34 | 39 | 48
EDGE Andrés Iniesta | Luis Suárez | 36 | 39 | 49
