# Graph for Java/GraphStream
# Nodes: 21
# Edges: 208

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergio Busquets | Carles Puyol | 6 | 46 | 12
EDGE Sergio Busquets | Alex Song | 5 | 46 | 18
EDGE Sergio Busquets | Sergi Roberto | 4 | 46 | 8
EDGE Sergio Busquets | Cristian Tello | 1 | 46 | 6
EDGE Cesc Fàbregas | Xavi | 27 | 44 | 41
EDGE Cesc Fàbregas | Andrés Iniesta | 28 | 44 | 41
EDGE Cesc Fàbregas | Neymar | 25 | 44 | 32
EDGE Cesc Fàbregas | Lionel Messi | 29 | 44 | 43
EDGE Cesc Fàbregas | Víctor Valdés | 25 | 44 | 34
EDGE Cesc Fàbregas | Adriano | 24 | 44 | 35
EDGE Cesc Fàbregas | Alex Song | 14 | 44 | 18
EDGE Cesc Fàbregas | Alexis Sánchez | 26 | 44 | 38
EDGE Cesc Fàbregas | Gerard Piqué | 30 | 44 | 39
EDGE Cesc Fàbregas | Carles Puyol | 11 | 44 | 12
EDGE Cesc Fàbregas | Sergi Roberto | 6 | 44 | 8
EDGE Cesc Fàbregas | Cristian Tello | 4 | 44 | 6
EDGE Cesc Fàbregas | Pedro | 28 | 44 | 38
EDGE Cesc Fàbregas | Martín Montoya | 13 | 44 | 17
EDGE Xavi | Andrés Iniesta | 27 | 41 | 41
EDGE Xavi | Neymar | 23 | 41 | 32
EDGE Xavi | Lionel Messi | 32 | 41 | 43
EDGE Xavi | Víctor Valdés | 27 | 41 | 34
EDGE Xavi | Gerard Piqué | 30 | 41 | 39
EDGE Xavi | Adriano | 20 | 41 | 35
EDGE Xavi | Martín Montoya | 10 | 41 | 17
EDGE Xavi | Alexis Sánchez | 25 | 41 | 38
EDGE Xavi | Pedro | 25 | 41 | 38
EDGE Xavi | Carles Puyol | 5 | 41 | 12
EDGE Xavi | Sergi Roberto | 2 | 41 | 8
EDGE Xavi | Alex Song | 9 | 41 | 18
EDGE Xavi | Cristian Tello | 3 | 41 | 6
EDGE Andrés Iniesta | Neymar | 22 | 41 | 32
EDGE Andrés Iniesta | Lionel Messi | 29 | 41 | 43
EDGE Andrés Iniesta | Víctor Valdés | 23 | 41 | 34
EDGE Andrés Iniesta | Adriano | 24 | 41 | 35
EDGE Andrés Iniesta | Alex Song | 10 | 41 | 18
EDGE Andrés Iniesta | Alexis Sánchez | 27 | 41 | 38
EDGE Andrés Iniesta | Gerard Piqué | 28 | 41 | 39
EDGE Andrés Iniesta | Pedro | 24 | 41 | 38
EDGE Andrés Iniesta | Martín Montoya | 12 | 41 | 17
EDGE Andrés Iniesta | Carles Puyol | 5 | 41 | 12
EDGE Andrés Iniesta | Sergi Roberto | 3 | 41 | 8
EDGE Andrés Iniesta | Cristian Tello | 2 | 41 | 6
EDGE Neymar | Lionel Messi | 23 | 32 | 43
EDGE Neymar | Víctor Valdés | 20 | 32 | 34
EDGE Neymar | Adriano | 19 | 32 | 35
EDGE Neymar | Alex Song | 10 | 32 | 18
EDGE Neymar | Alexis Sánchez | 13 | 32 | 38
EDGE Neymar | Gerard Piqué | 23 | 32 | 39
EDGE Neymar | Carles Puyol | 6 | 32 | 12
EDGE Neymar | Sergi Roberto | 3 | 32 | 8
EDGE Neymar | Cristian Tello | 4 | 32 | 6
EDGE Neymar | Martín Montoya | 12 | 32 | 17
EDGE Neymar | Pedro | 13 | 32 | 38
EDGE Lionel Messi | Víctor Valdés | 28 | 43 | 34
EDGE Lionel Messi | Adriano | 24 | 43 | 35
EDGE Lionel Messi | Alex Song | 10 | 43 | 18
EDGE Lionel Messi | Alexis Sánchez | 26 | 43 | 38
EDGE Lionel Messi | Gerard Piqué | 28 | 43 | 39
EDGE Lionel Messi | Carles Puyol | 6 | 43 | 12
EDGE Lionel Messi | Sergi Roberto | 2 | 43 | 8
EDGE Lionel Messi | Cristian Tello | 3 | 43 | 6
EDGE Lionel Messi | Pedro | 26 | 43 | 38
EDGE Lionel Messi | Martín Montoya | 7 | 43 | 17
EDGE Víctor Valdés | Adriano | 19 | 34 | 35
EDGE Víctor Valdés | Alex Song | 9 | 34 | 18
EDGE Víctor Valdés | Alexis Sánchez | 23 | 34 | 38
EDGE Víctor Valdés | Gerard Piqué | 28 | 34 | 39
EDGE Víctor Valdés | Pedro | 20 | 34 | 38
EDGE Víctor Valdés | Carles Puyol | 5 | 34 | 12
EDGE Víctor Valdés | Martín Montoya | 8 | 34 | 17
EDGE Víctor Valdés | Cristian Tello | 2 | 34 | 6
EDGE Adriano | Alex Song | 14 | 35 | 18
EDGE Adriano | Alexis Sánchez | 25 | 35 | 38
EDGE Adriano | Gerard Piqué | 19 | 35 | 39
EDGE Adriano | Carles Puyol | 10 | 35 | 12
EDGE Adriano | Sergi Roberto | 7 | 35 | 8
EDGE Adriano | Cristian Tello | 5 | 35 | 6
EDGE Adriano | Pedro | 24 | 35 | 38
EDGE Adriano | Martín Montoya | 11 | 35 | 17
EDGE Alex Song | Alexis Sánchez | 10 | 18 | 38
EDGE Alex Song | Carles Puyol | 8 | 18 | 12
EDGE Alex Song | Sergi Roberto | 5 | 18 | 8
EDGE Alex Song | Cristian Tello | 5 | 18 | 6
EDGE Alex Song | Pedro | 13 | 18 | 38
