# Graph for Java/GraphStream
# Nodes: 26
# Edges: 268

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Lucas Vázquez | Nacho Fernández | 10 | 17 | 31
EDGE Lucas Vázquez | Éder Militão | 2 | 17 | 6
EDGE Lucas Vázquez | Dani Ceballos | 3 | 17 | 8
EDGE Lucas Vázquez | Arda Güler | 2 | 17 | 5
EDGE Lucas Vázquez | Joselu | 7 | 17 | 18
EDGE Lucas Vázquez | Thibaut Courtois | 1 | 17 | 5
EDGE Eduardo Camavinga | Toni Kroos | 18 | 32 | 33
EDGE Eduardo Camavinga | Federico Valverde | 26 | 32 | 46
EDGE Eduardo Camavinga | Luka Modrić | 12 | 32 | 23
EDGE Eduardo Camavinga | Jude Bellingham | 21 | 32 | 39
EDGE Eduardo Camavinga | Rodrygo | 24 | 32 | 41
EDGE Eduardo Camavinga | Nacho Fernández | 20 | 32 | 31
EDGE Eduardo Camavinga | Daniel Carvajal | 23 | 32 | 36
EDGE Eduardo Camavinga | Aurélien Tchouaméni | 16 | 32 | 29
EDGE Eduardo Camavinga | Vinicius Junior | 24 | 32 | 33
EDGE Eduardo Camavinga | Joselu | 10 | 32 | 18
EDGE Eduardo Camavinga | Andriy Lunin | 16 | 32 | 29
EDGE Eduardo Camavinga | Thibaut Courtois | 5 | 32 | 5
EDGE Eduardo Camavinga | Éder Militão | 4 | 32 | 6
EDGE Eduardo Camavinga | Ferland Mendy | 17 | 32 | 31
EDGE Eduardo Camavinga | Dani Ceballos | 4 | 32 | 8
EDGE Eduardo Camavinga | Brahim Díaz | 12 | 32 | 22
EDGE Eduardo Camavinga | Arda Güler | 3 | 32 | 5
EDGE Eduardo Camavinga | Álvaro Carrillo | 1 | 32 | 1
EDGE Eduardo Camavinga | Vinícius Tobias | 1 | 32 | 1
EDGE Eduardo Camavinga | Nico Paz | 1 | 32 | 1
EDGE Toni Kroos | Federico Valverde | 32 | 33 | 46
EDGE Toni Kroos | Luka Modrić | 7 | 33 | 23
