# Graph for Java/GraphStream
# Nodes: 25
# Edges: 248

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iker Casillas | Pepe | 31 | 47 | 36
EDGE Iker Casillas | Sergio Ramos | 35 | 47 | 42
EDGE Iker Casillas | Marcelo | 39 | 47 | 46
EDGE Iker Casillas | Daniel Carvajal | 32 | 47 | 37
EDGE Iker Casillas | Toni Kroos | 46 | 47 | 54
EDGE Iker Casillas | Luka Modrić | 21 | 47 | 24
EDGE Iker Casillas | Isco | 32 | 47 | 42
EDGE Iker Casillas | Cristiano Ronaldo | 43 | 47 | 52
EDGE Iker Casillas | Gareth Bale | 38 | 47 | 46
EDGE Iker Casillas | Karim Benzema | 38 | 47 | 45
EDGE Iker Casillas | James Rodríguez | 35 | 47 | 44
EDGE Iker Casillas | Raphaël Varane | 27 | 47 | 36
EDGE Iker Casillas | Álvaro Arbeloa | 14 | 47 | 21
EDGE Iker Casillas | Fábio Coentrão | 8 | 47 | 12
EDGE Iker Casillas | Sami Khedira | 4 | 47 | 7
EDGE Iker Casillas | Chicharito | 7 | 47 | 12
EDGE Iker Casillas | Lucas Silva | 3 | 47 | 4
EDGE Iker Casillas | Nacho Fernández | 5 | 47 | 9
EDGE Iker Casillas | Asier Illarramendi | 9 | 47 | 15
EDGE Iker Casillas | Jesé | 1 | 47 | 3
EDGE Iker Casillas | Xabi Alonso | 2 | 47 | 2
EDGE Pepe | Sergio Ramos | 24 | 36 | 42
EDGE Pepe | Marcelo | 29 | 36 | 46
EDGE Pepe | Daniel Carvajal | 25 | 36 | 37
EDGE Pepe | Toni Kroos | 35 | 36 | 54
EDGE Pepe | Luka Modrić | 15 | 36 | 24
EDGE Pepe | Isco | 26 | 36 | 42
EDGE Pepe | Cristiano Ronaldo | 35 | 36 | 52
EDGE Pepe | Gareth Bale | 28 | 36 | 46
EDGE Pepe | Karim Benzema | 28 | 36 | 45
EDGE Pepe | James Rodríguez | 26 | 36 | 44
EDGE Pepe | Raphaël Varane | 13 | 36 | 36
EDGE Pepe | Fábio Coentrão | 7 | 36 | 12
EDGE Pepe | Álvaro Arbeloa | 9 | 36 | 21
EDGE Pepe | Sami Khedira | 1 | 36 | 7
EDGE Pepe | Chicharito | 6 | 36 | 12
EDGE Pepe | Keylor Navas | 5 | 36 | 11
EDGE Pepe | Lucas Silva | 4 | 36 | 4
EDGE Pepe | Asier Illarramendi | 6 | 36 | 15
EDGE Pepe | Jesé | 2 | 36 | 3
EDGE Pepe | Nacho Fernández | 4 | 36 | 9
EDGE Pepe | Xabi Alonso | 1 | 36 | 2
EDGE Sergio Ramos | Marcelo | 36 | 42 | 46
EDGE Sergio Ramos | Daniel Carvajal | 28 | 42 | 37
EDGE Sergio Ramos | Toni Kroos | 39 | 42 | 54
EDGE Sergio Ramos | Luka Modrić | 22 | 42 | 24
EDGE Sergio Ramos | Isco | 27 | 42 | 42
EDGE Sergio Ramos | Cristiano Ronaldo | 37 | 42 | 52
EDGE Sergio Ramos | Gareth Bale | 35 | 42 | 46
EDGE Sergio Ramos | Karim Benzema | 33 | 42 | 45
EDGE Sergio Ramos | James Rodríguez | 36 | 42 | 44
EDGE Sergio Ramos | Raphaël Varane | 21 | 42 | 36
EDGE Sergio Ramos | Álvaro Arbeloa | 12 | 42 | 21
EDGE Sergio Ramos | Sami Khedira | 3 | 42 | 7
EDGE Sergio Ramos | Fábio Coentrão | 6 | 42 | 12
EDGE Sergio Ramos | Chicharito | 6 | 42 | 12
EDGE Sergio Ramos | Keylor Navas | 7 | 42 | 11
EDGE Sergio Ramos | Lucas Silva | 1 | 42 | 4
EDGE Sergio Ramos | Nacho Fernández | 2 | 42 | 9
EDGE Sergio Ramos | Asier Illarramendi | 7 | 42 | 15
