# Graph for Java/GraphStream
# Nodes: 28
# Edges: 317

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Mario Gaspar | Tomás Pina | 21 | 42 | 27
EDGE Mario Gaspar | Manu Trigueros | 26 | 42 | 32
EDGE Mario Gaspar | Alfonso Pedraza | 2 | 42 | 2
EDGE Mario Gaspar | Samu García | 7 | 42 | 15
EDGE Mario Gaspar | Roberto Soldado | 31 | 42 | 39
EDGE Mario Gaspar | Sergio Asenjo | 7 | 42 | 7
EDGE Mario Gaspar | Antonio Rukavina | 17 | 42 | 27
EDGE Mario Gaspar | Léo Baptistão | 12 | 42 | 17
EDGE Mario Gaspar | Adrián López | 7 | 42 | 11
EDGE Mario Gaspar | Mateo Musacchio | 11 | 42 | 19
EDGE Mario Gaspar | Adrián Marín | 6 | 42 | 13
EDGE Mario Gaspar | Mariano Barbosa | 4 | 42 | 12
EDGE Bruno Soriano | Jonathan dos Santos | 22 | 40 | 28
EDGE Bruno Soriano | Denis Suárez | 32 | 40 | 36
EDGE Bruno Soriano | Samu Castillejo | 21 | 40 | 31
EDGE Bruno Soriano | Matías Nahuel | 5 | 40 | 17
EDGE Bruno Soriano | Cédric Bakambu | 28 | 40 | 34
EDGE Bruno Soriano | Mariano Barbosa | 5 | 40 | 12
EDGE Bruno Soriano | Eric Bailly | 22 | 40 | 35
EDGE Bruno Soriano | Antonio Rukavina | 18 | 40 | 27
EDGE Bruno Soriano | Roberto Soldado | 33 | 40 | 39
EDGE Bruno Soriano | Léo Baptistão | 9 | 40 | 17
EDGE Bruno Soriano | Mateo Musacchio | 15 | 40 | 19
EDGE Bruno Soriano | Adrián Marín | 7 | 40 | 13
EDGE Bruno Soriano | Manu Trigueros | 20 | 40 | 32
EDGE Bruno Soriano | Adrián López | 8 | 40 | 11
EDGE Bruno Soriano | Sergio Asenjo | 7 | 40 | 7
EDGE Bruno Soriano | Tomás Pina | 16 | 40 | 27
EDGE Bruno Soriano | Samu García | 3 | 40 | 15
EDGE Bruno Soriano | Bojan Jokic | 2 | 40 | 7
EDGE Jonathan dos Santos | Denis Suárez | 23 | 28 | 36
EDGE Jonathan dos Santos | Samu Castillejo | 8 | 28 | 31
EDGE Jonathan dos Santos | Matías Nahuel | 5 | 28 | 17
EDGE Jonathan dos Santos | Cédric Bakambu | 18 | 28 | 34
EDGE Jonathan dos Santos | Mariano Barbosa | 6 | 28 | 12
EDGE Jonathan dos Santos | Eric Bailly | 14 | 28 | 35
EDGE Jonathan dos Santos | Antonio Rukavina | 9 | 28 | 27
EDGE Jonathan dos Santos | Roberto Soldado | 20 | 28 | 39
EDGE Jonathan dos Santos | Léo Baptistão | 8 | 28 | 17
EDGE Jonathan dos Santos | Manu Trigueros | 16 | 28 | 32
EDGE Jonathan dos Santos | Sergio Asenjo | 2 | 28 | 7
EDGE Jonathan dos Santos | Tomás Pina | 9 | 28 | 27
EDGE Jonathan dos Santos | Adrián López | 4 | 28 | 11
EDGE Jonathan dos Santos | Mateo Musacchio | 13 | 28 | 19
EDGE Jonathan dos Santos | Adrián Marín | 6 | 28 | 13
EDGE Jonathan dos Santos | Samu García | 6 | 28 | 15
EDGE Jonathan dos Santos | Bojan Jokic | 4 | 28 | 7
EDGE Jonathan dos Santos | Alfonso Pedraza | 1 | 28 | 2
EDGE Jonathan dos Santos | Miguel Llambrich | 1 | 28 | 1
EDGE Denis Suárez | Samu Castillejo | 13 | 36 | 31
EDGE Denis Suárez | Matías Nahuel | 2 | 36 | 17
EDGE Denis Suárez | Cédric Bakambu | 27 | 36 | 34
EDGE Denis Suárez | Sergio Asenjo | 7 | 36 | 7
EDGE Denis Suárez | Eric Bailly | 20 | 36 | 35
EDGE Denis Suárez | Antonio Rukavina | 17 | 36 | 27
EDGE Denis Suárez | Tomás Pina | 16 | 36 | 27
EDGE Denis Suárez | Roberto Soldado | 28 | 36 | 39
EDGE Denis Suárez | Manu Trigueros | 18 | 36 | 32
EDGE Denis Suárez | Léo Baptistão | 7 | 36 | 17
EDGE Denis Suárez | Adrián López | 8 | 36 | 11
EDGE Denis Suárez | Mateo Musacchio | 13 | 36 | 19
EDGE Denis Suárez | Bojan Jokic | 3 | 36 | 7
EDGE Denis Suárez | Samu García | 3 | 36 | 15
EDGE Denis Suárez | Adrián Marín | 7 | 36 | 13
EDGE Denis Suárez | Alfonso Pedraza | 1 | 36 | 2
EDGE Denis Suárez | Mariano Barbosa | 3 | 36 | 12
EDGE Samu Castillejo | Matías Nahuel | 14 | 31 | 17
EDGE Samu Castillejo | Cédric Bakambu | 16 | 31 | 34
EDGE Samu Castillejo | Mariano Barbosa | 10 | 31 | 12
EDGE Samu Castillejo | Mateo Musacchio | 6 | 31 | 19
EDGE Samu Castillejo | Pablo Iñiguez | 1 | 31 | 1
EDGE Samu Castillejo | Adrián Marín | 8 | 31 | 13
EDGE Samu Castillejo | Antonio Rukavina | 18 | 31 | 27
EDGE Samu Castillejo | Rodri | 4 | 31 | 4
EDGE Samu Castillejo | Manu Trigueros | 17 | 31 | 32
EDGE Samu Castillejo | Samu García | 10 | 31 | 15
EDGE Samu Castillejo | Eric Bailly | 22 | 31 | 35
EDGE Samu Castillejo | Roberto Soldado | 20 | 31 | 39
EDGE Samu Castillejo | Léo Baptistão | 10 | 31 | 17
EDGE Samu Castillejo | Adrián López | 6 | 31 | 11
EDGE Samu Castillejo | Sergio Asenjo | 5 | 31 | 7
EDGE Samu Castillejo | Tomás Pina | 15 | 31 | 27
EDGE Samu Castillejo | Bojan Jokic | 3 | 31 | 7
EDGE Samu Castillejo | Miguel Llambrich | 1 | 31 | 1
EDGE Matías Nahuel | Cédric Bakambu | 7 | 17 | 34
EDGE Matías Nahuel | Mariano Barbosa | 7 | 17 | 12
EDGE Matías Nahuel | Mateo Musacchio | 4 | 17 | 19
EDGE Matías Nahuel | Pablo Iñiguez | 1 | 17 | 1
EDGE Matías Nahuel | Adrián Marín | 5 | 17 | 13
EDGE Matías Nahuel | Antonio Rukavina | 7 | 17 | 27
EDGE Matías Nahuel | Rodri | 3 | 17 | 4
EDGE Matías Nahuel | Manu Trigueros | 11 | 17 | 32
EDGE Matías Nahuel | Samu García | 9 | 17 | 15
EDGE Matías Nahuel | Eric Bailly | 14 | 17 | 35
EDGE Matías Nahuel | Roberto Soldado | 7 | 17 | 39
EDGE Matías Nahuel | Léo Baptistão | 9 | 17 | 17
EDGE Matías Nahuel | Bojan Jokic | 3 | 17 | 7
EDGE Matías Nahuel | Tomás Pina | 11 | 17 | 27
EDGE Matías Nahuel | Alfonso Pedraza | 1 | 17 | 2
EDGE Matías Nahuel | Adrián López | 1 | 17 | 11
EDGE Matías Nahuel | Miguel Llambrich | 1 | 17 | 1
EDGE Cédric Bakambu | Mariano Barbosa | 6 | 34 | 12
EDGE Cédric Bakambu | Mateo Musacchio | 14 | 34 | 19
EDGE Cédric Bakambu | Pablo Iñiguez | 1 | 34 | 1
EDGE Cédric Bakambu | Adrián Marín | 5 | 34 | 13
EDGE Cédric Bakambu | Antonio Rukavina | 17 | 34 | 27
