# Graph for Java/GraphStream
# Nodes: 30
# Edges: 311

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Fran García | Lorenzo Aguado | 1 | 35 | 1
EDGE Fran García | Éder Militão | 4 | 35 | 14
EDGE Fran García | Daniel Carvajal | 2 | 35 | 9
EDGE Fran García | David Alaba | 2 | 35 | 7
EDGE Fran García | Fran González | 1 | 35 | 1
EDGE Raúl Asencio | Federico Valverde | 30 | 35 | 61
EDGE Raúl Asencio | Dani Ceballos | 17 | 35 | 22
EDGE Raúl Asencio | Jude Bellingham | 27 | 35 | 55
EDGE Raúl Asencio | Rodrygo | 21 | 35 | 40
EDGE Raúl Asencio | Brahim Díaz | 14 | 35 | 22
EDGE Raúl Asencio | Kylian Mbappé | 26 | 35 | 52
EDGE Raúl Asencio | Ferland Mendy | 9 | 35 | 27
EDGE Raúl Asencio | Luka Modrić | 14 | 35 | 26
EDGE Raúl Asencio | Vinicius Junior | 23 | 35 | 49
EDGE Raúl Asencio | Andriy Lunin | 8 | 35 | 14
EDGE Raúl Asencio | Jacobo Ramón | 2 | 35 | 3
EDGE Raúl Asencio | Arda Güler | 14 | 35 | 22
EDGE Raúl Asencio | Endrick | 6 | 35 | 8
EDGE Raúl Asencio | Eduardo Camavinga | 13 | 35 | 22
EDGE Raúl Asencio | Lucas Vázquez | 17 | 35 | 37
EDGE Raúl Asencio | Dean Huijsen | 2 | 35 | 5
EDGE Raúl Asencio | Trent Alexander-Arnold | 2 | 35 | 5
EDGE Raúl Asencio | Gonzalo García | 3 | 35 | 6
EDGE Raúl Asencio | Diego Aguado | 1 | 35 | 1
EDGE Raúl Asencio | Lorenzo Aguado | 1 | 35 | 1
EDGE Raúl Asencio | David Alaba | 6 | 35 | 7
EDGE Federico Valverde | Dani Ceballos | 20 | 61 | 22
EDGE Federico Valverde | Jude Bellingham | 52 | 61 | 55
EDGE Federico Valverde | Rodrygo | 37 | 61 | 40
EDGE Federico Valverde | Brahim Díaz | 18 | 61 | 22
EDGE Federico Valverde | Kylian Mbappé | 47 | 61 | 52
EDGE Federico Valverde | Dean Huijsen | 5 | 61 | 5
EDGE Federico Valverde | Arda Güler | 20 | 61 | 22
EDGE Federico Valverde | Trent Alexander-Arnold | 5 | 61 | 5
EDGE Federico Valverde | Gonzalo García | 6 | 61 | 6
EDGE Federico Valverde | Vinicius Junior | 44 | 61 | 49
EDGE Federico Valverde | Ferland Mendy | 25 | 61 | 27
EDGE Federico Valverde | Luka Modrić | 21 | 61 | 26
EDGE Federico Valverde | Andriy Lunin | 10 | 61 | 14
EDGE Federico Valverde | Jacobo Ramón | 3 | 61 | 3
EDGE Federico Valverde | Endrick | 7 | 61 | 8
EDGE Federico Valverde | Daniel Carvajal | 9 | 61 | 9
EDGE Federico Valverde | Lucas Vázquez | 32 | 61 | 37
EDGE Federico Valverde | Eduardo Camavinga | 20 | 61 | 22
EDGE Federico Valverde | Éder Militão | 14 | 61 | 14
EDGE Federico Valverde | Jesús Vallejo | 1 | 61 | 1
EDGE Federico Valverde | Diego Aguado | 1 | 61 | 1
EDGE Federico Valverde | Lorenzo Aguado | 1 | 61 | 1
EDGE Federico Valverde | David Alaba | 4 | 61 | 7
EDGE Federico Valverde | Fran González | 1 | 61 | 1
EDGE Dani Ceballos | Jude Bellingham | 19 | 22 | 55
EDGE Dani Ceballos | Rodrygo | 14 | 22 | 40
EDGE Dani Ceballos | Brahim Díaz | 7 | 22 | 22
EDGE Dani Ceballos | Kylian Mbappé | 19 | 22 | 52
EDGE Dani Ceballos | Ferland Mendy | 6 | 22 | 27
EDGE Dani Ceballos | Luka Modrić | 5 | 22 | 26
EDGE Dani Ceballos | Vinicius Junior | 15 | 22 | 49
EDGE Dani Ceballos | Lucas Vázquez | 13 | 22 | 37
EDGE Dani Ceballos | Andriy Lunin | 3 | 22 | 14
EDGE Dani Ceballos | Eduardo Camavinga | 5 | 22 | 22
EDGE Dani Ceballos | Arda Güler | 6 | 22 | 22
EDGE Dani Ceballos | Endrick | 2 | 22 | 8
EDGE Dani Ceballos | Éder Militão | 1 | 22 | 14
EDGE Dani Ceballos | Daniel Carvajal | 1 | 22 | 9
EDGE Dani Ceballos | Jacobo Ramón | 1 | 22 | 3
EDGE Jude Bellingham | Rodrygo | 33 | 55 | 40
EDGE Jude Bellingham | Brahim Díaz | 13 | 55 | 22
EDGE Jude Bellingham | Kylian Mbappé | 43 | 55 | 52
EDGE Jude Bellingham | Dean Huijsen | 5 | 55 | 5
EDGE Jude Bellingham | Arda Güler | 16 | 55 | 22
EDGE Jude Bellingham | Trent Alexander-Arnold | 5 | 55 | 5
EDGE Jude Bellingham | Gonzalo García | 6 | 55 | 6
EDGE Jude Bellingham | Vinicius Junior | 41 | 55 | 49
EDGE Jude Bellingham | Ferland Mendy | 21 | 55 | 27
EDGE Jude Bellingham | Luka Modrić | 19 | 55 | 26
EDGE Jude Bellingham | Daniel Carvajal | 7 | 55 | 9
EDGE Jude Bellingham | Lucas Vázquez | 30 | 55 | 37
EDGE Jude Bellingham | Andriy Lunin | 10 | 55 | 14
EDGE Jude Bellingham | Eduardo Camavinga | 19 | 55 | 22
EDGE Jude Bellingham | Endrick | 5 | 55 | 8
EDGE Jude Bellingham | Éder Militão | 11 | 55 | 14
EDGE Jude Bellingham | Jesús Vallejo | 1 | 55 | 1
EDGE Jude Bellingham | Jacobo Ramón | 2 | 55 | 3
EDGE Jude Bellingham | David Alaba | 4 | 55 | 7
EDGE Jude Bellingham | Fran González | 1 | 55 | 1
EDGE Rodrygo | Brahim Díaz | 11 | 40 | 22
EDGE Rodrygo | Kylian Mbappé | 33 | 40 | 52
EDGE Rodrygo | Ferland Mendy | 20 | 40 | 27
EDGE Rodrygo | Luka Modrić | 13 | 40 | 26
EDGE Rodrygo | Vinicius Junior | 29 | 40 | 49
EDGE Rodrygo | Andriy Lunin | 4 | 40 | 14
EDGE Rodrygo | Jacobo Ramón | 1 | 40 | 3
EDGE Rodrygo | Arda Güler | 5 | 40 | 22
EDGE Rodrygo | Endrick | 2 | 40 | 8
EDGE Rodrygo | Daniel Carvajal | 7 | 40 | 9
EDGE Rodrygo | Lucas Vázquez | 24 | 40 | 37
EDGE Rodrygo | Eduardo Camavinga | 12 | 40 | 22
EDGE Rodrygo | Dean Huijsen | 1 | 40 | 5
EDGE Rodrygo | Trent Alexander-Arnold | 1 | 40 | 5
EDGE Rodrygo | Gonzalo García | 1 | 40 | 6
EDGE Rodrygo | David Alaba | 6 | 40 | 7
EDGE Rodrygo | Éder Militão | 9 | 40 | 14
EDGE Brahim Díaz | Kylian Mbappé | 18 | 22 | 52
EDGE Brahim Díaz | Andriy Lunin | 5 | 22 | 14
EDGE Brahim Díaz | Jacobo Ramón | 1 | 22 | 3
EDGE Brahim Díaz | Ferland Mendy | 8 | 22 | 27
EDGE Brahim Díaz | Luka Modrić | 14 | 22 | 26
EDGE Brahim Díaz | Arda Güler | 8 | 22 | 22
EDGE Brahim Díaz | Endrick | 3 | 22 | 8
EDGE Brahim Díaz | Lucas Vázquez | 16 | 22 | 37
EDGE Brahim Díaz | Eduardo Camavinga | 7 | 22 | 22
EDGE Brahim Díaz | David Alaba | 3 | 22 | 7
EDGE Brahim Díaz | Vinicius Junior | 9 | 22 | 49
EDGE Brahim Díaz | Diego Aguado | 1 | 22 | 1
