# Graph for Java/GraphStream
# Nodes: 26
# Edges: 296

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Álvaro Odriozola | Mariano Díaz | 2 | 21 | 4
EDGE Álvaro Odriozola | Federico Valverde | 5 | 21 | 10
EDGE Álvaro Odriozola | Jesús Vallejo | 2 | 21 | 6
EDGE Álvaro Odriozola | Daniel Carvajal | 2 | 21 | 35
EDGE Álvaro Odriozola | Luca Zidane | 1 | 21 | 1
EDGE Álvaro Odriozola | Brahim Díaz | 1 | 21 | 5
EDGE Marcos Llorente | Dani Ceballos | 6 | 14 | 19
EDGE Marcos Llorente | Marco Asensio | 4 | 14 | 24
EDGE Marcos Llorente | Vinicius Junior | 6 | 14 | 20
EDGE Marcos Llorente | Lucas Vázquez | 9 | 14 | 29
EDGE Marcos Llorente | Karim Benzema | 12 | 14 | 52
EDGE Marcos Llorente | Raphaël Varane | 10 | 14 | 42
EDGE Marcos Llorente | Marcelo | 10 | 14 | 32
EDGE Marcos Llorente | Daniel Carvajal | 11 | 14 | 35
EDGE Marcos Llorente | Toni Kroos | 7 | 14 | 39
EDGE Marcos Llorente | Luka Modrić | 9 | 14 | 41
EDGE Marcos Llorente | Thibaut Courtois | 8 | 14 | 35
EDGE Marcos Llorente | Jesús Vallejo | 3 | 14 | 6
EDGE Marcos Llorente | Gareth Bale | 7 | 14 | 29
EDGE Marcos Llorente | Mariano Díaz | 2 | 14 | 4
EDGE Marcos Llorente | Federico Valverde | 3 | 14 | 10
EDGE Marcos Llorente | Isco | 3 | 14 | 17
EDGE Marcos Llorente | Nacho Fernández | 2 | 14 | 27
EDGE Marcos Llorente | Brahim Díaz | 2 | 14 | 5
EDGE Marcos Llorente | Luca Zidane | 1 | 14 | 1
EDGE Dani Ceballos | Marco Asensio | 8 | 19 | 24
EDGE Dani Ceballos | Vinicius Junior | 6 | 19 | 20
EDGE Dani Ceballos | Lucas Vázquez | 10 | 19 | 29
EDGE Dani Ceballos | Karim Benzema | 18 | 19 | 52
EDGE Dani Ceballos | Thibaut Courtois | 13 | 19 | 35
EDGE Dani Ceballos | Raphaël Varane | 12 | 19 | 42
EDGE Dani Ceballos | Marcelo | 8 | 19 | 32
EDGE Dani Ceballos | Casemiro | 10 | 19 | 38
EDGE Dani Ceballos | Toni Kroos | 10 | 19 | 39
EDGE Dani Ceballos | Nacho Fernández | 10 | 19 | 27
EDGE Dani Ceballos | Luka Modrić | 11 | 19 | 41
EDGE Dani Ceballos | Isco | 3 | 19 | 17
EDGE Dani Ceballos | Daniel Carvajal | 8 | 19 | 35
EDGE Dani Ceballos | Gareth Bale | 10 | 19 | 29
EDGE Dani Ceballos | Jesús Vallejo | 1 | 19 | 6
EDGE Dani Ceballos | Mariano Díaz | 1 | 19 | 4
EDGE Dani Ceballos | Federico Valverde | 1 | 19 | 10
EDGE Dani Ceballos | Luca Zidane | 1 | 19 | 1
